RA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA50,3218,13647,19837,16852,14213,13538,14236,7867,2616,106022,2192,14997,28529,22319,19890,16933,12009,5054,1685,123606,1134,13225,37340,29954,25967,22458,11343,3589,988,146000,458,7946,31832,26337,22319,18027,7381,1966,489,116745,241,4371,28260,26017,22255,17340,5865,1568,537,106447,110,2015,19696,21572,18820,13233,3873,823,227,80369,116,2455,30965,44894,39571,25995,6308,1236,362,151910,26,369,6396,12055,10896,6760,1766,424,123,38822,69,313,5941,19197,21717,13227,3881,1195,324,65857,5760,8155,20563,17886,15140,12125,9860,8912,7678,106091,121530,130689,300403,303100,270009,236044,187175,101828,40566,1691327
RA51,584,1279,1792,1943,2134,2096,2175,1065,300,13366,373,1492,2424,2366,2564,2445,1641,635,168,14110,172,1189,2778,2880,3186,2945,1585,479,91,15308,58,710,2130,2297,2496,2270,843,222,49,11070,32,456,1767,2245,2465,2021,683,192,66,9940,24,238,1349,1779,2150,1651,429,88,20,7717,16,309,2212,3615,4123,3101,678,118,30,14216,4,37,476,906,1053,737,184,34,14,3448,18,35,361,1038,1405,964,346,96,33,4289,1066,1222,3046,3152,3034,2603,2050,1383,792,18354,13537,10528,24852,29343,32047,32193,27697,13733,4482,188402
RA52,502,1026,1491,1443,1509,1679,1579,819,229,10288,366,1221,1879,1810,2013,2117,1324,499,175,11405,206,1054,2345,2096,2417,2601,1231,360,90,12398,80,624,1720,1754,1858,1745,752,191,31,8764,59,458,1725,1632,1962,1750,576,190,65,8406,14,235,1242,1395,1588,1353,438,107,25,6402,23,288,1912,2657,3076,2381,644,121,31,11138,0,52,444,690,702,558,154,34,10,2644,4,31,354,724,913,712,314,98,28,3183,1104,1020,2495,2560,2623,2521,2157,1488,823,16796,10528,8776,20730,21911,24378,26343,21921,11411,3958,149948
RA53,202,373,618,558,548,473,394,178,51,3400,149,454,877,792,691,634,328,117,36,4078,129,494,1241,1081,970,943,403,96,17,5372,66,404,1053,966,885,741,245,48,17,4422,42,282,1183,1073,927,741,213,51,9,4530,18,160,979,955,808,629,207,33,10,3793,15,240,1725,2170,1840,1224,232,46,8,7500,5,42,543,650,521,375,77,15,3,2228,10,36,554,1069,814,507,158,56,7,3203,743,779,2227,2065,1868,1571,905,442,173,10765,4404,4280,13402,13702,11917,10505,6236,2719,815,67980
RA54,75,191,422,317,262,279,176,65,11,1789,89,281,594,407,362,356,182,62,13,2339,66,301,780,530,522,481,180,36,4,2902,42,274,728,520,510,401,135,21,0,2619,18,159,733,556,503,428,109,15,7,2522,17,155,613,534,484,386,89,7,0,2285,17,241,1393,1361,1143,850,186,13,4,5195,0,36,414,456,409,267,46,3,0,1630,0,24,334,531,408,262,54,13,6,1639,668,953,2717,2290,1958,1520,667,273,64,11105,2991,3963,11339,9719,8486,7161,3574,1286,258,48779
RA55,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,6,4,3,5,7,5,0,0,0,27,0,6,8,4,9,0,0,0,0,20,0,0,10,5,7,0,0,0,0,22,0,3,3,9,4,3,0,0,0,25,0,3,17,32,15,12,0,0,0,80,0,3,3,14,0,0,0,0,0,26,0,0,9,17,16,4,0,0,0,49,5,16,46,74,48,21,8,0,0,217,6,31,116,170,109,62,18,0,0,516
RA59,4,50,91,42,25,42,28,7,0,289,4,36,102,48,37,47,29,11,5,316,4,30,121,61,45,55,23,0,0,341,0,11,62,52,36,32,18,0,0,205,0,15,48,51,36,31,8,0,0,196,0,5,46,35,21,23,9,0,0,124,0,3,69,72,54,25,4,0,0,234,0,0,17,23,13,11,0,0,0,56,0,6,16,39,18,12,4,0,0,98,52,137,389,422,407,323,201,42,18,1991,261,562,1512,1543,1313,1144,758,155,30,7285
RA61,470,2459,5179,3316,2847,2969,3330,1828,638,23035,293,2712,6958,4422,3722,3740,2633,1205,431,26127,120,2166,8104,5544,4881,4748,2547,896,248,29251,32,1134,5420,4317,3986,3348,1446,415,108,20205,13,464,3899,3839,3861,3031,1053,360,114,16637,12,149,2383,2996,3129,2247,635,156,41,11742,4,89,2530,4652,5015,3387,847,211,64,16796,3,18,314,727,919,648,207,77,18,2934,17,43,397,1227,1683,1206,472,190,66,5310,1026,1247,2945,2116,1885,1838,1995,1803,1354,16216,19066,21147,54006,43338,41917,41632,36485,21148,8238,286973
RA62,361,1292,2137,1846,2026,2353,2147,1099,267,13533,214,1431,2699,2226,2494,2734,1524,594,154,14066,84,1051,2903,2536,3050,3072,1376,381,68,14531,23,501,1894,1947,2118,1986,667,181,24,9332,12,233,1485,1722,1811,1742,554,173,54,7781,12,114,909,1204,1372,1224,343,61,7,5246,0,83,938,1596,1948,1546,369,76,26,6580,0,12,111,246,307,263,105,36,3,1085,15,18,144,354,504,492,246,96,15,1885,856,609,1424,1387,1651,2008,2088,1467,722,12208,10530,9351,21114,21225,25727,31591,28526,14657,4537,167262
RA63,5,29,97,63,76,108,92,56,10,549,6,42,147,92,79,104,76,15,3,577,7,23,147,92,91,109,71,18,0,564,6,14,83,63,51,77,26,9,0,334,0,15,46,57,69,82,26,4,4,306,0,11,47,35,43,47,17,0,0,205,0,5,61,67,76,70,19,7,0,300,0,0,5,23,15,17,4,0,0,64,4,4,9,24,28,25,10,0,3,102,41,58,136,88,109,145,129,81,60,855,297,332,1052,876,1052,1563,1385,583,160,7302
RA64,8,17,10,25,24,28,34,17,3,174,3,12,38,24,36,47,14,14,0,191,0,12,42,38,37,53,36,11,0,236,0,3,30,24,20,24,26,3,0,139,0,0,17,23,19,27,21,3,0,107,0,0,9,15,8,21,7,3,0,66,0,3,13,29,24,26,15,0,0,118,0,0,0,10,9,9,4,0,0,28,0,0,3,6,8,10,11,3,0,45,7,7,23,40,28,34,36,26,18,224,80,73,255,312,293,406,436,226,54,2138
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
RA69,0,10,17,15,15,10,3,0,0,65,3,5,22,13,15,6,4,0,0,65,0,3,11,15,9,6,8,0,0,56,0,4,7,0,9,7,4,0,0,35,0,0,8,0,5,3,0,0,0,16,0,0,0,3,7,0,0,0,0,15,0,0,6,3,9,10,0,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,16,18,34,24,32,52,64,4,0,247,95,119,228,198,203,199,163,31,3,1248
RA72,278,812,1512,970,690,646,609,257,68,5837,254,1083,2481,1508,1169,975,704,235,35,8453,193,1332,3581,2327,1798,1426,669,179,22,11516,76,1118,3080,2194,1636,1121,450,98,14,9794,29,521,2876,2364,1827,1279,382,89,16,9375,3,222,1946,1863,1586,1028,282,48,5,6995,9,145,2463,3697,3365,2088,453,67,6,12292,0,12,315,684,684,478,124,12,0,2323,7,19,273,868,1025,681,218,35,8,3137,758,1098,2947,2350,1891,1343,892,378,145,11800,7651,9046,25950,22108,18400,14637,9374,3608,833,111611
RA73,92,198,376,289,216,225,185,66,16,1671,110,323,713,445,345,300,197,61,24,2511,56,310,1060,629,544,505,196,37,3,3338,30,261,936,606,497,423,144,20,0,2914,9,140,857,655,542,459,112,14,0,2796,3,48,584,479,450,339,95,3,0,2010,0,45,632,831,828,629,162,9,0,3132,0,7,104,165,151,127,34,10,0,598,3,3,88,193,223,204,59,7,0,776,415,371,1125,934,776,654,408,165,29,4877,2768,2754,8596,7064,6102,5457,3171,1067,253,37223
RA74,72,146,262,252,175,125,47,11,0,1092,67,149,320,192,168,118,49,12,3,1072,49,159,402,254,210,200,66,7,0,1346,13,83,309,230,188,127,47,3,0,1003,0,47,256,190,173,133,43,8,0,849,4,30,165,165,135,119,41,8,0,668,0,27,257,354,324,287,56,6,0,1308,0,7,38,67,52,53,16,4,0,241,0,0,23,78,60,54,13,0,0,232,631,501,1048,778,609,505,210,52,3,4332,3664,3792,7666,6054,4860,3540,1634,433,76,31720
RA75,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,5,4,0,0,0,0,0,10,0,5,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,4,0,0,0,7,3,3,0,0,0,17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,6,0,6,4,7,3,0,0,0,25,4,6,23,22,19,17,0,0,0,94
RA79,0,9,38,25,16,25,16,3,0,136,0,19,46,23,28,15,5,0,0,130,0,9,47,24,20,21,14,0,0,127,0,7,27,20,8,14,5,0,0,84,0,5,27,8,10,11,0,0,0,62,0,0,18,17,13,7,6,0,0,54,0,0,22,29,19,10,0,0,0,88,0,0,3,9,3,0,0,0,0,12,0,0,4,11,0,7,0,0,0,26,24,50,147,89,108,130,70,9,0,625,95,183,661,573,591,579,318,49,7,3052
RA80,829,3259,4353,2362,1772,2063,2811,1783,610,19844,740,3910,6610,3780,2730,2805,3156,1758,600,26082,350,4179,9469,5653,4050,3883,3423,1605,475,33079,141,3516,9709,5846,3969,3597,2721,1093,339,30928,54,1843,10216,7017,5154,3984,2346,908,237,31752,16,566,6981,6922,5183,3595,1624,504,140,25528,24,430,10605,16830,14109,7869,2248,637,167,52915,3,54,1263,3363,3193,1872,548,141,45,10470,14,61,1371,5572,6322,3872,1017,269,96,18589,1308,2146,4035,2878,2114,1680,1580,1282,1038,18074,26241,34143,77542,69181,56029,45239,35590,19328,7175,370469
RA81,3,0,5,0,3,5,5,0,0,20,3,7,15,10,8,3,3,0,3,45,0,7,20,3,9,14,6,0,0,54,0,9,12,10,7,7,0,0,0,44,0,0,10,14,19,10,0,3,0,55,0,0,7,12,5,6,0,0,0,40,0,0,13,30,24,12,0,0,0,71,0,0,0,9,0,3,6,0,0,14,0,0,0,11,5,7,0,0,0,24,7,8,4,3,11,14,10,0,0,52,40,40,92,105,95,94,52,12,4,528
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,4,4,3,8,4,0,0,0,29,0,7,5,3,6,6,4,4,0,33,0,7,16,3,0,4,0,0,0,41,0,4,8,0,4,3,0,0,0,19,0,8,7,0,0,4,0,0,0,15,0,0,3,3,5,4,0,0,0,13,0,0,6,6,10,0,0,0,0,24,0,0,0,4,0,4,0,0,0,7,0,0,4,0,0,3,0,0,0,11,7,7,17,27,26,20,10,5,0,121,58,82,108,104,77,78,34,10,4,560
RA91,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,0,0,10,0,0,3,4,0,0,0,0,0,11,0,6,0,5,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,5,0,0,6,3,0,0,0,0,0,6,0,0,6,5,3,4,0,0,0,14,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,3,13,10,12,14,16,9,0,89,22,21,32,35,47,37,27,16,0,246
RA94,6,19,36,46,39,59,47,11,3,277,0,35,51,50,75,77,31,8,5,333,4,17,66,58,74,70,34,4,0,328,5,4,42,46,47,48,24,3,3,216,0,3,23,45,39,53,23,5,0,195,0,3,26,39,33,33,20,3,0,154,0,3,24,66,70,61,20,0,0,247,0,0,10,3,14,19,11,0,0,50,0,0,3,5,9,10,7,3,0,37,25,48,198,138,118,97,62,36,7,725,172,190,544,605,616,729,561,239,67,3713
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,11
