RA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
RA29,9,31,110,51,56,36,29,5,0,332,13,37,129,52,48,48,16,8,0,344,9,34,116,59,48,36,13,0,0,323,0,18,61,34,27,31,17,0,0,189,5,3,69,37,31,22,6,6,0,180,0,7,39,21,16,19,3,0,0,107,0,0,48,42,26,13,5,0,0,141,0,0,3,17,6,8,3,0,0,41,0,0,15,35,21,12,0,0,0,85,174,214,655,823,616,405,194,37,14,3132,459,671,1819,1736,1393,1074,613,152,29,7946
RA30,6314,28570,39804,30302,26396,25058,23431,12815,3605,196289,3918,31167,58160,42315,38702,32047,19666,8228,2288,236498,1763,24034,66753,53220,47600,38484,18304,5988,1468,257620,543,13062,52282,44148,38564,28412,11036,3137,736,191920,234,6119,43972,42173,36570,24990,8478,2633,779,165956,102,2302,27924,34293,30761,19417,5605,1498,331,122231,80,1954,37302,63651,58155,32501,7683,1982,478,203784,37,306,5984,14371,13950,7628,2099,616,180,45175,107,445,6122,23350,28306,15955,5075,1777,497,81628,11062,14939,33443,27239,23436,18630,16757,15044,12573,173122,204395,223940,482124,468983,436674,367325,294820,165311,62072,2705645
RA31,2458,6902,9708,8565,9281,9792,9478,4801,1214,62202,1564,7837,13645,11424,12016,11671,6828,2697,682,68364,676,5532,14248,12906,13942,13281,6061,1939,362,68947,207,3079,9996,10001,10393,8938,3306,809,187,46909,109,1660,8323,9087,9739,7696,2475,848,247,40183,60,798,5546,7088,7838,5922,1503,323,88,29169,44,791,7461,11803,13137,9059,1949,396,87,44727,9,98,1262,2517,2738,1954,466,141,44,9232,45,114,1079,3103,4079,2873,1077,417,129,12921,4730,4784,10883,10169,10640,10017,9115,7392,4192,71916,60040,51039,110592,114549,127493,137784,123830,68209,22375,815909
RA32,1693,4619,7154,6163,6287,6369,5194,2553,588,40633,1127,5557,10134,8226,8583,8012,4343,1510,368,47851,524,4315,10750,9606,9747,9094,4014,1046,175,49268,230,2983,8260,7456,7632,6432,2158,546,104,35800,103,1515,7199,7180,7237,5596,1756,487,109,31187,32,707,4624,5453,5886,4147,1099,245,52,22247,36,861,6458,9419,9987,6538,1450,274,58,35078,7,81,1124,2138,2223,1525,370,96,23,7588,29,93,1065,2433,2875,2167,721,256,58,9701,4616,5456,11971,10248,10080,9054,7082,4770,2266,65554,41613,39805,87970,86925,92148,91486,71853,36024,11258,559083
RA33,215,424,678,492,574,574,391,199,28,3596,148,602,849,608,642,688,396,147,21,4105,133,485,1063,775,792,824,311,96,14,4493,51,337,839,637,611,551,218,57,3,3305,20,235,800,609,666,507,167,42,11,3067,9,169,660,538,514,440,112,20,3,2469,5,228,1173,1188,1069,815,196,38,3,4711,0,17,222,280,278,191,51,22,0,1059,3,13,176,349,319,306,144,46,12,1364,579,708,1686,1327,1422,1427,971,526,184,8823,3749,4358,10558,8851,9252,9574,6674,3097,817,56924
RA34,175,310,566,426,444,370,221,91,14,2612,145,383,716,517,520,512,220,57,11,3078,90,423,763,519,569,579,198,46,8,3191,26,250,609,431,446,397,153,14,8,2336,14,151,539,440,457,383,110,36,6,2137,11,91,368,347,331,268,94,22,0,1527,9,101,577,557,595,453,110,13,3,2414,0,9,90,140,128,131,28,5,0,538,6,11,93,169,176,167,78,34,7,735,597,571,1227,913,1015,1092,654,394,143,6597,3147,3652,7783,6369,6589,6658,4165,1912,574,40838
RA35,0,5,3,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,4,0,0,0,4,5,0,0,0,0,5,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,34,52,36,8,0,0,0,136,0,16,49,64,45,5,3,0,0,183
RA39,12,79,182,98,85,130,143,27,5,765,12,103,303,112,106,131,103,12,0,886,9,47,230,115,95,119,70,12,0,690,0,17,126,90,66,93,28,0,0,421,0,16,105,75,46,70,26,6,0,351,0,3,52,48,42,46,17,0,0,217,0,12,75,94,58,63,13,0,0,310,0,3,14,19,16,12,0,0,0,64,0,0,21,36,29,29,3,6,0,121,113,243,661,545,470,410,298,70,13,2817,566,934,2649,2077,1929,2468,2124,444,44,13234
RA40,1570,9906,15722,12563,11004,11002,11311,6381,2441,81906,935,10618,23070,17643,15691,14133,9196,4306,1605,97203,462,8726,28350,22441,19831,17457,8735,3145,874,110022,133,4537,21321,18062,15745,12616,5271,1601,436,79705,84,1946,16739,16225,14108,10756,3921,1265,452,65492,32,765,9960,12828,11386,8124,2476,719,208,46487,34,518,11764,20839,19931,12995,3503,955,257,70780,16,95,1635,4018,4145,2738,863,302,92,13903,40,198,1684,6075,7908,5681,2149,783,278,24787,3257,4139,9208,7877,7120,6492,6148,5739,4904,54889,75510,88794,189595,179592,168590,161563,135765,79299,35608,1114313
RA41,317,1053,1513,1466,1857,2120,2284,1258,330,12194,162,1198,2051,2037,2359,2517,1609,721,181,12840,85,845,2311,2302,2741,2800,1459,464,102,13114,37,382,1562,1750,2077,2009,862,232,41,8960,18,187,1184,1545,1727,1454,639,223,54,7019,3,63,712,1062,1301,1106,317,80,21,4668,0,66,821,1707,2084,1587,451,145,30,6890,0,6,135,286,394,312,121,30,5,1288,5,20,152,398,660,595,245,100,33,2205,732,547,1190,1225,1502,1583,1535,1230,686,10230,9716,7952,16241,18405,22857,26765,25754,14290,4816,146780
RA42,430,1308,2014,1914,2023,2262,2162,1155,306,13563,276,1444,2859,2374,2586,2679,1627,640,184,14668,144,1094,2777,2458,2969,2994,1441,417,98,14394,43,635,1894,1788,2142,1938,810,183,43,9479,21,274,1606,1544,1852,1712,586,205,61,7862,11,133,1002,1153,1338,1142,371,91,11,5247,7,110,1182,1627,1997,1632,449,112,26,7141,6,17,147,314,353,276,117,34,10,1269,10,32,176,386,502,546,272,115,34,2071,1031,859,2078,2089,2182,2401,2278,1836,960,15702,10840,9595,21873,21495,25351,29912,27394,15370,5592,167427
RA43,93,264,460,387,435,454,457,229,76,2844,60,318,594,474,540,583,345,150,42,3098,36,226,702,602,652,679,294,103,15,3303,6,111,455,448,475,445,221,43,19,2211,10,62,397,446,393,354,138,47,8,1862,4,41,236,293,298,252,78,28,10,1238,3,64,394,495,509,375,107,33,4,1976,0,11,89,148,146,107,35,6,0,545,4,11,89,176,186,169,71,27,6,736,222,179,455,480,578,542,493,348,190,3487,2149,1874,5027,5028,5550,6454,5567,2957,1066,35664
RA44,34,49,130,97,92,131,100,34,9,671,21,75,141,148,130,129,75,22,7,745,17,62,168,141,167,164,68,16,4,808,8,39,144,128,146,129,57,5,4,652,3,24,118,101,127,117,42,5,0,544,0,28,77,78,107,86,20,0,0,395,0,21,117,111,116,116,23,9,0,521,0,4,16,20,25,17,9,6,0,93,0,0,20,26,26,36,6,3,0,116,161,118,325,204,266,233,188,109,61,1667,758,750,1938,1601,1819,1932,1511,678,229,11208
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
RA49,5,13,37,35,12,30,26,4,0,169,3,6,46,28,25,27,13,6,0,162,0,13,44,23,25,25,7,5,0,141,0,3,20,10,8,14,9,0,0,66,0,0,23,13,14,11,0,0,0,66,0,0,14,13,9,11,0,0,0,51,0,0,25,35,15,5,3,0,0,79,0,0,0,7,8,0,0,0,0,19,0,0,4,13,7,7,0,0,0,29,33,35,127,126,107,98,61,8,3,599,186,206,627,534,478,513,359,64,11,2975
