RA_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,17,0,17,8,21,19,23,18,15,15,141,66,175,85,294,166,320,239,158,71,1579,0,0,0,0,0,0,0,0,0,0,120,332,183,506,262,553,463,241,94,2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,12,20,12,6,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,5,7,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,53,15,9,4,0,0,120,64,147,167,608,169,104,55,13,7,1339,189,361,556,1604,479,429,224,58,19,3915,0,0,4,6,0,0,0,0,0,8,251,367,607,1490,623,532,330,73,13,4283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,14,0,3,5,0,0,21,0,0,4,5,3,0,0,0,0,18,0,0,10,22,11,4,6,0,0,57,0,0,0,0,0,4,3,0,0,12,0,0,6,0,0,0,3,0,0,5,3,6,7,52,21,42,20,15,0,170,0,0,0,4,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,12
RA30,44,391,1066,4612,2703,1931,1227,382,173,12533,6,95,180,495,385,345,366,273,87,2224,7,56,326,1308,746,636,351,95,32,3561,372,2821,4759,20712,7668,6208,5087,2973,1251,51842,3604,8445,9421,23217,8557,7340,6578,5285,3705,76144,93589,210229,212547,488244,224915,191204,155397,88507,38383,1703021,31,335,678,2424,592,246,96,36,11,4452,180021,366795,319826,570553,270960,226806,184120,100614,37742,2257441,21,208,250,1538,391,191,80,25,4,2713,4,15,64,1246,614,828,481,193,38,3481,41,341,823,8714,881,266,134,50,6,11254,20,95,162,685,471,386,247,80,29,2184,167,673,727,3978,1622,1129,812,342,100,9552,24,94,139,1152,469,367,295,180,29,2759,234,2477,6821,24123,6391,5654,3734,1331,563,51334,0,8,23,492,335,668,667,612,202,3002,30,226,260,635,216,255,405,296,112,2425,585,6037,10532,26101,23829,27086,22565,17257,5864,139858,14,218,694,4417,2475,2165,1438,578,146,12139,44,256,354,2290,719,660,465,304,106,5208
RA31,0,36,64,340,137,77,53,7,0,718,0,5,23,52,72,101,99,72,20,444,0,20,82,280,228,204,110,37,9,961,45,348,472,1870,917,1026,879,549,173,6278,1211,3304,3115,7202,3952,4208,3886,2877,1414,31162,25337,63208,53934,115086,65562,70886,62347,34973,13324,504663,0,14,48,89,27,14,8,0,0,201,48807,116648,94996,174328,97632,105164,93193,49163,16341,796269,4,37,40,253,61,24,6,0,0,435,0,0,0,17,14,19,9,13,4,75,3,28,129,387,164,42,20,7,0,773,4,21,10,64,28,15,6,4,0,154,17,112,78,529,263,293,245,114,28,1688,0,6,9,69,45,30,27,15,4,206,16,144,169,1082,399,278,152,56,22,2316,0,7,0,31,20,70,86,77,26,318,8,55,23,99,21,24,39,32,10,305,46,582,1065,3065,4168,7253,7668,5770,1535,31164,5,38,102,407,221,215,130,59,14,1186,4,15,38,219,92,149,119,91,23,748
RA32,3,30,55,298,109,71,36,5,0,611,0,3,9,77,41,59,47,19,6,258,0,16,72,182,106,93,55,14,3,540,54,317,531,2386,995,878,673,445,110,6389,1333,3397,3563,8414,3938,3632,2783,1742,803,29606,18421,44206,39333,88799,46347,45335,34606,17979,6600,341633,0,8,8,42,4,5,0,0,0,70,34714,79714,65746,123529,66498,65971,51112,24567,7547,519402,0,10,21,74,20,8,0,0,0,133,0,4,0,20,3,16,12,0,0,55,0,16,27,306,51,21,11,4,0,439,0,13,12,59,31,3,12,0,0,145,13,58,80,561,210,233,193,84,12,1443,0,3,10,260,22,17,18,8,0,340,15,86,117,914,307,235,127,64,26,1874,0,0,0,23,29,51,69,89,28,283,8,18,34,60,16,20,27,18,10,198,38,409,726,2966,2744,4402,4018,2631,626,18560,3,38,81,292,164,168,89,31,10,878,0,20,66,426,123,136,107,54,19,941
RA33,0,0,6,15,4,3,0,0,0,36,0,0,0,6,4,3,0,0,0,14,0,4,10,31,10,9,0,0,0,63,3,9,23,192,40,54,31,30,8,384,175,380,440,1140,520,546,350,195,60,3803,2319,4619,3878,9522,4345,4346,2952,1414,459,33851,0,0,0,0,0,0,0,0,0,0,4356,8495,6497,13697,6889,7021,4960,2217,576,54722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0,3,8,6,3,54,16,15,12,3,0,115,0,0,0,53,0,0,0,0,0,53,0,0,16,76,16,8,5,0,0,111,0,0,0,0,0,7,4,7,0,18,0,4,0,7,0,0,6,0,0,12,4,18,40,220,124,257,226,130,24,1033,3,4,12,67,32,36,8,4,0,165,0,0,7,45,7,7,11,3,0,83
RA34,0,12,6,45,0,0,0,0,0,69,0,0,0,3,0,0,0,0,0,9,0,0,3,4,6,4,0,0,0,14,0,3,12,86,16,16,13,5,0,158,122,334,362,802,407,417,217,120,48,2826,1856,3806,3357,7172,3229,3192,1885,893,333,25733,0,0,0,0,0,0,0,0,0,0,3523,7040,5854,11148,5237,5123,3290,1473,450,43138,0,8,0,5,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,4,0,0,0,19,0,3,5,7,0,0,0,0,0,11,0,0,5,19,0,8,0,0,0,39,0,0,0,6,0,0,0,0,0,6,4,0,0,31,0,4,3,0,0,55,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,3,24,110,68,106,79,52,15,453,0,0,7,23,15,16,6,3,0,76,0,0,4,14,0,0,3,0,0,24
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0,0,24,0,0,9,18,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,4,16,7,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,14,0,0,0,0,0,19,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,6,3,0,0,7,5,9,27,119,12,12,14,0,0,195,32,60,156,487,171,163,99,20,3,1183,229,457,777,2230,887,1170,870,160,25,6807,0,0,0,0,0,0,0,0,0,5,414,737,927,2462,1193,1608,1380,268,26,9019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,28,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,3,0,24,8,9,0,0,0,46,0,0,0,35,0,0,0,0,0,37,0,0,4,49,4,4,0,0,0,69,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,3,0,9,38,142,70,169,167,59,9,657,0,0,0,6,4,0,0,0,0,16,0,0,18,52,0,5,7,0,0,81
RA40,29,262,907,3074,1901,1646,1007,262,144,9233,0,28,69,150,159,257,217,160,68,1112,0,35,82,265,131,96,51,11,7,679,149,1336,2232,7712,3125,2592,2366,1754,989,22250,1026,2214,2553,6324,2698,2653,2684,2274,1448,23881,35199,76626,80095,186162,85549,83803,72241,43752,22172,685593,47,616,1539,3838,1109,526,190,41,9,7907,68425,134627,122907,232818,114033,103842,81987,42442,17577,918661,33,242,219,1291,273,67,24,10,3,2165,0,9,28,716,377,506,322,133,41,2142,14,103,75,1513,134,46,27,6,6,1919,19,107,229,1166,766,623,452,149,46,3567,46,147,184,798,387,357,226,78,18,2243,3,18,22,259,139,146,106,61,12,770,103,1088,3826,12559,2811,2165,1583,515,202,24863,0,10,13,351,250,484,584,563,242,2499,24,175,140,496,134,130,241,192,68,1601,156,1751,3928,8357,10615,19156,15387,11119,5058,75528,6,31,64,398,232,203,136,62,14,1148,12,72,62,499,216,228,139,79,50,1350
RA41,4,13,23,80,41,25,3,3,0,186,0,0,0,16,15,42,34,27,8,147,0,0,4,7,18,9,14,0,0,61,5,30,38,228,117,153,156,103,53,888,170,439,434,939,736,758,765,491,243,4974,3982,9880,8599,17574,11646,13633,13027,7190,2813,88342,0,0,3,9,0,0,0,0,0,16,7750,18839,15815,29069,18242,19731,18545,9602,3158,140750,0,3,4,21,0,0,3,0,0,32,0,0,0,6,0,0,0,3,0,16,0,0,0,28,0,3,0,0,0,35,4,7,4,30,18,5,4,0,0,69,0,9,11,59,32,40,39,8,7,211,0,3,4,6,3,0,4,0,0,22,5,28,23,162,60,49,31,5,0,361,0,0,0,4,5,10,26,15,9,73,0,6,0,0,5,0,9,6,0,26,3,127,271,680,1365,3284,3037,2186,720,11679,0,0,3,15,16,7,3,3,0,49,0,3,3,28,22,19,21,12,0,105
RA42,3,15,15,63,29,8,10,0,0,137,0,7,4,11,11,24,19,21,3,94,0,0,8,32,15,15,4,0,0,84,4,34,44,284,114,117,131,109,64,900,261,731,621,1480,891,1056,999,775,397,7205,4966,11550,9548,21427,12654,14754,13313,8055,3364,99636,0,9,34,120,72,37,6,0,0,279,9507,21509,18004,35259,20924,23523,21050,11034,3891,164712,0,5,4,36,0,0,0,0,0,43,0,0,0,3,3,9,3,7,0,27,0,0,0,21,8,0,4,0,0,36,5,6,7,43,8,11,0,0,0,78,0,3,3,40,19,27,24,5,5,121,0,0,0,9,5,8,0,4,0,22,0,29,18,242,67,50,18,5,0,421,0,0,0,3,3,27,40,55,17,142,0,8,0,30,4,5,4,3,0,62,4,43,80,299,594,1971,1754,1200,415,6356,0,0,7,36,11,19,3,0,5,86,0,0,6,22,14,14,23,14,7,95
RA43,0,5,0,16,0,0,0,0,0,20,0,0,0,3,7,0,0,4,0,11,0,0,0,3,5,0,4,0,0,12,4,6,15,47,24,28,24,8,0,150,68,189,149,370,239,236,235,128,67,1678,1229,2612,1896,4940,2699,3119,2686,1429,622,21242,0,0,0,5,0,0,0,0,0,4,2320,4921,3500,8156,4498,5127,4318,2204,798,35845,0,3,0,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,4,0,21,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,3,7,5,0,40,0,0,0,0,0,0,0,0,0,3,0,0,0,23,5,4,0,0,0,34,0,0,0,3,6,12,23,20,8,74,0,0,0,0,0,0,0,0,0,4,0,14,17,102,141,363,354,227,72,1287,0,0,0,11,0,3,0,0,0,15,0,0,3,16,0,4,5,3,0,45
RA44,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,0,0,0,0,6,0,0,4,20,10,3,10,9,0,59,33,77,49,166,92,93,77,37,25,642,439,875,714,1753,881,874,669,277,120,6607,0,0,0,0,0,0,0,0,0,0,753,1569,1326,2828,1464,1526,1096,429,140,11128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,3,3,19,0,30,0,0,0,0,0,0,0,0,0,0,0,10,8,27,28,73,64,36,8,246,0,0,0,4,0,5,0,0,0,9,0,0,0,3,4,0,0,0,0,6
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,12,21,6,4,0,0,0,40,10,23,32,106,28,26,17,0,0,245,56,139,214,542,178,197,141,26,10,1506,0,0,0,0,0,0,0,0,0,6,104,202,271,758,327,324,222,40,3,2262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,4,0,0,0,19,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,9,27,25,48,34,10,5,154,0,0,0,0,0,0,0,0,0,4,0,0,3,9,6,0,0,0,0,11
RA50,36,276,685,3741,2055,1574,1026,271,136,9793,6,84,198,633,476,569,447,263,108,2794,18,149,666,2057,1126,891,440,126,30,5497,243,2318,3834,17129,6135,5065,3705,2095,863,41386,1945,4392,4605,12855,4787,4234,3953,3445,2658,42878,62274,130498,123943,306673,136666,121194,98001,54408,24896,1058569,29,295,780,2944,704,395,171,51,9,5386,120360,222218,174489,313244,137692,114269,91736,46075,18081,1238174,21,215,225,1534,392,139,114,19,4,2672,7,16,47,1039,458,693,403,169,45,2878,28,188,211,3182,392,166,76,35,7,4279,12,80,93,527,283,201,147,30,11,1391,75,326,443,1954,933,800,467,180,59,5241,15,57,98,648,342,305,234,105,26,1819,99,1202,2891,12570,4360,3295,1917,569,289,27208,0,26,31,684,404,772,1156,799,391,4277,15,245,291,641,231,269,348,242,97,2381,390,5491,11724,31902,28919,36360,26913,18967,6563,167228,3,29,80,378,208,201,108,42,11,1062,23,137,224,1855,506,377,250,129,54,3551
RA51,3,7,12,99,33,22,16,0,0,195,0,5,7,32,41,63,37,28,7,225,0,7,46,138,103,92,51,14,3,451,7,64,81,577,253,319,225,125,53,1707,276,798,692,1675,984,960,875,597,265,7118,5951,14781,11377,27123,16134,16363,13762,6973,2676,115138,0,4,11,71,11,13,0,0,0,108,11548,27463,19907,38672,22017,20921,18230,8315,2723,169798,0,5,3,40,6,3,6,0,0,59,0,0,0,19,4,0,6,0,0,29,0,0,3,103,23,3,0,0,0,139,3,3,3,15,5,5,0,0,0,31,6,25,28,177,84,76,56,7,6,472,0,0,0,36,9,8,4,4,0,66,0,16,29,206,74,52,17,8,0,401,0,0,0,9,4,13,21,16,3,75,3,3,4,28,0,5,16,7,0,67,18,278,608,2028,2620,4123,3482,2323,644,16124,0,3,7,45,13,7,5,5,0,83,0,8,12,161,47,43,33,11,9,331
RA52,0,8,5,83,27,19,15,4,0,161,0,0,0,31,26,30,28,19,4,140,0,21,28,129,73,65,31,4,0,352,15,56,55,390,195,217,174,97,35,1238,361,1002,810,1954,1070,1083,940,569,267,8054,5034,11638,9228,21391,12213,13017,10676,5725,2272,91191,0,12,32,88,29,15,4,0,0,183,9416,20420,15616,29731,16960,17898,14913,7075,2542,134571,0,0,0,22,4,0,0,0,0,34,0,0,0,10,0,6,8,3,0,24,0,7,6,56,12,7,4,0,0,90,0,3,6,11,6,4,0,0,0,23,7,24,19,88,44,72,32,18,8,326,0,3,0,31,8,11,9,0,0,53,4,17,18,192,72,34,20,6,0,362,0,0,0,10,7,17,17,15,0,68,6,3,0,16,0,6,8,3,5,51,7,111,202,992,1173,2351,2082,1621,511,9050,0,10,13,100,24,19,13,4,0,187,3,3,11,88,23,24,17,13,0,179
RA53,0,0,7,52,10,0,0,0,0,71,0,0,0,11,3,10,4,3,0,32,0,3,14,54,24,19,7,0,0,122,3,22,41,331,82,76,39,22,8,622,301,830,554,1841,764,605,357,197,78,5525,3112,6359,4050,13549,5574,4755,2853,1313,447,42002,0,0,5,5,5,0,0,0,0,13,5703,10636,6554,17289,7793,6745,4190,1810,552,61278,0,6,3,21,3,0,0,0,0,34,0,0,0,10,6,0,0,0,0,15,0,0,0,36,3,5,0,0,0,48,0,0,0,24,0,0,0,0,0,25,0,0,10,80,21,17,5,3,0,142,0,0,0,31,0,3,0,0,0,45,0,4,19,180,26,14,4,0,0,248,0,0,5,8,3,0,0,3,0,25,0,3,0,13,0,0,8,0,0,27,5,43,78,676,416,677,398,219,56,2565,0,4,3,22,22,9,3,0,0,62,0,0,24,97,5,6,0,0,0,144
RA54,0,0,5,49,23,10,0,0,0,89,0,0,5,9,5,5,0,0,0,25,0,3,10,34,7,15,3,0,0,70,6,22,32,264,55,64,27,8,3,470,234,515,514,1544,580,523,222,103,25,4266,1991,3766,3261,9088,3442,3019,1496,577,147,26800,0,0,0,7,0,0,0,0,0,8,3595,6409,5096,12392,5077,4207,2301,820,160,40056,0,0,0,14,6,0,0,0,0,15,0,0,0,7,3,0,0,0,0,10,0,4,4,32,5,0,0,0,0,43,0,0,0,8,0,0,0,0,0,17,3,6,0,49,13,11,11,0,0,88,0,0,0,34,9,5,3,0,0,40,4,0,10,119,32,14,4,0,0,178,0,0,0,9,7,12,16,7,6,57,0,3,0,3,0,0,0,0,0,8,0,16,78,467,262,419,181,91,23,1536,0,5,6,40,17,10,5,0,0,86,0,0,19,109,0,4,4,4,0,142
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,8,0,0,0,0,19,0,0,13,28,9,3,4,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,15,91,31,16,5,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
RA59,0,0,0,7,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,15,55,4,4,0,0,0,81,25,30,89,251,105,109,72,6,9,692,153,230,410,1309,468,477,316,38,16,3416,5,0,0,12,0,0,0,0,0,25,226,379,525,1747,782,622,413,62,12,4775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,0,3,8,3,0,0,0,0,24,0,0,4,9,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,18,103,47,91,75,19,5,366,0,0,0,0,0,0,0,0,0,0,0,0,6,28,0,0,0,0,0,40
RA61,7,39,121,468,27,27,15,0,0,709,0,0,8,22,22,34,49,38,17,190,0,9,8,46,30,18,9,3,0,129,39,197,238,1290,477,365,341,206,96,3243,285,728,840,2040,820,922,1005,810,425,7874,8795,19680,19718,49152,21859,21817,19414,11632,5148,177214,0,12,44,147,52,19,7,0,0,288,17065,36273,33617,65670,34056,33227,27800,14748,5601,268067,3,18,48,472,15,8,0,0,0,563,0,0,0,30,15,17,17,11,3,87,3,11,7,338,16,11,4,0,0,395,0,7,6,47,11,0,3,0,0,75,4,32,37,257,133,113,84,38,0,705,0,10,12,84,47,40,23,10,3,236,32,213,639,4850,208,198,149,51,14,6350,0,0,3,14,8,25,47,70,23,185,12,16,22,40,4,15,12,3,6,139,31,250,313,1148,1395,2382,2566,2167,839,11086,0,3,5,48,36,42,30,13,5,182,3,10,7,129,39,36,34,15,11,281
RA62,0,7,8,44,19,9,3,0,0,77,0,0,0,6,13,22,28,29,11,112,0,0,0,14,24,9,13,0,0,66,7,30,58,304,126,182,180,107,31,1031,242,599,546,1402,890,1100,1062,731,263,6838,4688,11147,9586,21770,13309,16138,14030,7403,2663,100727,0,0,0,0,0,0,0,0,0,0,9077,21058,18006,34502,21220,24950,21281,10156,3241,163502,0,3,4,20,3,3,0,0,0,31,0,0,0,8,4,0,0,3,0,16,0,0,0,27,0,3,3,0,0,32,0,0,0,5,0,4,0,0,0,10,3,9,20,82,49,56,69,20,4,301,0,0,6,19,11,9,5,3,5,56,4,14,14,282,50,37,26,8,10,443,0,0,0,3,3,3,6,16,0,32,0,10,0,26,4,8,12,4,0,58,4,57,103,492,789,1918,2405,1625,421,7807,0,0,8,29,15,20,3,6,0,82,0,3,0,61,14,27,27,13,6,146
RA63,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,5,0,0,11,0,0,0,4,0,3,0,0,0,4,0,0,0,31,3,11,8,0,0,59,23,27,33,116,54,83,61,28,15,446,195,362,285,957,486,766,614,260,85,4026,0,0,0,0,0,0,0,0,0,0,335,663,506,1273,828,1167,988,406,114,6280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,3,4,0,13,0,0,0,0,0,4,0,0,0,4,0,0,3,27,4,3,0,0,0,30,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,88,102,41,13,289,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,14
