RA_CODE_2021,M_Emp_FullT_15_19,M_Emp_FullT_20_24,M_Emp_FullT_25_34,M_Emp_FullT_35_44,M_Emp_FullT_45_54,M_Emp_FullT_55_64,M_Emp_FullT_65_74,M_Emp_FullT_75_84,M_Emp_FullT_85ov,M_Emp_FullT_Tot,M_Emp_PartT_15_19,M_Emp_PartT_20_24,M_Emp_PartT_25_34,M_Emp_PartT_35_44,M_Emp_PartT_45_54,M_Emp_PartT_55_64,M_Emp_PartT_65_74,M_Emp_PartT_75_84,M_Emp_PartT_85ov,M_Emp_PartT_Tot,M_Emp_awy_f_wrk_15_19,M_Emp_awy_f_wrk_20_24,M_Emp_awy_f_wrk_25_34,M_Emp_awy_f_wrk_35_44,M_Emp_awy_f_wrk_45_54,M_Emp_awy_f_wrk_55_64,M_Emp_awy_f_wrk_65_74,M_Emp_awy_f_wrk_75_84,M_Emp_awy_f_wrk_85ov,M_Emp_awy_f_wrk_Tot,M_Hours_wkd_NS_15_19,M_Hours_wkd_NS_20_24,M_Hours_wkd_NS_25_34,M_Hours_wkd_NS_35_44,M_Hours_wkd_NS_45_54,M_Hours_wkd_NS_55_64,M_Hours_wkd_NS_65_74,M_Hours_wkd_NS_75_84,M_Hours_wkd_NS_85ov,M_Hours_wkd_NS_Tot,M_Tot_Emp_15_19,M_Tot_Emp_20_24,M_Tot_Emp_25_34,M_Tot_Emp_35_44,M_Tot_Emp_45_54,M_Tot_Emp_55_64,M_Tot_Emp_65_74,M_Tot_Emp_75_84,M_Tot_Emp_85ov,M_Tot_Emp_Tot,M_Unem_look_FTW_15_19,M_Unem_look_FTW_20_24,M_Unem_look_FTW_25_34,M_Unem_look_FTW_35_44,M_Unem_look_FTW_45_54,M_Unem_look_FTW_55_64,M_Unem_look_FTW_65_74,M_Unem_look_FTW_75_84,M_Unem_look_FTW_85ov,M_Unem_look_FTW_Tot,M_Unem_look_PTW_15_19,M_Unem_look_PTW_20_24,M_Unem_look_PTW_25_34,M_Unem_look_PTW_35_44,M_Unem_look_PTW_45_54,M_Unem_look_PTW_55_64,M_Unem_look_PTW_65_74,M_Unem_look_PTW_75_84,M_Unem_look_PTW_85ov,M_Unem_look_PTW_Tot,M_Tot_Unemp_15_19,M_Tot_Unemp_20_24,M_Tot_Unemp_25_34,M_Tot_Unemp_35_44,M_Tot_Unemp_45_54,M_Tot_Unemp_55_64,M_Tot_Unemp_65_74,M_Tot_Unemp_75_84,M_Tot_Unemp_85ov,M_Tot_Unemp_Tot,M_Tot_LF_15_19,M_Tot_LF_20_24,M_Tot_LF_25_34,M_Tot_LF_35_44,M_Tot_LF_45_54,M_Tot_LF_55_64,M_Tot_LF_65_74,M_Tot_LF_75_84,M_Tot_LF_85ov,M_Tot_LF_Tot,M_Not_in_LF_15_19,M_Not_in_LF_20_24,M_Not_in_LF_25_34,M_Not_in_LF_35_44,M_Not_in_LF_45_54,M_Not_in_LF_55_64,M_Not_in_LF_65_74,M_Not_in_LF_75_84,M_Not_in_LF_85ov,M_Not_in_LF_Tot,M_LFS_NS_15_19,M_LFS_NS_20_24,M_LFS_NS_25_34,M_LFS_NS_35_44,M_LFS_NS_45_54,M_LFS_NS_55_64,M_LFS_NS_65_74,M_LFS_NS_75_84,M_LFS_NS_85ov,M_LFS_NS_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Emp_FullT_15_19,F_Emp_FullT_20_24,F_Emp_FullT_25_34,F_Emp_FullT_35_44,F_Emp_FullT_45_54,F_Emp_FullT_55_64,F_Emp_FullT_65_74,F_Emp_FullT_75_84,F_Emp_FullT_85ov,F_Emp_FullT_Tot,F_Emp_PartT_15_19,F_Emp_PartT_20_24,F_Emp_PartT_25_34,F_Emp_PartT_35_44,F_Emp_PartT_45_54,F_Emp_PartT_55_64,F_Emp_PartT_65_74,F_Emp_PartT_75_84,F_Emp_PartT_85ov,F_Emp_PartT_Tot,F_Emp_awy_f_wrk_15_19,F_Emp_awy_f_wrk_20_24,F_Emp_awy_f_wrk_25_34,F_Emp_awy_f_wrk_35_44,F_Emp_awy_f_wrk_45_54,F_Emp_awy_f_wrk_55_64,F_Emp_awy_f_wrk_65_74,F_Emp_awy_f_wrk_75_84,F_Emp_awy_f_wrk_85ov,F_Emp_awy_f_wrk_Tot,F_Hours_wkd_NS_15_19,F_Hours_wkd_NS_20_24,F_Hours_wkd_NS_25_34,F_Hours_wkd_NS_35_44,F_Hours_wkd_NS_45_54,F_Hours_wkd_NS_55_64,F_Hours_wkd_NS_65_74,F_Hours_wkd_NS_75_84,F_Hours_wkd_NS_85ov,F_Hours_wkd_NS_Tot,F_Tot_Emp_15_19,F_Tot_Emp_20_24,F_Tot_Emp_25_34,F_Tot_Emp_35_44,F_Tot_Emp_45_54,F_Tot_Emp_55_64,F_Tot_Emp_65_74,F_Tot_Emp_75_84,F_Tot_Emp_85ov,F_Tot_Emp_Tot,F_Unem_look_FTW_15_19,F_Unem_look_FTW_20_24,F_Unem_look_FTW_25_34,F_Unem_look_FTW_35_44,F_Unem_look_FTW_45_54,F_Unem_look_FTW_55_64,F_Unem_look_FTW_65_74,F_Unem_look_FTW_75_84,F_Unem_look_FTW_85ov,F_Unem_look_FTW_Tot,F_Unem_look_PTW_15_19,F_Unem_look_PTW_20_24,F_Unem_look_PTW_25_34,F_Unem_look_PTW_35_44,F_Unem_look_PTW_45_54,F_Unem_look_PTW_55_64,F_Unem_look_PTW_65_74,F_Unem_look_PTW_75_84,F_Unem_look_PTW_85ov,F_Unem_look_PTW_Tot,F_Tot_Unemp_15_19,F_Tot_Unemp_20_24,F_Tot_Unemp_25_34,F_Tot_Unemp_35_44,F_Tot_Unemp_45_54,F_Tot_Unemp_55_64,F_Tot_Unemp_65_74,F_Tot_Unemp_75_84,F_Tot_Unemp_85ov,F_Tot_Unemp_Tot
RA65,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,7,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,6,11,28,26,22,8,0,0,0,101,0,10,11,12,12,4,3,0,0,53,0,0,4,5,0,3,0,0,0,12,0,0,0,0,3,0,0,0,0,6,5,18,46,36,42,20,3,0,0,174,7,12,7,9,14,4,0,0,0,60,0,5,4,3,6,3,0,0,0,18,5,21,16,7,18,3,0,0,0,81,13,34,61,46,60,25,4,0,0,249,16,24,36,28,45,39,45,10,0,242,9,10,37,27,25,32,46,4,0,197,43,71,135,99,130,104,90,18,0,689,0,8,12,13,11,7,0,0,0,53,6,9,14,17,13,10,0,0,0,69,0,0,3,4,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,8,18,33,36,22,20,5,0,0,133,5,3,10,3,6,0,0,0,0,35,6,0,7,3,0,7,0,0,0,29,12,11,19,10,7,8,0,0,0,60
RA72,550,2411,7836,7139,5996,3972,975,71,5,28961,1076,899,1648,1077,838,766,465,76,3,6841,69,102,330,322,347,291,96,8,0,1558,58,107,229,154,135,88,27,3,3,802,1748,3517,10045,8685,7304,5120,1561,158,14,38166,117,160,273,174,187,164,44,3,0,1120,183,78,85,45,41,65,29,5,0,532,304,240,362,217,223,224,74,4,0,1655,2051,3762,10401,8906,7529,5349,1633,165,18,39816,1554,640,1083,910,909,1460,2783,1505,308,11155,311,503,1264,1008,915,691,441,161,43,5334,3914,4903,12750,10821,9359,7494,4858,1830,370,56309,331,1655,6065,5484,4964,3039,552,36,0,22136,1359,1165,2977,2593,1723,1293,503,53,4,11686,68,132,718,471,278,286,89,6,0,2049,42,73,187,109,88,68,25,7,0,599,1801,3029,9952,8665,7057,4692,1175,102,0,36467,68,102,211,152,101,99,10,0,0,750,203,79,179,119,89,52,13,3,0,729,273,181,392,270,188,146,27,0,0,1477
RA73,183,578,2209,1922,1598,1366,354,33,0,8247,259,143,353,309,245,272,150,30,3,1764,13,20,109,86,83,76,40,0,0,427,16,36,86,58,35,29,14,8,0,272,471,775,2755,2379,1953,1747,560,68,9,10708,29,58,93,84,67,40,10,0,0,383,40,25,46,27,19,15,8,0,0,176,67,78,137,109,82,57,21,0,0,555,539,854,2893,2484,2036,1805,574,73,9,11266,779,435,814,709,593,607,907,402,72,5312,135,137,418,354,324,317,184,87,10,1975,1445,1425,4123,3551,2961,2734,1670,557,89,18552,143,465,1965,1399,1453,1090,228,15,0,6774,303,203,686,669,481,393,164,17,0,2910,23,37,219,128,104,87,29,0,0,625,11,21,64,50,35,26,8,0,0,209,485,725,2940,2250,2077,1598,427,35,0,10523,19,42,81,48,44,35,3,0,0,282,28,29,54,44,29,31,6,0,0,212,48,72,133,96,66,66,7,0,0,493
RA74,110,325,991,901,762,584,183,23,0,3881,66,119,231,233,155,135,49,9,0,993,5,20,62,59,56,49,12,0,0,262,19,31,56,39,40,24,13,5,0,222,205,494,1338,1232,1007,788,251,33,0,5355,110,160,262,161,102,37,0,0,0,838,46,41,73,58,26,20,9,0,0,273,151,198,336,217,131,58,6,5,0,1108,356,694,1672,1457,1145,851,258,42,0,6473,1401,995,1607,1181,971,643,465,155,32,7456,163,209,470,330,293,253,113,26,0,1856,1921,1902,3749,2962,2402,1752,836,222,33,15786,113,328,837,692,646,504,103,4,0,3234,100,129,374,427,266,162,66,10,0,1529,12,30,81,67,51,53,11,0,0,301,17,30,50,35,32,23,3,0,0,196,237,511,1344,1219,998,738,186,20,0,5255,89,108,198,142,92,26,10,0,4,663,40,51,75,58,36,7,0,0,0,270,130,161,271,201,124,35,6,0,4,932
RA75,0,0,8,10,7,9,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,3,16,10,9,9,0,0,0,56,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,16,10,9,7,0,0,0,58,0,0,0,5,0,0,0,0,0,6,6,0,4,4,4,3,0,0,0,19,4,6,16,22,18,17,0,0,0,83,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,3,11,47,35,22,13,3,0,0,132,0,0,13,19,3,8,3,0,0,60,0,0,7,13,9,4,3,0,0,39,0,0,3,7,0,0,0,0,0,17,3,17,76,67,36,26,11,0,0,242,4,4,20,9,11,7,4,0,0,50,0,0,4,0,0,8,0,0,0,19,4,4,25,16,13,11,0,0,0,70,4,17,104,83,47,40,9,0,0,312,9,20,95,93,112,144,137,22,4,645,13,42,99,132,145,112,57,12,0,613,30,84,292,305,311,300,205,33,6,1567,3,16,47,23,19,9,0,0,0,121,6,3,23,13,17,9,8,0,0,73,0,0,17,9,16,0,0,0,0,53,0,0,8,6,0,0,0,0,0,11,13,18,96,54,46,16,5,0,0,259,0,4,10,5,8,3,0,0,0,34,0,0,7,6,3,3,0,0,0,22,3,7,17,16,9,7,0,0,0,58
RA80,1406,6982,25656,25274,20300,10922,2118,155,13,92826,4261,5195,5775,3845,2746,2825,1798,378,32,26854,308,376,848,885,714,696,242,25,4,4104,69,219,565,339,215,106,38,10,6,1556,6049,12763,32848,30335,23975,14552,4188,572,58,125338,208,469,812,550,453,356,62,3,0,2918,1069,524,340,150,119,164,95,12,0,2482,1279,998,1151,706,571,518,160,18,0,5402,7332,13758,33997,31039,24549,15070,4352,588,54,130738,5466,2280,2686,1824,2211,5960,11617,7715,2558,42314,573,985,1910,1359,974,796,623,469,250,7943,13367,17024,38593,34219,27734,21826,16589,8775,2865,180997,779,6192,20417,17652,16005,8213,1096,45,0,70394,5535,6611,8981,9700,6529,4876,1857,220,21,44331,399,505,2226,1769,905,804,217,23,5,6853,58,173,391,196,144,79,31,9,3,1074,6775,13480,32015,29314,23587,13959,3204,299,26,122657,119,265,580,369,257,175,14,0,0,1785,988,447,431,341,226,213,62,3,0,2714,1107,711,1017,708,485,387,76,3,0,4500
RA81,4,10,30,41,32,29,4,0,0,156,11,0,0,4,8,7,8,3,0,41,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,13,16,40,51,40,35,12,3,0,212,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,15,21,40,51,40,34,12,3,0,216,4,0,0,0,4,3,13,4,0,26,0,0,3,0,4,3,3,0,0,22,18,22,44,54,51,45,30,4,0,269,0,5,21,24,27,18,3,0,0,100,7,6,13,17,5,7,4,0,0,71,0,0,5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,14,41,46,39,23,7,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,11,13,17,14,10,0,0,0,61,3,9,7,6,0,0,0,0,0,25,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,10,18,30,23,14,5,0,0,0,104,4,6,5,6,0,0,0,0,0,18,0,3,0,0,3,0,0,0,0,10,4,13,7,6,3,0,0,0,0,29,17,27,39,29,21,5,0,0,0,135,9,8,12,11,10,20,17,4,0,89,0,6,17,30,19,16,10,4,0,92,23,44,60,62,53,38,21,6,0,315,4,5,21,8,10,7,0,0,0,49,8,14,5,5,7,10,0,0,0,54,0,0,8,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,23,31,16,13,16,0,0,0,111,0,3,5,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,0,3,10,0,3,0,0,0,0,0,0,21
RA91,3,7,10,9,9,4,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,7,10,17,8,7,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,7,10,17,8,7,0,0,0,53,0,0,0,0,5,5,7,0,0,29,0,0,10,3,8,5,4,3,0,39,9,12,17,18,22,25,16,10,0,125,5,0,6,0,4,3,0,0,0,19,0,0,0,4,6,4,0,0,0,18,0,0,5,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,4,7,6,10,6,12,5,0,0,0,43,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA94,13,43,118,151,171,189,70,10,0,771,28,16,28,34,41,54,36,9,3,244,5,0,3,8,7,14,11,3,0,56,0,0,8,3,4,0,5,0,0,20,48,55,163,197,221,263,125,16,4,1091,0,0,0,5,0,0,0,0,0,11,0,0,0,5,0,4,0,0,0,9,0,6,0,3,0,5,0,0,0,21,46,61,165,201,222,269,129,20,4,1114,25,25,108,62,44,49,137,74,26,568,4,16,46,41,54,39,37,19,5,268,80,101,318,306,326,359,307,114,36,1948,0,31,77,112,136,117,36,0,0,519,41,30,64,87,72,93,57,15,0,461,4,4,11,5,12,17,10,0,0,68,0,3,0,0,4,5,0,0,0,16,55,64,155,212,220,237,100,23,0,1063,0,0,0,0,0,3,0,0,0,7,0,0,0,4,5,6,0,0,0,13,0,0,0,4,5,13,0,0,0,25
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
