RA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
RA10,37,2300,862,450,2326,0.9,2009,2.7
RA11,44,1700,710,320,1796,0.8,1400,2.4
RA12,45,1300,677,250,1645,0.8,1278,2.4
RA13,41,958,736,180,1762,0.8,1353,2.4
RA14,40,1000,694,165,1528,0.8,1212,2.4
RA15,56,0,1649,0,0,0,0,0
RA19,39,0,487,0,0,0,0,0
RA20,37,2000,838,388,2236,0.9,1888,2.6
RA21,43,1500,722,285,1847,0.7,1422,2.4
RA22,47,1170,665,240,1589,0.7,1231,2.3
RA23,55,650,597,120,1429,0.7,1050,2.1
RA25,50,0,2200,0,0,0,0,0
RA29,37,0,464,0,0,0,0,0
RA30,37,1907,832,400,2142,0.8,1818,2.6
RA31,43,1517,676,300,1692,0.8,1373,2.5
RA32,40,1517,769,290,1894,0.8,1502,2.4
RA33,37,1300,826,200,1981,0.9,1589,2.5
RA34,35,1000,733,145,1587,0.9,1391,2.7
RA35,39,0,1196,0,2750,1,1749,1.5
RA39,43,0,471,0,0,0,0,0
RA40,39,1560,760,320,1983,0.8,1539,2.4
RA41,48,1387,661,260,1632,0.7,1296,2.4
RA42,46,1083,647,200,1540,0.7,1174,2.2
RA43,44,1192,740,220,1728,0.7,1307,2.3
RA44,40,1083,604,120,1397,0.9,1194,2.4
RA45,48,0,1812,0,0,0,0,0
RA49,39,0,437,0,0,0,0,0
RA50,37,1907,860,350,2260,0.8,1865,2.6
RA51,43,1712,744,310,1927,0.7,1525,2.5
RA52,43,1495,767,260,1939,0.7,1475,2.4
RA53,36,1660,1113,250,2571,0.8,2144,2.5
RA54,35,1502,996,120,1880,0.9,1709,2.7
RA55,40,1733,2123,0,1375,0.7,2250,1.7
RA59,40,0,420,0,0,0,0,0
RA61,39,1452,758,320,1872,0.8,1481,2.4
RA62,47,1213,615,250,1484,0.8,1169,2.3
RA63,50,800,598,180,1383,0.7,994,2
RA64,51,1029,774,150,1663,0.7,1221,2
RA65,43,0,2249,0,0,0,0,0
RA69,41,0,431,0,0,0,0,0
RA72,34,2100,1120,385,2485,0.9,2209,2.6
RA73,34,1733,951,300,2154,1,1914,2.7
RA74,29,1100,333,85,851,1.4,1449,3.8
RA75,40,0,1478,0,0,0.7,4150,2.3
RA79,41,0,441,0,0,0,0,0
RA80,35,2080,1204,450,2872,0.8,2372,2.5
RA81,36,2284,1299,385,3012,0.9,2966,3.1
RA85,0,0,0,0,0,0,0,0
RA89,35,0,537,0,0,0,0,0
RA91,38,1849,585,90,1687,0.8,1825,3
RA94,44,1300,839,200,1894,0.9,1491,2.3
RA95,0,0,0,0,0,0,0,0
RA99,62,0,710,0,0,0,0,0
