RA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
RA10,225442,841047,713888,220026,124007,2124417,29979,2154391
RA11,29164,206722,219893,78528,48896,583199,10251,593454
RA12,6618,45420,51853,21138,13324,138360,3129,141486
RA13,507,2739,3027,1375,935,8579,251,8835
RA14,304,826,597,246,212,2180,123,2304
RA15,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0
RA20,154779,675467,666470,197492,106064,1800272,23567,1823843
RA21,19801,148573,177005,67295,43553,456221,7790,464018
RA22,4713,31807,36970,15238,10019,98748,2219,100973
RA23,57,403,489,253,173,1374,28,1402
RA25,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0
RA30,71830,436058,457860,148367,80933,1195045,15986,1211031
RA31,17686,124505,137255,52370,31920,363732,6377,370113
RA32,12769,85023,93985,33565,18062,243411,4956,248367
RA33,1613,7606,8225,3329,2210,22981,828,23812
RA34,2406,5511,4424,1759,1441,15545,582,16134
RA35,0,0,0,0,0,3,0,3
RA39,0,0,0,0,0,0,0,0
RA40,40383,193740,189657,59657,31685,515116,5947,521065
RA41,2338,20932,25263,10873,7787,67188,904,68092
RA42,5184,26996,28373,11326,7209,79091,1526,80613
RA43,800,5319,6449,2504,1411,16480,331,16814
RA44,485,1521,1484,590,444,4519,211,4730
RA45,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0
RA50,37987,267872,303339,98234,53108,760537,9225,769764
RA51,2690,25245,32595,13199,8302,82033,1389,83418
RA52,2864,21402,25349,10407,6567,66590,1277,67865
RA53,1263,8033,11101,4469,2876,27735,638,28374
RA54,2308,5307,4398,1588,1061,14660,643,15302
RA55,0,0,0,0,0,3,0,3
RA59,0,0,0,0,0,0,0,0
RA61,9171,48240,46801,17288,10455,131958,1878,133834
RA62,3589,25721,28876,12365,8057,78606,1386,79992
RA63,207,1362,1244,420,218,3448,72,3519
RA64,50,371,372,171,75,1039,26,1071
RA65,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0
RA72,2579,15735,18287,6310,3413,46326,968,47297
RA73,1856,5128,4634,1713,919,14247,469,14718
RA74,3190,3098,1425,384,220,8318,329,8644
RA75,0,0,0,0,0,0,0,3
RA79,0,0,0,0,0,0,0,0
RA80,9270,65415,64550,18252,9238,166719,1482,168200
RA81,0,35,84,41,38,201,4,201
RA85,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0
RA91,7,21,32,7,4,71,20,89
RA94,56,540,493,200,107,1400,40,1444
RA95,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0
