RA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,9,0,0,0,27,0,0,0,17,3,14,4,0,0,38
RA29,0,0,3,9,5,0,0,0,0,22,0,0,0,4,0,0,0,0,0,4,0,6,3,24,11,3,0,0,0,46,0,0,0,4,0,0,3,0,0,10,0,0,0,0,0,3,0,0,0,6,0,0,0,5,10,7,3,0,0,26,0,3,0,9,3,0,0,0,0,12,0,0,5,12,8,9,0,0,0,28,0,0,0,14,8,4,0,0,0,33,0,0,3,16,0,0,0,0,0,15,0,0,6,8,0,0,0,0,0,13,0,0,0,8,3,3,4,0,0,25,3,6,4,18,9,0,0,0,0,36,0,0,6,13,5,10,3,0,0,38,0,0,0,5,0,3,0,0,0,6,0,0,0,3,0,0,0,0,0,5,3,18,32,105,31,18,17,3,3,233,146,300,363,1421,586,371,178,34,11,3416,414,730,1131,3553,1393,1074,613,152,29,9089
RA30,64,663,698,3136,559,296,169,43,5,5634,28,345,1097,2539,2911,1999,1090,371,138,10532,165,1822,3695,14168,6139,4603,2562,697,180,34038,11,66,98,1475,663,716,1034,448,259,4762,21,357,719,2390,1780,1742,1026,345,48,8425,36,485,848,2878,2680,3474,3360,2299,819,16884,93,631,857,2135,1059,804,634,172,39,6414,172,2341,4675,13243,8092,5440,3238,1370,359,38927,45,465,957,3688,1624,1375,1025,500,150,9825,149,637,1075,8168,1713,1320,1286,310,52,14712,84,873,1499,5008,1572,714,321,60,15,10143,9,72,82,747,383,292,132,79,11,1810,355,1530,1928,5174,2055,1854,1527,613,125,15151,100,820,1985,7234,4807,3711,2288,712,286,21939,10,191,342,1044,889,784,744,528,153,4675,10,105,631,2550,1471,1283,712,193,50,7008,750,5783,9476,38037,14500,12125,9863,5926,2210,98673,7464,17536,19083,47947,18653,15458,13210,9724,5795,154868,193133,432357,428336,951110,436674,367325,294820,165311,62072,3331137
RA31,4,69,58,254,40,36,10,4,0,469,0,67,185,426,560,429,203,32,15,1918,90,860,1126,3714,1642,1142,705,143,17,9434,0,4,5,96,52,85,137,66,25,469,0,15,25,116,44,35,27,13,0,273,5,61,73,327,395,722,998,672,175,3431,22,48,69,191,148,117,75,12,0,691,59,425,754,1933,1432,1059,608,294,80,6648,24,116,96,566,216,104,80,41,9,1257,13,39,83,892,44,34,33,6,0,1129,14,158,168,714,384,161,45,15,0,1659,15,21,5,41,41,34,17,13,0,183,39,185,213,655,368,465,498,186,44,2644,4,78,142,549,260,135,77,8,4,1262,0,14,46,111,134,191,201,147,38,880,0,51,161,484,457,411,239,73,18,1901,104,719,938,3448,1678,1913,1820,1207,361,12197,2531,6845,6765,16111,9182,9413,8106,5446,2340,66749,52153,129745,111081,225134,127493,137784,123830,68209,22375,997806
RA32,9,40,23,144,17,24,9,8,0,263,19,277,561,1148,1008,634,381,64,17,4114,47,538,786,2569,1339,1010,559,116,10,6968,0,11,3,165,80,63,110,35,9,472,0,7,17,120,42,50,45,12,4,291,0,40,68,347,311,542,517,295,81,2206,0,22,26,103,113,58,50,17,5,398,28,241,426,1208,712,502,268,90,13,3494,8,50,92,317,112,102,80,40,13,821,4,32,37,521,32,17,7,0,0,656,20,157,222,821,407,190,67,12,0,1903,6,0,3,45,28,30,7,4,0,118,19,112,166,719,287,331,381,140,24,2176,7,71,119,437,206,117,62,16,0,1031,0,8,27,150,80,132,103,58,15,571,0,32,111,313,220,192,106,30,7,1001,115,690,1111,4692,1837,1785,1461,975,266,12930,2729,7146,8147,19029,9105,8556,6325,3562,1387,65975,38032,91394,81418,174892,92148,91486,71853,36024,11258,688508
RA33,4,5,0,28,0,0,0,0,0,34,0,23,19,71,43,31,16,0,0,209,3,64,94,337,136,126,61,13,0,835,0,0,5,12,0,0,6,0,4,20,0,0,3,36,9,3,10,0,0,61,0,6,0,23,11,31,24,20,3,118,0,5,5,3,5,3,0,0,0,18,17,36,41,178,69,54,21,6,0,415,0,4,6,38,8,11,5,0,0,70,0,0,0,39,0,0,0,0,0,42,0,4,11,50,32,14,0,0,0,105,3,0,0,9,0,0,0,0,0,10,3,7,12,53,9,30,30,9,0,154,0,3,5,32,8,3,5,0,0,56,0,0,0,13,3,5,0,3,0,33,3,3,19,58,23,25,7,0,0,142,6,11,42,398,90,115,109,92,13,876,388,794,1043,2790,1328,1349,845,433,116,9088,4815,9618,8102,19411,9252,9574,6674,3097,817,71351
RA34,0,0,0,3,0,0,0,0,0,4,0,18,17,69,58,81,33,4,0,273,6,14,25,62,35,29,7,4,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,0,4,3,4,9,20,18,7,4,55,0,0,0,6,4,3,4,0,0,13,0,4,7,56,33,19,6,0,0,126,0,0,0,14,0,3,0,0,0,21,0,0,0,13,0,0,0,0,0,14,0,3,3,24,8,3,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,3,3,31,15,8,12,0,5,78,0,16,18,90,3,0,0,0,0,139,0,0,0,3,0,0,4,0,0,13,0,0,0,6,5,5,0,0,0,28,0,14,16,153,39,41,28,16,3,316,278,669,737,1833,887,954,517,278,82,6239,3819,7823,6797,14149,6589,6658,4165,1912,574,52481
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,82,32,8,0,0,0,128,0,0,16,116,45,5,3,0,0,183
RA39,0,4,5,3,4,4,0,0,0,14,0,10,6,15,7,3,6,0,0,41,0,3,14,20,7,11,4,0,0,61,0,0,0,4,0,0,0,0,0,9,0,0,0,3,0,0,4,0,0,7,3,4,0,11,7,16,13,5,0,64,0,0,0,4,0,0,0,0,0,3,6,0,3,30,13,17,14,3,0,89,0,0,3,7,0,0,0,0,0,9,0,0,0,41,0,0,0,0,0,45,0,0,3,7,3,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,3,0,7,20,12,16,3,0,0,62,0,0,0,21,0,0,0,3,0,24,0,0,0,3,0,7,0,0,0,13,0,0,0,0,3,6,7,0,0,15,6,17,50,240,31,32,32,7,0,408,67,124,317,1087,430,386,268,51,11,2744,504,932,1495,4724,1929,2468,2124,444,44,14670
RA40,109,944,976,2725,395,156,84,28,6,5432,8,25,54,201,340,143,73,19,9,857,56,717,1572,5399,2206,1589,874,252,66,12727,5,28,65,945,581,906,1160,475,354,4510,0,9,12,30,28,14,16,3,0,107,17,164,322,1027,1094,2202,2187,1522,609,9137,27,233,408,911,396,283,290,96,21,2653,64,627,882,2226,1395,828,503,265,53,6844,58,436,529,2459,770,335,225,122,35,4980,9,71,142,1031,132,104,62,14,0,1571,28,193,330,1602,490,202,95,11,0,2953,6,34,27,224,115,80,75,55,26,638,96,438,516,1419,576,581,473,226,47,4382,64,539,1606,5019,3336,3164,1913,504,231,16381,5,62,126,333,347,544,428,299,129,2272,10,60,147,498,270,191,97,17,8,1296,303,2744,4581,14434,6101,5109,4522,3222,1629,42637,2029,4610,5292,13637,5963,5700,5157,4048,2360,48799,72513,157365,164303,369189,168590,161563,135765,79299,35608,1344200
