RA_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
RA10,1859,5570,260,222940,5595,1177,915,4558,1437,3530,798,1640,1234,4540,18642,44073,424,82,427,379,195,266,97,110,284,749,3057,6056,173691,35829,14234,167896,47406,120050,19404,44878,21511,92138,23572,760610
RA11,150,406,33,25711,2195,446,167,1988,341,819,174,497,163,971,6092,13851,134,27,123,142,51,51,13,22,44,186,488,1285,37728,8846,1924,47757,7455,19404,2897,8052,2287,12797,7019,156162
RA12,20,64,11,4160,853,86,51,674,79,237,33,126,49,232,1592,4017,59,9,28,45,6,14,9,4,15,47,140,380,9429,1426,429,10840,1508,4285,519,1486,474,2741,1860,34988
RA13,0,4,0,280,111,6,3,75,0,19,9,6,4,21,131,385,11,0,3,6,0,5,0,0,5,5,17,40,682,61,28,694,112,303,32,74,27,145,154,2307
RA14,0,0,0,65,33,0,0,3,0,8,0,4,0,3,33,86,0,0,0,0,0,0,0,0,0,5,8,17,164,14,12,92,19,72,5,34,7,62,48,522
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,718,2753,199,155907,5107,1025,639,5076,885,3194,498,1473,812,3035,15226,36969,488,84,379,539,188,276,73,90,211,503,2293,5132,146928,30288,5713,180688,28189,109862,8391,36753,8648,56028,19198,630688
RA21,130,232,37,19623,1675,388,166,1897,251,805,169,378,181,695,4134,10747,147,15,131,170,45,62,32,27,37,150,446,1262,27232,6911,1649,44294,6502,17078,2344,6010,1825,8697,4945,127491
RA22,10,36,9,2463,443,87,47,461,47,166,29,82,29,166,882,2428,40,3,24,40,6,14,7,11,5,26,86,266,5254,1204,354,8103,1052,3054,446,1138,320,1912,1054,23891
