RA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
RA23,3,6,0,0,0,0,12,6,3,0,0,3,0,10,12,10,5,0,0,0,28,3,3,0,0,0,0,13,8,8,0,0,0,0,23,6,7,0,8,0,0,18,7,0,0,0,0,0,17,3,0,4,0,0,0,8,4,6,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,12,70,55,18,10,7,0,156
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,4512,2741,2264,530,875,155,11074,1105,530,577,112,235,22,2586,2046,1066,1042,256,506,68,4990,1655,936,913,250,475,41,4267,2836,1840,1568,614,816,104,7784,3986,3280,2256,956,1272,150,11906,5496,5620,2988,1490,1604,214,17418,7733,8941,3878,2104,2100,299,25053,8114,11732,3917,2342,1941,289,28335,10380,15771,4944,2517,2102,299,36019,8261,14313,3672,1771,1294,216,29523,12183,21527,6715,2289,1875,347,44945,5672,11222,2700,927,685,117,21322,4042,8607,2158,601,445,74,15926,8156,16755,4598,1211,995,196,31905,9343,20040,6196,1403,1100,185,38274,3500,7469,2592,461,356,57,14435,2694,6295,2153,360,290,45,11836,6180,7984,3865,1298,1472,252,21052,107896,166680,58986,21509,20439,3132,378642
RA31,1525,640,479,163,225,46,3072,536,184,165,52,76,8,1017,1022,367,350,125,198,32,2097,961,415,333,174,205,22,2108,1820,1091,667,398,388,43,4413,2495,2103,935,597,593,66,6792,3158,3254,1156,807,604,93,9076,3797,4830,1530,967,717,87,11927,3296,4730,1352,793,533,78,10778,3386,5338,1588,729,532,74,11652,2096,3680,987,377,261,31,7428,3119,4886,1582,465,353,55,10454,1126,1950,544,160,111,11,3914,663,1241,327,105,59,9,2400,1667,2697,952,221,164,18,5729,1745,2408,992,192,152,30,5519,670,828,341,60,70,6,1978,457,606,245,52,43,3,1407,2259,2020,962,445,416,71,6164,35796,43267,15487,6884,5700,790,107925
RA32,1048,486,356,109,133,23,2149,317,108,75,28,38,8,574,593,294,212,102,98,13,1299,563,347,192,122,113,11,1346,1196,859,375,234,231,37,2930,1580,1389,526,388,325,61,4265,2033,1993,659,512,376,53,5622,2384,3066,910,610,430,60,7461,2100,3085,827,502,342,43,6906,2253,3322,888,456,288,38,7251,1244,2295,571,235,169,28,4539,2022,3080,949,344,208,32,6637,651,1139,301,96,52,15,2263,435,665,217,43,34,10,1402,967,1558,501,127,98,22,3273,1064,1497,546,120,102,12,3339,433,507,199,38,25,4,1205,303,430,160,39,20,3,959,1385,1307,563,250,262,45,3806,22568,27419,9022,4349,3342,520,67229
RA33,164,102,64,3,11,0,352,18,16,5,9,3,4,51,51,24,16,6,6,0,109,43,48,12,10,14,0,124,92,81,22,21,10,4,231,124,102,41,33,23,5,322,127,160,59,22,6,0,371,131,196,52,30,17,5,435,92,178,45,18,11,6,347,109,172,41,24,12,0,365,46,117,37,10,4,0,215,120,199,59,20,12,0,413,25,51,14,3,0,0,99,24,36,11,0,0,0,71,46,92,18,12,3,0,170,57,81,37,8,11,0,191,26,38,13,6,10,0,80,42,52,14,0,5,0,115,126,128,59,28,17,5,363,1470,1880,617,257,175,30,4431
RA34,95,67,35,14,15,0,226,11,7,0,8,0,0,33,25,30,8,10,4,0,73,35,40,14,12,5,0,107,70,61,17,17,0,0,167,74,79,16,11,3,4,193,59,68,17,10,4,0,164,47,55,19,12,4,0,141,29,62,10,6,11,0,114,26,33,11,5,9,0,87,11,21,4,10,0,0,46,34,55,20,4,4,0,116,16,23,4,0,0,0,46,12,14,6,0,0,0,34,16,28,7,0,0,0,45,21,36,9,0,0,0,60,29,16,10,0,0,0,57,26,26,9,0,3,3,68,62,63,33,10,0,0,163,691,786,254,130,67,13,1941
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
