RA_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
RA40,2012,1207,1132,216,426,81,5074,675,261,359,75,181,20,1571,1224,479,672,151,429,60,3020,1046,586,606,157,391,38,2819,1748,1243,1230,428,866,80,5607,2508,2514,1637,806,1092,104,8661,3280,4320,2065,1097,1287,141,12182,4249,6511,2390,1394,1401,161,16118,4275,7260,2228,1248,1137,159,16293,4456,7879,2338,1118,941,144,16887,2938,5708,1464,598,473,89,11267,3900,7598,2411,721,655,94,15382,1546,3399,882,265,192,29,6314,1058,2336,595,134,107,20,4250,2136,4604,1395,301,292,49,8770,2345,5625,1910,343,335,51,10602,912,2056,828,137,114,21,4074,740,1855,706,98,111,22,3524,2006,2710,1480,474,606,91,7365,43060,68147,26333,9752,11032,1455,159783
RA41,370,128,116,30,47,9,690,122,24,24,13,21,0,210,333,91,87,26,69,11,613,257,114,116,28,65,4,582,457,273,201,90,108,17,1142,601,481,270,134,142,13,1635,709,731,330,158,160,14,2095,762,1017,387,193,157,20,2536,666,999,337,145,112,18,2280,575,989,299,81,81,15,2042,348,660,192,59,45,0,1304,498,791,300,55,46,5,1699,194,353,81,20,17,0,658,127,211,70,14,7,0,430,313,437,132,31,37,0,950,309,466,175,19,25,3,1000,96,151,60,8,12,0,326,92,113,60,6,14,4,289,355,270,166,46,62,5,907,7170,8286,3402,1169,1220,129,21387
RA42,319,175,102,34,35,3,662,156,55,27,17,31,3,296,378,144,113,66,92,11,807,391,258,131,72,88,15,956,739,622,225,221,189,17,2009,866,956,334,275,211,21,2665,835,1018,305,213,152,19,2543,703,1074,261,142,103,5,2288,462,811,234,73,49,12,1636,400,677,192,54,43,9,1362,192,348,99,22,9,0,666,264,463,177,36,31,6,969,86,120,47,6,3,0,274,52,79,29,7,5,0,167,118,162,56,11,8,0,358,126,176,69,13,10,0,390,67,69,26,6,3,0,174,47,55,30,4,3,0,140,396,257,159,59,74,13,961,6600,7510,2609,1333,1139,141,19326
RA43,89,59,24,8,5,5,183,30,13,5,4,11,5,64,76,27,23,4,10,0,147,67,28,18,10,12,0,132,118,80,33,27,36,4,300,139,163,47,35,34,0,419,148,177,45,28,22,4,420,146,190,54,22,12,0,424,96,179,33,20,10,0,342,101,184,34,17,5,0,340,39,97,25,3,0,0,168,64,118,37,8,9,0,231,19,49,11,3,0,0,84,10,40,4,6,0,0,62,24,37,16,0,3,0,82,36,57,21,0,0,0,110,14,20,6,0,0,0,48,11,14,6,0,3,0,35,88,59,25,7,8,0,193,1313,1597,465,192,181,20,3762
RA44,17,5,10,0,0,0,33,8,4,0,0,0,0,14,12,12,0,6,4,0,33,15,11,3,0,0,0,31,22,26,3,6,6,0,66,21,25,12,3,4,0,68,28,38,3,6,3,0,82,34,32,9,8,0,0,80,20,19,5,0,0,0,44,12,26,5,0,0,0,43,8,13,4,0,0,0,27,11,12,5,0,0,0,32,0,0,4,0,0,0,8,0,4,0,0,0,0,8,0,5,0,0,0,0,13,4,7,0,0,0,0,15,0,3,0,0,0,0,11,0,6,0,0,0,0,3,19,11,0,0,0,0,35,230,256,76,37,37,3,638
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,3154,2189,1751,427,723,151,8395,733,352,385,87,158,22,1732,1293,689,719,182,383,56,3332,1114,699,676,182,348,41,3056,1874,1361,1044,378,668,81,5411,2639,2293,1502,673,901,116,8130,3859,4313,2098,947,1236,169,12612,5249,6839,2645,1432,1528,242,17946,6140,9197,2634,1562,1398,224,21150,7294,12024,3312,1755,1386,229,26006,5568,10552,2594,1215,949,194,21069,8598,16411,5045,1790,1369,280,33494,3785,8013,2059,670,503,101,15133,2742,6360,1683,513,329,63,11687,5159,11091,3436,860,681,109,21335,6458,13858,4894,905,828,132,27077,2698,5685,2104,396,314,47,11251,2265,5253,2061,260,289,45,10165,4024,5738,2924,829,1036,204,14750,74652,122923,43570,15068,15022,2503,273740
RA51,400,150,123,42,58,13,782,130,43,32,12,17,4,237,253,90,72,24,48,4,488,181,90,67,27,62,5,439,332,196,115,76,89,10,820,464,378,156,123,145,9,1271,661,699,232,180,138,16,1929,794,982,347,238,176,25,2556,772,1195,323,212,136,26,2665,914,1454,395,226,126,8,3124,575,1037,278,113,72,9,2090,885,1521,501,160,116,14,3198,355,719,181,53,36,3,1343,244,443,106,47,15,5,860,621,909,312,78,61,3,1987,689,967,358,70,48,3,2136,281,281,164,26,24,3,775,207,199,77,15,16,3,517,516,474,253,113,70,18,1453,9279,11836,4095,1835,1450,182,28679
RA52,324,167,88,31,51,10,672,90,34,22,13,11,3,178,200,95,48,30,32,7,414,162,109,49,29,47,9,397,354,279,120,84,84,12,928,451,407,125,107,79,10,1181,560,582,193,136,101,9,1580,607,773,207,153,114,11,1861,544,851,196,106,77,12,1780,547,782,221,112,72,17,1738,302,580,126,60,29,4,1103,521,853,247,77,58,9,1768,174,329,85,15,5,3,616,103,193,44,17,5,3,366,260,397,157,29,21,0,860,338,421,151,32,18,0,961,123,130,58,6,10,4,340,93,95,60,10,7,0,258,388,328,162,56,66,9,1010,6135,7396,2355,1091,900,126,18010
RA53,115,89,37,11,13,0,269,28,24,5,4,8,0,62,50,44,18,7,20,0,135,57,49,9,4,6,0,122,96,90,29,7,15,4,248,112,130,32,24,12,0,307,148,154,36,29,15,4,394,158,185,45,30,17,4,436,151,200,37,17,6,0,405,137,232,41,18,8,0,432,86,171,42,24,13,0,344,180,240,58,22,10,10,518,53,129,22,12,5,0,219,51,96,14,7,5,0,172,88,189,40,24,13,0,355,155,254,58,24,10,0,510,78,103,20,8,4,3,213,47,63,24,5,3,0,149,116,133,42,18,8,3,326,1912,2572,601,283,195,38,5607
RA54,40,24,10,0,3,0,80,4,4,4,0,0,0,11,17,14,4,8,8,0,51,30,10,4,0,0,0,57,27,31,13,8,0,0,79,37,24,18,3,5,0,89,43,49,15,13,5,3,115,36,45,5,8,7,0,108,23,27,13,5,0,0,72,31,45,14,3,8,0,100,21,31,9,4,0,0,56,60,58,17,10,0,0,146,21,18,0,0,6,0,44,10,20,3,0,0,0,33,31,25,13,5,0,0,82,43,39,11,0,8,0,103,21,16,12,3,0,0,48,23,20,11,0,0,0,55,36,28,15,7,0,0,89,560,534,162,86,60,10,1420
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,488,272,200,63,118,20,1157,189,81,89,17,66,5,445,337,188,177,58,114,9,885,320,190,141,67,95,4,819,536,465,295,187,220,12,1720,767,862,430,285,272,31,2634,987,1338,504,407,321,33,3589,1203,1785,542,417,345,49,4343,1087,1808,526,366,257,25,4058,1101,1811,477,310,213,23,3937,685,1226,294,143,86,17,2461,956,1625,493,186,119,19,3399,312,623,145,60,26,5,1174,165,385,92,24,15,0,681,469,951,242,75,49,3,1801,504,903,272,80,65,16,1826,222,339,110,31,12,5,709,148,254,89,20,17,0,523,465,531,267,119,145,25,1541,10940,15631,5390,2901,2554,303,37720
RA62,347,134,98,29,39,5,661,180,48,56,16,40,4,343,348,152,127,43,78,10,756,338,194,128,75,90,5,825,605,420,272,158,143,11,1595,745,776,329,199,157,20,2226,891,1023,395,250,171,17,2744,863,1158,384,214,143,16,2789,633,942,277,136,89,11,2091,583,874,248,95,57,10,1865,284,446,118,38,30,6,918,439,595,206,65,40,3,1345,151,187,58,8,6,0,410,86,106,31,9,5,0,226,187,264,72,19,9,0,555,223,251,93,15,12,0,588,80,79,30,8,5,0,200,69,59,31,5,3,3,168,398,291,165,77,79,8,1027,7436,8008,3111,1444,1204,122,21336
RA63,15,6,3,5,0,0,32,11,3,0,0,4,0,20,24,18,8,5,5,0,62,11,15,5,3,0,0,37,39,26,9,3,10,0,86,27,32,6,5,5,0,73,27,16,10,3,3,0,57,15,22,8,4,5,0,49,16,11,3,4,3,0,35,9,8,3,0,3,0,24,4,7,0,0,0,0,13,10,9,0,0,0,0,25,3,0,0,0,0,0,3,4,0,0,0,0,0,4,3,4,0,0,0,0,7,4,0,0,0,0,0,7,3,0,4,0,0,0,7,4,0,0,0,0,0,8,18,9,3,3,0,0,34,255,195,53,35,32,7,572
RA64,7,4,0,0,0,0,12,3,0,0,0,0,0,4,0,3,0,0,0,0,6,7,0,0,0,0,0,10,6,7,0,4,0,0,13,8,7,5,0,0,0,21,3,7,0,0,0,0,13,3,10,0,0,0,0,11,3,4,0,0,0,0,12,5,0,0,0,0,0,12,0,5,0,0,0,0,3,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,9,60,59,18,3,6,0,148
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,124,75,75,25,28,5,322,29,15,11,3,5,0,66,55,28,19,9,11,0,123,48,41,20,10,8,0,127,102,72,38,21,16,12,264,126,107,55,23,49,10,364,222,181,94,54,48,9,603,243,290,93,78,50,9,766,289,311,78,89,74,14,858,353,451,128,100,76,9,1120,310,478,95,84,53,7,1029,479,822,232,130,90,20,1762,262,488,104,62,38,7,949,166,362,76,36,18,3,655,422,863,188,80,69,9,1634,484,930,303,86,59,12,1876,187,308,135,26,25,8,686,138,238,70,26,17,4,496,223,263,116,42,62,6,717,4244,6313,1950,986,798,136,14419
RA73,36,22,13,0,0,0,70,4,7,3,0,0,0,15,20,9,7,0,0,0,39,13,11,0,5,3,0,37,40,17,6,11,0,0,79,55,51,12,20,19,3,151,61,67,29,22,11,6,193,87,104,35,24,17,4,271,123,127,32,29,12,4,327,118,176,39,30,30,4,401,92,140,30,19,19,0,302,137,196,42,22,24,0,424,54,78,21,7,9,0,177,35,69,15,6,0,0,123,74,121,45,15,13,0,271,74,119,45,20,7,4,268,32,44,11,3,0,0,95,26,29,12,3,0,0,67,49,64,13,13,18,0,161,1136,1432,410,250,197,32,3460
RA74,4,3,6,0,3,0,14,5,0,3,0,0,0,7,5,5,3,0,0,0,6,0,0,0,0,0,0,4,4,4,0,0,0,0,6,4,0,0,0,0,0,9,0,3,0,0,0,0,8,7,0,9,3,0,0,17,3,7,0,0,0,0,16,5,0,4,0,0,0,11,0,0,3,0,0,0,5,0,8,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,6,0,0,0,0,20,58,52,23,4,11,5,156
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,637,499,334,64,100,29,1671,161,88,106,16,32,0,402,232,110,136,37,52,6,572,187,135,104,37,61,4,526,343,221,197,70,92,16,927,406,371,227,100,137,20,1262,682,641,357,146,203,26,2058,838,909,378,205,224,38,2592,1064,1233,392,313,241,47,3285,1221,1739,494,341,320,47,4162,1106,1796,398,299,239,38,3883,1732,3058,798,419,329,46,6374,953,1872,367,220,143,21,3581,740,1545,253,134,73,13,2763,1400,3394,718,295,190,33,6026,1731,4507,1093,301,205,29,7875,658,1688,507,104,71,11,3030,554,1323,426,66,56,0,2428,523,994,350,135,148,29,2182,15174,26116,7631,3303,2919,456,55605
RA81,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,4,0,0,0,0,10,0,5,0,0,0,0,6,6,5,0,0,0,0,13,3,0,0,0,3,0,8,0,4,0,0,0,0,5,4,7,5,0,0,0,13,6,4,0,0,0,0,10,0,0,0,0,0,0,8,0,5,0,0,0,0,3,4,0,0,0,0,0,8,40,43,13,3,4,0,107
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA94,8,0,0,0,0,0,5,0,0,0,0,0,0,5,6,0,0,0,0,0,7,3,5,0,0,0,0,6,5,4,0,0,0,0,14,9,6,0,0,0,0,15,7,13,5,0,0,0,32,3,16,0,0,4,0,25,0,8,5,0,0,0,16,12,9,5,0,0,0,22,4,6,0,0,0,0,13,8,10,7,0,0,0,21,0,0,0,0,0,0,3,4,0,0,0,0,0,3,5,0,0,0,0,0,4,4,0,0,0,0,0,8,5,0,0,0,0,0,4,0,3,0,0,0,0,3,5,3,4,0,0,0,16,78,85,29,14,9,4,222
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
