RA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
RA10,455991,69293,87134,2931,487,615834,511088,81900,121270,1059,684,715988,175474,72763,290371,4163,1596,544365,26546,22934,27250,33,133,76890,4104,5595,9781,66,111,19659,45596,13225,35131,1078,546,95577,8724,2640,5144,791,288,17579,1381,627,1581,45,25,3659,261818,117792,369257,6165,2702,757733,13979,8778,13303,257,186,36503,14784,4295,8566,261,432,28329,1257659,282050,599520,10675,4483,2154391
RA11,210219,13260,4810,3554,671,232512,176549,5972,2062,462,237,185271,61196,19327,11985,567,248,93327,8212,2723,1682,8,22,12636,3081,2274,1244,13,27,6636,25728,3387,2075,412,209,31812,4175,629,367,1132,222,6520,638,306,146,30,14,1133,103021,28644,17503,2161,740,152066,8420,3106,1033,244,212,13005,7743,1379,650,510,312,10591,505949,52369,26060,6931,2162,593454
RA12,58973,1216,580,697,275,61743,38241,537,285,152,106,39324,10355,2147,2065,110,30,14704,2035,379,200,15,3,2628,776,401,170,3,13,1366,8578,488,390,106,78,9639,2335,166,187,165,84,2932,236,68,55,3,3,366,24312,3643,3059,400,217,31632,4937,250,127,85,89,5491,2748,207,154,107,87,3306,129209,5859,4202,1437,780,141486
RA13,3357,22,4,133,102,3623,1800,7,6,26,22,1865,323,38,38,0,5,405,267,42,30,3,4,343,189,27,27,0,0,251,648,20,42,24,13,742,460,49,50,12,18,584,28,7,7,0,0,31,1908,178,192,37,45,2364,661,5,13,31,25,733,228,3,3,11,12,260,7962,212,215,239,208,8835
RA14,713,16,5,48,46,829,347,7,0,3,7,361,55,4,5,0,0,60,200,22,9,0,5,237,132,5,0,0,4,144,119,9,10,0,4,146,153,20,7,7,5,198,5,0,0,0,0,6,662,63,29,12,26,794,141,0,3,26,23,191,98,4,0,3,17,129,1960,88,31,95,124,2304
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,427517,72305,38694,1359,320,540194,525907,86763,56850,670,370,670564,188819,92816,139178,1701,597,423107,13197,10602,12339,8,31,36180,2283,2513,3653,22,49,8516,43258,15913,16570,594,205,76538,6442,1897,1741,1073,109,11253,1325,602,612,26,20,2584,255323,124343,174087,3423,1001,558177,14445,9129,6130,204,74,29980,16469,4539,3657,130,125,24928,1239669,297078,279422,5787,1892,1823843
RA21,171809,7194,1463,1807,243,182516,158360,3403,654,273,183,162874,47429,10749,2956,192,94,61418,6680,3164,801,9,8,10664,1206,875,326,25,9,2439,19451,2018,489,165,97,22221,3005,333,110,568,47,4063,502,184,44,21,0,746,78276,17327,4723,968,259,101547,7065,1035,254,225,45,8620,6957,1012,201,232,54,8457,422464,29978,7299,3503,787,464018
RA22,42820,1310,339,598,94,45163,28314,453,120,71,36,28988,7716,1657,1009,42,16,10439,1396,669,298,9,3,2369,291,153,142,0,6,596,5459,430,199,57,35,6181,1208,102,79,233,44,1669,146,52,29,19,0,254,16224,3061,1761,356,105,21510,2700,183,94,50,27,3053,1901,170,79,80,31,2258,91948,5173,2398,1148,298,100973
RA23,842,0,0,13,7,865,228,0,0,0,4,230,30,11,0,0,0,45,10,7,0,0,0,19,0,3,0,0,0,3,87,0,0,0,0,86,33,0,5,0,0,34,4,0,0,0,0,4,159,20,7,3,0,190,89,0,0,0,0,88,26,0,0,0,0,29,1346,23,7,19,6,1402
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
