RA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
RA30,251401,32100,35078,2249,456,321281,362862,36153,32193,208,369,431771,148488,59642,89956,276,771,299137,13842,7279,9348,10,53,30523,1246,1656,2642,11,34,5593,34792,11119,17539,163,315,63927,5723,7939,5082,1770,207,20728,878,609,658,38,13,2202,204967,88244,125228,2273,1397,422114,7667,7193,4645,88,119,19716,9406,2954,3227,332,226,16154,836298,166648,200365,5151,2568,1211031
RA31,122523,5289,2352,2292,340,132803,120147,2497,1152,305,178,124280,43068,12013,6011,125,151,61365,4013,2689,1137,9,13,7861,707,913,424,7,9,2059,19315,2018,1218,163,110,22827,2704,598,351,749,124,4528,427,203,105,20,0,754,70240,18430,9240,1081,409,99393,4927,1530,375,103,115,7047,4903,856,332,312,191,6590,322731,28601,13458,4093,1227,370113
RA32,70257,2674,2622,1458,393,77407,74968,2140,2329,253,160,79847,27551,8833,8492,121,168,45174,3936,1806,1285,22,25,7073,952,670,464,13,13,2117,14219,2036,1808,129,134,18326,5069,953,842,492,193,7548,338,136,100,18,4,592,52063,14439,12988,795,544,80826,4289,646,201,116,92,5336,3600,555,402,252,131,4948,205179,20457,18540,2875,1317,248367
RA33,6842,78,31,312,101,7364,5074,82,29,47,28,5261,1769,601,191,18,15,2596,1357,206,173,7,7,1750,317,42,54,0,0,413,1468,166,53,41,30,1757,1450,233,106,74,92,1961,56,14,12,4,0,82,6418,1266,598,131,145,8561,1515,73,42,73,69,1779,548,48,30,206,21,855,20402,1549,728,774,357,23812
RA34,3858,93,14,323,138,4432,2111,78,7,51,56,2299,661,205,62,10,8,942,2513,355,130,4,18,3024,731,78,42,5,7,859,866,47,29,24,13,978,1126,284,94,74,71,1651,75,10,10,0,0,93,5968,977,362,121,123,7549,984,109,28,60,112,1293,389,42,32,64,44,560,13307,1293,443,619,473,16134
RA35,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,135071,18020,6098,608,189,160001,164529,20213,6386,104,292,191528,42597,19807,16844,132,250,79630,9084,9940,3284,0,56,22359,2870,3264,1603,7,44,7785,21692,7509,5361,110,154,34824,2778,940,938,256,80,4987,456,343,222,8,12,1039,79473,41798,28246,514,590,150622,4487,5722,2347,41,63,12663,3928,1556,640,48,84,6255,387490,87309,43710,1322,1223,521065
RA41,26389,672,69,315,67,27516,24772,278,38,35,62,25185,5008,730,220,11,16,5981,555,399,20,0,0,979,293,249,38,4,5,591,3684,255,57,38,20,4057,502,60,17,64,15,655,71,30,3,0,4,107,10124,1721,359,120,62,12378,1492,466,34,25,17,2024,846,89,14,31,10,986,63623,3232,504,526,214,68092
RA42,28945,1519,205,329,110,31112,22618,1274,122,89,41,24137,5902,1978,873,18,18,8794,1733,2338,606,5,9,4694,355,272,77,0,3,703,4489,633,162,33,27,5351,1154,186,63,66,27,1500,109,71,19,0,0,201,13737,5477,1809,127,83,21232,1897,504,43,35,20,2505,1222,277,58,26,36,1624,68420,9056,2247,611,284,80613
RA43,6233,167,75,90,27,6590,4495,131,18,25,6,4677,1217,222,156,8,0,1598,393,159,64,3,0,619,71,47,14,0,0,129,1232,101,72,19,8,1427,642,19,30,11,8,713,29,9,3,0,0,46,3578,554,341,42,19,4540,593,18,28,7,8,649,264,37,17,31,15,355,15155,909,473,199,70,16814
RA44,1571,18,15,48,27,1691,803,0,5,8,0,818,211,6,17,0,3,244,562,31,3,5,9,610,154,6,4,5,3,167,319,10,14,7,8,351,210,14,15,25,7,281,21,0,0,0,0,27,1484,76,53,36,34,1683,310,31,4,12,14,379,139,10,10,8,6,167,4314,134,85,111,83,4730
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,184575,24146,8434,1459,154,218767,282823,28119,10827,118,164,322052,70294,28276,26321,104,137,125132,7063,8706,2800,7,26,18597,1199,1995,997,4,18,4213,34111,10405,6199,120,76,50908,3859,1274,765,375,40,6309,593,371,175,12,0,1151,117122,51024,37259,619,290,206315,6072,5093,2103,63,37,13366,6281,1881,852,118,136,9265,596877,110254,59476,2383,779,769764
RA51,26463,1169,159,576,66,28432,32434,738,86,62,58,33376,6969,1193,312,16,13,8506,1115,939,79,0,8,2129,154,298,77,0,4,541,5251,515,89,36,22,5917,701,95,28,211,14,1041,82,24,5,0,0,116,14265,3067,591,267,63,18247,1296,489,40,53,31,1908,1136,193,24,64,40,1455,75597,5649,904,1030,248,83418
RA52,23027,800,54,450,91,24421,21028,621,46,60,50,21802,5642,1578,226,15,10,7472,1722,858,70,0,12,2665,353,394,56,8,4,822,4781,435,53,32,20,5321,1247,231,22,177,46,1718,85,51,5,3,0,147,13833,3542,434,234,93,18139,1794,280,27,48,21,2169,1031,194,36,50,24,1335,60728,5432,595,842,276,67865
RA53,6273,268,52,270,92,6945,6207,325,38,57,20,6656,2320,827,439,24,21,3622,1582,584,83,4,10,2263,232,110,36,7,6,395,1618,213,58,27,26,1940,3170,572,226,94,33,4107,57,20,0,0,0,85,8979,2328,849,157,100,12410,1451,125,58,45,49,1729,447,106,18,24,27,632,23350,3163,1016,555,297,28374
RA54,2074,57,11,518,101,2754,1565,47,8,83,33,1743,717,147,92,10,11,976,2204,252,73,5,19,2551,1220,67,72,17,16,1392,703,75,16,52,30,871,2413,183,42,134,64,2846,56,11,8,0,0,75,7305,729,306,222,141,8714,1166,83,22,101,93,1473,372,46,21,120,62,623,12482,959,372,1054,430,15302
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,41595,1632,1654,189,50,45135,42944,1313,1155,41,33,45487,12907,2403,3992,118,37,19456,3496,1173,1236,0,25,5929,923,549,470,0,24,1976,7485,1091,1654,80,47,10362,741,168,234,79,12,1228,166,61,56,4,0,290,25720,5448,7637,285,147,39236,1354,435,320,19,15,2150,1258,311,219,17,24,1832,112874,9143,10989,554,271,133834
RA62,32537,658,110,374,54,33733,25302,250,36,63,32,25677,5374,981,150,44,7,6556,1814,926,66,0,9,2813,431,351,25,0,7,810,5268,514,91,49,16,5940,837,134,32,119,13,1139,123,59,0,3,0,189,13849,2967,368,215,44,17455,1476,117,8,41,16,1660,1191,155,14,91,17,1462,74352,4148,537,792,164,79992
RA63,1628,18,0,19,18,1685,769,8,0,9,4,781,257,27,10,0,0,296,26,0,0,0,0,33,6,6,5,0,0,12,247,7,0,5,0,265,147,5,26,0,10,183,9,0,0,0,0,10,701,49,34,7,7,801,151,0,3,0,10,173,58,5,0,5,0,71,3310,81,45,40,46,3519
RA64,478,10,0,0,3,485,204,0,0,0,4,210,19,0,0,0,0,21,33,6,0,0,0,40,25,14,0,0,0,32,119,3,5,0,0,122,38,4,0,0,0,43,6,0,0,0,0,6,239,26,3,0,0,268,68,0,0,0,0,68,35,0,0,0,0,37,1019,31,11,5,5,1071
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA72,6385,558,1010,226,18,8186,13847,1016,1991,27,3,16881,4239,1685,6091,14,26,12061,1144,749,694,0,10,2592,151,31,88,0,7,272,2095,589,1239,29,23,3971,1130,108,345,81,19,1692,61,18,48,0,0,129,8821,3181,8507,126,89,20717,454,82,111,19,17,678,440,109,213,32,28,824,29937,4950,11824,429,151,47297
RA73,1967,186,22,201,79,2453,3575,590,44,28,35,4274,1063,1027,208,10,17,2328,1137,502,74,9,5,1725,462,110,25,5,16,618,760,280,43,29,30,1146,609,202,49,68,49,985,49,10,6,0,0,68,4077,2140,401,117,131,6869,441,134,40,46,45,699,225,101,20,31,43,417,10282,3154,527,426,333,14718
RA74,368,14,0,142,23,534,182,4,0,16,4,207,90,37,15,6,0,146,2650,293,56,4,12,3012,1144,118,32,9,11,1317,100,15,7,16,0,142,910,249,110,28,46,1344,40,9,4,0,0,52,4946,721,219,54,70,6015,1310,107,58,71,52,1607,189,25,5,40,29,282,6986,862,288,318,182,8644
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA80,34838,5832,3999,92,26,44796,48783,9835,9001,4,32,67657,9406,6251,12930,4,44,28628,4389,2711,1429,18,10,8565,387,315,300,0,10,1012,4780,2350,3332,9,28,10501,1653,473,539,31,22,2715,107,54,48,0,0,208,20727,12148,18580,62,122,51633,1006,828,810,4,18,2668,884,270,276,0,9,1452,106240,28921,32669,168,204,168200
RA81,38,0,0,0,0,38,100,0,0,0,0,100,3,0,0,0,0,3,11,0,0,0,0,11,0,0,0,0,0,0,19,0,0,0,0,22,10,0,0,0,3,17,0,0,0,0,0,0,41,0,0,0,4,44,10,0,0,0,0,11,6,0,0,0,0,6,196,0,0,0,9,201
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,13,6,0,0,0,0,6,28,0,0,0,0,28,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,52,0,0,0,0,58,6,0,0,0,0,8,16,0,0,0,0,16,87,0,0,3,0,89
RA94,438,29,25,0,5,495,255,13,6,0,4,276,92,3,0,0,0,99,59,31,49,0,0,135,16,0,3,0,0,13,154,21,22,0,3,202,65,8,17,0,0,89,0,0,0,0,0,0,384,62,95,0,5,542,72,5,8,0,3,86,31,0,10,0,4,46,1174,106,142,3,21,1444
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
