RA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
RA10,2521,37144,391,37539,..,19064,6123,25188,171,25361,..,18688,4469,23160,160,23317,..,77528,37323,114855,792,115645,..,180618,35945,216560,4393,220951,..,1680130,341081,2021206,18323,2039528,..,28526,6616,35144,283351,318490,3722411,1708659,347695,2056346,301673,6080428
RA11,65,755,12,766,..,1815,426,2239,12,2251,..,309,38,351,7,358,..,1463,513,1974,24,1993,..,15928,3056,18982,438,19421,..,74849,10561,85412,1220,86627,..,4309,453,4762,99552,104313,1378794,79157,11017,90170,100771,1569737
RA12,4,124,0,125,..,297,77,378,5,383,..,105,51,152,4,155,..,166,44,206,0,211,..,2969,386,3354,74,3426,..,14704,2571,17269,232,17506,..,937,81,1024,35065,36084,324095,15641,2651,18292,35300,377693
RA13,0,6,0,6,..,22,4,28,0,28,..,0,0,6,0,6,..,10,8,20,0,20,..,219,13,234,3,237,..,912,136,1043,17,1058,..,63,10,69,4241,4310,20853,970,140,1110,4253,26219
RA14,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,72,3,75,0,74,..,192,16,209,4,213,..,21,5,25,1068,1090,5408,215,23,231,1068,6708
RA15,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
RA19,0,13,0,14,..,10,3,14,0,16,..,12,4,11,0,11,..,25,16,39,0,39,..,171,32,203,4,205,..,966,159,1125,25,1150,..,35,6,40,3764,3803,6417,1003,162,1166,3781,11371
RA20,2343,32788,372,33161,..,10433,2246,12679,88,12765,..,26837,6436,33275,231,33507,..,80356,34839,115194,855,116046,..,196411,41844,238256,4286,242542,..,1419718,266092,1685810,16661,1702471,..,23758,5464,29218,211225,240447,3075499,1443472,271558,1715030,227885,5018415
RA21,42,756,9,768,..,1160,257,1417,14,1428,..,682,158,848,10,853,..,1190,470,1657,32,1690,..,12500,2850,15348,366,15705,..,60111,9806,69913,1038,70953,..,3089,363,3459,74034,77495,1066514,63200,10171,73372,75075,1214965
RA22,25,179,4,184,..,284,220,505,12,518,..,313,156,473,4,476,..,508,490,996,21,1012,..,2678,829,3507,78,3584,..,13189,3826,17013,267,17284,..,738,122,861,19177,20038,220363,13925,3948,17882,19444,257682
