RA_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
RA34,0,0,0,4,20,17,52,45,12,7,10,9,0,0,6,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,3,0,0,0,0,0,0,0,13,0,0,0,6,10,11,69,16,0,0,0,0,9,4,0,126,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,21,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,14,0,0,0,0,4,0,7,12,0,6,0,0,3,0,0,42,8,57,130,73,44,45,78,36,10,3,11,19,5,0,25,544,0,0,4,6,3,6,19,7,4,4,5,4,0,4,0,78,0,0,0,0,0,0,19,23,17,13,9,42,0,0,9,139,9,26,33,102,66,64,99,70,21,22,32,55,24,10,48,689,29,133,253,304,341,306,589,375,86,104,118,216,76,26,150,3103
RA35,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,8,0,3,3,0,0,23
RA39,0,0,0,4,8,3,16,5,5,3,4,5,0,0,9,61,0,0,3,0,5,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,6,7,7,9,30,0,0,0,0,0,3,22,0,89,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,4,3,6,16,4,3,3,45,0,0,0,0,0,0,6,11,0,0,0,6,0,3,0,17,7,40,168,110,75,29,93,44,13,3,23,52,35,15,42,764,0,0,7,6,5,9,8,8,0,0,3,10,8,0,6,62,0,0,0,0,3,0,4,3,0,0,0,4,3,0,0,24,0,4,29,21,37,35,56,41,16,11,39,143,87,35,57,619,15,83,260,264,286,210,365,223,69,47,138,371,213,124,230,2917
RA40,3,5,22,273,1637,1524,3365,2694,537,525,589,880,311,74,282,12727,204,219,301,296,1986,708,413,156,41,24,27,29,15,3,88,4510,4,30,103,264,285,253,641,372,127,138,132,168,82,24,38,2653,9,40,174,387,435,742,2384,914,248,212,408,489,260,52,89,6844,6,33,64,177,253,265,1098,1177,219,331,436,525,271,23,98,4980,0,0,0,11,99,176,322,433,90,103,121,108,57,8,33,1571,0,4,3,78,560,400,814,453,117,83,118,145,71,29,86,2953,1430,8307,28288,14569,7720,4877,13312,5252,609,578,609,722,416,190,2283,89159,13,46,233,457,466,544,987,654,164,146,176,156,182,58,97,4382,0,7,33,1884,4609,2397,2260,1794,526,517,643,724,411,66,515,16381,1181,2320,3542,3392,5364,7058,12498,8125,2781,2183,2532,2963,1241,246,1183,56600,5280,26182,46278,28924,32341,28326,76404,52020,13186,13720,16196,19524,8436,1724,8195,376741
RA41,0,0,5,23,81,60,237,322,54,69,42,87,26,7,35,1040,0,7,16,28,64,10,12,0,0,0,0,0,0,0,4,136,0,0,13,11,11,8,8,6,4,0,3,0,5,0,4,73,0,13,27,47,58,64,192,63,6,10,19,12,0,0,4,505,0,3,4,17,11,0,5,17,7,8,9,9,0,0,0,90,0,0,0,0,0,0,12,21,9,0,0,10,0,5,3,61,0,0,0,7,11,12,47,39,11,18,13,18,12,3,11,206,226,1537,4918,2314,1079,651,1343,463,52,39,25,44,33,9,528,13268,0,8,30,76,65,62,120,51,8,3,11,12,13,0,21,470,0,0,3,28,55,39,84,42,29,30,8,10,10,0,31,368,107,226,312,228,189,191,319,183,38,53,54,88,110,29,79,2207,579,2973,6112,3410,2248,1548,3134,1708,298,335,295,426,262,62,940,24319
RA42,0,0,0,34,129,105,257,355,73,83,78,89,35,23,55,1322,12,5,21,8,28,19,8,0,0,0,0,0,0,0,0,103,0,0,7,8,6,3,9,6,0,3,0,0,0,0,5,53,0,0,13,27,17,49,229,112,24,22,33,38,40,10,15,640,0,3,0,9,3,10,15,41,7,19,12,18,0,0,8,149,0,0,0,0,0,5,4,21,3,9,10,19,9,0,0,74,0,0,0,9,15,18,116,98,15,26,16,21,5,10,13,373,190,981,3642,1312,432,198,392,164,21,28,33,21,3,9,427,7837,0,9,22,35,28,37,51,26,6,0,8,10,6,4,9,262,0,0,4,12,28,28,34,60,5,13,8,22,11,0,20,241,61,206,330,263,148,114,400,313,88,75,116,178,89,95,213,2688,452,2455,4939,2253,1390,1031,2626,2083,532,654,695,884,370,176,1123,21673
RA43,0,0,0,4,40,23,66,82,14,33,15,23,7,7,12,335,0,0,3,8,3,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,19,0,18,49,35,11,4,11,21,17,0,14,197,0,0,0,0,0,0,7,10,5,0,3,0,0,0,0,27,0,0,0,0,0,3,0,7,0,5,0,0,6,0,0,26,0,0,0,6,3,5,18,13,3,0,4,0,7,0,6,63,38,222,579,210,78,48,135,55,13,12,8,7,0,0,73,1484,0,0,9,6,15,12,16,13,0,0,3,0,0,0,0,88,0,0,0,0,0,0,5,17,0,0,0,0,0,0,4,30,7,31,53,52,29,25,67,72,15,17,22,26,13,0,15,450,77,475,771,428,305,207,579,455,95,107,124,176,83,15,167,4068
RA44,0,0,0,4,4,7,21,22,0,9,0,4,0,0,0,69,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,16,0,0,0,0,0,0,14,15,12,16,8,6,4,0,0,71,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,7,0,0,4,0,0,0,14,9,29,98,45,25,8,16,27,0,0,7,4,5,0,12,284,0,0,8,4,0,0,0,3,0,0,0,0,0,0,4,27,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,5,21,43,17,18,17,31,11,4,6,0,11,6,0,15,197,24,97,230,126,72,69,152,161,36,37,36,47,16,5,62,1172
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,54,28,12,14,13,10,4,6,0,8,4,7,10,176,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,3,5,7,16,11,3,4,9,12,3,8,12,110,6,30,72,43,36,37,66,47,11,14,25,56,22,34,36,530
