RA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
RA10,107309,21377,129555,1045808,202691,17232,1265726,3410213,289601,4965542
RA11,37202,6157,43690,229570,84473,10109,324153,870111,96125,1290387
RA12,8330,1556,9969,50569,19968,2374,72914,204324,32503,309744
RA13,437,89,532,3506,1147,106,4760,12574,3644,20979
RA14,83,17,96,746,245,27,1017,3401,970,5389
RA15,0,0,0,0,0,0,0,0,0,0
RA19,33,16,49,818,332,37,1191,5556,3362,10112
RA20,90847,11753,103485,858891,212292,18737,1089919,2799556,220657,4110133
RA21,26305,4645,31168,187130,68310,7133,262571,663574,71941,998085
RA22,6433,1163,7657,34237,13285,1407,48929,147288,18799,215019
RA23,100,30,133,363,141,11,518,2045,254,2817
RA25,0,0,0,0,0,0,0,12,27,38
RA29,17,17,29,695,281,39,1013,3668,3262,7946
RA30,52821,8764,62072,569255,156443,17871,743573,1806949,155117,2705645
RA31,19190,3026,22375,145346,51296,6962,203608,547824,64477,815909
RA32,9474,1683,11258,100760,33376,4723,138861,359504,60723,559083
RA33,649,151,817,10189,3216,504,13909,34851,8165,56924
RA34,482,84,574,7181,2899,500,10589,24543,5713,40838
RA35,0,0,0,0,0,0,0,45,135,183
RA39,33,13,44,1219,501,70,1785,8009,3440,13234
RA40,32359,2906,35608,214195,79368,8155,301716,765249,47359,1114313
RA41,4328,458,4816,24674,11420,1201,37293,100468,9019,146780
RA42,4878,687,5592,26804,11496,1291,39595,113866,13967,167427
RA43,920,142,1066,6464,2433,341,9236,23275,3151,35664
RA44,171,52,229,1751,1239,240,3232,6509,1470,11208
RA45,0,0,0,0,0,0,0,0,5,12
RA49,15,0,11,315,124,17,459,1761,756,2975
RA50,34674,5387,40566,356288,122816,14918,494018,1101410,95897,1691327
RA51,3817,628,4482,35841,13347,2040,51223,120106,17078,188402
RA52,3330,595,3958,26375,9317,1455,37148,97293,15510,149948
RA53,670,143,815,14185,3745,809,18734,38862,10385,67980
RA54,185,57,258,8077,3419,1027,12522,25709,10546,48779
RA55,0,0,0,40,5,3,45,248,221,516
RA59,12,23,30,613,205,45,861,3063,3361,7285
RA61,7324,844,8238,53034,21294,2687,77015,195333,14624,286973
RA62,3950,578,4537,27160,11571,1419,40149,115897,11215,167262
RA63,133,29,160,951,393,51,1386,5154,762,7302
RA64,57,3,54,311,124,20,460,1487,197,2138
RA65,0,0,0,0,0,0,0,11,3,19
RA69,3,0,3,144,39,7,192,726,324,1248
RA72,682,132,833,22586,6537,1044,30165,69618,11824,111611
RA73,205,37,253,6872,2701,550,10126,22321,4778,37223
RA74,57,0,76,5806,6826,2167,14795,13225,3702,31720
RA75,0,0,0,3,4,0,11,60,26,94
RA79,4,0,7,288,57,11,354,1487,1208,3052
RA80,6332,734,7175,77568,24219,3041,104829,248590,17049,370469
RA81,4,0,4,138,44,0,184,300,53,528
RA85,0,0,0,0,0,0,0,0,0,0
RA89,0,0,4,63,32,0,97,335,130,560
RA91,0,0,0,25,20,0,44,121,80,246
RA94,57,4,67,568,216,39,825,2152,732,3713
RA95,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,4,0,0,4,6,3,11
