RA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
RA49,43,42,129,81,59,57,14,0,0,423,57,40,102,88,76,114,106,23,7,613,19,16,74,79,46,25,17,0,3,273,112,95,305,245,178,197,141,26,10,1306,3,19,112,92,77,45,11,0,0,351,18,34,77,41,36,39,15,0,0,264,4,3,17,19,12,22,3,0,0,70,0,3,8,4,0,7,0,0,0,38,32,61,211,156,128,106,26,4,0,724,11,10,35,33,30,25,0,0,0,152,25,15,24,18,17,14,3,0,0,112,35,29,62,55,38,40,3,0,0,266,65,87,272,205,172,147,34,4,0,989,86,80,193,161,172,241,262,55,7,1266,30,39,161,163,136,120,62,4,3,719,186,206,627,534,478,513,359,64,11,2975
RA50,34966,51781,118705,118974,108487,77561,18815,1618,112,531008,22322,9904,27033,28306,23289,39516,75292,48923,21425,296016,2062,2912,7549,6113,4890,4119,3894,3872,3358,38774,59342,64600,153281,153391,136666,121194,98001,54408,24896,865795,9592,44261,153075,158127,145971,96861,17953,1083,58,626974,44353,47300,63484,69184,58153,50642,22580,3320,208,359219,1852,3082,12057,9428,6873,7693,2341,261,24,43605,861,2103,4735,3315,2541,1660,524,185,61,15987,56651,96750,233351,240054,213535,156854,43396,4848,347,1045782,2282,4291,6978,5701,5621,4407,673,40,3,30003,9343,4034,4354,3771,2949,2813,972,84,8,28333,11626,8327,11337,9474,8569,7223,1642,129,13,58340,68284,105078,244686,249526,222100,164076,45041,4981,358,1104127,48979,19220,38323,38288,35272,61933,134391,90033,34967,501415,4266,6393,17391,15290,12634,10027,7740,6813,5231,85789,121530,130689,300403,303100,270009,236044,187175,101828,40566,1691327
RA51,4055,3670,8627,11446,12717,9956,2502,278,17,53269,2155,785,2813,2624,2549,5548,10486,6085,2321,35363,350,363,809,807,866,855,777,612,337,5780,6562,4817,12248,14876,16134,16363,13762,6973,2676,94409,1842,4595,10941,13229,15637,11496,2359,226,20,60346,4636,2349,5075,7274,7291,7050,3152,478,45,37345,358,327,1129,1148,1248,1510,430,64,6,6223,188,211,360,387,374,259,101,46,21,1953,7026,7483,17509,22040,24546,20324,6040,815,87,105860,298,349,554,461,509,437,65,0,0,2683,604,215,275,310,307,330,97,13,0,2155,897,565,839,773,816,767,158,14,0,4836,7932,8051,18339,22812,25360,21089,6203,825,87,110699,4852,1600,4593,4548,4444,9078,19866,11777,3831,64599,759,875,1916,1978,2241,2030,1625,1124,567,13109,13537,10528,24852,29343,32047,32193,27697,13733,4482,188402
RA52,2836,3016,7117,8265,9348,8209,2434,353,15,41597,1795,761,2209,1875,1869,3845,7382,4762,1904,26400,425,401,922,1004,995,956,864,608,353,6524,5050,4175,10247,11148,12213,13017,10676,5725,2272,74522,1697,4021,9659,10335,12054,10087,2681,359,28,50919,3220,1717,3895,4951,4993,5518,2656,543,46,27549,174,260,915,646,903,1109,434,77,11,4524,134,182,342,270,304,249,133,80,18,1708,5224,6176,14820,16200,18255,16965,5902,1057,103,84694,206,300,400,369,422,370,58,0,0,2122,406,130,229,216,197,276,84,7,4,1542,610,437,626,582,620,650,144,7,0,3671,5835,6613,15445,16780,18876,17610,6043,1067,105,88365,3801,1305,3262,2968,3230,6553,14043,9134,3266,47571,892,854,2024,2167,2277,2171,1837,1209,588,14021,10528,8776,20730,21911,24378,26343,21921,11411,3958,149948
RA53,1072,1371,4757,4868,4086,3035,854,115,4,20160,691,334,1171,927,761,1152,1637,1025,364,8068,274,307,960,866,726,564,358,173,80,4311,2048,2004,6881,6663,5574,4755,2853,1313,447,32531,720,2018,6613,7115,6440,4703,1167,152,7,28943,1195,590,1963,2424,1782,1618,745,164,13,10482,82,124,687,502,386,450,157,15,0,2404,73,85,244,196,124,109,43,20,11,903,2074,2819,9502,10236,8729,6879,2115,352,31,42735,109,136,186,147,145,136,20,5,0,879,124,52,98,88,73,74,32,0,0,549,235,188,288,237,212,215,50,3,0,1430,2311,3004,9787,10474,8945,7090,2165,357,35,44168,1480,585,1606,1322,1257,2014,3270,1991,650,14175,611,687,2005,1911,1715,1407,801,370,132,9638,4404,4280,13402,13702,11917,10505,6236,2719,815,67980
RA54,468,922,2937,2465,2101,1681,420,54,7,11060,755,573,1214,914,767,843,855,428,108,6449,205,340,869,688,573,495,227,96,33,3528,1425,1834,5020,4069,3442,3019,1496,577,147,21036,348,1354,4751,4104,3766,2904,697,75,7,18006,411,356,1109,1082,839,743,307,54,6,4892,39,101,452,372,310,299,89,8,0,1652,44,73,181,154,128,111,25,20,5,733,835,1886,6491,5709,5033,4053,1108,158,19,25289,79,127,210,175,140,97,18,0,0,856,77,50,104,95,71,50,12,3,0,481,160,181,321,271,213,147,32,5,3,1332,994,2066,6808,5981,5243,4200,1146,163,19,26615,1525,1031,2026,1632,1429,1543,1851,893,189,12107,474,867,2503,2109,1817,1411,583,234,47,10059,2991,3963,11339,9719,8486,7161,3574,1286,258,48779
RA55,0,5,8,9,5,0,0,0,0,29,0,0,0,0,0,0,5,0,0,9,0,5,3,3,8,0,0,0,0,19,3,11,14,11,9,3,4,0,0,61,0,20,62,85,56,25,3,0,0,243,0,0,0,3,5,0,0,0,0,18,0,0,4,0,3,6,0,0,0,13,0,0,0,0,0,0,0,0,0,5,5,17,62,95,59,33,5,0,0,277,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,5,17,62,96,59,34,5,0,0,277,0,0,0,0,4,3,7,0,0,18,3,15,46,73,50,21,3,0,0,220,6,31,116,170,109,62,18,0,0,516
RA59,43,111,281,177,122,123,23,0,0,875,44,47,155,157,127,200,207,27,5,967,57,104,259,276,224,154,93,16,12,1193,147,256,692,613,468,477,316,38,16,3030,16,90,328,188,158,117,16,0,0,915,33,73,118,102,56,75,26,0,0,484,0,17,45,60,28,25,6,0,0,181,3,4,11,4,5,0,0,0,0,33,53,185,501,355,248,216,45,0,0,1614,13,31,69,68,57,33,5,0,0,274,13,18,24,28,21,16,3,0,0,117,24,48,92,89,75,48,7,0,0,392,72,235,596,442,332,265,57,3,0,2000,89,93,265,290,249,396,465,89,10,1955,98,230,647,802,737,481,235,67,18,3326,261,562,1512,1543,1313,1144,758,155,30,7285
RA61,5246,8007,21216,17797,17435,13581,3244,267,25,86819,3688,1944,4494,3684,3705,7495,15322,10582,4623,55542,349,479,1134,830,717,732,849,780,500,6375,9282,10435,26840,22310,21859,21817,19414,11632,5148,148737,1434,6825,23883,20582,21129,14712,2442,155,8,91164,6185,6786,14772,11920,10234,9743,4109,551,31,64333,409,510,1912,1335,1194,1394,434,46,6,7235,142,326,803,394,320,241,96,31,15,2359,8164,14440,41367,34233,32877,26090,7079,788,59,165093,448,1021,1872,928,674,511,77,0,0,5529,1435,913,1197,575,458,451,118,12,0,5158,1875,1938,3065,1505,1132,959,194,13,4,10680,10043,16378,44432,35733,34006,27050,7271,804,62,175780,8282,3780,7197,5880,6351,13061,27606,18983,7400,98536,744,985,2374,1728,1556,1514,1608,1362,778,12661,19066,21147,54006,43338,41917,41632,36485,21148,8238,286973
RA62,2687,3406,7746,8254,9808,8924,1971,249,13,43061,2088,876,2344,2213,2844,6385,11228,6464,2336,36776,270,261,616,600,655,821,832,692,307,5057,5043,4545,10706,11064,13309,16138,14030,7403,2663,84895,1246,3838,9170,9292,11093,9179,1940,215,19,46002,3057,2303,5047,5565,6206,7165,2605,429,42,32418,205,255,919,709,856,1146,307,53,9,4456,136,190,322,279,368,276,134,58,15,1785,4645,6579,15456,15848,18523,17770,4988,760,80,84657,277,482,637,433,552,485,54,7,0,2912,426,225,312,280,307,399,81,8,5,2037,703,715,951,709,853,880,134,5,3,4958,5345,7298,16402,16560,19378,18647,5124,769,84,89609,4588,1530,3432,3390,4944,11216,21619,12634,3888,67245,594,527,1281,1271,1412,1727,1777,1258,565,10409,10530,9351,21114,21225,25727,31591,28526,14657,4537,167262
RA63,65,102,383,279,310,389,126,11,0,1668,54,37,81,108,130,317,456,217,69,1459,14,22,70,42,45,70,42,31,18,342,134,153,534,427,486,766,614,260,85,3467,37,116,447,356,374,393,91,9,0,1818,69,64,253,191,208,304,133,20,0,1247,6,16,39,30,43,58,27,0,0,221,8,8,21,9,8,9,8,8,0,77,123,206,755,588,631,761,265,38,4,3370,7,15,24,28,33,52,9,0,0,164,7,14,10,10,12,28,6,0,0,85,9,25,32,35,42,81,17,0,0,245,138,223,792,617,678,836,282,38,4,3612,127,52,132,174,279,588,995,475,128,2959,34,48,129,84,98,133,105,68,31,730,297,332,1052,876,1052,1563,1385,583,160,7302
RA64,20,30,94,122,111,144,66,5,0,594,11,0,17,16,20,43,123,82,27,345,0,0,9,20,5,20,10,10,3,86,31,35,121,159,133,206,206,104,35,1031,13,47,127,145,125,165,74,9,0,710,28,11,54,83,75,95,92,22,0,473,3,5,10,13,15,16,9,5,0,71,0,0,5,6,10,9,0,3,0,32,50,63,201,247,225,292,175,39,5,1288,0,0,0,5,12,0,3,0,0,26,0,0,4,0,0,0,0,0,0,6,0,0,8,3,12,5,3,0,0,33,43,61,209,253,234,298,179,39,5,1321,24,5,22,26,36,76,226,167,50,636,6,5,24,38,28,34,30,21,3,185,80,73,255,312,293,406,436,226,54,2138
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,4,7,0,0,0,0,19
RA69,20,20,49,44,29,30,5,0,0,194,24,22,29,37,31,49,36,10,0,244,10,7,11,24,17,22,26,5,0,122,48,53,92,97,78,98,72,13,4,561,3,17,43,35,30,15,3,0,0,149,7,21,22,29,29,16,4,0,0,126,3,3,11,5,0,10,0,0,0,26,0,0,0,0,3,0,0,0,0,10,12,33,79,69,63,42,9,0,0,309,12,21,17,12,22,4,0,4,0,94,9,7,12,9,3,12,0,0,0,46,18,27,32,17,25,14,0,4,0,139,31,58,109,85,90,54,13,4,0,445,42,43,64,65,75,93,77,22,3,485,19,16,49,54,41,50,71,11,0,314,95,119,228,198,203,199,163,31,3,1248
RA72,2077,3210,10341,8931,7243,4836,1200,108,0,37943,1372,558,1725,1429,1078,1756,2967,1493,394,12770,292,373,1129,924,725,551,351,178,63,4591,3735,4144,13199,11286,9043,7139,4513,1776,465,55301,886,4071,13904,12624,10960,7010,1525,107,12,51101,2434,2062,4627,3674,2563,2066,965,132,6,18528,138,231,1048,793,619,583,186,21,0,3611,103,177,421,265,216,157,52,12,7,1401,3549,6544,19994,17350,14362,9815,2731,265,22,74631,192,268,487,325,280,262,54,6,0,1873,385,158,259,162,129,107,47,9,0,1258,576,425,747,486,414,374,99,9,0,3131,4124,6968,20744,17836,14772,10185,2832,269,23,77762,2925,1200,2808,2337,1991,3217,5748,3000,700,23923,602,876,2397,1932,1641,1240,791,339,106,9927,7651,9046,25950,22108,18400,14637,9374,3608,833,111611
RA73,534,796,3069,2341,2142,1664,437,33,0,11015,658,424,989,830,674,782,901,406,143,5815,123,110,412,338,327,276,163,75,16,1840,1316,1332,4476,3508,3141,2726,1497,515,161,18672,333,1047,4180,3322,3054,2458,584,47,0,15022,561,340,1037,981,720,666,311,46,3,4671,38,58,324,211,188,166,67,4,0,1053,25,54,146,101,68,52,20,8,0,484,954,1496,5696,4626,4026,3346,987,98,7,21232,51,101,177,137,107,82,13,0,0,661,70,46,95,67,45,46,13,0,0,387,118,151,271,202,155,123,28,5,0,1050,1072,1646,5964,4826,4183,3472,1017,102,7,22282,1434,857,1798,1544,1264,1387,1803,809,212,11122,254,251,831,692,652,594,350,157,27,3814,2768,2754,8596,7064,6102,5457,3171,1067,253,37223
RA74,365,673,1617,1422,1126,773,193,20,0,6189,1258,1051,1899,1394,1119,834,522,175,36,8284,114,171,402,286,211,184,86,12,0,1468,1739,1894,3915,3092,2450,1790,804,206,41,15942,223,653,1827,1599,1408,1082,284,30,3,7113,163,246,605,651,427,296,113,21,0,2523,20,52,142,123,103,100,25,0,0,565,31,60,108,81,70,40,20,6,0,415,443,1007,2682,2455,2005,1527,440,53,3,10616,196,271,464,300,190,66,10,0,4,1503,86,90,146,116,67,26,8,0,0,544,284,357,609,420,261,94,19,5,4,2044,724,1364,3292,2871,2264,1623,456,56,7,12655,2656,2046,3504,2575,2090,1481,983,334,67,15738,280,384,867,607,504,440,199,37,0,3327,3664,3792,7666,6054,4860,3540,1634,433,76,31720
RA75,0,3,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,11,0,5,13,10,10,9,0,0,0,46,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,3,0,5,16,10,10,9,0,0,0,56,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,16,10,10,7,0,0,0,63,0,0,0,5,5,0,0,0,0,8,6,0,6,4,4,3,0,0,0,21,4,6,23,22,19,17,0,0,0,94
RA79,17,29,115,69,60,25,5,0,0,320,24,36,119,99,91,145,79,13,4,605,27,39,130,96,128,107,28,0,0,558,64,99,364,268,280,279,114,17,4,1486,9,21,97,58,34,24,4,0,0,252,8,7,40,31,20,17,9,0,0,132,0,0,25,24,23,5,5,0,0,92,0,0,10,11,0,3,0,0,0,27,13,34,175,126,84,53,22,0,0,500,3,13,33,18,16,12,4,0,0,85,0,0,10,10,7,10,0,0,0,37,7,14,36,26,19,17,0,0,0,127,15,50,213,153,112,67,21,0,0,633,35,55,216,195,209,290,216,32,3,1251,43,81,228,227,277,225,82,14,0,1174,95,183,661,573,591,579,318,49,7,3052
RA80,7881,14194,33029,30021,24071,14351,3286,298,26,127154,4441,2049,4256,3785,3386,8429,15014,9718,3867,54952,558,869,1658,1152,836,638,696,537,419,7363,12876,17117,38948,34956,28295,23415,18999,10555,4316,189472,2185,13172,46070,42926,36303,19133,3211,199,16,163218,9797,11807,14759,13542,9281,7695,3658,602,48,71190,709,877,3078,2651,1616,1500,461,49,14,10958,129,394,953,532,353,177,69,22,5,2633,12821,26250,64862,59647,47558,28511,7395,866,80,247998,326,740,1390,920,707,530,83,3,0,4701,2061,970,775,491,350,377,155,15,0,5196,2386,1707,2163,1409,1055,909,234,19,0,9899,15206,27954,67023,61058,48623,29421,7634,892,82,257894,9911,4334,6942,5612,5597,14395,26634,17431,6424,97268,1124,1851,3575,2509,1813,1428,1322,1006,673,15303,26241,34143,77542,69181,56029,45239,35590,19328,7175,370469
RA81,12,14,41,49,40,23,7,0,0,189,5,4,6,6,4,13,11,5,5,57,5,0,3,3,5,4,4,0,0,22,21,18,49,51,45,50,21,7,5,263,4,15,54,65,61,45,12,0,0,253,19,9,16,23,19,14,7,3,0,114,0,0,16,3,5,0,0,0,0,28,0,0,0,0,0,0,0,0,0,7,21,29,79,99,79,62,22,3,0,394,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,6,22,32,79,95,84,61,22,3,0,401,14,4,6,6,9,16,24,6,4,82,0,5,4,3,9,11,10,0,0,46,40,40,92,105,95,94,52,12,4,528
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,22,23,32,19,16,17,0,0,0,129,21,14,8,13,5,14,7,4,0,88,0,4,7,7,7,8,7,0,0,35,37,40,53,33,30,35,10,8,0,249,8,17,35,20,18,9,0,0,0,108,13,20,17,8,7,10,0,0,0,83,6,0,7,4,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,22,36,59,38,32,23,3,0,0,216,4,4,10,9,0,0,0,0,0,32,7,7,4,0,3,0,0,0,0,17,8,14,7,9,6,0,0,0,0,48,34,50,71,47,36,26,3,0,0,264,25,26,24,21,15,32,21,8,0,169,0,9,21,35,29,22,16,5,0,129,58,82,108,104,77,78,34,10,4,560
RA91,7,6,10,11,15,7,0,0,0,45,6,3,3,6,10,6,11,6,0,37,4,4,6,7,6,8,4,6,0,35,11,15,19,15,29,16,10,10,0,122,8,8,12,11,11,9,0,0,0,59,0,0,0,4,3,4,0,0,0,19,0,0,5,3,4,0,0,0,0,9,0,4,0,0,3,0,0,0,0,3,11,15,13,17,16,11,0,0,0,93,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,5,0,0,0,7,11,15,13,20,22,20,0,0,0,102,6,3,3,5,16,4,15,4,0,66,4,3,13,12,15,8,14,9,0,80,22,21,32,35,47,37,27,16,0,246
RA94,52,64,155,212,230,250,102,23,0,1083,29,13,22,41,27,76,130,88,26,448,9,14,42,44,31,43,21,16,6,230,93,93,224,297,285,370,253,123,31,1768,17,70,193,265,304,311,107,9,0,1285,70,42,92,118,104,151,92,23,3,702,5,6,17,15,21,28,21,4,0,121,4,3,10,4,6,5,6,0,0,40,95,123,315,408,446,496,227,36,4,2152,0,0,0,3,0,9,0,0,0,22,0,0,0,3,3,7,0,0,0,23,0,6,0,9,6,18,3,0,0,45,97,125,316,417,449,519,226,40,4,2195,53,37,132,105,76,127,268,164,56,1015,22,25,86,85,87,86,59,40,8,500,172,190,544,605,616,729,561,239,67,3713
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,11
