RA_CODE_2021,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA32,11909,13812,31916,33931,35280,27575,7151,895,72,162542,6676,3286,7700,6842,7339,14465,24846,15187,5534,91874,1701,1951,4582,3832,3732,3295,2610,1896,991,24589,20283,19055,44196,44603,46347,45335,34606,17979,6600,278997,5006,16336,40949,42630,46154,34091,7739,1043,62,194008,14137,8888,16556,17931,17541,17105,7235,1229,105,100720,924,1095,3576,2610,2660,3120,1044,129,25,15190,544,756,1511,1203,1103,890,373,188,49,6614,20613,27076,62586,64376,67466,55201,16387,2599,234,316533,912,1372,2088,1663,1926,1703,209,5,0,9881,1907,824,1118,916,901,1057,315,29,6,7070,2817,2193,3211,2580,2830,2765,527,33,6,16961,23428,29268,65793,66948,70299,57964,16918,2633,243,333493,14573,5751,11829,11163,13102,25723,49058,29610,9360,170164,3608,4787,10350,8812,8747,7793,5879,3784,1662,55423,41613,39805,87970,86925,92148,91486,71853,36024,11258,559083
RA33,872,1435,3538,3081,3132,2561,800,169,22,15616,685,413,1046,746,730,1276,1820,1045,355,8115,185,278,612,505,486,509,336,199,75,3180,1747,2126,5195,4322,4345,4346,2952,1414,459,26915,689,2042,5112,4407,4687,3954,1189,230,10,22326,872,571,1436,1417,1287,1355,590,156,33,7715,88,129,435,275,282,293,108,28,6,1633,71,107,213,179,173,115,73,61,8,1003,1726,2841,7189,6276,6421,5720,1961,478,64,32678,71,116,203,159,177,160,26,0,0,922,93,50,89,75,67,77,29,5,0,483,166,167,293,231,244,240,59,4,0,1404,1893,3010,7481,6506,6663,5966,2021,483,62,34083,1440,681,1500,1126,1310,2374,3846,2208,607,15084,416,665,1573,1218,1276,1236,803,411,147,7756,3749,4358,10558,8851,9252,9574,6674,3097,817,56924
RA34,611,1097,2486,2186,2210,1882,597,98,6,11171,735,511,962,723,626,917,1065,669,282,6482,172,229,468,350,397,401,214,128,53,2411,1517,1838,3915,3253,3229,3192,1885,893,333,20069,531,1455,3385,2913,3189,2809,918,157,4,15357,442,428,1007,948,812,815,366,76,8,4894,59,75,291,183,194,211,64,8,0,1079,67,104,186,122,141,99,58,30,0,802,1097,2070,4861,4156,4336,3928,1402,267,19,22125,114,142,225,170,184,105,17,3,0,958,80,48,70,58,56,54,16,0,0,378,198,189,295,221,242,153,34,0,0,1333,1294,2256,5152,4377,4573,4084,1434,271,19,23463,1506,907,1544,1186,1117,1654,2232,1337,464,11938,350,491,1084,807,900,911,495,305,94,5433,3147,3652,7783,6369,6589,6658,4165,1912,574,40838
RA35,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,13,5,0,0,0,0,0,24,0,9,13,7,0,4,0,0,0,28,0,0,3,8,12,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,0,4,6,13,15,0,0,0,0,29,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,12,13,15,0,0,0,0,35,0,0,4,4,0,0,3,0,0,11,0,14,34,48,32,8,0,0,0,135,0,16,49,64,45,5,3,0,0,183
RA39,113,224,605,330,309,267,48,3,0,1892,117,143,382,296,360,713,715,132,19,2883,58,127,362,259,219,194,106,26,5,1349,291,493,1345,885,887,1170,870,160,25,6127,23,161,575,320,255,225,42,0,0,1610,72,118,329,217,169,157,52,7,0,1119,23,35,86,79,55,75,13,3,0,371,8,15,32,23,22,12,4,0,0,124,128,325,1027,644,497,464,118,7,0,3219,37,69,157,104,104,70,12,0,0,565,41,30,59,44,53,59,13,0,0,286,76,96,212,142,157,130,25,4,0,851,204,426,1241,790,656,596,140,9,0,4069,229,236,644,575,665,1368,1672,361,33,5780,124,267,765,717,612,501,313,74,12,3387,566,934,2649,2077,1929,2468,2124,444,44,13234
RA40,20604,34092,74651,72181,67531,51440,11853,1007,101,333460,14972,7794,16806,16017,15503,30008,57924,40267,20261,219551,1113,1523,3560,2942,2513,2353,2467,2478,1812,20766,36691,43410,95017,91148,85549,83803,72241,43752,22172,573770,4274,26738,92155,91057,87341,59945,10544,674,38,372766,26895,32614,46040,44750,38780,35561,13840,2009,143,240630,1708,2548,7344,5214,3818,4629,1423,176,22,26881,483,1125,2354,1663,1281,900,337,128,50,8324,33365,63025,147899,142679,131212,101041,26142,2997,247,648608,1239,3292,5100,3719,3537,2672,346,16,4,19922,5245,3360,3106,2349,1897,1855,481,42,9,18346,6483,6649,8204,6065,5435,4525,825,60,14,38268,39843,69676,156099,148748,136645,105564,26973,3057,263,686872,33345,15856,25828,24320,26230,50886,104074,72013,32516,385070,2322,3263,7662,6523,5718,5116,4717,4229,2821,42372,75510,88794,189595,179592,168590,161563,135765,79299,35608,1114313
RA41,2771,3020,6122,7396,9127,8299,2173,310,25,39248,1775,602,1623,1615,1921,4718,10208,6427,2536,31438,240,176,423,392,594,608,644,446,252,3789,4796,3800,8164,9408,11646,13633,13027,7190,2813,74478,962,3025,7308,8804,11094,8909,2071,244,10,42427,3434,2484,3875,4781,5633,6571,2735,508,44,30074,245,246,780,581,626,910,350,72,3,3812,169,152,244,207,281,225,119,73,12,1481,4809,5906,12197,14375,17631,16612,5279,898,79,77793,156,285,382,289,372,362,40,0,6,1887,373,176,210,175,232,314,75,4,5,1561,536,455,590,463,608,671,110,14,6,3445,5339,6367,12787,14837,18241,17288,5397,910,84,81242,3905,1141,2545,2642,3380,8179,19070,12522,4312,57690,469,445,903,918,1234,1303,1284,867,419,7848,9716,7952,16241,18405,22857,26765,25754,14290,4816,146780
RA42,2951,3320,7767,8084,9545,8768,2371,328,32,43166,1812,846,2218,1961,2359,5135,10086,6977,2892,34292,323,296,688,710,751,852,860,744,437,5655,5085,4463,10675,10754,12654,14754,13313,8055,3364,83115,1424,4006,9735,9658,11812,10181,2625,327,31,49797,3578,2246,4834,5182,5549,6286,2628,519,45,30873,235,248,880,593,682,985,373,58,11,4055,177,184,343,285,338,317,161,76,16,1879,5415,6685,15786,15717,18370,17766,5788,981,102,86611,196,424,573,434,542,540,51,0,0,2760,362,226,299,250,268,355,68,8,0,1830,556,653,869,682,807,892,120,11,6,4596,5973,7337,16652,16400,19184,18657,5908,991,98,91202,4159,1602,3720,3637,4502,9397,19724,12963,4793,64506,706,664,1493,1462,1660,1862,1761,1413,691,11710,10840,9595,21873,21495,25351,29912,27394,15370,5592,167427
RA43,570,669,1876,1967,2125,1900,501,79,8,9705,353,154,446,323,374,1020,1986,1223,536,6416,76,71,172,159,204,196,201,124,79,1276,1002,895,2490,2449,2699,3119,2686,1429,622,17398,311,866,2329,2439,2622,2124,572,89,6,11369,737,436,1153,1289,1301,1487,575,117,3,7099,59,53,276,175,225,274,102,23,0,1195,55,43,85,77,74,56,20,13,5,428,1159,1396,3851,3981,4224,3945,1271,249,18,20087,33,46,94,68,97,95,3,0,0,430,57,28,35,34,33,84,18,0,0,301,87,71,128,101,132,180,19,0,0,729,1248,1470,3976,4082,4353,4129,1293,249,18,20821,727,260,646,543,712,1881,3869,2435,926,12000,175,150,394,402,480,448,401,273,129,2846,2149,1874,5027,5028,5550,6454,5567,2957,1066,35664
RA44,128,215,595,521,599,532,171,28,4,2801,192,110,263,189,198,259,431,217,96,1955,35,30,109,69,83,83,69,32,20,542,357,354,972,783,881,874,669,277,120,5292,88,247,723,638,748,690,210,34,0,3380,128,116,321,318,309,318,174,29,4,1720,12,15,61,40,45,52,19,5,0,263,6,21,51,25,52,37,15,9,0,218,242,395,1152,1024,1156,1100,424,77,6,5579,37,50,86,50,53,44,7,0,0,332,22,11,30,25,25,28,13,0,0,154,59,64,115,74,76,76,20,0,0,488,299,465,1268,1099,1228,1172,448,77,6,6062,382,208,437,340,377,571,904,513,176,3914,76,83,231,154,209,186,158,89,48,1226,758,750,1938,1601,1819,1932,1511,678,229,11208
