RA_CODE_2021,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
RA23,0,0,17,18,126,13,170,0,0,0,0,3,0,3,0,0,0,0,6,0,10,0,0,0,0,3,0,3,0,0,0,4,22,0,26,0,0,0,0,0,0,0,0,0,3,0,11,0,11,0,0,0,0,9,3,9,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,5,0,0,0,0,5,0,4,0,0,10,0,14,0,29,0,7,10,0,5,0,21,0,0,3,3,0,0,7,0,0,0,4,4,0,10,0,0,0,0,6,0,11,0,0,0,0,6,5,15,4,10,42,38,231,20,341,0,0,15,12,36,0,76,0,0,0,0,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,3,4,7,0,19,0,0,3,9
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,8,3,17,0,34,0,0,6,0,0,0,5,5,0,10,0,30,0,56,0,0,0,0,8,0,15,0,0,18,9,97,0,123,3,0,0,0,13,0,13,0,0,3,3,23,0,34,0,0,18,11,13,3,50,3,0,16,6,22,0,45,4,0,6,4,0,0,10,6,0,11,0,4,3,24,0,0,6,0,0,0,12,13,0,21,12,8,0,54,0,0,10,10,9,3,27,7,0,18,5,24,0,48,7,3,3,4,0,0,23,14,3,11,6,6,5,45,0,0,7,0,4,0,13,0,0,0,0,10,0,21,0,0,9,9,13,11,44,77,10,187,85,299,34,695,4,0,3,0,4,0,15,0,0,0,0,0,0,0,0,0,14,3,11,0,23,0,0,7,0,0,0,5,0,0,0,0,4,0,8,0,0,3,0,4,0,7,0,5,13,3,11,3,34,3,0,32,8
RA30,312,71,884,520,1412,170,3363,1620,358,3470,1253,4605,202,11506,2419,558,7541,5507,25728,1045,42800,1153,296,2573,1573,4089,184,9870,2178,618,10352,9441,69589,1990,94175,1291,287,3889,2680,7821,446,16411,2326,530,8985,5986,16695,1140,35661,1594,310,6230,6085,11839,948,27004,2661,686,7743,7033,15891,1417,35436,900,215,3410,1619,2384,204,8738,3018,1198,8560,4060,2972,458,20267,1072,315,3888,1884,4087,407,11653,12603,3201,32400,7815,7131,1210,64357,1181,390,4470,3011,7655,584,17294,4847,2388,12412,9116,12131,888,41776,9534,3123,13816,3174,4663,545,34861,10124,2652,20958,6926,9391,1184,51239,696,235,2976,1665,3642,248,9459,1165,384,3125,2653,15757,502,23590,2350,394,6029,3451,12600,3359,28179,63037,18191,163710,85460,240082,17139,587628,173,72,795,428,671,130,2275,510,192,1365,395,517,65,3045,1274,401,4707,3330,5280,545,15535,488,206,1349,633,714,73,3461,909,459,4247,3781,5569,511,15469,803,270,2870,1837,2648,277,8712,2098,764,11411,9378,17081,1526,42252,1640,440,8049,6795
RA31,242,63,1180,981,3564,413,6447,138,101,580,820,7053,218,8914,312,123,1312,1296,10636,448,14121,139,67,430,633,2513,83,3866,138,96,880,1526,20139,598,23369,89,36,397,479,3060,115,4171,220,68,918,862,5117,250,7432,158,29,536,699,3048,207,4679,198,86,714,1045,5387,370,7804,40,28,199,157,430,19,875,145,103,539,458,440,32,1716,54,36,267,228,1033,63,1678,730,295,2840,1023,1653,157,6704,84,37,334,393,2154,146,3144,547,378,1990,2555,4335,275,10081,1364,754,3346,796,1538,111,7903,1669,509,3733,1642,3481,287,11315,41,19,177,156,674,50,1120,141,67,435,462,5937,133,7174,180,46,584,563,4187,908,6470,6623,2941,21398,16771,86385,4876,138993,156,94,1059,747,1312,255,3625,33,22,228,249,681,47,1262,121,92,884,710,1966,190,3960,44,25,229,194,429,25,949,81,67,621,836,1797,114,3508,28,33,264,297,772,52,1443,193,134,1418,1708,6151,494,10097,139,55,874,1190
RA32,146,60,993,899,3906,445,6450,181,93,758,766,7226,267,9288,143,51,602,665,5455,212,7132,61,29,307,388,1768,40,2593,101,37,699,976,12796,388,14996,35,23,223,261,1882,76,2495,143,43,691,561,3341,207,4998,166,40,837,906,2782,273,5000,140,60,703,1092,3946,264,6212,19,16,154,110,357,26,688,74,47,271,252,204,22,864,31,6,202,188,699,41,1175,555,193,2045,646,1025,119,4578,52,28,314,347,1669,121,2533,555,284,1901,2367,4843,280,10235,985,503,2167,505,1013,86,5263,1074,353,2882,1110,1977,215,7610,58,13,201,166,513,40,995,126,33,336,307,3981,108,4885,101,34,365,382,2710,724,4310,4750,1956,16640,12890,62101,3966,102307,127,94,1027,702,1128,254,3332,75,51,397,295,904,58,1773,70,41,410,385,967,82,1954,28,27,159,138,261,11,634,51,43,415,527,1206,94,2332,10,12,190,199,581,45,1041,133,102,1154,1253,3971,396,7007,231,83,1328,1323
RA33,12,8,180,254,1091,110,1657,89,32,334,176,2030,72,2731,10,3,35,24,358,12,443,0,5,17,17,171,10,213,16,7,28,46,811,36,939,3,4,12,15,139,11,185,17,0,41,27,187,10,275,32,3,128,130,377,31,708,3,0,24,42,253,30,344,4,0,3,0,13,0,26,0,0,6,8,7,0,27,0,0,6,6,63,0,83,20,5,64,16,76,9,182,4,3,29,14,124,16,190,35,13,92,140,318,36,631,35,34,156,22,84,9,339,54,26,130,49,97,13,367,0,0,8,6,29,4,48,6,0,18,14,330,6,369,4,0,19,25,219,98,364,340,139,1333,1046,6764,492,10122,19,27,309,243,363,47,1016,33,22,161,119,306,29,675,0,6,33,26,63,6,132,0,0,15,8,18,6,46,4,7,34,44,83,7,175,0,4,16,14,49,5,95,10,7,87,82,269,30,480,30,9,244,177
RA34,8,3,99,174,793,68,1150,21,6,88,56,630,30,828,6,0,8,10,190,4,221,0,0,3,11,108,10,132,8,0,18,31,600,43,697,0,0,5,11,51,9,80,10,0,27,20,171,25,256,5,0,68,49,196,15,346,0,4,25,43,198,31,298,0,0,9,0,8,0,20,0,0,3,0,4,0,12,0,0,5,0,26,4,34,6,0,39,18,34,0,97,0,0,4,21,79,5,109,30,18,121,178,648,83,1073,40,25,144,28,88,12,337,30,16,97,53,136,21,356,4,0,10,18,36,7,74,0,0,6,16,203,5,229,0,0,7,21,129,70,233,171,87,796,769,4325,437,6579,13,25,240,171,367,46,855,5,3,42,33,113,12,206,3,0,13,11,43,3,69,0,0,0,0,13,0,13,0,0,22,16,70,12,119,0,0,8,7,39,4,61,11,6,52,51,195,34,343,22,4,80,98
RA35,0,0,0,0,12,6,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,5,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,28,11,31,6,77,0,0,5,5,36,0,48,3,0,9,3,42,0,63,0,0,6,0,13,0,23,0,0,9,13,142,6,176,0,0,3,0,3,0,5,8,0,15,9,25,0,54,4,6,33,13,44,4,103,7,4,3,14,47,3,77,0,4,4,5,0,0,17,0,0,5,3,0,0,16,0,0,0,4,7,0,16,11,4,36,16,22,3,84,7,0,19,8,26,0,61,7,3,8,7,21,4,46,5,4,10,12,12,0,35,12,0,21,10,17,4,64,0,0,5,0,4,0,10,4,0,0,4,33,0,38,7,0,17,6,32,16,72,78,23,237,133,572,57,1092,7,3,60,19,23,5,119,4,0,4,0,6,0,13,0,0,3,6,3,0,21,0,0,3,3,3,0,5,3,0,4,4,8,0,21,0,0,8,3,4,0,17,4,0,13,19,34,5,69,11,3,62,34
RA40,203,63,606,321,854,132,2173,430,99,1029,334,1823,70,3791,1612,378,4513,2845,10589,520,20449,466,170,1345,676,2040,102,4801,829,215,3688,2604,22546,717,30600,427,138,1385,931,3111,172,6161,1134,213,3849,2003,6262,442,13897,796,110,2529,1833,3921,338,9525,1163,204,2686,2364,5441,507,12371,417,107,1323,644,1014,83,3592,1052,447,2857,1690,1229,136,7408,240,80,985,693,1178,94,3266,4389,1196,11619,2815,2723,435,23178,667,129,1799,1147,3186,224,7149,2666,1032,6200,3912,6120,414,20346,4508,1142,6349,1346,1855,182,15388,4586,1176,9563,2775,4427,572,23101,277,73,1024,495,1021,90,2988,504,183,1359,1133,6484,220,9889,725,126,1679,940,3222,991,7684,27085,7276,66385,31521,89049,6440,227758,129,33,401,197,279,49,1088,105,48,407,124,196,21,905,681,218,2390,1267,2266,225,7052,240,80,526,269,416,36,1573,355,104,1344,910,1693,151,4558,263,89,852,500,911,79,2701,808,286,4320,2346,6342,571,14671,742,129,2876,1626
RA41,60,28,377,309,1326,104,2217,18,5,83,67,538,17,731,89,54,475,349,2200,105,3270,22,3,45,67,404,13,555,33,12,155,242,3472,143,4057,10,7,63,105,485,29,703,30,15,167,160,946,51,1379,15,9,96,120,526,33,796,13,11,90,113,766,62,1057,3,0,54,36,95,8,201,20,14,93,105,77,15,319,10,5,40,75,135,15,280,162,49,526,223,282,41,1283,20,5,82,96,524,31,768,111,63,316,457,745,39,1742,191,104,542,155,272,18,1287,169,67,451,226,471,35,1420,11,5,65,59,161,11,317,24,23,94,92,1107,24,1359,28,18,104,85,554,118,906,1046,515,3938,3142,15086,910,24646,61,37,287,249,401,56,1089,3,0,29,22,40,3,109,63,35,354,280,635,57,1424,9,12,22,19,40,0,95,14,11,107,147,296,24,598,6,3,52,61,126,9,259,37,22,307,286,1041,85,1778,28,15,173,179
RA42,59,48,525,600,2704,288,4217,20,8,79,80,900,39,1124,97,30,375,320,2737,125,3688,3,3,19,53,467,20,578,25,9,110,123,3023,104,3394,8,8,59,81,519,45,718,39,8,146,114,973,62,1341,13,10,63,99,532,46,760,13,5,60,120,874,80,1151,7,8,22,10,58,5,108,15,7,38,76,78,3,216,0,0,20,43,96,6,162,47,12,232,94,226,17,632,9,3,49,55,363,29,514,66,50,215,320,828,42,1518,142,87,584,99,294,16,1228,171,54,423,214,495,43,1399,4,0,31,17,88,8,145,18,17,54,84,1091,28,1292,11,6,48,68,566,179,876,765,372,3142,2677,16927,1182,25068,41,59,481,383,644,109,1719,4,3,16,18,67,11,120,39,15,234,156,464,42,949,0,3,16,14,47,0,84,8,10,50,86,247,22,430,3,5,38,54,140,18,258,22,24,220,228,1174,126,1800,31,16,129,185
RA43,17,4,179,189,898,125,1413,24,7,63,50,531,13,692,8,0,21,14,204,14,259,3,0,7,4,111,6,130,0,0,27,48,857,28,960,0,0,26,20,146,14,201,11,6,20,26,204,12,279,6,0,31,34,155,11,238,4,0,10,55,201,23,297,0,0,9,5,6,0,26,0,0,6,15,11,0,39,0,0,3,13,17,4,39,20,9,56,18,40,4,151,0,0,15,18,74,7,113,7,7,63,72,157,9,324,34,17,159,22,55,0,282,29,8,81,38,72,5,238,0,0,14,3,18,4,46,4,6,26,13,231,7,280,4,0,19,22,104,27,185,182,59,848,675,4092,319,6172,21,25,142,115,174,31,513,17,6,45,25,114,6,203,3,3,16,25,55,6,113,0,0,6,7,5,0,21,0,0,19,19,79,0,127,0,0,15,20,36,0,70,8,10,66,64,264,26,429,13,6,56,66
RA44,0,4,33,23,205,31,294,0,0,10,12,130,12,171,0,0,0,3,18,0,27,0,0,0,0,27,0,26,0,0,10,5,158,7,187,0,0,0,3,16,0,18,4,4,12,12,49,12,96,9,0,9,22,60,5,99,0,0,3,11,64,0,76,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,3,0,0,10,5,5,0,20,0,0,7,5,17,0,31,6,0,15,26,68,13,137,15,10,65,8,28,7,122,11,0,27,11,42,12,110,0,0,0,0,7,0,9,0,0,5,3,60,10,83,0,0,3,4,38,28,74,42,18,222,159,999,151,1592,3,5,42,49,54,14,166,0,0,0,7,8,0,18,0,0,0,0,4,0,10,0,0,0,0,0,0,4,0,0,3,10,20,0,33,0,0,0,6,7,0,11,0,0,25,13,39,6,87,9,4,14,22
RA45,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,3,0,5,0,7,0,0,0,3,4,0,13,0,0,4,5,7,0,14,0,0,0,0,5,0,3,0,0,4,3,22,0,31,0,0,0,0,0,0,4,0,0,0,3,14,6,15,4,0,3,0,13,0,20,0,0,0,0,23,8,26,0,0,0,0,3,0,5,0,0,0,0,5,0,3,0,0,4,3,0,0,9,4,0,12,0,4,0,21,0,0,10,0,9,3,26,3,0,0,0,3,0,8,0,0,5,3,0,0,10,4,0,9,0,5,3,21,0,0,3,0,0,0,3,0,0,0,0,5,0,5,0,0,0,0,8,0,14,19,3,59,20,142,18,264,0,0,0,0,0,0,7,0,0,4,0,0,0,7,0,0,5,0,3,0,3,0,0,3,0,0,0,6,0,0,3,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,3
RA50,202,57,604,347,901,112,2221,4813,1043,11147,4640,19591,994,42226,1710,394,5170,3709,15703,759,27445,727,186,1695,815,2577,134,6134,1822,455,7237,6395,36081,1527,53522,911,179,2733,1636,5770,321,11548,1568,308,5612,3100,8520,729,19840,848,151,3793,3536,6333,608,15279,1815,429,5140,4598,8753,926,21665,436,117,1548,805,1176,109,4191,1373,584,4450,2086,1159,231,9884,419,136,1830,1189,1827,178,5578,8160,1762,20939,5347,4891,941,42038,791,209,2497,1615,4076,367,9559,3034,1454,7556,5235,7903,704,25887,5226,2379,8251,1781,2680,375,20687,5224,1362,11353,3252,4474,726,26397,485,153,1864,969,1875,190,5542,777,219,2055,1679,9946,384,15059,1807,312,4586,2483,8435,2210,19841,42146,11894,110073,55216,152666,12526,384521,122,47,483,255,388,90,1394,1712,607,4734,1627,2748,280,11708,754,288,2854,1782,2725,383,8798,380,137,968,398,592,61,2535,641,316,3069,2120,3289,391,9818,395,174,1664,962,1583,211,4997,1636,474,7194,4788,10121,1148,25362,931,250,4945,3521
RA51,48,22,296,260,831,111,1561,108,59,461,586,3981,136,5333,104,55,583,444,2713,127,4018,25,11,86,127,782,29,1059,45,26,316,570,5047,202,6201,11,13,77,96,554,19,770,29,13,220,207,1062,60,1586,41,10,205,227,761,64,1314,30,20,121,204,1016,76,1461,5,3,47,36,101,9,202,25,18,100,113,61,5,323,10,4,66,97,191,17,380,150,56,604,277,404,45,1538,8,6,112,88,543,41,796,110,74,426,443,985,51,2085,160,221,634,161,319,19,1507,249,74,640,231,480,43,1717,8,9,52,50,158,7,293,46,16,96,84,1266,33,1531,37,6,150,167,964,201,1526,1242,713,5284,4453,22223,1300,35208,30,33,260,178,382,79,955,38,23,193,165,462,46,922,45,48,392,249,599,54,1386,13,5,51,39,122,7,238,27,22,173,228,541,49,1037,4,10,66,79,198,23,372,54,37,431,471,1625,151,2772,40,36,418,394
RA52,70,22,594,463,1878,222,3249,170,40,462,335,3004,117,4132,35,11,178,144,1148,89,1595,7,0,25,51,400,11,498,13,11,127,304,2944,86,3485,9,3,91,88,678,22,898,25,7,127,132,884,50,1227,24,13,111,142,529,47,860,24,6,123,203,1038,59,1452,9,3,34,18,59,7,136,14,11,50,60,60,10,194,4,0,30,52,174,12,272,107,31,393,174,280,29,1013,11,3,38,73,314,22,459,98,72,331,420,887,67,1869,168,164,539,140,288,22,1327,206,64,522,205,399,58,1451,6,0,34,27,88,11,167,31,14,75,83,1191,29,1422,22,8,72,77,641,172,988,1038,494,3956,3186,16885,1137,26691,40,61,529,339,536,120,1633,68,23,212,148,384,40,864,18,12,103,105,267,46,554,7,3,18,26,45,5,97,11,3,81,141,301,21,550,3,14,64,45,209,11,342,36,28,250,294,1110,119,1845,32,24,270,246
RA53,24,8,303,193,940,84,1559,77,35,266,311,2503,81,3274,20,7,67,48,431,21,591,15,5,30,35,209,9,300,15,4,77,142,1468,76,1787,4,0,36,47,348,15,463,22,10,73,54,283,29,464,32,7,95,109,296,32,568,30,17,158,198,753,46,1197,0,0,18,16,29,0,64,3,4,20,12,15,0,53,4,3,22,21,95,5,156,25,14,126,57,105,7,335,8,5,38,41,210,14,312,48,39,201,224,380,36,933,66,79,229,64,135,19,594,83,21,182,71,157,18,545,9,0,18,16,29,4,71,15,5,41,37,519,24,642,25,8,71,61,431,112,699,506,273,2071,1766,9341,635,14599,18,38,323,171,263,59,869,33,24,188,156,415,28,844,4,0,44,34,73,15,166,6,3,26,20,45,0,98,5,4,47,68,150,19,293,0,0,37,21,98,12,171,35,9,170,132,362,58,764,23,8,218,161
RA54,9,3,94,87,343,50,589,111,39,400,344,2548,122,3557,3,5,25,18,105,4,150,5,0,11,12,99,5,133,20,4,65,74,792,40,999,3,0,15,11,115,5,149,7,0,42,29,155,28,256,13,4,94,78,280,23,485,14,9,48,71,216,13,377,0,0,3,6,18,0,29,6,0,0,0,4,0,10,5,0,15,18,45,6,81,23,3,52,37,117,7,238,9,3,34,29,164,6,251,43,18,115,138,273,28,611,43,48,178,26,122,8,426,37,10,121,36,116,13,336,0,0,22,9,50,8,84,14,0,23,22,236,7,305,3,0,34,23,193,87,342,361,151,1385,1062,6004,451,9416,21,15,115,72,133,18,377,42,17,162,130,343,28,722,3,0,13,11,32,6,66,0,0,3,4,11,3,24,3,5,25,34,64,4,132,0,0,8,5,15,4,39,17,6,95,72,147,26,367,28,5,176,93
RA55,0,0,5,0,12,5,23,4,0,8,9,30,3,54,0,0,0,0,3,0,4,0,0,0,0,4,0,9,0,0,0,0,19,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,15,4,6,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,17,4,22,5,3,33,18,106,13,179,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,7,7,15,0,35,3,0,13,9,68,8,104,0,0,3,6,17,0,27,0,0,0,0,3,0,3,0,0,8,3,70,0,80,0,0,0,0,0,0,6,4,0,6,4,11,0,23,4,0,15,15,26,0,62,0,0,3,8,20,0,37,0,0,0,0,0,0,3,0,0,0,0,3,0,9,0,0,0,0,0,0,0,3,3,25,5,8,0,40,0,0,5,0,14,0,23,5,0,7,5,9,0,25,5,0,3,5,4,0,18,0,4,7,4,6,0,32,0,0,9,0,3,0,7,0,0,5,0,21,0,27,4,0,0,0,14,8,32,34,12,123,81,324,19,595,5,0,16,7,5,0,32,0,0,3,6,9,0,29,0,0,8,5,6,0,14,0,0,3,0,0,0,5,0,0,0,0,5,0,13,0,0,0,0,0,0,7,4,0,9,7,11,0,32,10,0,24,16
RA61,255,31,445,224,619,69,1641,34,3,70,37,185,8,338,393,50,727,424,2649,149,4390,220,48,564,283,734,23,1878,210,46,661,577,7092,171,8742,118,19,226,175,775,45,1359,546,55,958,403,1574,129,3670,681,51,1021,508,1164,97,3525,386,53,580,385,1194,132,2729,90,20,313,154,259,23,854,159,74,460,291,228,34,1253,53,25,176,132,239,23,646,969,305,2284,540,625,80,4805,186,38,303,177,608,47,1359,702,387,1674,875,1464,112,5209,1397,311,1846,318,671,75,4616,1252,342,2352,682,1323,147,6100,123,43,370,172,380,26,1111,188,35,330,213,1537,43,2358,172,19,282,138,685,239,1537,8136,1954,15634,6721,24000,1678,58122,115,23,221,99,124,29,617,5,3,13,12,21,0,48,168,29,381,191,435,55,1265,99,40,250,144,203,5,738,67,21,194,195,457,26,963,42,12,123,86,185,18,470,452,74,986,483,1706,175,3875,586,58,947,455
RA62,183,36,521,466,1872,221,3296,22,8,82,77,791,30,1010,121,20,300,265,2203,133,3037,14,10,65,75,443,13,621,35,17,153,247,3955,125,4530,23,13,72,121,712,36,983,53,17,163,145,924,61,1363,96,11,170,140,529,42,992,39,11,106,179,1157,100,1587,9,7,52,26,80,0,173,16,17,71,62,66,4,236,9,0,22,55,112,11,212,178,67,478,206,271,25,1223,22,10,66,77,382,16,572,113,75,322,276,703,49,1537,212,94,610,129,343,23,1411,233,104,622,301,600,72,1931,30,5,84,48,143,13,338,35,9,75,69,1008,26,1210,22,10,83,65,532,177,894,1470,533,4121,3046,16817,1171,27164,92,41,425,252,520,98,1425,10,3,27,15,54,6,114,32,17,199,159,477,62,952,9,4,39,40,76,4,169,12,5,72,92,264,30,473,8,4,55,53,176,15,311,32,25,237,260,1255,119,1932,71,25,245,222
