RA_CODE_2021,M15_19_Managers,M15_19_Professionals,M15_19_TechnicTrades_Wrs,M15_19_CommunPersnlSvc_W,M15_19_ClericalAdminis_W,M15_19_Sales_W,M15_19_Mach_oper_drivers,M15_19_Labourers,M15_19_Occu_ID_NS,M15_19_Tot,M20_24_Managers,M20_24_Professionals,M20_24_TechnicTrades_W,M20_24_CommunPersnlSvc_W,M20_24_ClericalAdminis_W,M20_24_Sales_W,M20_24_Mach_oper_drivers,M20_24_Labourers,M20_24_Occu_ID_NS,M20_24_Tot,M25_34_Managers,M25_34_Professionals,M25_34_TechnicTrades_W,M25_34_CommunPersnlSvc_W,M25_34_ClericalAdminis_W,M25_34_Sales_W,M25_34_Mach_oper_drivers,M25_34_Labourers,M25_34_Occu_ID_NS,M25_34_Tot,M35_44_Managers,M35_44_Professionals,M35_44_TechnicTrades_W,M35_44_CommunPersnlSvc_W,M35_44_ClericalAdminis_W,M35_44_Sales_W,M35_44_Mach_oper_drivers,M35_44_Labourers,M35_44_Occu_ID_NS,M35_44_Tot,M45_54_Managers,M45_54_Professionals,M45_54_TechnicTrades_W,M45_54_CommunPersnlSvc_W,M45_54_ClericalAdminis_W,M45_54_Sales_W,M45_54_Mach_oper_drivers,M45_54_Labourers,M45_54_Occu_ID_NS,M45_54_Tot,M55_64_Managers,M55_64_Professionals,M55_64_TechnicTrades_W,M55_64_CommunPersnlSvc_W,M55_64_ClericalAdminis_W,M55_64_Sales_W,M55_64_Mach_oper_drivers,M55_64_Labourers,M55_64_Occu_ID_NS,M55_64_Tot,M65_74_Managers,M65_74_Professionals,M65_74_TechnicTrades_W,M65_74_CommunPersnlSvc_W,M65_74_ClericalAdminis_W,M65_74_Sales_W,M65_74_Mach_oper_drivers,M65_74_Labourers,M65_74_Occu_ID_NS,M65_74_Tot,M75_84_Managers,M75_84_Professionals,M75_84_TechnicTrades_W,M75_84_CommunPersnlSvc_W,M75_84_ClericalAdminis_W,M75_84_Sales_W,M75_84_Mach_oper_drivers,M75_84_Labourers,M75_84_Occu_ID_NS,M75_84_Tot,M85_ov_Managers,M85_ov_Professionals,M85_ov_TechnicTrades_W,M85_ov_CommunPersnlSvc_W,M85_ov_ClericalAdminis_W,M85_ov_Sales_W,M85_ov_Mach_oper_drivers,M85_ov_Labourers,M85_ov_Occu_ID_NS,M85_ov_Tot,M_Tot_Managers,M_Tot_Professionals,M_Tot_TechnicTrades_W,M_Tot_CommunPersnlSvc_W,M_Tot_ClericalAdminis_W,M_Tot_Sales_W,M_Tot_Mach_oper_drivers,M_Tot_Labourers,M_Tot_Occu_ID_NS,M_Tot_Tot,F15_19_Managers,F15_19_Professionals,F15_19_TechnicTrades_Wrs,F15_19_CommunPersnlSvc_W,F15_19_ClericalAdminis_W,F15_19_Sales_W,F15_19_Mach_oper_drivers,F15_19_Labourers,F15_19_Occu_ID_NS,F15_19_Tot,F20_24_Managers,F20_24_Professionals,F20_24_TechnicTrades_W,F20_24_CommunPersnlSvc_W,F20_24_ClericalAdminis_W,F20_24_Sales_W,F20_24_Mach_oper_drivers,F20_24_Labourers,F20_24_Occu_ID_NS,F20_24_Tot,F25_34_Managers,F25_34_Professionals,F25_34_TechnicTrades_W,F25_34_CommunPersnlSvc_W,F25_34_ClericalAdminis_W,F25_34_Sales_W,F25_34_Mach_oper_drivers,F25_34_Labourers,F25_34_Occu_ID_NS,F25_34_Tot,F35_44_Managers,F35_44_Professionals,F35_44_TechnicTrades_W,F35_44_CommunPersnlSvc_W,F35_44_ClericalAdminis_W,F35_44_Sales_W,F35_44_Mach_oper_drivers,F35_44_Labourers,F35_44_Occu_ID_NS,F35_44_Tot,F45_54_Managers,F45_54_Professionals,F45_54_TechnicTrades_W,F45_54_CommunPersnlSvc_W,F45_54_ClericalAdminis_W,F45_54_Sales_W,F45_54_Mach_oper_drivers,F45_54_Labourers,F45_54_Occu_ID_NS,F45_54_Tot,F55_64_Managers,F55_64_Professionals,F55_64_TechnicTrades_W,F55_64_CommunPersnlSvc_W,F55_64_ClericalAdminis_W,F55_64_Sales_W,F55_64_Mach_oper_drivers,F55_64_Labourers,F55_64_Occu_ID_NS,F55_64_Tot,F65_74_Managers,F65_74_Professionals,F65_74_TechnicTrades_W,F65_74_CommunPersnlSvc_W,F65_74_ClericalAdminis_W,F65_74_Sales_W,F65_74_Mach_oper_drivers,F65_74_Labourers,F65_74_Occu_ID_NS,F65_74_Tot,F75_84_Managers,F75_84_Professionals,F75_84_TechnicTrades_W,F75_84_CommunPersnlSvc_W,F75_84_ClericalAdminis_W,F75_84_Sales_W,F75_84_Mach_oper_drivers,F75_84_Labourers,F75_84_Occu_ID_NS,F75_84_Tot,F85ov_Managers,F85ov_Professionals,F85ov_TechnicTrades_W,F85ov_CommunPersnlSvc_W,F85ov_ClericalAdminis_W,F85ov_Sales_W,F85ov_Mach_oper_drivers,F85ov_Labourers,F85ov_Occu_ID_NS,F85ov_Tot,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot
RA49,0,0,0,0,0,0,4,6,0,13,0,0,7,0,0,8,5,12,0,33,8,14,22,12,3,8,15,30,3,116,11,17,15,4,3,0,12,22,3,93,8,12,16,3,6,0,17,16,4,83,8,6,15,6,6,0,6,15,5,63,0,4,3,0,0,0,5,0,0,16,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,38,55,82,24,19,25,56,96,21,419,0,0,0,7,0,5,0,5,0,18,0,0,0,7,5,8,0,4,4,31,5,27,10,16,7,5,0,22,0,97,14,14,3,9,12,12,0,3,0,63,7,14,4,7,6,0,6,7,0,45,0,8,8,7,8,5,0,5,0,47,0,0,0,3,6,0,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,72,20,55,40,38,8,42,8,311
RA50,329,585,4693,3192,646,6257,2139,8998,432,27267,1694,5567,12409,6064,2565,5853,4997,8350,956,48450,10829,27708,32266,8566,6839,5669,13527,12173,2507,120075,21254,31099,30088,6630,7325,4271,14029,9320,2368,126391,21765,23714,24676,5508,6544,3971,13165,8110,2029,109482,15299,16503,17698,4056,5515,3251,11807,7067,1351,82547,4446,6055,4259,1076,1715,1440,3185,2460,471,25105,675,941,330,95,232,225,239,375,152,3266,45,61,10,4,28,21,4,21,49,239,76325,112226,126427,35186,31408,30959,63084,56876,10319,542823,355,684,1000,8064,1734,12832,437,3876,407,29387,2081,7648,3026,14102,7355,9145,1010,3250,682,48297,10116,38509,7470,19720,19456,8191,2166,5938,1711,113282,13229,38023,6118,17721,22205,6708,1857,6219,1582,113659,12458,28982,4943,16610,23464,7366,1962,6968,1297,104051,7437,18240,3275,11724,19318,6221,1450,5768,868,74304,1610,4597,728,2470,5196,1610,313,1492,275,18293,163,356,50,142,444,140,22,163,114,1582,12,13,6,0,24,7,0,10,40,103,47470,137054,26606,90547,99197,52218,9217,33686,6977,502963
RA51,48,34,884,272,40,745,198,1149,72,3436,125,175,1617,261,98,288,500,924,56,4037,751,853,3544,463,224,354,1305,1557,180,9238,1492,1302,3659,473,332,298,1850,1330,246,10991,2073,1533,3438,533,435,400,2330,1222,278,12246,1811,1313,2609,485,454,373,2250,1234,205,10732,928,492,596,123,167,183,628,404,79,3596,254,61,38,7,24,32,41,64,31,547,39,3,0,3,0,4,0,9,11,71,7524,5766,16379,2615,1780,2668,9097,7879,1178,54896,37,37,186,1016,185,1399,58,605,69,3595,168,364,328,937,499,544,114,432,63,3442,710,1879,740,1521,1402,749,261,905,94,8268,1198,2744,763,1914,2072,915,261,1015,157,11048,1387,2582,707,2197,2583,1080,350,1252,165,12301,1063,1860,494,1686,2165,946,272,1009,98,9591,405,480,111,318,526,231,63,275,45,2444,89,22,11,24,48,8,8,39,25,267,12,0,0,0,0,0,0,0,3,17,5064,9968,3338,9614,9482,5875,1388,5536,711,50968
RA52,61,29,771,168,32,521,162,862,62,2669,180,161,1264,168,59,243,424,768,57,3332,876,823,2721,402,181,299,1233,1286,130,7952,1607,978,2270,391,218,280,1307,1027,130,8208,2002,1024,2165,508,260,293,1751,1004,171,9180,2000,955,1839,432,314,317,1946,1052,169,9033,1203,367,495,115,117,120,595,415,72,3509,387,43,41,15,24,30,46,79,38,703,56,4,0,0,0,0,0,10,12,87,8364,4388,11567,2203,1209,2105,7458,6504,860,44661,29,43,142,678,154,963,55,442,52,2557,105,430,261,701,439,420,142,319,42,2847,533,1761,483,1250,1271,588,226,664,82,6866,983,1930,423,1400,1575,611,267,716,91,7987,1260,1863,486,1551,1816,761,306,917,124,9075,1156,1423,378,1325,1693,674,239,940,116,7933,611,365,79,293,506,180,57,263,49,2397,145,30,8,14,52,15,8,51,31,355,10,0,0,0,0,0,0,0,4,18,4826,7845,2256,7215,7507,4202,1289,4314,580,40035
RA53,25,10,306,69,14,217,87,336,39,1101,120,67,567,71,35,83,216,323,37,1520,676,523,1771,231,141,148,662,638,109,4896,1137,583,1791,230,198,121,798,491,144,5485,1175,444,1236,201,172,99,855,436,124,4741,1091,344,765,118,140,107,857,419,91,3933,486,92,180,41,49,39,237,133,29,1276,151,7,11,3,8,11,11,26,13,240,15,0,0,0,0,0,0,0,10,28,4878,2068,6617,963,756,815,3729,2806,589,23224,12,18,69,220,109,335,23,160,29,973,60,208,96,290,269,150,81,128,23,1301,466,1242,331,698,908,323,202,378,65,4608,682,1095,283,728,1017,286,154,421,85,4744,746,726,216,590,826,312,160,359,49,3984,609,498,129,402,579,238,112,342,45,2942,227,127,22,103,170,42,30,93,11,832,56,9,0,8,6,6,5,24,4,115,4,0,0,0,0,0,0,0,0,4,2857,3918,1142,3045,3885,1691,759,1895,311,19509
RA54,10,18,93,27,13,77,42,145,18,437,41,106,290,80,29,42,195,247,20,1035,280,475,1189,273,67,82,716,506,103,3687,447,344,1097,206,112,33,758,292,79,3372,505,257,769,160,87,39,809,313,84,3022,427,208,510,156,90,39,682,252,55,2418,173,63,105,45,27,19,175,73,17,699,43,10,7,0,3,0,14,11,9,103,3,0,0,0,0,0,0,0,0,17,1931,1481,4052,941,423,338,3389,1845,391,14786,4,14,26,117,41,90,12,84,15,404,30,136,60,176,142,63,72,135,32,846,223,684,201,515,456,136,201,315,60,2798,335,447,152,391,442,132,169,222,48,2340,328,349,102,314,360,124,169,226,43,2014,301,300,70,225,299,131,86,199,28,1634,87,72,11,42,68,39,11,57,17,410,20,5,0,5,8,5,3,4,9,51,0,0,0,0,0,0,0,0,0,4,1326,2007,629,1783,1820,717,730,1238,248,10502
RA55,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,6,0,12,0,3,15,0,0,0,5,21,0,60,0,12,27,0,4,0,8,30,4,92,4,8,12,0,0,0,5,15,6,55,0,9,13,0,0,0,3,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,77,0,10,0,25,86,12,246,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,5,0,0,0,5,0,8,0,0,3,0,0,0,0,0,0,9,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,15,0,29
RA59,0,0,3,0,0,0,5,9,5,19,0,0,20,15,3,11,17,34,8,101,11,37,76,15,12,7,38,65,6,268,28,36,64,13,9,5,39,30,5,211,6,23,53,8,0,0,53,17,4,156,8,8,17,10,6,3,32,20,4,115,0,3,4,0,0,0,9,4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,115,232,51,36,29,182,169,19,899,0,0,0,13,7,6,0,11,0,33,4,15,4,22,12,5,7,12,5,84,14,47,9,57,22,10,8,57,7,234,17,35,7,31,23,12,7,13,3,138,7,9,7,17,28,5,7,9,0,91,5,17,6,29,23,3,3,18,0,102,0,5,3,0,11,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,139,34,172,112,47,31,120,11,715
RA61,83,62,836,451,104,924,197,1068,70,3790,345,654,2134,924,394,929,509,1164,145,7200,2087,3870,5359,2203,1301,1464,1988,2844,448,21564,2989,3859,3584,1351,1077,787,1478,1667,364,17158,3233,3501,2922,1215,1187,779,1497,1326,314,15985,2377,2599,2458,824,936,660,1652,1242,224,12977,717,998,639,227,244,236,399,369,86,3911,144,109,54,26,38,34,45,38,34,528,4,10,4,0,4,11,0,0,10,34,11985,15644,17992,7220,5288,5815,7778,9721,1696,83148,56,68,167,1077,272,1983,77,595,73,4371,282,1132,476,2159,1071,1469,70,491,104,7242,1528,6029,1134,4452,3083,1741,168,1355,311,19806,2114,5793,718,2862,3163,1079,124,972,255,17073,2064,4927,716,2709,3790,1174,152,1131,218,16890,1341,3468,527,2177,3216,994,144,1074,171,13110,308,858,135,454,762,235,38,325,51,3165,47,51,8,26,70,24,5,24,26,260,3,4,0,3,0,0,0,0,10,22,7748,22317,3890,15922,15428,8690,775,5969,1211,81948
RA62,108,12,682,131,29,455,127,691,54,2284,256,130,1216,237,106,263,377,779,69,3436,1037,746,2446,486,238,326,1088,1579,164,8118,1417,995,1973,464,297,280,1219,1102,197,7946,1773,1104,1931,540,378,386,1520,1273,219,9114,1752,1055,1888,516,436,359,1759,1240,217,9230,863,441,437,139,132,139,457,353,101,3066,235,66,31,13,25,24,36,51,41,514,35,8,3,0,3,0,0,0,14,65,7477,4560,10609,2527,1647,2230,6574,7069,1078,43779,47,31,137,567,135,994,24,395,40,2364,143,320,248,907,432,592,63,394,40,3143,600,1710,500,1625,1080,760,134,835,84,7335,894,1931,464,1535,1320,711,139,790,114,7903,1107,1832,480,1906,1829,882,144,1085,136,9406,1029,1625,401,1636,1773,713,119,1159,101,8539,366,376,87,256,382,140,26,227,63,1923,88,31,7,6,45,5,3,24,37,249,3,0,0,0,0,0,0,4,6,16,4271,7856,2323,8441,7003,4809,648,4912,617,40880
RA63,4,0,20,5,0,7,6,26,0,63,7,0,26,13,3,3,14,37,0,112,50,18,99,33,10,7,54,100,15,393,72,36,70,20,3,4,52,52,11,316,79,29,80,10,8,9,71,49,7,340,86,47,62,17,13,7,80,85,10,411,37,15,22,5,6,0,29,27,4,149,13,0,0,0,0,0,3,5,0,26,0,0,0,0,0,0,0,0,0,0,352,149,379,108,49,43,303,381,48,1814,0,0,4,18,4,25,0,15,0,54,9,4,6,32,14,11,4,25,0,90,39,67,20,98,43,20,9,69,4,363,39,49,16,43,36,24,7,52,5,268,50,30,9,52,55,29,4,56,3,293,58,42,12,72,46,47,7,70,0,348,22,12,5,6,25,11,3,17,3,115,8,0,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,218,200,73,319,223,161,38,306,24,1552
RA64,0,0,10,0,0,0,0,13,0,31,4,0,18,3,0,3,0,7,3,31,16,10,26,3,4,0,15,30,0,108,35,9,33,0,0,4,6,29,7,127,31,17,15,5,4,5,18,16,0,114,50,12,28,7,9,3,20,27,6,149,57,10,13,0,5,3,14,13,0,111,18,0,3,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,7,223,46,141,18,11,20,67,145,18,703,0,0,0,4,3,3,0,4,0,20,0,0,0,9,0,4,0,11,0,30,8,16,5,19,20,3,0,16,7,93,23,29,6,12,27,6,0,23,4,121,18,24,3,24,10,16,0,13,0,110,31,18,3,18,27,15,4,26,0,141,29,3,0,8,15,4,0,8,0,66,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,116,88,21,87,105,51,3,100,14,585
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,5,0,0,3,4,0,0,0,7,0,18,8,5,7,6,0,0,10,6,3,46,6,3,8,0,0,0,9,8,0,36,0,0,7,6,0,0,16,3,4,42,5,0,3,3,0,0,0,5,3,20,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,39,17,0,3,32,34,8,174,0,0,0,0,0,0,0,0,0,8,0,0,3,5,0,3,0,0,0,18,0,9,0,3,8,3,0,4,0,33,0,4,3,4,3,5,0,8,0,36,0,11,0,3,3,0,0,7,0,22,0,11,0,0,9,4,0,0,0,20,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,8,19,22,18,3,18,3,133
RA72,28,36,372,235,58,369,112,496,42,1748,167,254,962,795,225,316,283,422,95,3517,967,1771,2578,1481,714,528,859,922,235,10045,1379,1631,2213,991,631,298,726,652,183,8685,1370,1254,1709,739,524,235,753,561,159,7304,1047,847,1095,378,389,186,650,413,119,5120,337,341,264,90,122,78,173,124,36,1561,41,39,17,8,10,9,21,16,3,158,7,0,0,0,4,0,0,0,5,14,5330,6168,9209,4718,2671,2013,3561,3609,876,38166,36,34,74,454,212,750,27,176,43,1801,153,488,183,829,679,426,49,160,65,3029,877,3240,498,1940,1990,688,103,449,156,9952,1222,2737,381,1362,1786,495,93,459,133,8665,1192,1879,256,948,1688,414,97,499,93,7057,721,1288,138,552,1196,307,73,353,54,4692,136,325,44,140,301,103,15,93,23,1175,16,19,0,7,36,11,0,5,4,102,0,0,0,0,0,0,0,0,0,0,4350,10012,1580,6230,7886,3192,450,2193,573,36467
RA73,5,11,103,77,24,109,21,102,20,471,29,90,230,142,34,64,43,112,17,775,259,494,706,488,134,122,159,295,94,2755,362,456,523,407,132,69,155,199,69,2379,369,308,398,319,122,39,175,180,53,1953,349,308,336,215,97,51,176,162,52,1747,118,99,100,40,39,22,70,53,14,560,14,7,9,7,0,5,7,7,0,68,0,0,0,0,0,0,0,0,0,9,1516,1772,2405,1704,579,480,806,1110,325,10708,5,26,26,130,56,164,9,62,13,485,36,152,51,213,135,68,8,39,21,725,242,1050,137,601,490,179,27,141,73,2940,298,746,85,422,417,89,18,129,48,2250,353,585,54,335,439,106,19,139,46,2077,225,458,54,248,359,93,18,115,29,1598,76,141,22,49,83,23,7,21,8,427,6,3,0,4,11,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,1241,3158,422,2003,1986,724,110,646,240,10523
RA74,5,16,26,25,0,17,8,87,14,205,15,71,69,89,13,29,24,154,31,494,166,231,207,243,55,48,106,233,36,1338,178,232,217,196,39,34,146,155,34,1232,166,147,194,164,42,23,105,148,26,1007,154,140,128,91,43,8,102,100,15,788,68,38,30,27,13,11,24,38,4,251,13,6,6,3,9,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,766,884,875,835,215,169,522,924,165,5355,3,22,6,68,17,40,0,63,14,237,13,106,31,130,64,40,6,98,27,511,125,359,51,358,189,100,18,112,36,1344,146,358,55,288,175,74,20,76,32,1219,146,286,37,237,137,45,16,68,28,998,125,249,26,135,96,31,3,56,15,738,19,67,9,37,27,9,0,14,4,186,0,8,0,0,3,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,580,1452,215,1248,706,341,71,485,157,5255
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,0,16,0,7,4,0,0,0,0,0,0,10,0,0,4,0,0,0,0,9,0,9,0,3,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,6,0,0,4,23,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
RA79,0,0,0,0,0,0,0,0,0,3,0,3,6,0,4,0,0,5,0,17,7,13,7,7,3,0,9,30,5,76,12,14,14,6,0,0,0,11,4,67,4,7,8,0,0,0,3,3,3,36,5,5,0,4,0,0,3,3,0,26,0,0,4,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,38,18,13,4,22,58,18,242,0,0,0,4,0,0,0,6,0,13,0,3,0,9,0,0,6,3,0,18,5,24,4,23,8,3,3,25,6,96,13,20,3,9,8,0,0,6,0,54,7,13,0,0,8,3,6,6,0,46,0,6,3,0,6,7,0,0,0,16,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,66,7,45,31,13,9,49,5,259
RA80,353,246,929,1159,250,1456,256,1313,88,6049,1090,2429,2654,1983,1246,1391,510,1185,270,12763,4374,10441,6106,2761,2913,1706,1486,2305,766,32848,7034,10624,4253,1836,2513,821,1044,1494,719,30335,6584,7537,3053,1339,2279,588,965,1038,590,23975,3523,4513,1850,731,1479,442,898,812,303,14552,748,1505,490,217,350,189,338,253,100,4188,110,208,54,21,47,51,22,35,16,572,16,17,5,0,0,5,0,4,6,58,23834,37515,19386,10052,11085,6641,5523,8447,2852,125338,185,317,249,2243,573,2539,49,547,76,6775,824,2962,703,3534,2957,1803,60,402,245,13480,4360,12708,1364,4230,5874,1656,109,989,721,32015,6561,11183,905,2896,5578,837,59,675,620,29314,5603,7844,658,2230,5380,766,99,573,433,23587,2521,4315,414,1516,3674,673,85,530,232,13959,359,1086,84,349,874,238,12,153,47,3204,23,100,17,25,85,19,0,9,11,299,4,4,0,0,5,3,0,5,9,26,20441,40512,4397,17025,24993,8532,472,3882,2405,122657
RA81,0,0,4,0,0,3,0,3,0,13,0,3,4,0,3,0,3,4,0,16,7,6,16,3,0,4,0,3,0,40,11,17,14,5,4,0,0,3,0,51,16,3,12,3,0,0,0,5,4,40,11,0,4,3,3,0,0,4,0,35,7,3,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,50,38,53,12,11,8,11,25,5,212,0,0,0,3,0,5,0,5,0,12,0,0,5,3,4,0,0,6,0,14,10,13,3,9,5,0,0,0,0,41,16,20,0,3,7,0,0,0,0,46,9,9,0,4,10,0,0,0,0,39,4,8,6,4,7,0,0,4,0,23,0,5,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,53,14,19,35,10,0,5,4,187
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,6,0,0,0,0,0,10,0,0,3,7,0,0,0,6,0,18,0,8,8,6,0,4,3,0,0,30,0,6,6,0,0,0,0,8,0,23,0,3,9,3,0,6,0,0,0,14,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22,20,19,8,8,4,12,0,104,3,0,0,0,0,10,0,0,0,14,0,0,0,10,0,3,0,4,0,23,0,12,0,0,9,5,0,0,0,31,5,7,0,0,0,0,0,0,0,16,4,3,0,0,0,0,0,0,0,13,7,7,0,0,7,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,8,11,17,14,0,9,0,111
RA91,0,0,4,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,0,7,4,5,3,0,0,0,0,0,0,10,7,0,0,3,0,0,0,0,0,17,6,0,0,3,0,0,0,0,0,8,4,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,7,6,3,0,0,3,4,53,4,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,12,0,5,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,3,7,0,0,4,6,43
RA94,0,0,12,16,0,6,4,12,0,48,3,7,20,6,0,0,8,10,0,55,15,13,53,25,8,4,13,27,3,163,35,22,59,18,11,6,25,20,0,197,37,22,68,15,16,3,24,24,7,221,62,20,89,16,8,10,25,27,7,263,16,12,41,4,3,3,26,20,3,125,7,0,6,5,0,0,0,4,0,16,4,0,0,0,0,0,0,0,0,4,174,103,336,104,48,37,121,143,28,1091,0,0,0,40,3,6,0,9,0,55,6,9,0,23,11,0,0,7,0,64,14,34,9,42,32,15,6,6,0,155,36,35,5,41,49,19,4,16,0,212,40,40,6,36,52,19,0,31,0,220,46,34,12,22,59,24,0,32,0,237,12,20,0,12,16,13,4,14,6,100,3,4,0,7,3,3,0,3,0,23,0,0,0,0,0,0,0,0,0,0,159,178,41,218,222,101,14,118,14,1063
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
