RA_CODE_2021,M_Ag_For_Fshg_15_19,M_Ag_For_Fshg_20_24,M_Ag_For_Fshg_25_34,M_Ag_For_Fshg_35_44,M_Ag_For_Fshg_45_54,M_Ag_For_Fshg_55_64,M_Ag_For_Fshg_65_74,M_Ag_For_Fshg_75_84,M_Ag_For_Fshg_85ov,M_Ag_For_Fshg_Tot,M_Mining_15_19,M_Mining_20_24,M_Mining_25_34,M_Mining_35_44,M_Mining_45_54,M_Mining_55_64,M_Mining_65_74,M_Mining_75_84,M_Mining_85ov,M_Mining_Tot,M_Manufact_15_19,M_Manufact_20_24,M_Manufact_25_34,M_Manufact_35_44,M_Manufact_45_54,M_Manufact_55_64,M_Manufact_65_74,M_Manufact_75_84,M_Manufact_85ov,M_Manufact_Tot,M_El_Gas_Wt_Waste_15_19,M_El_Gas_Wt_Waste_20_24,M_El_Gas_Wt_Waste_25_34,M_El_Gas_Wt_Waste_35_44,M_El_Gas_Wt_Waste_45_54,M_El_Gas_Wt_Waste_55_64,M_El_Gas_Wt_Waste_65_74,M_El_Gas_Wt_Waste_75_84,M_El_Gas_Wt_Waste_85ov,M_El_Gas_Wt_Waste_Tot,M_Constru_15_19,M_Constru_20_24,M_Constru_25_34,M_Constru_35_44,M_Constru_45_54,M_Constru_55_64,M_Constru_65_74,M_Constru_75_84,M_Constru_85ov,M_Constru_Tot,M_WhlesaleTde_15_19,M_WhlesaleTde_20_24,M_WhlesaleTde_25_34,M_WhlesaleTde_35_44,M_WhlesaleTde_45_54,M_WhlesaleTde_55_64,M_WhlesaleTde_65_74,M_WhlesaleTde_75_84,M_WhlesaleTde_85ov,M_WhlesaleTde_Tot,M_RetTde_15_19,M_RetTde_20_24,M_RetTde_25_34,M_RetTde_35_44,M_RetTde_45_54,M_RetTde_55_64,M_RetTde_65_74,M_RetTde_75_84,M_RetTde_85ov,M_RetTde_Tot,M_Accom_food_15_19,M_Accom_food_20_24,M_Accom_food_25_34,M_Accom_food_35_44,M_Accom_food_45_54,M_Accom_food_55_64,M_Accom_food_65_74,M_Accom_food_75_84,M_Accom_food_85ov,M_Accom_food_Tot,M_Trans_post_wrehsg_15_19,M_Trans_post_wrehsg_20_24,M_Trans_post_wrehsg_25_34,M_Trans_post_wrehsg_35_44,M_Trans_post_wrehsg_45_54,M_Trans_post_wrehsg_55_64,M_Trans_post_wrehsg_65_74,M_Trans_post_wrehsg_75_84,M_Trans_post_wrehsg_85ov,M_Trans_post_wrehsg_Tot,M_Info_media_teleco_15_19,M_Info_media_teleco_20_24,M_Info_media_teleco_25_34,M_Info_media_teleco_35_44,M_Info_media_teleco_45_54,M_Info_media_teleco_55_64,M_Info_media_teleco_65_74,M_Info_media_teleco_75_84,M_Info_media_teleco_85ov,M_Info_media_teleco_Tot,M_Fin_Insur_15_19,M_Fin_Insur_20_24,M_Fin_Insur_25_34,M_Fin_Insur_35_44,M_Fin_Insur_45_54,M_Fin_Insur_55_64,M_Fin_Insur_65_74,M_Fin_Insur_75_84,M_Fin_Insur_85ov,M_Fin_Insur_Tot,M_RtnHir_REst_15_19,M_RtnHir_REst_20_24,M_RtnHir_REst_25_34,M_RtnHir_REst_35_44,M_RtnHir_REst_45_54,M_RtnHir_REst_55_64,M_RtnHir_REst_65_74,M_RtnHir_REst_75_84,M_RtnHir_REst_85ov,M_RtnHir_REst_Tot,M_Pro_scien_tec_15_19,M_Pro_scien_tec_20_24,M_Pro_scien_tec_25_34,M_Pro_scien_tec_35_44,M_Pro_scien_tec_45_54,M_Pro_scien_tec_55_64,M_Pro_scien_tec_65_74,M_Pro_scien_tec_75_84,M_Pro_scien_tec_85ov,M_Pro_scien_tec_Tot,M_Admin_supp_15_19,M_Admin_supp_20_24,M_Admin_supp_25_34,M_Admin_supp_35_44,M_Admin_supp_45_54,M_Admin_supp_55_64,M_Admin_supp_65_74,M_Admin_supp_75_84,M_Admin_supp_85ov,M_Admin_supp_Tot,M_Public_admin_sfty_15_19,M_Public_admin_sfty_20_24,M_Public_admin_sfty_25_34,M_Public_admin_sfty_35_44,M_Public_admin_sfty_45_54,M_Public_admin_sfty_55_64,M_Public_admin_sfty_65_74,M_Public_admin_sfty_75_84,M_Public_admin_sfty_85ov,M_Public_admin_sfty_Tot,M_Educ_trng_15_19,M_Educ_trng_20_24,M_Educ_trng_25_34,M_Educ_trng_35_44,M_Educ_trng_45_54,M_Educ_trng_55_64,M_Educ_trng_65_74,M_Educ_trng_75_84,M_Educ_trng_85ov,M_Educ_trng_Tot,M_HlthCare_SocAs_15_19,M_HlthCare_SocAs_20_24,M_HlthCare_SocAs_25_34,M_HlthCare_SocAs_35_44,M_HlthCare_SocAs_45_54,M_HlthCare_SocAs_55_64,M_HlthCare_SocAs_65_74,M_HlthCare_SocAs_75_84,M_HlthCare_SocAs_85ov,M_HlthCare_SocAs_Tot,M_Art_recn_15_19,M_Art_recn_20_24,M_Art_recn_25_34,M_Art_recn_35_44,M_Art_recn_45_54,M_Art_recn_55_64,M_Art_recn_65_74,M_Art_recn_75_84,M_Art_recn_85ov,M_Art_recn_Tot,M_Oth_scs_15_19,M_Oth_scs_20_24,M_Oth_scs_25_34,M_Oth_scs_35_44,M_Oth_scs_45_54,M_Oth_scs_55_64,M_Oth_scs_65_74,M_Oth_scs_75_84,M_Oth_scs_85ov,M_Oth_scs_Tot,M_ID_NS_15_19,M_ID_NS_20_24,M_ID_NS_25_34,M_ID_NS_35_44,M_ID_NS_45_54,M_ID_NS_55_64,M_ID_NS_65_74,M_ID_NS_75_84,M_ID_NS_85ov,M_ID_NS_Tot
RA59,0,3,25,11,8,14,0,0,0,62,0,5,47,36,35,25,0,0,0,155,0,0,9,15,7,0,0,0,0,40,0,0,5,0,3,0,0,0,0,12,3,7,44,40,34,14,0,0,0,139,0,0,8,0,3,0,0,0,0,15,3,16,13,5,5,5,0,0,0,45,3,17,32,11,14,7,0,0,0,90,6,13,8,10,8,11,0,0,0,56,0,0,3,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,16,23,8,3,0,0,0,49,0,4,13,10,0,3,0,0,0,34,0,3,5,14,3,6,0,0,0,35,0,0,6,5,0,3,0,0,0,18,0,0,6,13,6,8,0,0,0,37,0,0,5,3,0,0,0,0,0,8,3,4,8,4,5,6,0,0,0,36,0,3,7,14,5,6,4,0,0,50
RA61,65,227,747,554,478,369,157,54,0,2657,3,22,101,117,139,84,23,4,0,492,214,502,1595,1460,1484,1184,266,25,0,6742,12,70,513,623,618,431,77,3,0,2343,648,1532,3463,2512,2027,1737,425,44,0,12392,61,188,594,530,575,469,131,21,0,2569,828,1087,2111,1233,961,795,294,33,0,7347,1089,938,2170,828,500,335,125,17,3,6000,66,247,1229,923,980,1053,302,44,0,4835,32,81,277,303,260,180,57,7,0,1191,10,83,378,471,365,252,72,11,0,1640,15,56,177,150,197,174,115,31,3,912,62,299,1327,1291,1130,823,406,61,0,5396,61,177,584,424,429,394,116,8,0,2198,44,258,1245,1478,1850,1352,249,18,0,6504,127,322,1094,1234,1217,992,299,17,0,5299,48,427,2042,1547,1397,1187,395,39,0,7089,204,179,403,294,313,251,108,14,0,1771,122,276,809,655,578,550,179,33,0,3203,83,241,705,524,474,369,139,34,12,2571
RA62,222,470,1363,1070,1199,1196,661,207,30,6414,11,73,305,375,372,335,66,0,0,1544,172,388,1032,980,1133,1088,202,18,5,5015,9,30,133,175,228,233,49,7,0,857,473,792,1474,1176,1266,1238,320,23,0,6764,71,111,259,315,429,368,92,13,0,1666,434,355,539,447,511,450,176,19,4,2931,481,271,403,246,234,259,132,19,0,2040,44,130,416,542,739,941,282,28,0,3122,12,15,53,56,56,56,18,0,0,263,8,17,47,68,73,55,22,8,0,306,7,19,39,45,67,88,45,11,3,322,18,68,223,284,305,331,156,46,0,1435,24,80,193,202,256,253,79,6,3,1094,16,74,282,458,576,540,113,10,0,2059,21,72,219,342,389,439,155,11,0,1655,18,121,442,467,528,579,185,12,3,2348,61,32,71,101,88,133,51,8,0,547,109,186,336,300,330,305,108,12,0,1674,83,151,290,301,340,338,157,49,20,1718
RA63,9,26,76,58,52,72,28,5,0,323,3,15,61,71,81,59,8,0,0,307,5,4,19,16,14,19,10,0,0,83,0,4,8,5,8,6,0,0,0,36,7,9,20,28,42,46,15,3,0,172,0,0,0,3,8,12,0,0,0,19,7,8,10,5,17,16,13,3,0,78,12,18,99,55,27,37,20,6,0,269,0,8,12,12,21,22,11,0,0,82,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,4,3,0,0,11,0,0,0,0,3,0,0,0,0,14,0,4,5,3,10,15,7,0,0,42,0,3,13,13,9,11,0,0,0,58,0,6,12,12,20,25,5,5,0,85,0,0,6,12,0,12,3,0,0,34,0,0,13,11,5,14,8,0,0,43,0,3,8,6,3,8,0,0,0,30,0,0,19,7,8,6,5,0,0,51,3,4,10,5,12,11,11,5,0,62
RA64,11,7,23,47,36,45,44,16,0,228,0,0,0,0,0,0,0,0,0,8,0,3,16,9,7,8,9,0,0,59,0,4,6,13,7,0,0,0,0,25,7,0,15,15,16,23,9,0,0,94,0,0,3,4,5,0,0,0,0,13,5,4,0,4,7,5,3,0,0,26,0,4,6,4,0,4,3,0,0,27,0,4,9,0,7,22,8,0,0,47,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,6,0,6,0,0,15,0,0,0,4,0,3,0,0,0,12,0,3,9,9,10,12,9,0,0,40,0,0,0,3,7,0,0,0,0,15,0,0,0,3,3,7,0,0,0,22,0,0,0,0,4,3,0,0,0,8,0,0,4,0,6,0,3,0,0,24,0,0,3,10,4,5,3,4,0,32
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,4,3,5,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,8,0,0,6,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,4,13,9,4,9,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,3,5,0,3,0,0,0,0,10,0,0,0,3,11,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,4,3,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,3,0,3,0,0,0,0,10
RA72,22,46,110,87,113,110,52,13,0,557,6,59,274,417,411,195,25,0,0,1388,69,104,315,343,324,207,50,4,0,1418,9,32,187,224,202,192,42,0,0,895,212,427,1372,1393,1094,722,174,20,0,5409,18,63,201,208,218,154,32,8,0,903,303,350,718,423,307,222,91,8,0,2418,557,387,886,409,242,163,65,7,0,2726,43,153,675,520,537,479,142,11,0,2548,13,20,95,80,80,59,16,0,0,360,4,14,58,73,77,42,18,0,0,281,4,15,78,93,94,68,45,11,0,421,32,142,577,515,363,289,123,13,0,2072,31,96,271,230,213,168,54,8,0,1071,97,904,1938,1659,1522,899,232,11,0,7266,38,103,335,387,329,306,99,8,0,1605,46,161,816,727,446,286,113,20,3,2615,69,95,232,124,96,78,31,0,0,723,93,140,411,331,286,237,72,6,0,1576,85,212,497,439,345,240,75,11,4,1911
RA73,12,31,93,80,61,52,20,11,0,357,5,6,47,50,63,49,10,0,0,228,24,33,65,62,47,43,9,0,0,290,0,5,41,37,47,54,17,0,0,202,57,119,338,269,219,205,66,9,0,1282,7,14,41,51,22,42,15,5,0,184,117,93,202,117,77,76,41,3,0,736,80,55,203,111,83,78,25,6,0,644,13,42,113,104,126,116,31,5,0,549,3,5,34,16,16,12,0,0,0,94,0,0,12,8,9,8,0,0,0,38,0,4,14,10,11,19,11,0,0,73,9,21,114,99,82,94,27,0,0,451,4,14,59,53,64,53,23,3,0,273,25,145,578,531,480,341,74,9,0,2188,27,42,148,124,105,112,30,8,0,591,15,55,315,378,247,192,64,3,0,1267,22,17,66,47,47,34,19,6,0,251,28,38,126,119,82,100,37,0,0,522,34,33,149,107,77,56,30,3,0,488
RA74,51,119,162,96,73,62,30,5,0,610,4,11,104,164,142,90,8,0,0,533,9,3,26,19,6,9,0,0,0,70,0,4,11,15,16,17,0,0,0,72,12,30,102,101,65,47,17,3,0,376,0,4,7,8,0,5,0,0,0,36,22,37,93,69,60,34,18,0,0,348,19,46,137,63,58,47,15,0,0,386,10,12,42,45,26,26,9,6,0,185,0,0,3,0,0,3,0,0,0,16,0,0,0,0,0,3,3,0,0,6,0,0,3,6,3,0,0,0,0,16,0,0,15,13,11,15,0,0,0,61,6,16,31,26,21,25,12,0,0,143,15,61,219,217,206,135,42,0,0,902,11,32,103,129,92,74,24,3,0,462,4,32,124,122,103,103,22,7,0,524,9,24,68,51,43,27,10,0,0,228,11,16,39,43,35,25,11,0,0,184,20,34,48,39,42,22,8,0,0,221
RA75,0,0,6,3,0,3,0,0,0,16,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,7
RA79,0,0,10,9,0,0,0,0,0,27,0,0,4,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,8,0,0,0,0,3,0,0,0,0,3,0,0,10,11,3,4,0,0,0,28,0,0,0,3,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,6,0,3,14,3,0,7,0,0,0,34,0,0,3,4,3,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,6,4,4,0,0,0,18,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,12,0,0,4,3,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,13,0,0,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,10,5,3,4,0,0,0,23
RA80,21,35,94,56,58,62,39,22,8,390,0,7,29,33,30,17,4,0,0,121,125,276,762,614,664,378,119,21,3,2955,19,90,348,324,291,206,38,3,0,1327,707,1872,4485,3324,2291,1388,382,47,6,14501,48,159,311,338,294,224,62,10,0,1446,1133,1519,2361,1154,769,550,221,35,3,7749,2039,1736,2415,1095,594,361,108,16,0,8361,71,292,1168,936,810,706,255,26,0,4257,40,160,590,635,503,255,50,13,4,2253,17,133,425,481,358,185,62,21,6,1676,30,124,369,318,263,211,96,26,8,1440,112,1272,4256,4295,3095,1893,670,95,7,15696,89,295,822,783,575,447,149,24,0,3188,437,2216,8215,10494,9219,4890,934,58,3,36468,414,865,1806,1795,1439,983,335,42,3,7686,137,632,2146,1892,1350,924,344,47,0,7479,333,339,471,342,284,208,83,17,0,2077,163,409,841,730,637,389,157,33,0,3353,113,337,945,707,466,254,75,18,3,2921
RA81,0,0,4,0,3,4,8,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,4,0,7,10,13,5,3,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,6,0,3,0,0,20,0,0,0,0,0,4,0,0,0,3,0,0,4,11,6,5,0,0,0,33,0,0,8,0,4,3,0,0,0,19,0,0,0,3,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,9,0,0,4,0,4,0,0,0,0,13,0,3,0,0,0,0,0,0,0,3
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,4,4,3,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,7,7,6,0,0,0,0,16,0,0,4,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,7,0,0,0,3,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,4
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,3,8,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA94,0,0,4,0,6,8,0,0,0,21,0,0,12,17,23,15,9,0,0,72,0,0,3,6,0,8,0,0,0,19,0,0,7,13,3,8,7,0,0,36,11,11,25,31,38,45,18,0,0,178,0,0,7,0,3,0,0,0,0,18,5,6,11,8,7,24,10,3,3,71,12,3,14,13,20,19,6,0,0,93,0,10,16,15,11,17,6,0,0,71,0,0,0,0,3,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,5,3,6,3,3,0,23,3,0,9,10,10,17,6,3,0,59,4,6,32,50,47,48,22,4,0,213,0,6,5,6,3,6,5,0,0,28,0,0,3,6,9,4,0,0,0,25,4,0,0,4,11,6,0,0,0,29,0,0,5,10,8,9,10,3,0,42,3,5,8,9,7,14,12,3,0,71
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
