RA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
RA42,0,0,0,0,0,14,66,136,14,23,0,13,9,0,12,279,0,0,0,0,0,0,12,20,0,3,9,0,0,0,0,43,0,5,7,15,13,11,34,4,3,5,0,6,6,0,9,121,0,5,5,8,6,11,90,76,37,60,54,56,6,5,12,421,0,38,78,12,0,0,0,0,0,0,0,0,0,0,9,142,0,5,0,0,0,0,10,0,0,8,3,14,8,4,0,62,0,0,3,3,13,10,18,10,0,0,0,16,0,0,5,86,118,327,121,51,52,14,33,16,0,3,6,0,6,0,29,766,7,124,202,31,20,0,4,7,0,0,0,0,0,0,38,430,0,0,7,8,0,4,3,10,6,6,0,10,0,0,7,57,3,6,16,47,44,82,370,244,65,95,142,151,63,12,27,1371,0,6,3,4,5,13,23,14,14,0,12,23,16,0,6,153,0,0,0,0,0,6,7,14
RA43,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,8,0,0,5,3,0,6,10,0,0,7,0,0,0,0,0,40,0,0,0,0,0,0,0,8,7,5,0,9,0,0,3,34,0,26,18,23,9,0,0,0,0,0,0,0,0,0,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,3,4,0,0,0,0,0,0,0,0,15,17,68,19,14,15,0,5,9,8,0,0,4,0,0,6,170,5,8,4,0,0,0,4,0,0,0,0,0,0,0,0,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,13,0,0,5,3,0,0,34,25,4,12,25,29,3,0,0,136,0,0,0,0,0,0,17,7,5,3,0,13,5,0,0,47,0,0,0,0,0,0,4,0
RA44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,12,0,5,23,3,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,0,0,0,0,0,0,0,9,3,14,8,5,3,5,11,4,0,0,0,3,0,0,0,54,0,10,21,11,3,0,0,5,0,0,0,0,0,0,3,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,19,18,4,7,16,3,3,0,6,80,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,8,0,0,0,0,0,0,0,0
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,0,3,3,0,0,0,0,0,0,0,4,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,12,0,0,4,0,0,0,0,0,0,4,0,6,5,3,0,32,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0
RA50,0,0,0,17,159,641,1854,1539,190,205,160,283,142,101,107,5386,0,6,17,95,77,150,1029,730,96,102,127,128,90,6,25,2672,3,41,303,576,622,738,1305,794,140,147,155,191,109,49,66,5241,33,36,77,229,1381,2218,10209,6277,1299,1306,1150,1797,630,78,495,27208,86,525,1304,446,289,891,421,117,12,17,4,10,7,0,142,4277,83,148,251,140,175,220,490,495,77,74,62,53,32,8,58,2381,7,22,45,91,216,130,222,177,17,19,28,34,5,8,33,1062,965,944,758,693,1374,789,1704,848,108,117,151,186,85,26,161,8919,108,532,656,237,101,43,70,138,9,18,0,18,12,6,59,2012,15,28,155,471,1030,1010,1300,950,218,194,233,267,199,59,118,6244,364,275,2258,1973,1904,2693,18930,14056,2938,2391,3509,4203,1454,285,924,58159,44,134,100,279,1124,2836,3855,1861,411,433,454,561,558,65,257,12988,8,4,12,60,684,691,1504,2137
RA51,0,0,0,0,0,3,24,38,0,3,5,7,0,3,21,108,0,0,0,0,0,0,8,27,0,6,9,0,0,0,7,59,0,0,32,67,42,70,110,60,17,6,19,10,3,3,18,472,3,0,0,5,8,20,111,92,16,25,23,70,5,0,33,401,0,10,31,3,8,7,4,0,0,0,0,0,0,0,7,75,4,3,0,0,6,0,4,9,0,0,6,16,0,0,5,67,0,4,0,14,9,7,7,7,0,0,3,11,7,6,15,83,184,117,101,92,163,75,183,79,13,9,12,17,10,0,43,1107,0,16,10,6,0,0,0,8,0,5,5,0,0,0,3,46,0,0,8,9,11,10,17,29,7,3,4,4,10,0,16,133,32,11,80,60,35,28,255,266,44,39,57,58,19,3,52,1040,3,17,6,6,13,43,87,89,28,18,22,11,17,0,19,376,0,0,0,3,10,0,4,29
RA52,0,0,0,0,0,3,39,64,9,8,3,33,9,5,9,183,0,0,0,0,0,4,9,3,0,0,0,3,0,0,5,34,0,0,30,40,40,38,67,41,19,7,3,16,6,0,7,326,0,0,0,3,18,17,118,85,14,18,18,33,15,8,17,362,4,17,25,8,10,0,4,0,0,0,0,0,0,0,4,68,4,4,12,0,0,6,5,8,0,0,4,0,0,9,0,51,0,3,3,3,21,11,42,26,3,3,10,7,14,33,5,187,132,115,67,43,101,48,124,64,16,10,14,16,4,0,21,780,0,15,17,7,4,0,0,0,4,0,0,0,0,0,5,55,0,0,8,9,4,7,6,12,4,5,4,0,0,0,6,69,17,11,59,35,16,35,274,275,35,41,56,62,33,9,23,978,0,8,6,6,19,28,83,55,17,18,22,18,26,4,8,322,0,0,0,0,11,0,0,33
RA53,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,15,5,9,0,0,5,0,0,34,0,0,4,6,8,19,36,22,3,6,8,14,6,0,5,142,0,0,0,3,4,0,42,30,12,12,27,83,14,0,10,248,0,5,7,0,0,3,4,0,0,0,0,0,0,0,0,25,0,3,0,0,0,0,4,0,6,0,0,0,3,0,0,27,0,0,0,0,12,4,24,9,0,6,0,5,0,7,0,62,26,36,28,18,28,26,65,38,3,8,11,25,7,0,6,327,0,0,6,3,0,0,3,9,0,0,0,0,0,0,0,16,0,0,4,5,6,7,17,8,0,0,5,3,0,0,0,57,4,3,9,6,15,12,211,137,47,47,28,56,19,12,9,616,3,0,0,0,9,16,55,61,10,5,9,24,15,0,3,217,0,0,0,0,4,0,3,6
RA54,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,12,5,0,0,0,0,0,0,0,15,0,0,4,5,15,9,21,23,5,5,6,9,6,0,0,88,0,0,0,0,3,3,35,44,8,14,8,44,8,3,10,178,0,9,20,6,3,4,4,4,0,0,0,0,0,0,5,57,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,8,0,0,0,4,10,11,17,23,4,9,8,3,0,0,6,86,9,21,9,6,25,26,33,24,0,3,5,19,8,0,5,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,5,7,0,0,0,0,0,0,0,27,0,6,5,9,4,12,92,59,11,9,25,14,16,0,9,270,0,0,0,0,7,19,32,21,12,20,10,16,5,4,0,140,0,0,0,0,0,0,7,7
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,3,4,0,24,0,0,0,0,0,0,0,0,0,0,0,7,6,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,9,3,0,0,0,0,0,8,9,0,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,7,0,0,0,4,4,0,0,3,30,0,0,0,0,0,3,3,0,0,5,0,4,0,0,5,15,0,0,0,0,0,0,0,0
RA61,0,0,0,0,0,4,15,128,57,28,13,28,3,3,0,288,0,0,0,6,0,0,94,200,40,64,68,62,20,0,13,563,4,8,49,109,98,98,147,76,16,26,27,24,4,0,6,705,12,21,24,13,61,116,966,1960,844,777,710,580,141,15,120,6350,5,39,78,21,6,13,5,7,0,0,0,0,0,0,3,185,3,8,9,4,10,8,17,17,5,10,12,16,6,0,3,139,0,7,21,17,40,38,17,15,5,4,7,8,0,0,8,182,148,310,184,101,163,79,145,69,8,5,5,23,7,3,41,1298,5,88,190,43,24,9,11,18,4,0,5,3,0,0,8,413,0,3,24,30,58,36,114,168,43,55,51,84,47,8,0,730,27,13,62,39,42,101,724,1621,562,584,621,632,213,51,92,5389,5,27,6,12,18,38,95,100,34,28,21,28,14,0,7,446,0,0,6,3,30,24,46,178
RA62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,5,5,6,0,0,0,31,0,4,35,52,42,36,69,33,4,4,6,17,0,0,5,301,0,5,7,3,21,22,93,109,59,43,35,40,9,0,11,443,0,8,14,0,0,0,3,0,0,0,0,0,0,0,3,32,0,7,8,3,7,5,0,3,4,8,9,11,0,0,0,58,0,0,3,9,22,20,11,7,0,0,0,0,0,0,3,82,66,153,105,70,122,43,96,19,11,3,0,7,0,0,26,720,0,9,14,3,8,0,0,0,0,4,0,0,0,0,0,45,0,0,9,7,16,12,11,28,0,7,9,5,10,4,0,122,5,7,31,21,23,22,109,155,59,72,84,49,24,16,28,698,8,14,8,6,9,11,34,19,10,6,4,18,3,0,6,138,0,0,0,3,0,0,6,5
RA63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,6,8,3,4,0,0,0,0,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,7,9,0,3,5,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,6,6,11,0,5,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
RA64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,8,5,0,0,0,0,0,0,0,0,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
RA72,0,0,0,0,0,0,18,8,0,0,0,0,3,0,5,27,0,0,0,5,12,15,116,192,43,88,72,59,23,3,3,638,0,3,13,36,25,29,52,54,9,9,4,7,4,0,7,256,0,13,13,7,48,53,373,355,115,125,110,101,37,0,44,1407,0,3,11,0,5,3,0,0,0,0,0,0,0,0,3,29,0,0,3,5,0,3,15,5,5,0,4,0,7,0,0,56,0,5,3,13,48,36,60,55,9,9,19,16,11,0,8,292,24,72,79,40,60,52,123,73,8,8,11,14,3,3,26,590,0,81,271,185,95,99,119,199,21,11,0,5,4,0,53,1146,0,7,9,29,47,39,34,51,15,3,7,20,8,0,8,273,9,13,35,36,71,86,899,1107,299,329,341,368,133,24,69,3820,8,9,6,83,102,207,277,218,68,77,88,78,43,7,33,1292,4,0,0,0,3,5,19,34
RA73,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,21,9,5,3,6,5,0,0,49,0,0,6,10,11,3,16,11,0,0,3,4,0,4,0,71,0,0,0,0,3,3,26,24,13,19,47,72,14,0,7,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,11,0,0,0,3,15,7,36,28,3,11,6,9,0,0,3,143,4,22,16,8,9,21,24,30,4,4,0,7,4,3,5,161,0,4,0,5,5,3,5,0,0,0,0,0,0,0,0,25,0,0,0,0,3,5,4,11,4,8,8,0,0,0,0,37,0,0,5,5,9,18,330,269,104,91,95,99,39,19,15,1101,0,3,0,0,0,11,17,19,7,3,9,19,6,0,4,95,0,0,0,0,0,0,6,4
RA74,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,13,0,0,4,0,0,3,5,9,0,0,0,0,0,0,0,24,0,0,0,0,0,0,20,8,3,3,8,17,0,0,3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,15,3,10,14,4,3,7,3,4,0,5,86,0,10,3,3,5,3,12,13,0,0,0,3,3,0,0,54,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,14,0,0,0,0,0,3,27,23,15,13,16,17,0,0,0,116,0,0,0,0,0,5,6,15,9,0,5,10,0,0,0,48,0,0,0,0,0,0,0,0
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
RA79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,5,6,0,0,0,0,0,8,4,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0
RA80,0,0,0,6,35,107,196,260,23,29,32,18,8,11,4,745,0,0,6,16,65,284,766,387,86,104,79,56,61,11,25,1942,0,20,84,195,164,214,285,184,23,48,43,52,46,12,16,1379,17,40,47,99,585,1124,3297,2791,901,1011,875,811,274,33,232,12141,7,137,618,235,113,127,38,33,4,0,6,0,0,0,27,1348,17,13,47,32,37,40,120,112,22,31,33,23,7,5,9,541,4,10,21,56,222,213,288,110,17,21,17,17,19,13,30,1058,373,470,242,154,189,197,280,123,32,28,23,38,10,3,45,2209,27,216,399,156,37,21,23,50,3,5,7,4,5,0,41,1000,10,22,70,181,387,348,335,243,49,51,39,44,50,16,38,1893,28,27,130,218,439,1110,5557,4227,999,1164,1283,1185,462,97,270,17189,9,31,35,67,121,159,299,203,45,75,85,90,68,15,13,1321,0,0,6,22,123,126,219,332
RA81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
