RA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,6,0,0,0,21,0,0,0,0,4,5,13,6,0,4,7,8,0,4,5,57,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,10,0,0,3,0,0,0,0,0,9,0,0,6,33,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,6,20,12,0,11,6,4,4,24,3,90,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,15,0,0,0,0,0,0,0,12
RA30,0,0,0,11,98,329,1126,1688,243,234,162,209,138,115,102,4452,0,0,5,28,51,249,1085,594,130,136,170,140,61,32,24,2713,23,77,420,883,1036,1134,2287,1625,298,361,445,430,281,124,136,9552,98,334,332,375,2422,3749,16221,10576,3080,3384,3378,4586,1608,242,951,51334,29,267,1028,364,190,704,211,73,16,10,7,5,7,4,85,3002,83,245,280,136,182,176,508,316,73,80,76,116,67,22,75,2425,30,81,263,669,2688,2648,3106,1271,216,218,244,257,129,69,250,12139,1433,2223,1399,1059,1858,1212,2262,914,207,195,211,301,152,71,350,13837,124,747,938,307,168,114,104,156,14,28,24,16,6,11,164,2911,33,83,224,607,1951,2490,1998,1510,446,382,469,630,491,192,246,11755,158,142,674,754,1251,2416,21220,13813,3238,3501,4677,5508,1930,441,1009,60722,75,270,221,323,621,1105,1731,908,234,264,271,323,213,33,139,6742,0,18,29,99,490,481,1829,2783
RA31,0,0,0,0,0,8,37,84,22,25,12,3,3,0,5,201,0,0,0,0,3,22,177,101,17,35,32,24,15,4,3,435,10,31,145,213,195,207,337,255,40,67,43,70,34,20,30,1688,17,45,27,23,84,117,650,413,119,168,202,309,82,12,61,2316,7,53,127,43,15,32,11,10,0,4,3,0,0,0,17,318,11,15,37,11,11,10,45,41,15,14,12,56,14,6,8,305,9,20,48,74,178,187,310,154,26,31,31,45,30,3,46,1186,339,818,557,383,540,259,394,141,28,39,21,35,27,8,107,3699,8,25,59,18,15,0,5,15,0,0,0,6,0,0,7,164,8,10,39,42,53,55,80,78,15,21,26,28,23,0,13,491,26,33,111,64,63,106,1586,1278,366,404,446,592,253,87,121,5536,18,64,55,35,46,80,160,100,34,18,44,74,39,11,37,806,0,0,12,18,33,22,58,105
RA32,0,0,0,3,0,8,14,29,0,3,0,3,0,10,3,70,0,0,0,5,0,8,44,40,3,4,9,11,8,0,0,133,0,18,96,181,164,182,331,197,45,33,58,58,35,12,31,1443,18,20,19,23,107,106,497,348,89,136,162,226,57,14,40,1874,6,49,139,25,6,20,5,3,0,0,0,0,5,0,15,283,6,12,22,16,7,13,42,31,7,6,11,17,0,4,5,198,4,20,45,73,129,125,212,126,13,25,30,34,14,6,22,878,217,465,366,244,447,260,542,240,25,43,57,73,25,0,85,3099,12,67,85,25,11,11,12,19,5,4,0,5,0,0,15,260,10,10,27,41,75,59,101,99,26,8,29,29,22,7,14,540,17,17,88,83,105,158,1647,1217,298,259,339,513,229,52,138,5156,12,56,51,47,49,104,201,148,44,46,73,103,51,9,19,999,0,0,0,7,27,15,34,42
RA33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,7,16,22,21,3,9,4,9,6,0,0,115,0,0,0,0,4,4,17,16,6,9,6,38,7,0,0,111,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,18,0,5,0,0,0,0,0,0,0,0,0,4,0,0,5,12,0,0,0,4,20,21,41,24,5,6,5,14,11,0,12,165,14,36,25,9,17,12,12,15,3,5,10,7,6,0,8,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,5,8,3,0,0,0,3,0,0,0,15,0,0,5,0,8,4,66,66,16,17,17,20,5,11,9,244,0,3,0,0,0,6,13,23,6,0,5,11,3,0,5,72,0,0,0,0,0,0,3,4
RA34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,9,0,0,0,4,4,10,3,6,3,3,0,0,0,0,0,39,0,0,4,0,3,4,11,3,0,0,6,11,3,0,0,55,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,13,14,10,5,0,10,4,7,0,0,7,76,3,14,6,3,5,9,9,8,0,0,0,3,7,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,33,29,5,15,13,12,7,4,0,114,0,0,0,5,0,3,0,5,0,0,5,14,0,0,4,43,0,0,0,0,0,0,0,0
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,7,6,6,0,0,9,6,3,9,0,46,0,0,0,0,6,0,8,4,6,6,12,24,4,4,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,0,3,3,0,0,0,0,0,0,3,16,4,4,14,5,4,3,6,12,6,0,7,26,8,3,11,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,4,4,0,0,0,0,0,0,0,14,0,0,0,0,3,3,6,8,3,0,8,3,6,0,0,48,0,3,0,3,0,0,0,0,0,0,5,8,4,0,0,34,0,0,0,0,0,0,0,0
RA40,0,0,0,0,31,361,2472,2880,408,392,379,557,151,157,111,7907,0,0,4,3,13,58,680,692,105,145,196,139,99,13,22,2165,3,21,146,250,324,287,503,271,57,72,78,106,62,28,31,2243,23,129,131,251,855,1173,7557,5904,1732,1909,1711,2350,692,80,371,24863,33,347,801,284,134,580,214,25,10,9,3,4,3,0,58,2499,38,207,130,49,98,96,328,238,52,85,65,108,53,9,33,1601,8,20,39,86,243,197,297,90,20,30,35,26,19,3,19,1148,1233,2256,1033,513,599,370,618,291,22,60,47,74,59,11,217,7404,90,2535,3213,665,232,118,117,220,28,19,3,26,10,3,246,7517,11,15,68,163,517,539,696,590,237,253,244,319,306,64,83,4104,80,83,400,366,389,840,13260,8508,2641,2963,4642,5655,2284,229,536,42870,13,78,48,92,150,253,461,385,109,94,131,135,73,11,39,2073,0,8,13,31,395,522,1074,1777
RA41,0,0,0,0,0,0,5,5,0,3,0,0,0,0,0,16,0,0,0,0,0,0,4,12,0,7,3,0,3,0,0,32,0,4,16,39,29,36,45,18,0,7,10,10,0,0,3,211,3,12,8,5,3,11,102,104,29,22,28,26,3,3,6,361,0,13,26,6,10,8,0,4,0,0,0,0,0,0,0,73,0,7,5,0,0,0,0,3,0,0,0,3,0,0,0,26,0,3,3,3,3,4,7,10,0,0,3,3,0,0,0,49,146,324,175,87,121,54,81,36,5,0,4,7,4,0,28,1072,3,45,38,18,5,3,0,0,0,0,0,0,0,0,10,122,0,4,0,8,10,9,7,7,0,3,0,0,7,0,7,52,12,5,29,20,13,9,92,75,17,28,32,36,13,0,13,389,0,13,7,3,4,5,10,20,4,8,5,7,0,0,0,90,0,0,0,0,4,0,7,3
