RA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,4,21,26,14,12,84,0,0,4,4,20,26,14,12,86,113,124,148,149,289,268,130,38,1256,12,9,18,14,27,28,14,12,131,119,131,172,167,339,324,159,63,1477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,4,0,19,0,0,5,3,5,4,4,0,14,77,119,152,153,292,225,138,57,1215,13,4,17,14,17,15,14,14,103,85,125,170,166,320,239,158,71,1340,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,8,29,30,15,12,102,0,0,5,8,29,30,15,12,103,191,243,297,299,585,495,273,93,2476,24,16,35,33,44,42,24,28,238,210,258,342,335,657,566,311,133,2817
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,9,3,7,0,0,0,24,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,11,0,0,9,3,9,0,0,0,27,0,6,16,3,14,4,0,0,38
RA29,20,15,5,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,7,10,22,18,34,6,8,113,21,18,18,24,18,34,6,8,150,348,566,515,464,353,228,53,3,2531,204,350,478,430,267,130,26,7,1896,575,939,1008,912,644,392,90,15,4576,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,16,13,4,0,7,0,0,0,0,26,376,588,400,308,323,158,49,11,2209,170,285,330,169,111,59,11,7,1140,556,878,730,479,429,224,58,19,3373,32,15,5,3,0,0,0,0,45,0,0,3,0,0,0,0,0,4,0,10,11,29,23,37,13,8,129,26,22,19,33,23,37,13,8,178,727,1152,909,768,671,386,104,11,4737,376,645,807,600,380,186,39,11,3041,1131,1819,1736,1393,1074,613,152,29,7946
RA30,1510,2939,1762,1005,326,0,0,0,7541,315,820,852,678,606,0,0,0,3270,737,4501,6484,10266,11503,17410,12452,5897,69247,2567,8259,9095,11948,12431,17410,12452,5897,80054,201584,210634,205301,188755,155528,115500,59594,14877,1151774,11632,16319,13255,11049,8161,6511,4767,2909,74611,215785,235209,227650,211755,176122,139422,76805,23683,1306440,501,822,365,212,54,0,0,0,1962,93,239,230,185,89,0,0,0,837,197,892,1352,2624,2813,2311,1147,622,11958,791,1960,1948,3019,2953,2311,1147,622,14761,200933,230787,228212,213036,181107,146572,80959,31672,1313284,10822,14172,11170,8856,7135,6516,6396,6087,71161,212547,246916,241334,224915,191204,155397,88507,38383,1399201,2015,3759,2131,1218,381,0,0,0,9499,404,1059,1083,859,701,0,0,0,4110,943,5398,7837,12896,14308,19720,13602,6519,81212,3359,10218,11048,14968,15393,19720,13602,6519,94816,402520,441414,433511,401795,336634,262076,140548,46553,2465057,22458,30493,24424,19910,15296,13031,11162,8997,145770,428336,482124,468983,436674,367325,294820,165311,62072,2705645
RA31,247,315,252,210,96,0,0,0,1125,59,169,166,171,204,0,0,0,765,191,1025,1828,3544,5159,9123,5422,2397,28697,492,1513,2245,3926,5463,9123,5422,2397,30578,51818,46872,47620,52483,56612,48706,25464,5530,335103,4836,6135,5666,5530,4824,3657,2349,1120,34113,57150,54517,55532,61935,66894,61475,33236,9055,399798,60,100,49,41,11,0,0,0,259,12,33,40,48,24,0,0,0,158,62,195,441,947,1224,1092,493,212,4666,136,329,528,1028,1260,1092,493,212,5089,50064,51783,54821,60765,65959,57868,31530,11181,383966,3728,3958,3669,3766,3665,3386,2954,1929,27056,53934,56068,59020,65562,70886,62347,34973,13324,416111,308,420,303,243,108,0,0,0,1385,67,202,209,219,235,0,0,0,921,253,1222,2267,4493,6387,10214,5912,2609,33362,624,1843,2775,4953,6732,10214,5912,2609,35669,101883,98655,102439,113245,122567,106572,56989,16714,719068,8569,10090,9334,9291,8492,7039,5302,3052,61173,111081,110592,114549,127493,137784,123830,68209,22375,815909
RA32,1366,1940,814,488,135,0,0,0,4742,60,199,182,201,212,0,0,0,851,196,1065,1847,3025,3587,5435,2792,1065,19001,1624,3192,2843,3710,3934,5435,2792,1065,24600,35062,33936,33809,36723,37595,28583,13543,2955,222202,5398,6646,5669,5365,4621,3229,1706,644,33287,42088,43772,42321,45799,46147,37249,18042,4663,280083,397,444,148,55,17,0,0,0,1064,27,55,65,53,40,0,0,0,246,87,290,487,816,761,563,242,70,3327,521,798,699,925,822,563,242,70,4636,34794,38680,39958,41627,41239,31478,15945,5500,249220,4023,4722,3944,3796,3280,2558,1788,1030,25142,39333,44196,44603,46347,45335,34606,17979,6600,278997,1772,2385,959,540,156,0,0,0,5802,93,252,254,254,251,0,0,0,1104,282,1357,2336,3842,4352,6002,3034,1132,22332,2145,3989,3542,4637,4755,6002,3034,1132,29233,69857,72610,73767,78348,78833,60059,29490,8454,471421,9425,11373,9609,9158,7897,5794,3504,1673,58428,81418,87970,86925,92148,91486,71853,36024,11258,559083
RA33,6,6,5,3,0,0,0,0,19,8,14,4,5,9,0,0,0,41,21,73,95,202,276,415,197,71,1347,36,95,107,203,286,415,197,71,1405,3512,4302,3712,3912,4217,2856,1285,218,24010,685,969,710,791,731,448,206,74,4597,4227,5363,4527,4905,5234,3714,1678,358,30007,0,0,0,0,4,0,0,0,9,0,9,0,3,0,0,0,0,21,3,22,15,55,30,26,14,9,177,11,32,18,58,35,26,14,9,202,3370,4555,3819,3808,3797,2612,1214,367,23535,493,609,489,477,510,321,197,83,3172,3878,5195,4322,4345,4346,2952,1414,459,26915,7,4,5,5,4,0,0,0,20,12,24,8,11,12,0,0,0,66,26,94,118,254,314,437,203,79,1516,39,130,126,269,324,437,203,79,1608,6885,8858,7528,7720,8011,5465,2500,581,47542,1177,1573,1195,1262,1244,765,397,152,7769,8102,10558,8851,9252,9574,6674,3097,817,56924
RA34,18,19,9,7,8,0,0,0,61,24,40,25,12,5,0,0,0,104,20,77,92,144,207,204,82,33,862,60,134,128,157,222,204,82,33,1023,2885,3115,2524,2695,2719,1797,769,166,16679,494,619,464,504,522,276,158,35,3070,3440,3865,3115,3362,3464,2277,1016,231,20769,6,7,0,0,4,0,0,0,16,5,13,0,3,0,0,0,0,24,16,24,34,42,39,17,8,0,194,30,40,42,48,45,17,8,0,228,2880,3414,2853,2785,2751,1664,767,286,17394,453,459,360,395,399,203,121,52,2445,3357,3915,3253,3229,3192,1885,893,333,20069,27,24,12,11,7,0,0,0,74,26,48,25,16,8,0,0,0,125,43,101,125,184,247,230,93,31,1054,92,175,163,210,261,230,93,31,1255,5763,6533,5377,5480,5471,3463,1533,449,34074,945,1080,826,896,922,474,280,86,5511,6797,7783,6369,6589,6658,4165,1912,574,40838
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,13,14,0,3,0,0,37,9,25,45,31,3,0,0,0,110,4,37,55,42,3,3,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,13,5,0,0,0,0,0,24,9,13,7,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,13,14,0,3,0,0,41,14,34,52,32,8,0,0,0,132,16,49,64,45,5,3,0,0,183
RA39,7,4,0,0,0,0,0,0,15,3,3,6,3,0,0,0,0,15,5,17,29,51,109,170,35,0,418,12,24,34,54,114,170,35,0,441,532,958,854,720,959,915,212,14,5164,178,317,311,264,220,172,34,4,1497,719,1301,1194,1042,1297,1253,283,23,7108,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,5,5,3,6,18,32,10,5,0,82,4,3,5,21,32,10,5,0,90,620,1044,675,692,972,759,139,18,4909,156,302,200,179,161,100,21,5,1128,777,1345,885,887,1170,870,160,25,6127,11,4,0,3,0,0,0,0,15,3,3,7,3,0,0,0,0,18,4,22,34,72,143,180,42,0,498,11,26,46,71,149,180,42,0,530,1147,1998,1519,1411,1934,1677,349,35,10072,330,616,511,445,385,278,55,11,2626,1495,2649,2077,1929,2468,2124,444,44,13234
RA40,629,1089,680,407,157,0,0,0,2965,151,388,321,269,285,0,0,0,1414,176,1181,1821,3053,4429,7462,4557,2671,25354,961,2652,2825,3731,4871,7462,4557,2671,29733,79954,87412,81752,75989,70133,53914,29362,9713,488221,3291,4507,3869,3323,2766,2148,1634,1056,22598,84207,94580,88452,83040,77760,63520,35551,13441,540543,174,267,113,64,31,0,0,0,644,43,82,98,79,45,0,0,0,348,58,235,361,794,1118,913,332,337,4151,275,588,569,937,1193,913,332,337,5146,76900,90742,87517,82035,80285,68983,41000,19777,547239,2921,3691,3062,2578,2327,2340,2410,2060,21393,80095,95017,91148,85549,83803,72241,43752,22172,573770,802,1354,795,471,181,0,0,0,3604,194,475,417,346,325,0,0,0,1766,239,1411,2181,3851,5545,8375,4890,3006,29506,1241,3240,3396,4666,6056,8375,4890,3006,34872,156851,178158,169267,158020,150411,122901,70362,29484,1035458,6210,8198,6933,5900,5093,4492,4044,3114,43985,164303,189595,179592,168590,161563,135765,79299,35608,1114313
RA41,52,53,39,43,20,0,0,0,205,13,20,33,33,45,0,0,0,143,10,114,235,529,864,1697,951,482,4887,74,185,308,600,936,1697,951,482,5237,8346,7236,7995,9894,11480,10400,5730,1333,62417,644,648,685,718,719,627,425,184,4650,9065,8073,8992,11210,13132,12720,7104,1998,72302,9,15,18,8,0,0,0,0,42,3,4,7,10,11,0,0,0,41,4,30,65,136,199,176,64,45,721,17,51,89,149,217,176,64,45,806,8051,7698,8909,10890,12802,12196,6646,2432,69621,529,417,409,603,613,662,481,335,4050,8599,8164,9408,11646,13633,13027,7190,2813,74478,61,63,56,51,19,0,0,0,255,15,27,43,44,55,0,0,0,187,12,144,305,664,1068,1872,1013,529,5604,88,235,404,757,1147,1872,1013,529,6043,16400,14932,16900,20781,24280,22597,12377,3766,132041,1170,1066,1100,1321,1332,1286,903,518,8700,17660,16241,18405,22857,26765,25754,14290,4816,146780
RA42,10,0,3,9,3,0,0,0,30,8,20,12,4,18,0,0,0,61,14,84,175,431,786,1876,856,516,4742,27,108,193,446,812,1876,856,516,4831,9875,9846,9326,11111,13235,11246,5861,1468,71967,988,1245,1225,1136,1113,953,604,246,7514,10893,11199,10741,12695,15160,14075,7314,2229,84306,3,3,0,0,0,0,0,0,9,4,3,0,0,3,0,0,0,15,3,21,40,120,155,156,64,42,600,7,30,42,120,163,156,64,42,624,8825,9947,9993,11779,13753,12318,7245,2850,76713,714,693,718,752,845,838,748,467,5782,9548,10675,10754,12654,14754,13313,8055,3364,83115,13,5,4,9,7,0,0,0,39,10,19,12,8,19,0,0,0,75,15,105,220,545,941,2040,913,555,5343,41,136,235,568,969,2040,913,555,5448,18696,19795,19314,22889,26990,23565,13101,4321,148678,1702,1938,1944,1889,1959,1790,1348,718,13287,20443,21873,21495,25351,29912,27394,15370,5592,167427
RA43,0,0,0,0,0,0,0,0,9,0,5,4,3,5,0,0,0,11,3,27,61,101,145,355,158,103,954,5,33,61,101,152,355,158,103,975,1919,2247,2230,2428,2904,2317,1240,288,15567,207,245,286,316,281,212,124,58,1717,2128,2534,2580,2845,3332,2881,1523,445,18264,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,10,6,6,6,28,32,23,17,5,128,6,6,11,31,38,23,17,5,136,1716,2315,2280,2462,2891,2468,1295,536,15960,178,171,157,203,195,191,119,85,1299,1896,2490,2449,2699,3119,2686,1429,622,17398,0,0,0,0,4,0,0,0,11,0,5,8,3,6,0,0,0,21,3,38,66,128,178,385,179,103,1084,9,48,73,131,188,385,179,103,1119,3635,4562,4506,4895,5794,4783,2536,826,31534,378,420,448,519,473,403,240,141,3022,4020,5027,5028,5550,6454,5567,2957,1066,35664
RA44,3,8,4,5,0,0,0,0,23,0,0,3,0,0,0,0,0,4,5,5,10,20,45,82,25,18,213,0,18,17,23,49,82,25,18,241,676,820,703,786,901,664,320,65,4934,114,135,102,126,108,93,54,23,738,794,966,817,936,1053,841,398,106,5914,0,0,0,5,0,0,0,0,8,0,4,0,0,0,0,0,0,4,0,0,0,3,7,9,0,3,26,0,3,5,4,7,9,0,3,31,614,857,709,788,786,585,243,93,4672,95,108,69,89,84,77,34,29,591,714,972,783,881,874,669,277,120,5292,3,11,9,10,0,0,0,0,26,0,3,3,0,0,0,0,0,6,5,8,13,27,47,95,29,15,240,8,20,23,32,50,95,29,15,268,1295,1677,1413,1568,1686,1248,560,159,9607,206,240,174,214,193,167,81,49,1331,1508,1938,1601,1819,1932,1511,678,229,11208
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,7,0,0,0,0,5,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,7,0,0,0,0,5,0,0,3,5,0,0,0,0,12
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,10,19,26,3,0,81,0,7,11,10,19,26,3,0,83,146,252,218,227,221,150,29,3,1243,32,67,64,60,72,39,3,0,341,182,320,289,299,311,214,40,7,1668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,9,0,6,0,0,13,0,0,0,16,181,243,185,141,160,121,24,10,1062,31,63,53,32,28,17,4,0,228,214,305,245,178,197,141,26,10,1306,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,7,11,9,29,26,5,0,92,0,8,11,15,29,26,5,0,95,324,489,403,376,379,270,50,14,2304,63,124,120,93,96,58,12,0,570,394,627,534,478,513,359,64,11,2975
RA50,412,1264,739,424,171,0,0,0,3006,208,477,368,330,268,0,0,0,1654,270,1781,3164,5395,6514,9347,6247,3132,35841,888,3515,4272,6154,6952,9347,6247,3132,40495,121046,132626,135538,119141,101873,76075,38281,10575,735155,6348,10982,9898,8038,6022,3755,2883,1959,49879,128278,147123,149710,133337,114846,89170,47410,15662,825535,220,323,166,71,27,0,0,0,809,53,125,90,82,36,0,0,0,393,107,379,744,1334,1424,1117,708,433,6247,382,832,1006,1485,1485,1117,708,433,7442,118186,144619,146080,130201,115614,93093,49783,20868,818449,5373,7836,6308,4984,4095,3788,3921,3597,39900,123943,153281,153391,136666,121194,98001,54408,24896,865795,633,1589,904,500,200,0,0,0,3813,261,603,458,411,308,0,0,0,2039,377,2156,3915,6729,7930,10457,6953,3564,42092,1267,4341,5273,7639,8436,10457,6953,3564,47946,239232,277239,281623,249342,217493,169169,88064,31444,1553599,11716,18819,16204,13023,10117,7546,6807,5550,89782,252219,300403,303100,270009,236044,187175,101828,40566,1691327
RA51,189,124,42,29,15,0,0,0,392,11,15,18,25,22,0,0,0,93,23,113,313,725,927,1698,953,445,5205,215,259,374,780,965,1698,953,445,5690,11190,10234,11969,13241,13468,11312,5301,1124,77841,1272,2112,2123,1897,1397,919,511,241,10468,12683,12603,14470,15915,15831,13931,6760,1810,93996,64,29,13,0,4,0,0,0,112,4,4,11,0,0,0,0,0,26,3,28,80,191,234,215,107,49,908,74,60,97,197,236,215,107,49,1042,10498,11371,13946,15047,15298,12783,6270,2266,87476,809,815,833,888,830,765,595,356,5888,11377,12248,14876,16134,16363,13762,6973,2676,94409,250,149,54,31,22,0,0,0,500,16,27,27,27,25,0,0,0,115,27,148,388,917,1158,1915,1061,494,6113,293,318,475,975,1203,1915,1061,494,6731,21692,21603,25908,28292,28765,24097,11566,3389,165313,2078,2925,2956,2780,2228,1688,1106,597,16355,24058,24852,29343,32047,32193,27697,13733,4482,188402
RA52,6,5,5,8,9,0,0,0,36,12,32,18,30,17,0,0,0,103,10,94,198,483,718,1345,658,383,3883,28,132,223,512,738,1345,658,383,4023,8971,8949,9139,10256,11337,8955,4469,1085,63163,1077,1403,1407,1393,1246,946,561,210,8241,10078,10485,10765,12168,13319,11243,5682,1681,75423,9,5,3,0,0,0,0,0,14,0,0,4,4,0,0,0,0,5,6,15,59,113,147,144,58,43,589,13,20,63,118,149,144,58,43,608,8306,9292,10062,11093,11904,9668,5091,1880,67293,909,927,1019,1001,965,865,579,349,6613,9228,10247,11148,12213,13017,10676,5725,2272,74522,12,8,11,4,9,0,0,0,51,12,34,17,28,18,0,0,0,107,17,116,258,601,865,1488,714,423,4474,40,160,287,636,885,1488,714,423,4634,17278,18239,19200,21355,23239,18626,9559,2970,130466,1983,2334,2427,2392,2207,1813,1135,561,14854,19297,20730,21911,24378,26343,21921,11411,3958,149948
RA53,12,12,17,17,6,0,0,0,55,0,35,17,12,3,0,0,0,65,5,76,160,234,287,351,133,80,1320,19,120,196,262,295,351,133,80,1443,3811,5248,5716,5065,4599,2585,1085,233,28331,802,1156,1131,1025,862,448,191,59,5673,4631,6525,7038,6343,5758,3385,1405,368,35449,0,0,0,5,0,0,0,0,11,0,3,6,3,5,0,0,0,17,4,13,42,54,61,40,21,0,228,11,20,47,66,59,40,21,0,254,3404,5892,5726,4769,4129,2463,1120,358,27853,646,976,887,739,570,352,173,85,4422,4050,6881,6663,5574,4755,2853,1313,447,32531,8,12,23,24,6,0,0,0,62,0,40,22,22,4,0,0,0,80,11,87,199,285,343,385,153,82,1544,25,133,240,322,357,385,153,82,1695,7208,11141,11443,9828,8721,5050,2197,595,56188,1447,2131,2022,1762,1427,804,360,141,10093,8681,13402,13702,11917,10505,6236,2719,815,67980
RA54,0,18,16,12,0,0,0,0,40,8,10,14,9,5,0,0,0,43,11,77,132,174,215,232,78,19,936,17,105,159,194,220,232,78,19,1027,2825,4514,4016,3577,2984,1496,508,72,19997,849,1705,1474,1272,935,351,124,15,6728,3691,6320,5656,5044,4137,2079,709,111,27745,0,3,4,3,0,0,0,0,9,0,3,0,0,0,0,0,0,7,3,14,21,36,38,9,3,0,130,7,19,21,44,38,9,3,0,146,2667,4119,3347,2832,2493,1268,473,112,17313,588,878,703,570,492,219,96,37,3580,3261,5020,4069,3442,3019,1496,577,147,21036,0,24,18,14,0,0,0,0,50,8,14,15,8,5,0,0,0,52,15,88,152,210,251,240,82,22,1066,24,123,183,236,256,240,82,22,1172,5497,8627,7366,6412,5476,2763,986,186,37305,1434,2582,2174,1838,1424,574,224,53,10301,6952,11339,9719,8486,7161,3574,1286,258,48779
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8,0,0,4,3,0,0,0,0,8,20,56,91,51,26,10,0,0,247,14,44,69,46,20,4,0,0,197,30,99,157,103,55,14,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,8,4,5,5,5,0,0,35,9,3,3,8,0,0,0,0,19,13,14,11,9,3,4,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,11,0,0,3,3,0,0,0,0,13,27,66,90,55,34,14,0,0,281,21,46,74,51,21,3,0,0,221,42,116,170,109,62,18,0,0,516
RA59,0,6,6,0,0,0,0,0,13,0,0,0,0,3,0,0,0,5,4,19,33,38,36,39,12,0,185,5,27,39,40,37,39,12,0,201,320,573,617,526,442,303,73,10,2860,85,220,275,280,181,109,34,9,1194,414,822,926,842,667,444,118,14,4247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,0,0,24,4,0,3,4,6,7,0,0,31,313,528,479,346,352,230,25,12,2298,88,166,123,119,118,77,13,5,713,410,692,613,468,477,316,38,16,3030,0,6,6,0,0,0,0,0,16,0,0,0,0,3,0,0,0,5,8,21,36,42,43,45,13,0,212,8,24,42,42,46,45,13,0,229,636,1101,1094,873,795,526,101,14,5149,181,385,401,398,301,187,44,15,1902,820,1512,1543,1313,1144,758,155,30,7285
RA61,28,32,44,36,25,0,0,0,162,46,104,101,89,56,0,0,0,405,59,422,770,1224,1477,2327,1557,845,8673,137,561,911,1344,1560,2327,1557,845,9236,19279,25102,19010,17782,17455,14002,7390,1954,121975,1074,1504,1107,925,800,749,569,293,7028,20490,27164,21031,20059,19813,17070,9519,3088,138231,7,18,16,12,0,0,0,0,54,3,21,32,22,19,0,0,0,98,19,70,209,383,448,286,142,87,1643,31,111,257,410,466,286,142,87,1796,18758,25554,21176,20704,20616,18260,10682,4523,140282,925,1180,871,744,733,867,815,534,6657,19718,26840,22310,21859,21817,19414,11632,5148,148737,35,47,61,46,25,0,0,0,220,54,131,126,107,79,0,0,0,497,77,489,982,1605,1928,2611,1698,933,10315,170,667,1167,1762,2027,2611,1698,933,11035,38038,50653,40189,38487,38068,32264,18070,6480,262252,2003,2684,1984,1671,1527,1615,1379,826,13683,40211,54006,43338,41917,41632,36485,21148,8238,286973
