RA_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
RA10,115153,123750,66889,40506,51408,34826,21034,453572,29503,28990,17558,11565,14755,7180,3343,112887,29836,28000,15810,9695,11742,5764,2691,103532,127251,120596,72537,48271,60347,27441,12550,469001,1360,1460,681,409,237,99,65,4306,303103,302795,173468,110445,138491,75317,39681,1143305,7463,13380,10180,7745,11475,7899,5352,63499,4842,7265,4876,3732,4672,2079,1137,28604,2658,4482,3384,2487,3175,1498,828,18510,22100,29990,20368,14743,17731,6443,3111,114484,1437,1584,887,608,495,175,70,5253,38503,56693,39688,29322,37553,18095,10500,230344,341601,359489,213158,139766,176042,93411,50181,1373654
RA11,5396,5361,2955,1820,2260,864,338,18991,3594,4086,2732,1817,2178,583,179,15165,4052,4331,2589,1698,1980,518,199,15355,50216,52675,32994,21876,24961,5926,1899,190555,262,333,180,150,91,20,8,1042,63515,66791,41449,27355,31469,7906,2621,241112,293,574,476,367,485,185,80,2469,874,1310,1053,769,942,218,79,5252,400,830,655,475,610,131,63,3150,12389,16818,11445,8334,8786,1610,514,59895,518,568,373,244,152,33,9,1896,14470,20099,14004,10191,10977,2181,743,72664,77980,86887,55455,37546,42453,10084,3368,313773
RA12,863,872,465,293,404,97,30,3028,482,535,341,255,262,54,18,1948,761,758,408,265,289,54,9,2551,12460,13437,8516,5538,6033,1082,304,47372,65,88,64,41,34,0,0,290,14637,15694,9792,6397,7019,1294,356,55192,56,93,66,49,83,26,5,371,164,221,148,97,110,22,3,766,64,102,89,82,85,12,10,436,3051,4148,2801,1915,1958,252,45,14174,147,152,108,72,41,11,0,528,3476,4715,3207,2218,2274,315,74,16279,18112,20409,13001,8615,9294,1614,425,71467
RA13,67,44,22,16,9,3,0,165,29,33,9,10,8,4,0,95,62,50,18,3,6,0,0,147,999,971,591,293,340,71,24,3281,6,8,4,7,0,0,0,16,1159,1102,647,322,376,83,31,3705,9,12,7,0,0,0,0,26,5,18,9,3,0,0,0,34,3,9,10,3,7,0,0,31,243,308,162,122,104,10,0,953,11,8,8,0,3,0,0,36,279,354,192,133,112,10,0,1084,1439,1450,836,457,481,94,33,4788
RA14,17,7,3,4,6,0,0,32,11,11,7,0,0,0,0,26,16,8,9,0,0,0,0,41,204,242,112,67,63,4,0,686,7,8,8,0,0,0,0,27,257,271,139,68,73,6,0,812,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,8,0,0,0,0,0,0,0,4,86,110,64,46,35,0,0,336,5,6,4,0,0,0,0,13,89,124,75,53,36,0,0,370,345,396,213,118,102,10,0,1182
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,105663,110281,55901,33325,42178,28041,16765,392158,22114,21054,12226,8031,10566,5646,2964,82601,23554,21761,11362,7024,8645,4852,2486,79687,103799,100013,60154,40539,53380,28040,13566,399492,1079,1126,550,332,213,84,51,3427,256201,254225,140197,89249,114985,66664,35832,957359,7387,12783,8979,6949,9977,7167,4666,57913,3465,4949,3536,2637,3605,1786,1016,21000,1899,3469,2409,1821,2574,1338,736,14249,13144,20965,14847,11244,15228,6967,3546,85936,1092,1266,680,468,351,159,75,4092,26985,43433,30450,23118,31741,17414,10042,183181,283190,297659,170648,112373,146722,84069,45876,1140536
RA21,4396,4686,2513,1536,2067,805,311,16312,2759,3200,1979,1329,1608,532,212,11624,3111,3229,1810,1179,1324,406,149,11212,41286,43388,26526,17823,21541,6399,2208,159167,243,279,158,112,70,15,4,891,51798,54787,32992,21977,26615,8154,2889,199202,284,501,404,287,420,190,82,2167,616,1013,748,523,639,191,83,3819,277,512,432,335,456,110,60,2188,7647,11546,7969,5877,6712,1670,597,42024,358,424,245,176,116,28,7,1367,9193,14000,9801,7208,8336,2193,834,51564,60985,68785,42795,29184,34951,10345,3718,250771
RA22,878,881,472,313,368,107,34,3066,354,369,250,146,200,47,7,1370,583,547,310,182,188,35,16,1868,8033,8283,5266,3544,4175,895,224,30422,48,64,37,31,26,4,0,207,9899,10144,6335,4218,4960,1083,287,36931,77,93,84,47,67,29,7,412,108,189,104,87,77,18,3,588,37,91,62,61,58,19,3,331,1647,2395,1591,1228,1319,243,60,8484,87,78,69,43,25,0,0,299,1957,2844,1910,1461,1549,304,77,10104,11854,12985,8254,5678,6508,1389,362,47035
