RA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
RA65,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,6,0,5,4,0,4,13,0,19
RA69,102,76,176,27,26,49,15,22,36,26,34,55,33,46,77,11,8,16,12,7,16,258,214,474,0,0,0,0,0,0,0,0,0,362,321,685,21,29,51,12,4,15,416,383,801,227,137,359,746,593,1338
RA72,27925,27202,55125,2288,2241,4525,2256,2140,4398,2107,2205,4315,2396,2367,4763,921,1036,1950,1323,1362,2682,170,174,345,13576,14122,27697,287,291,575,10,10,17,23045,23699,46741,4287,4984,9269,775,638,1409,30389,31553,61951,7521,5757,13273,65837,64513,130349
RA73,10255,10273,20532,1489,1543,3034,633,721,1352,694,822,1518,690,670,1361,389,452,834,310,334,640,53,48,99,2913,2987,5897,68,89,164,4,0,4,5748,6126,11869,1203,1350,2550,212,205,419,8645,9223,17873,3055,2353,5402,21955,21852,43805
RA74,12537,12752,25287,1525,1601,3123,313,333,642,289,329,620,587,590,1180,169,152,319,191,226,418,41,40,81,1114,1097,2206,10,23,34,0,0,0,2720,2792,5512,320,329,645,109,102,207,4665,4823,9487,2264,1754,4017,19471,19326,38793
RA75,21,3,29,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,16,0,18,0,0,0,4,0,4,0,0,0,0,0,0,29,3,35,5,0,5,0,0,0,35,5,37,25,0,26,83,11,94
RA79,289,235,525,65,51,117,115,113,226,114,111,223,145,141,283,42,41,86,72,59,128,7,13,16,112,103,215,7,5,14,0,0,0,608,587,1198,100,138,239,6,9,11,779,786,1563,666,577,1245,1733,1603,3337
RA80,103287,108498,211783,5406,5550,10960,17134,17849,34982,4500,4574,9072,4227,4337,8558,1280,1251,2533,1424,1359,2783,378,395,773,656,612,1269,46106,47167,93268,18,17,35,75714,77572,153280,14518,15311,29828,1551,1162,2712,97194,99588,196783,9467,8562,18034,209942,216656,426602
RA81,194,180,375,5,3,10,19,14,28,0,4,3,0,5,6,0,0,0,0,4,4,0,0,0,0,0,0,71,63,130,0,0,0,93,87,183,4,10,13,3,4,5,106,105,211,24,24,49,324,309,632
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,46,23,68,6,8,19,35,36,70,13,19,25,11,7,17,0,5,5,7,5,12,0,0,0,0,0,0,72,100,170,0,0,0,143,164,302,28,33,56,4,3,5,182,207,383,99,37,133,320,267,587
RA91,49,62,113,0,0,0,17,15,37,3,3,5,6,4,5,0,0,4,0,7,9,0,0,0,4,0,6,4,3,7,0,0,0,32,37,72,0,0,0,0,0,0,38,42,83,52,49,98,139,149,292
RA94,1082,1075,2156,168,196,355,104,106,215,23,28,48,97,104,202,4,8,9,122,117,237,3,7,12,14,8,19,20,21,43,3,4,6,392,401,793,68,61,126,3,7,9,632,657,1285,530,279,808,2244,2004,4248
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,0,0,0,0,0,0,5,6,4,5,0,8,6,4,11
