RA_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
RA39,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,9,0,8,8,0,0,6,14,5,0,6,51,0,3,0,0,4,0,0,4,3,0,5,17,12,0,4,54,0,0,0,0,0,0,3,0,0,0,0,6,4,4,0,21,0,0,0,0,0,0,3,0,0,0,5,6,6,4,0,29,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,5,3,3,4,4,0,0,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,23,3,4,12,3,3,0,0,0,0,6,6,5,5,72,0,0,23,81,109,94,94,45,6,0,8,14,7,14,69,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,6,0,14
RA40,240,244,231,377,105,41,71,5141,0,0,7,3,4,342,624,354,52,65,29,44,3,14,35,1584,27,169,517,399,440,174,476,406,30,37,43,33,14,5,84,2848,613,6703,5079,903,284,201,331,424,93,71,90,89,34,9,576,15501,3,33,17,24,95,240,510,239,49,47,45,107,57,13,34,1508,0,0,7,33,207,265,1567,758,163,152,190,182,94,4,71,3690,21,59,171,375,282,190,291,126,41,35,44,34,30,7,64,1777,10,48,347,649,1138,685,1972,1383,435,484,478,449,254,38,98,8459,0,0,0,4,11,32,1294,1558,689,1015,1008,1004,306,32,105,7055,140,2310,679,279,191,118,289,123,25,33,10,30,21,3,122,4369,64,115,582,1628,2229,1521,1822,931,129,148,145,124,88,105,281,9901,17,41,79,67,36,46,24,16,0,0,0,4,4,0,4,338,5,0,14,28,27,171,849,1806,354,506,559,643,294,76,99,5432
RA41,0,0,0,4,0,0,4,26,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,12,0,19,51,49,24,22,37,34,0,0,0,0,0,0,8,250,35,212,126,29,4,9,8,13,0,0,0,0,0,0,25,473,0,0,0,5,0,13,23,14,3,0,0,0,0,0,0,63,0,0,0,0,9,6,19,9,0,0,7,0,0,0,0,55,0,0,0,9,5,0,5,0,0,0,0,0,0,0,0,24,3,4,17,19,21,16,22,5,3,8,6,18,0,0,4,159,0,0,0,0,0,0,10,4,3,11,7,4,0,0,0,34,21,489,156,57,38,14,42,7,0,0,0,6,0,0,26,855,13,15,138,288,327,219,211,103,11,8,0,7,12,4,63,1409,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,22
RA42,3,0,0,0,0,0,7,36,0,0,0,0,0,0,3,0,3,0,0,15,9,0,0,34,0,16,34,20,12,10,19,18,0,3,3,5,3,0,6,142,30,245,195,35,16,3,8,14,0,5,3,0,7,0,42,594,0,4,0,0,4,4,10,10,0,0,0,9,0,0,0,42,0,0,0,0,10,8,20,9,5,3,4,7,0,0,3,66,5,0,6,0,3,0,3,0,0,0,0,0,0,0,0,20,0,0,15,18,7,5,30,31,65,81,89,52,13,0,14,423,0,0,0,0,0,0,18,21,10,29,9,25,8,0,11,135,28,461,102,47,24,13,30,10,4,0,0,0,0,0,30,753,3,10,89,236,302,239,257,145,32,26,35,38,10,7,95,1530,0,0,4,7,0,0,4,0,0,0,0,0,0,0,0,14,0,0,0,0,0,5,21,78,20,20,8,25,11,0,0,187
RA43,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,9,0,6,4,5,4,0,0,3,0,3,0,0,41,0,20,10,4,0,0,10,0,0,0,0,0,5,0,4,60,0,0,0,0,0,4,7,0,0,0,3,0,3,0,0,18,0,0,0,3,3,0,6,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,18,3,0,4,0,0,0,0,3,43,0,0,0,0,0,0,0,3,5,4,3,0,0,0,0,13,6,80,21,3,0,0,5,4,3,0,0,4,0,0,9,132,0,0,22,65,90,49,96,49,7,6,7,3,7,0,28,433,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,3,0,0,8,0,0,0,18
RA44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,8,0,0,0,0,0,0,0,0,4,0,0,3,27,0,0,5,29,18,15,16,21,4,0,0,3,4,0,9,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,3,7,9,7,8,7,0,0,0,0,3,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
RA50,220,192,218,293,87,53,65,6209,0,9,27,10,28,947,1169,771,128,113,120,82,31,14,79,3531,53,229,936,1051,2757,1059,3717,4716,243,219,293,436,268,111,224,16304,767,5453,4296,1083,486,391,863,1608,243,158,159,209,115,24,574,16438,7,28,21,84,311,771,1394,617,138,158,220,280,150,83,115,4369,0,3,4,116,358,461,2417,1485,231,243,207,280,76,22,132,6035,3,16,86,205,264,143,191,97,30,15,12,20,16,3,43,1145,64,212,1036,2413,6896,3203,7739,4438,1024,987,1038,946,562,73,568,31191,0,0,0,0,12,59,1019,871,321,391,598,626,234,18,65,4209,270,2731,659,488,699,400,797,393,53,74,65,97,45,16,167,6959,63,194,1706,5292,10340,8483,14826,11506,856,793,902,1065,514,469,1594,58596,39,154,541,666,654,522,364,158,41,23,25,34,16,8,93,3329,13,18,60,95,165,337,1463,2230,443,520,535,743,420,56,109,7212
RA51,3,0,0,0,0,0,37,98,0,0,0,0,8,10,7,10,4,0,0,0,0,0,21,65,4,16,74,103,166,66,178,206,7,7,5,12,3,0,22,883,73,374,189,25,8,10,39,79,15,10,15,18,8,0,67,937,4,0,4,0,9,25,56,44,0,5,3,10,4,3,0,181,0,0,0,4,4,7,69,63,17,3,16,27,8,0,9,224,0,0,8,10,8,8,11,4,0,0,0,0,3,0,16,63,4,14,52,55,58,36,60,64,15,28,31,15,8,0,30,464,0,0,0,0,0,0,22,22,15,12,10,5,0,0,5,96,39,356,92,69,92,57,91,45,4,3,8,5,0,0,27,908,19,27,270,872,1310,930,1460,778,56,89,49,60,43,26,377,6358,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,3,4,0,3,26,56,6,7,15,11,5,10,11,169
