RA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
RA10,143,1011,877,1829,919,678,648,232,51,6391,117,1137,1620,6868,4554,3180,2370,1063,290,21196,55,435,896,5569,2643,2521,1887,784,248,15053,56,224,382,3453,660,338,505,159,20,5792,94,517,1003,5583,1050,545,285,62,18,9165,27,175,222,2244,1653,1712,827,598,106,7564,504,1801,1603,4547,2082,1705,1055,507,75,13882,151,1088,2918,11253,9168,9966,5322,1595,590,42047,7,63,109,804,619,647,516,331,100,3184,7,67,340,1020,714,443,218,52,11,2880,795,5737,7513,38966,17854,16794,13291,9046,3238,113229,7059,15988,17233,45573,16459,14226,11024,7895,3915,139373,185652,387584,381631,895685,377132,331485,250755,140144,49627,2999688,32,360,765,2978,976,705,356,116,29,6312,162797,309012,267680,452077,209914,175749,137179,82028,41785,1838215,90,644,1046,8625,1609,869,295,47,12,13233,3,20,47,1162,640,977,590,303,97,3838,35,231,590,7682,843,420,193,68,27,10087,22,110,371,2437,1574,1473,994,384,182,7539,59,303,445,3059,1145,840,483,197,50,6587
RA11,9,48,36,59,79,55,52,19,0,349,18,150,240,704,593,449,404,216,43,2824,7,65,43,353,115,89,76,39,3,790,0,7,24,200,19,18,12,3,0,281,18,118,120,256,77,39,13,6,3,642,10,17,9,49,41,35,16,5,0,176,43,190,156,502,306,385,476,190,26,2276,13,88,82,402,155,68,30,11,6,850,0,11,15,82,98,145,181,145,39,721,3,26,40,156,147,105,70,26,3,586,93,464,490,2478,1257,1433,1601,1270,383,9468,2260,5981,5859,11389,6527,7265,6939,4582,1846,52653,43269,100031,87153,167428,93780,104933,101208,56209,17163,771183,0,5,14,34,16,6,0,0,0,74,38277,85942,72626,139160,80985,88940,80352,45679,19856,651816,11,36,6,261,23,15,7,0,0,364,0,0,0,26,15,21,15,13,0,101,0,15,17,380,55,34,13,3,0,515,0,13,14,103,27,17,12,0,0,191,18,64,69,526,279,255,211,78,20,1520
RA12,0,7,7,0,9,8,7,0,0,26,11,42,45,134,97,79,58,17,5,480,0,12,7,48,20,15,10,3,0,112,0,0,3,108,3,0,0,0,0,112,0,25,20,45,13,4,6,0,0,110,0,0,0,18,12,17,6,8,0,71,7,33,33,92,56,67,84,42,3,414,0,0,3,46,23,18,6,0,0,94,0,3,0,14,9,19,32,20,7,104,0,3,10,34,28,28,10,9,0,115,4,51,62,437,183,236,324,244,70,1621,820,2270,1894,4065,2400,3040,2780,1611,598,19479,10407,24609,19786,39152,23173,28776,26378,13810,4001,190095,0,8,3,9,4,0,0,0,0,23,8968,20394,15759,31355,19028,22816,18961,10779,4525,152580,0,0,0,29,4,3,0,0,0,38,0,0,0,0,0,3,4,0,0,11,0,6,8,35,6,0,3,6,0,60,0,0,0,16,4,0,3,0,0,26,0,3,10,78,26,32,32,3,0,194
RA13,0,0,0,0,0,0,0,0,0,0,0,3,4,16,0,15,0,0,0,38,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,7,3,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,6,0,0,0,0,9,0,6,3,59,16,23,28,17,9,157,126,326,225,537,280,334,285,157,36,2303,889,1798,1360,3082,1641,2023,1599,798,226,13413,0,0,0,0,0,0,0,0,0,0,733,1373,1015,2253,1239,1388,927,575,237,9737,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,5,0,0,0,0,5
RA14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,17,37,75,69,130,69,95,79,32,7,592,235,469,370,757,424,516,427,182,43,3413,0,0,0,0,0,0,0,0,0,0,156,343,284,642,344,359,242,119,46,2528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,8
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,3,0,0,5,10,3,0,6,0,0,26,0,0,0,3,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,7,16,5,3,4,0,0,33,0,0,0,6,3,5,3,0,0,19,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,4,12,56,17,17,18,3,0,132,79,160,218,814,375,289,120,30,7,2087,258,382,658,2271,1010,949,648,166,19,6375,0,0,0,0,0,0,0,0,0,0,109,203,390,775,368,422,252,64,17,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,7,9,0,3,0,0,0,15
RA20,113,977,1239,2682,1141,834,619,183,49,7832,55,677,1313,4509,2901,1890,1298,626,125,13399,126,1269,3346,14961,5319,4200,3065,1330,380,33987,46,177,265,2371,377,225,259,63,8,3783,89,754,1314,2814,418,145,103,30,6,5668,23,184,280,2524,2032,2200,981,650,111,8982,331,1250,1251,3400,1474,1058,700,291,52,9809,144,1137,3046,11472,8547,8891,4722,1386,499,39852,0,43,84,509,365,363,313,209,70,1953,9,62,301,1139,528,301,122,36,4,2502,609,4704,7422,32575,14343,12729,10541,6906,2597,92427,5517,12140,13208,36907,13241,10886,8623,6310,3107,109945,152724,313687,316413,772638,310828,259787,193133,109567,39708,2468475,69,844,1959,5109,1423,706,299,100,31,10540,134251,246013,213479,394325,188926,150700,107944,60013,29666,1525321,20,333,374,2999,514,271,141,19,5,4672,6,11,72,1516,829,1140,657,340,110,4671,19,100,206,2100,336,168,76,28,9,3036,33,201,752,3420,1730,1432,923,354,121,8963,59,289,311,2385,842,499,272,109,36,4804
RA21,5,30,21,66,55,39,28,9,0,261,12,101,145,433,335,258,182,79,15,1567,10,54,83,524,153,101,84,42,7,1062,7,12,33,334,5,5,6,4,0,408,15,184,273,251,47,17,8,6,0,799,0,6,5,82,71,62,36,18,3,277,23,133,123,307,204,199,283,98,16,1381,12,69,41,355,136,70,28,8,0,716,0,23,11,58,72,109,141,84,30,518,5,17,30,106,84,47,35,6,0,323,59,335,457,1655,888,1095,1157,856,288,6781,1646,4439,3836,8597,5304,5819,5599,3568,1425,40231,33197,78469,66780,134105,75083,80773,76286,40249,12227,597176,0,27,95,161,63,26,10,0,0,374,30188,66372,55343,113514,65417,69611,60413,31340,13765,505957,0,15,10,111,16,10,11,0,0,175,0,0,0,30,17,34,25,11,3,115,0,13,3,120,27,14,5,3,0,178,7,20,20,108,35,6,7,0,0,203,16,38,29,309,145,150,101,28,7,806
RA22,0,3,5,9,9,3,3,0,0,34,4,21,36,77,75,46,38,12,0,312,0,6,3,71,14,13,12,8,0,131,5,3,3,69,0,0,0,0,0,84,6,31,50,141,25,7,6,0,0,260,0,4,10,28,40,49,25,18,3,176,4,14,15,38,27,27,40,21,0,178,0,33,30,155,70,70,34,6,0,399,0,0,0,10,9,14,23,9,4,73,0,0,0,22,19,11,13,5,0,69,11,59,86,472,193,215,243,157,44,1488,388,1187,1014,2305,1396,1841,1754,1061,399,11342,6476,15272,13159,26695,15335,19679,18886,9866,3012,128377,0,10,40,52,17,12,6,0,0,134,5966,12933,10354,20959,13133,15780,13862,7583,3450,104021,0,0,5,17,0,3,0,0,0,25,0,0,0,7,0,6,0,0,0,10,0,0,3,18,5,0,0,0,0,25,0,9,4,38,10,14,9,4,0,78,3,10,13,55,21,35,23,8,0,179
