RA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
RA23,14,9,0,7,10,4,0,8,0,47,14,12,4,28,10,0,0,9,5,75,116,5,49,40,26,10,35,44,8,338,8,0,0,4,5,0,0,3,0,25,5,0,0,0,3,0,0,4,0,18,0,0,0,0,0,0,0,0,0,3,8,4,0,3,0,0,3,6,3,29,210,144,58,99,68,26,40,81,15,745
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,6
RA29,7,6,8,8,6,3,3,3,0,46,13,16,15,20,6,0,13,19,3,110,20,27,132,53,19,21,37,74,5,393,0,0,6,0,0,0,0,4,0,22,3,0,3,6,0,0,0,7,0,22,0,5,0,0,3,0,0,0,0,10,5,0,9,0,4,3,0,13,13,44,133,313,192,156,89,64,81,181,28,1239
RA30,10494,13116,6204,8442,8896,3614,1988,2659,731,56128,21084,20465,14769,32801,25093,10983,5092,7514,1854,139659,35424,17621,112674,49385,40953,22693,23926,31038,5564,339286,1832,1167,2239,3248,3944,3709,1800,3713,253,21905,3488,2681,2745,5168,6064,3628,2140,3232,412,29555,1310,2383,987,1156,1307,761,557,900,252,9619,2539,3421,2364,3206,2954,2000,1620,2604,4083,24791,162523,367240,163298,144568,142035,68233,45691,66346,19304,1179237
RA31,2310,3038,1335,2276,1797,568,425,600,189,12536,4485,4119,3087,8275,5421,1721,1041,1592,401,30140,11857,4720,42675,18873,12881,7178,11286,12165,2117,123742,593,323,944,1221,1382,1544,737,1749,86,8578,938,465,743,1610,1362,888,734,1128,106,7972,240,414,258,287,215,122,162,278,44,2009,809,678,755,1119,694,667,763,1365,1040,7883,32178,65002,53010,40718,30187,14587,16096,21655,4778,278217
RA32,1834,2163,991,1776,1266,497,365,510,107,9505,3602,2915,2136,6082,3775,1163,856,1269,328,22125,9312,3638,29885,12342,8944,4706,8849,7822,1533,87029,546,259,637,917,854,977,520,1113,67,5890,730,329,522,1132,883,581,558,735,89,5551,218,283,174,234,156,90,108,217,33,1515,721,586,570,832,549,512,615,1132,841,6362,25855,48435,37417,29383,21391,10168,12749,15012,3557,203971
RA33,263,154,85,114,106,25,41,60,3,859,405,219,181,442,308,83,90,138,25,1907,1292,344,3112,811,808,321,1259,887,166,8999,100,17,54,76,94,57,66,121,8,602,144,33,46,73,66,44,64,88,6,578,31,21,13,15,17,5,21,20,3,143,108,52,71,84,49,35,100,162,124,789,3398,3697,3775,2117,1798,688,1733,1794,391,19396
RA34,204,113,37,105,63,8,18,43,11,607,326,183,104,292,242,39,34,100,22,1342,923,337,1690,695,607,177,583,815,140,5971,82,42,46,87,84,48,39,126,17,559,89,36,27,52,44,23,33,69,6,392,14,12,3,11,7,0,4,10,0,68,95,71,61,94,70,45,84,131,108,771,2468,2641,2060,1686,1352,395,833,1461,329,13224
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,7,0,12,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,12,0,0,0,0,0,11,0,24
RA39,16,16,3,12,11,5,6,10,3,96,20,37,16,44,33,26,11,41,4,242,53,34,208,112,56,46,102,146,19,777,9,4,4,11,13,17,3,21,0,65,0,3,7,8,0,0,8,15,0,51,0,0,0,0,0,0,3,4,0,19,3,7,8,8,3,9,3,23,14,90,210,448,278,310,181,120,161,430,60,2209
RA40,4072,6098,2453,4609,3848,1273,695,1090,265,24406,6813,7158,5024,10699,7051,2591,1692,2262,623,43911,12945,7133,41929,20968,16454,8178,7940,10375,2109,128032,743,547,1035,1348,1677,1240,650,1389,104,8739,1321,961,1049,2168,2303,1150,587,973,173,10680,434,932,410,561,483,236,190,364,79,3684,885,1223,813,1278,1050,709,625,1010,1176,8774,58823,144420,62321,62711,54336,23114,16445,25063,6901,454142
RA41,634,747,275,599,429,131,59,140,30,3039,961,737,452,1302,803,303,136,267,57,5023,2804,883,7004,3158,2176,1252,1507,2405,368,21554,204,46,178,205,255,185,99,314,18,1508,304,115,146,301,292,139,97,193,26,1613,69,77,43,41,44,15,22,59,4,379,212,112,153,180,141,125,124,240,141,1429,7870,10824,8831,7031,5247,2577,2178,4155,798,49514
RA42,665,577,134,520,302,117,65,162,30,2568,912,661,346,1406,651,250,153,272,61,4708,3376,970,7293,3920,2284,1358,2123,2584,393,24305,266,65,161,286,287,240,163,364,29,1860,325,73,116,351,245,139,131,247,22,1664,66,64,37,42,47,23,32,51,13,383,313,122,160,265,144,169,169,386,195,1931,8019,10220,8607,7908,4722,2537,2996,4597,843,50446
RA43,177,167,37,111,65,22,7,34,11,641,218,163,104,301,161,67,36,72,11,1132,927,222,1759,721,518,320,475,591,102,5626,80,14,28,55,65,62,40,72,12,429,104,22,46,72,61,38,28,56,5,430,24,19,12,15,7,6,4,23,0,112,70,37,43,42,38,27,49,87,37,435,2161,2435,2190,1580,1146,633,674,1082,205,12103
RA44,38,49,14,49,24,5,6,15,0,190,66,33,14,84,31,16,9,26,0,287,232,67,360,170,126,57,102,183,20,1320,22,12,6,18,10,4,6,22,0,102,23,4,14,23,15,7,8,17,0,118,4,4,0,3,3,0,0,8,0,23,45,30,14,40,13,15,20,30,37,239,590,701,449,483,286,125,159,330,69,3202
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA49,6,3,7,5,3,4,0,0,0,21,0,12,5,8,4,8,0,5,0,47,13,10,55,22,17,13,19,25,9,176,0,0,0,0,4,9,0,3,0,11,0,0,0,0,0,0,0,3,0,15,0,0,0,4,0,0,0,0,0,4,5,0,0,0,0,0,5,7,5,24,47,114,76,58,42,28,33,71,15,489
RA50,6978,10530,5924,6196,6549,2401,1889,2042,509,43018,10667,11027,10713,15994,11741,4998,3654,4057,881,73725,18813,10938,79253,30949,21728,11097,17183,16283,3233,209473,1126,735,1903,2866,2951,2695,1499,2828,178,16780,1900,1435,1939,3500,3931,1781,1331,1677,228,17716,1062,1990,1052,1051,1143,533,548,725,152,8255,1525,2316,1912,2407,2106,1256,1276,1745,2376,16926,96529,234037,119061,90176,83846,37096,34704,39622,11117,746189
RA51,744,946,486,635,531,242,201,236,48,4068,1005,891,963,1431,964,378,287,442,86,6451,2732,1263,12152,4066,2879,1511,3221,2787,511,31130,184,88,325,388,399,399,231,509,23,2541,256,126,208,416,393,228,199,277,31,2132,95,142,75,69,89,40,51,106,12,676,254,173,224,289,202,190,243,299,263,2143,8386,14744,15398,8824,6889,3521,4736,5496,1118,69113
RA52,722,696,279,445,394,142,119,178,38,3013,867,677,507,1170,750,270,226,330,57,4860,2626,939,8366,2941,1993,1093,2329,2135,323,22745,196,83,240,331,386,330,236,397,24,2223,275,91,152,277,288,140,149,231,17,1611,106,91,56,56,53,34,37,69,12,511,282,144,180,228,156,135,184,302,176,1792,7740,11380,10344,6577,5036,2461,3566,4253,755,52110
RA53,349,292,188,169,174,73,77,66,16,1399,541,356,352,531,428,111,130,166,29,2650,1572,536,4813,1019,1074,394,1280,1015,263,11965,113,43,127,131,215,103,110,155,19,1010,142,58,74,111,125,56,71,75,7,714,48,35,40,23,29,15,30,44,10,278,137,85,130,90,101,49,106,172,119,996,4567,5556,6200,2691,2895,1018,1945,2020,539,27435
RA54,156,146,107,123,77,35,80,53,12,787,244,191,181,272,190,45,159,109,20,1407,692,328,2982,610,535,157,1157,644,167,7269,58,60,71,106,74,46,105,111,16,632,63,31,30,69,52,21,59,56,11,388,19,8,13,7,10,0,14,23,9,103,74,78,75,96,50,50,121,109,89,739,2112,3066,3758,1709,1325,466,1865,1400,369,16066
RA55,0,4,7,0,0,0,0,0,0,11,0,0,5,0,0,0,0,4,0,17,4,6,50,0,0,0,15,15,3,100,0,0,0,0,0,0,0,6,0,5,0,0,4,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,3,4,33,67,9,3,0,18,60,6,199
RA59,10,12,4,12,3,0,3,13,0,52,10,17,20,27,17,4,7,21,0,121,13,26,164,51,33,19,49,63,5,421,0,0,4,7,0,5,6,17,0,43,0,0,0,3,4,0,5,5,0,21,0,0,0,0,4,0,0,0,0,13,6,0,3,0,4,0,3,6,3,32,80,233,220,161,97,42,89,176,23,1126
RA61,889,1180,548,890,792,234,103,198,57,4894,1663,1631,1156,2393,1844,606,247,479,155,10173,4144,1853,11699,6063,4406,1982,1930,2604,580,35264,191,110,266,528,522,420,183,415,31,2672,249,198,219,564,534,238,119,237,34,2396,96,209,85,167,116,76,35,102,34,915,231,355,240,395,271,211,160,328,301,2495,15275,35808,17033,16984,13111,5991,3973,6981,1816,116969
RA62,613,629,235,430,378,100,59,127,29,2599,895,790,484,1277,776,303,127,272,73,4997,3241,984,7808,3699,2337,1323,2158,2489,391,24442,176,67,175,350,273,279,154,395,21,1897,205,93,129,378,263,139,103,204,22,1535,59,69,42,85,56,32,26,56,11,432,263,131,177,259,164,159,206,371,206,1933,7925,11573,9762,7940,5283,2641,3013,4738,920,53806
RA63,30,19,10,19,12,5,0,11,0,110,46,15,24,37,25,10,4,16,0,175,134,31,238,119,52,31,111,131,13,853,3,0,0,15,14,9,10,22,0,75,6,3,7,11,7,3,3,14,0,56,0,0,0,3,4,0,0,5,0,17,15,7,7,16,8,8,8,26,9,106,370,319,336,299,169,84,140,325,37,2087
RA64,25,9,3,7,3,0,0,6,0,46,23,3,12,10,9,7,0,12,3,74,77,11,99,33,27,7,20,55,3,341,4,0,0,8,5,3,0,0,0,16,8,0,0,4,0,0,0,13,0,29,0,0,0,4,0,0,0,0,0,9,16,6,3,3,6,0,0,11,0,37,202,128,126,71,73,26,31,117,12,787
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
RA69,0,5,0,0,0,0,0,0,0,8,0,3,0,0,6,0,0,0,0,12,3,3,30,8,10,5,7,11,0,79,0,0,0,0,0,0,0,3,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,7,12,45,34,22,20,10,7,28,5,181
RA72,444,500,272,429,345,82,70,105,22,2280,1025,887,678,1392,1004,287,165,248,98,5772,1831,1048,5832,2442,2315,720,1030,969,295,16476,106,72,127,227,266,159,82,163,11,1210,140,103,149,198,249,107,76,106,18,1146,53,133,50,91,61,31,30,38,8,492,123,166,151,214,160,102,90,131,190,1319,7499,15086,8434,7849,6865,2422,1975,2578,937,53651
RA73,104,144,60,140,89,28,11,26,11,621,285,245,161,492,247,68,36,63,20,1603,575,337,1559,814,599,194,246,323,93,4739,27,50,33,87,69,28,19,41,8,357,44,43,29,98,59,23,15,40,8,348,14,35,16,23,16,7,5,13,4,130,47,70,43,108,43,22,30,63,94,528,2067,4429,2159,2608,1656,552,411,764,333,14993
RA74,60,81,21,66,29,13,7,13,4,294,109,99,40,159,70,17,21,38,4,559,302,215,587,414,203,65,160,321,37,2300,21,72,18,115,50,14,19,74,4,388,24,50,22,87,32,11,16,27,7,285,0,4,0,0,4,0,0,4,0,14,30,83,31,96,25,20,34,69,51,435,980,1736,799,1199,574,181,272,609,126,6486
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,0,0,0,8,0,18,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,6,6,0,0,0,15,0,40
RA79,0,3,0,0,0,0,3,4,0,18,8,9,3,6,7,0,0,9,0,31,10,11,20,7,13,0,13,20,0,96,0,3,4,3,3,0,0,0,0,11,0,0,0,6,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,3,0,4,5,5,0,0,0,11,8,29,44,104,33,42,35,18,16,73,13,378
RA80,1801,2092,800,1079,1596,394,180,258,140,8341,3292,3073,1689,3045,3353,782,302,589,332,16450,3814,2816,9766,4262,4703,1370,1160,1726,566,30182,272,256,218,408,507,301,80,192,27,2257,435,403,287,512,792,233,123,210,65,3052,182,418,136,157,186,68,45,70,31,1309,290,521,255,316,399,144,114,184,469,2702,37741,72120,17346,17968,25527,6734,3257,5797,3913,190402
RA81,13,3,0,0,8,0,0,0,0,27,6,8,4,3,11,0,0,0,0,36,19,3,44,8,12,0,0,5,0,91,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,10,78,84,54,27,37,4,5,14,6,300
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,3,0,0,0,0,0,0,0,5,0,3,3,6,0,0,0,0,0,11,3,0,10,8,6,0,0,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,46,19,19,20,11,0,7,0,138
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,5,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,23,15,3,9,7,0,0,4,3,61
RA94,24,11,15,11,18,5,0,8,0,84,24,8,11,32,28,7,0,6,4,127,80,29,228,58,39,12,23,45,3,531,3,0,5,17,14,5,4,12,0,68,3,4,3,11,12,3,0,5,0,44,5,3,3,6,4,0,0,3,0,27,12,6,13,11,9,7,6,9,7,88,238,247,284,196,167,61,50,100,18,1372
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
