RA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
RA10,21812,27205,11772,15668,20635,8081,4812,5721,1581,117294,32064,33267,20869,38279,36124,15218,8022,9729,2912,196492,49027,25780,148340,56951,54930,25734,32668,32487,6833,432756,3039,2060,2412,3998,7295,3789,2177,3275,345,28403,6987,5538,4452,7405,13645,5373,3578,4363,761,52101,3042,5807,1918,2045,3633,1589,1212,1515,512,21280,4513,6836,3459,4502,5979,3007,2922,3722,7044,41976,341026,749832,239289,200604,269561,112870,76833,87236,35974,2113227
RA11,5057,6297,2221,4752,4043,1332,637,1130,324,25791,7426,7131,4556,12466,7901,2915,1217,2303,636,46539,21815,8876,62707,27718,20569,11185,15059,17329,2802,188061,1184,531,1002,1766,2454,1618,777,1773,112,11226,1948,1063,1187,2709,3369,1558,927,1739,236,14730,523,742,387,459,602,313,162,435,84,3703,1554,1424,1289,1846,1524,1122,1060,1891,1535,13251,65419,117784,79064,65089,52945,24180,21257,30825,7330,463899
RA12,1811,1266,387,1014,776,230,170,317,80,6048,2015,1313,705,2333,1468,495,272,609,134,9350,7807,1732,12953,5610,4376,2207,4536,4848,734,44809,532,124,234,409,618,338,217,531,34,3038,848,201,211,567,667,370,281,460,40,3637,175,136,83,89,114,52,54,101,26,833,858,308,327,406,376,290,393,724,435,4108,20546,20705,15901,12703,10564,4647,6279,8806,1752,101898
RA13,171,55,17,92,34,11,15,11,0,427,201,57,33,135,122,19,25,34,5,641,636,80,659,263,241,63,305,324,38,2607,64,5,15,25,26,20,17,36,0,206,99,7,12,23,28,10,30,39,4,251,10,7,7,9,8,3,8,5,0,55,86,22,24,28,19,18,38,39,35,308,1779,1206,802,741,616,172,456,574,110,6454
RA14,30,14,0,37,13,0,0,11,0,106,35,15,9,45,28,0,0,5,3,141,143,22,122,54,61,21,40,79,16,567,8,11,3,3,10,4,7,15,0,52,20,0,3,3,5,3,5,8,0,44,4,0,0,0,0,0,0,0,0,7,9,8,9,6,13,3,4,7,9,75,369,325,161,212,146,44,69,148,31,1495
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,12,21,7,15,10,3,3,3,0,87,14,23,18,31,23,11,7,23,3,145,40,19,139,75,38,34,58,76,5,502,0,3,5,8,9,9,0,9,0,37,4,9,5,4,3,0,8,12,0,47,5,7,0,3,3,0,0,0,0,16,6,12,4,13,9,9,8,14,16,94,186,453,205,217,159,95,124,224,44,1714
RA20,17746,22034,12907,14235,17022,7161,4987,5448,1444,102991,26750,26468,23255,40141,30127,14007,9694,10833,2698,183987,38285,17929,134375,50431,39163,21592,26624,31726,6512,366639,2029,1330,2288,3236,4398,2801,1816,2779,273,20952,4730,3501,3689,6559,7479,3960,2706,3430,656,36696,2138,4163,1702,1626,1922,1098,1014,1201,444,15315,3669,5427,3628,4332,4432,2764,2560,3506,6355,36674,275495,631214,226989,195410,218567,99284,72809,87986,32598,1840348
RA21,4733,4864,2167,3786,3259,1114,537,1097,303,21863,6333,6290,3994,11198,6421,2383,1057,2267,513,40462,17993,5703,50083,19900,13797,7870,11142,14804,2319,143609,822,363,754,1112,1422,1109,495,1351,75,7495,1237,598,783,1683,1505,841,624,978,125,8373,350,572,258,294,287,116,115,255,64,2312,1467,1154,1043,1434,1017,947,791,1557,1188,10600,55381,97581,63869,50857,38471,17865,15978,25973,5875,371857
RA22,1311,914,318,722,550,191,119,262,70,4453,1473,1238,606,2088,1070,382,195,546,127,7730,5376,1183,8848,3945,2644,1680,2408,3272,517,29881,264,83,149,277,316,230,124,341,18,1803,350,123,135,346,268,180,123,291,37,1862,107,80,31,60,57,23,14,85,12,476,529,256,234,298,200,209,222,508,316,2779,13581,15650,10970,9620,6503,3343,3391,6151,1299,70503
