RA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
RA10,27172,27891,24180,17877,76095,110780,33987,89294,3415,410675,35677,75497,69010,50215,179534,227556,50448,107768,6336,802049,51562,32848,25678,15055,62691,74520,15888,26884,5323,310451,51562,58215,44612,26337,44669,28049,9551,11798,4335,279131,26564,51151,49196,27806,109436,77734,15305,22937,3344,383479,36857,57038,32432,14178,34097,27969,6326,10833,2814,222548,17277,18768,17643,9632,37063,29996,9514,18079,3215,161180,33779,47725,30026,13049,32801,24163,5481,9093,3947,200061,5180,4807,3993,2030,8963,8531,1591,3863,14232,53186,285617,373935,296762,176179,585357,609298,148098,300553,46964,2822769
RA11,3531,6104,6457,5069,14968,20343,7447,24198,1046,89152,6514,14034,15164,11779,25650,27148,8068,16367,962,125684,5001,8602,7589,6092,23561,27990,7576,14944,1674,103036,6996,20090,17223,11939,16476,9406,3115,4763,1503,91512,3951,12349,12544,8272,21573,12748,2886,4264,681,79264,3712,19105,10032,5084,9697,6289,1788,3133,870,59708,2523,3966,3582,2304,8358,9300,3596,10776,942,45346,5007,20556,10317,6254,12822,11455,2730,5138,1630,75910,925,1322,883,560,1850,1689,401,1105,3570,12304,38155,106128,83790,57343,134949,126365,37622,84680,12880,681916
RA12,874,1927,2066,1669,3492,6155,2452,13534,621,32793,1186,2362,2602,1926,4255,4713,1640,3343,223,22260,788,1669,1541,1140,4532,5621,1636,4148,368,21455,1125,3810,3532,2634,3309,1928,597,1036,344,18314,656,2684,2714,1754,4288,2532,569,1022,182,16400,529,3543,1979,1033,2014,1408,398,781,222,11908,651,1059,941,553,2294,2833,1120,4302,322,14083,937,4872,2773,1654,4091,4065,1139,2534,567,22633,226,310,204,125,469,422,95,363,1127,3338,6972,22237,18358,12498,28742,29675,9653,31063,3979,163180
RA13,86,126,132,119,233,485,201,1801,55,3240,74,115,117,98,199,290,109,261,6,1281,45,77,73,56,139,274,102,345,26,1131,55,207,211,145,230,127,43,89,26,1142,32,160,150,104,246,164,37,69,10,983,20,121,83,38,65,67,14,43,11,461,66,78,61,39,117,183,91,480,39,1156,59,260,164,104,180,289,105,353,43,1575,21,24,11,9,19,29,3,39,75,221,470,1167,1005,720,1429,1918,714,3481,281,11196
RA14,19,37,30,13,62,108,37,392,17,714,10,23,17,29,76,104,22,75,6,352,6,23,20,10,31,54,21,58,14,233,32,44,33,48,84,63,16,24,3,351,10,28,20,28,65,46,11,32,8,248,3,15,15,9,18,20,0,8,0,92,3,17,0,3,16,26,16,77,0,165,13,84,37,16,43,73,18,81,5,368,5,8,3,0,3,8,4,8,32,68,106,273,186,167,401,498,139,742,80,2593
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,21,17,14,15,45,61,19,42,3,234,55,64,56,33,83,106,19,78,3,500,40,31,24,22,47,57,10,39,13,279,53,74,62,29,38,40,5,31,5,334,19,41,30,15,61,41,9,18,3,236,29,45,26,19,25,9,3,10,4,171,30,20,25,23,38,35,19,62,3,253,37,97,75,31,64,52,23,34,16,419,9,13,0,0,7,4,0,7,29,77,284,414,316,184,406,405,111,314,87,2511
RA20,11076,17007,21399,18430,68080,93068,31152,77865,2617,340696,25413,60931,62055,55799,149873,183521,44473,83105,4878,670043,12727,25898,27566,18650,71667,87619,20420,31122,4822,300501,26122,66867,50433,29461,40804,28881,6930,11049,3998,264536,12074,41306,43752,27663,92146,67908,13428,18435,2710,319424,15667,69052,33318,13914,32045,25113,6107,9873,2400,207485,5457,14819,16292,10010,36023,33199,9871,16827,2918,145417,10887,51439,32194,15008,37385,28229,6852,10878,3574,196444,2505,4720,3859,2436,9204,8482,1587,3793,12535,49120,121928,352046,290854,191363,537242,556015,140825,262947,40448,2493667
RA21,2926,5314,5604,4584,11804,17742,6557,22948,1211,78685,5846,11768,13108,12079,20058,21345,6598,12131,798,103738,3602,6629,6093,4866,18137,25359,6143,11569,1410,83811,6921,15882,13023,8619,10380,8152,2059,3302,1082,69419,2959,10082,10193,6787,15554,10490,2289,3061,578,61997,3286,16160,7528,3717,6843,4924,1262,2170,731,46617,1825,2746,2532,1793,6295,7860,3140,7565,730,34477,4168,16952,7980,5044,10755,10430,2988,4664,1422,64408,811,1054,661,466,1403,1518,342,946,2912,10114,32338,86583,66723,47961,101230,107808,31380,68358,10880,553266
RA22,737,1535,1536,1231,2522,4437,1609,8073,401,22075,973,1815,1981,2004,3281,3456,1059,1965,157,16686,656,1311,1077,959,3341,4173,999,2012,277,14809,1248,2882,2588,1697,2095,1499,365,637,243,13257,483,1759,1859,1273,2617,1812,345,504,121,10765,523,2887,1524,804,1446,1012,250,448,151,9037,425,598,607,370,1351,1814,640,1759,176,7749,873,3810,2047,1417,2822,2582,684,1252,447,15934,186,237,167,122,326,295,80,207,879,2492,6110,16826,13379,9868,19799,21082,6031,16861,2840,112800
RA23,14,35,31,19,31,92,30,213,16,480,6,22,25,23,26,30,14,17,0,159,3,17,11,3,13,16,10,10,0,85,13,30,25,25,14,12,3,3,0,132,0,35,31,6,11,11,0,5,0,111,3,15,10,5,9,6,3,6,0,55,7,12,10,5,23,24,8,37,0,118,10,40,24,14,17,41,13,19,3,180,4,4,3,4,0,0,0,3,12,28,59,205,173,107,136,234,84,313,36,1350
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,15
RA29,19,21,10,3,33,43,14,33,4,174,18,34,45,24,74,99,12,25,6,334,20,28,20,14,53,60,23,25,8,250,35,60,39,31,15,21,9,8,5,227,4,25,21,14,39,26,3,12,4,143,13,40,20,9,15,11,5,4,7,129,17,34,17,11,30,36,8,28,6,177,27,60,46,33,50,54,3,27,11,308,7,8,0,0,10,3,0,0,23,49,164,300,218,132,329,340,91,164,69,1797
RA30,10338,11161,11260,9658,40802,52291,19164,51456,1531,207644,21696,35861,39628,34469,89208,96765,24028,50157,2526,394335,15765,15756,14354,11404,47248,56139,15994,29610,3124,209395,31823,42700,34739,21835,30464,18546,5279,9121,3043,197545,12142,25794,27648,18048,68347,41300,9518,13516,1713,218024,16860,41314,21912,10755,23252,16470,4336,8046,1670,144601,5836,9790,9344,6273,20685,18668,6735,17013,1759,96105,13100,36306,21782,12055,26541,19245,5069,9350,2524,145982,1877,2621,2140,1487,5411,4864,1058,2698,7914,30058,129428,221314,182802,125983,351954,324287,91178,190971,25791,1643704
RA31,1792,2610,2813,2381,7752,9927,4153,15570,654,47645,4077,6750,7748,7172,14236,14714,4762,9540,545,69550,3559,4472,4062,3376,14988,16158,6075,14567,1054,68308,4457,10989,10685,7627,9805,5707,1835,3334,945,55385,2506,6634,7123,4841,14301,8732,2147,3375,451,50107,2122,11490,6454,3424,6247,3578,1224,2138,531,37218,2184,2233,2256,1559,5516,6188,3152,11961,799,35845,2892,12229,7014,4847,10280,7663,2320,5157,1151,53556,560,727,486,373,1190,1091,308,1062,2390,8184,24141,58131,48650,35613,84311,73762,25982,66696,8521,425797
