RA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
RA10,196,34,36,47,176585,176894,5373,301,188,91,198786,204734,137782,5652,6941,283,307135,457790,278782,13823,22406,699,122183,437893,243668,17267,37561,1923,76713,377132,217022,14795,44777,4775,50115,331485,174655,10179,33318,10283,22310,250755,98625,4123,13849,15543,8008,140144,28734,789,2717,15308,2083,49627,1184839,66961,161786,48941,963916,2426449,292,35,30,38,166060,166458,11957,789,463,80,180875,194165,185398,9707,11101,538,261484,468223,287850,19263,32507,2074,105153,446850,243617,21576,55817,6295,66015,393317,209453,17172,64255,18611,39908,349400,157657,10099,49310,40734,19180,276985,71857,3103,21217,60526,7067,163766,14025,567,5314,56948,3076,79928,1182090,82323,240024,185836,848824,2539094,490,68,64,88,342651,343353,17327,1093,652,167,379661,398901,323180,15354,18039,817,568616,926013,566632,33090,54918,2772,227342,884749,487287,38848,93376,8213,142728,770453,426473,31972,109031,23384,90019,680882,332311,20278,82634,51017,41494,527733,170483,7228,35064,76064,15070,303911,42755,1355,8029,72257,5154,129555,2366929,149288,401810,234779,1812734,4965542
RA11,56,16,16,17,47244,47353,922,62,38,30,38756,39801,24314,1452,1204,54,56368,83388,45754,3526,4750,172,29839,84041,52440,5112,11363,609,24260,93780,61625,5359,17370,1831,18747,104933,66293,4551,16704,4675,8980,101208,38254,1720,6770,6698,2772,56209,9547,276,1111,5553,669,17163,299198,22072,59318,19651,227637,627879,36,10,9,10,43964,44035,1602,145,29,31,36133,37943,31218,2478,2005,159,50632,86487,49734,4986,7111,576,27037,89437,55685,6212,15759,1919,20596,100169,64606,5894,21975,5651,14029,112156,61503,3830,19318,13693,6123,104463,28820,1131,7671,21534,2144,61289,4880,180,1621,19094,759,26529,298075,24855,75506,62654,201418,662510,92,27,25,31,91206,91384,2526,208,66,59,74891,77742,55532,3936,3207,212,106997,169880,95486,8509,11855,750,56874,173480,108126,11318,27122,2526,44862,193954,126235,11256,39344,7488,32780,217090,127792,8378,36026,18366,15108,205673,67067,2846,14444,28229,4912,117502,14429,453,2733,24647,1427,43690,597276,46931,134825,82306,429053,1290387
RA12,12,4,3,6,10722,10749,220,17,3,5,8801,9039,5730,321,239,15,13491,19797,10451,791,1017,55,7039,19355,12850,1231,2656,186,6249,23173,16664,1581,4443,590,5493,28776,16496,1413,4423,1371,2668,26378,9050,488,1663,1822,785,13810,2157,81,250,1319,199,4001,73640,5929,14692,5362,55453,155078,13,5,0,6,10080,10109,423,39,4,3,7573,8043,7154,544,401,53,11769,19923,11446,984,1353,149,6169,20101,13885,1412,3015,465,4779,23554,17352,1506,4663,1551,3493,28570,14830,884,3622,3537,1416,24282,6745,221,1322,5409,414,14104,1011,27,248,4511,181,5970,72856,5625,14627,15683,45869,154662,30,9,4,11,20808,20853,639,55,7,8,16372,17083,12880,868,636,71,25268,39722,21903,1776,2368,205,13205,39460,26739,2644,5668,649,11029,46727,34017,3086,9103,2142,8988,57348,31325,2302,8046,4907,4083,50662,15795,711,2982,7226,1197,27916,3162,106,501,5825,380,9969,146496,11552,29321,21046,101329,309744
RA13,4,0,0,0,703,705,18,3,0,0,638,655,495,28,21,0,1112,1651,765,50,85,5,520,1423,905,94,164,12,463,1641,1096,111,297,45,469,2023,886,133,267,99,214,1599,448,30,102,130,92,798,101,6,17,79,24,226,4709,460,953,370,4237,10727,5,0,0,0,692,695,23,0,0,0,594,623,608,44,24,10,1009,1691,813,64,81,12,480,1450,985,78,151,38,387,1639,1071,103,254,117,265,1814,724,54,178,228,73,1256,329,15,67,339,32,783,58,5,10,228,8,307,4608,371,768,961,3542,10253,8,0,0,0,1389,1397,43,3,0,0,1234,1280,1103,69,41,8,2124,3344,1578,116,164,15,1006,2872,1891,174,314,47,847,3277,2165,214,553,157,741,3834,1612,188,447,323,285,2856,771,52,168,472,122,1577,160,11,29,305,29,532,9320,828,1720,1335,7772,20979
RA14,3,0,0,0,196,197,11,0,0,0,160,173,110,0,9,3,269,392,154,11,10,0,183,362,166,20,42,4,185,424,240,31,71,14,161,516,210,29,69,34,83,427,106,10,19,27,18,182,26,0,0,10,3,43,1025,113,214,102,1267,2713,0,0,0,0,175,177,7,0,0,0,171,177,137,7,10,0,335,492,167,12,14,4,194,392,194,18,52,4,175,443,224,25,58,25,127,464,175,17,44,41,44,317,64,5,15,64,5,160,16,0,3,42,5,57,989,86,191,191,1217,2676,0,0,0,0,366,375,18,0,0,0,325,349,245,9,15,6,606,880,327,27,24,3,372,757,359,39,87,16,359,862,466,59,129,42,285,980,382,47,113,81,131,743,172,13,36,97,22,345,36,0,4,52,6,96,2009,197,409,291,2484,5389
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,252,253,7,5,0,0,400,411,130,50,15,0,967,1164,205,143,90,5,671,1108,192,141,178,7,493,1010,272,115,265,21,279,949,247,87,192,36,97,648,82,14,47,15,11,166,6,0,4,9,0,19,1134,554,790,89,3174,5734,0,4,0,0,278,279,10,3,0,0,406,418,139,47,31,3,805,1022,176,81,81,4,410,749,167,74,165,16,238,666,266,71,216,28,119,698,182,37,111,48,28,404,43,4,29,23,11,104,0,0,5,23,3,32,982,309,647,141,2300,4381,0,0,0,0,528,532,15,4,0,0,801,829,268,95,49,3,1774,2187,379,221,177,9,1074,1859,356,214,347,24,738,1678,539,183,478,49,400,1648,428,120,300,77,122,1055,124,13,74,36,24,277,10,0,3,31,6,49,2118,863,1431,230,5471,10112
RA20,149,34,31,28,143085,143327,3121,157,103,69,169630,173076,112210,4130,5157,276,279950,401730,234929,10705,17744,637,106897,370910,199512,14430,30389,1631,64856,310828,171190,12089,35180,3919,37413,259787,136620,7702,24612,7981,16219,193133,79199,2993,10060,12026,5294,109567,23247,622,1966,12384,1483,39708,960178,52865,125246,38955,824831,2002066,214,33,23,21,136109,136403,7557,475,256,55,156398,164738,151533,7014,8368,486,241360,408756,239778,15221,25670,1856,95985,378513,199415,18339,45667,5118,59138,327678,165927,13858,51483,13961,32334,277565,126274,7951,38656,31942,14485,219311,59125,2513,15952,48659,5075,131316,11624,411,3675,46001,2068,63780,961445,65809,189755,148097,742953,2108061,361,65,56,53,279188,279732,10678,636,361,123,326022,337815,263741,11143,13523,768,521314,810489,474707,25928,43415,2487,202881,749421,398930,32765,76057,6750,123994,638502,337118,25945,86661,17879,69750,537352,262894,15654,63266,39926,30705,412451,138324,5506,26010,60682,10369,240882,34869,1033,5645,58385,3558,103485,1921619,118672,314994,187055,1567786,4110133
RA21,22,12,8,10,35769,35816,535,46,18,28,30341,30968,18056,1041,798,65,46639,66600,38055,2684,3764,153,22847,67502,42864,4185,8833,525,18671,75083,49488,4145,12754,1546,12842,80773,51609,3337,11608,3463,6275,76286,27774,1241,4364,4912,1954,40249,6705,182,691,4163,484,12227,235108,16879,42842,14859,175824,485507,31,6,3,6,33459,33511,976,112,24,22,28061,29195,23230,1679,1380,144,42414,68845,41259,3845,5402,459,21809,72772,44972,4968,12328,1408,16274,79943,51543,4600,16670,4254,10200,87260,47770,2905,13754,10135,4375,78929,20923,774,5044,14987,1448,43175,3470,131,960,13855,532,18943,234174,19014,55559,45261,158568,512571,55,15,12,24,69223,69327,1507,157,41,49,58401,60154,41288,2718,2176,207,89054,135443,79316,6530,9164,608,44658,140280,87832,9149,21163,1935,34949,155025,101030,8747,29419,5796,23045,168040,99381,6240,25362,13597,10648,155222,48699,2014,9407,19899,3401,83421,10174,312,1651,18015,1018,31168,469284,35890,98398,60122,334397,998085
RA22,0,0,0,5,7062,7067,124,11,0,0,5947,6091,3777,206,177,14,9417,13592,7071,580,733,24,4693,13103,8524,869,1742,115,4079,15335,11663,1066,3224,395,3325,19679,12076,994,3186,894,1737,18886,6699,289,1175,1156,539,9866,1631,50,152,1039,150,3012,51565,4079,10394,3646,36943,106628,4,4,0,7,6481,6494,247,26,3,5,5229,5514,4791,359,265,34,8444,13888,7719,809,948,83,4280,13842,9281,1036,2368,317,3291,16286,12075,987,3503,1050,2115,19735,11111,611,2826,2403,871,17819,4976,154,986,3777,268,10169,830,30,178,3509,89,4639,51034,4018,11072,11191,31069,108390,4,5,0,11,13538,13564,372,42,3,6,11181,11605,8571,564,439,49,17861,27484,14790,1391,1682,105,8978,26949,17806,1907,4107,436,7365,31621,23744,2055,6730,1444,5442,39414,23186,1609,6015,3297,2607,36710,11671,450,2160,4939,806,20029,2459,83,329,4549,232,7657,102597,8100,21467,14838,68011,215019
