RA_CODE_2021,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
RA23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,3,0,6,0,3,0,4,0,0,0,4,0,0,4,0,5,0,5,0,0,0,5,9,0,20,4,4,0,8,0,0,0,7,4,0,13,3,5,0,6,0,0,0,6,0,0,10,3,0,0,5,0,0,0,5,3,0,11,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,63,70,49,185,195,136,324,506,2226,24,2759,40,108,31,174,41,57,93,269,508,4,776,27,276,85,386,133,118,255,641,1056,15,1710,58,457,149,662,236,224,462,1120,1696,13,2832,134,865,279,1283,322,355,673,1955,3431,12,5402,377,2391,697,3471,517,622,1136,4603,5460,28,10097,1167,3890,995,6049,415,458,874,6926,5254,33,12211,2913,4418,990,8312,289,300,592,8906,6659,66,15633,5145,4610,938,10690,273,234,506,11195,6182,42,17425,5664,3701,881,10248,233,186,419,10661,4825,29,15514,5471,2561,592,8622,132,95,228,8850,2919,27,11798,4895,1855,440,7190,103,64,159,7349,2227,23,9598,9073,2680,730,12483,147,86,232,12714,2991,21,15727,3443,1062,306,4811,71,42,105,4918,1423,10,6353,2693,636,180,3514,22,21,40,3558,592,9,4158,963,251,70,1285,5,6,4,1294,286,0,1581,3043,559,166,3772,38,21,61,3834,717,14,4562,3568,1829,653,6045,182,130,322,6364,2770,310,9442,194,93
RA31,14,14,19,48,35,39,75,125,461,14,595,3,38,7,50,22,9,28,77,131,3,216,15,96,26,132,69,42,117,249,334,3,590,26,190,29,244,104,76,179,422,648,14,1080,54,402,64,517,139,151,300,812,1387,10,2212,169,1000,171,1349,195,251,449,1796,2172,10,3983,404,1528,214,2153,138,173,314,2467,2095,22,4580,1063,1574,190,2829,111,110,224,3049,2757,25,5830,1570,1430,200,3193,86,83,171,3366,2350,23,5737,1503,1088,168,2760,66,44,107,2868,1528,12,4410,1359,681,115,2155,38,26,64,2217,908,5,3132,1176,454,98,1730,20,21,41,1765,612,3,2386,1842,559,123,2518,26,33,60,2580,810,6,3393,730,229,46,1004,10,6,12,1015,331,8,1355,480,91,40,613,13,3,18,629,109,5,748,171,46,12,227,0,4,4,228,67,0,289,444,87,39,566,13,8,22,582,153,5,736,949,632,161,1747,54,49,102,1845,1094,100,3038,44,51
RA32,20,15,8,38,37,29,65,106,338,11,453,0,26,13,38,9,4,19,53,98,4,157,11,73,12,99,46,35,76,177,256,0,431,19,157,19,193,76,68,138,327,408,8,746,41,255,29,318,99,90,188,511,840,13,1356,114,722,88,924,127,149,278,1202,1242,10,2447,343,982,96,1418,112,118,234,1653,1223,16,2889,779,1056,120,1949,59,73,138,2086,1462,19,3567,1175,923,122,2224,58,56,108,2328,1197,20,3554,1243,696,91,2032,51,41,87,2115,906,13,3031,1102,441,78,1621,28,19,49,1665,497,3,2167,956,313,62,1333,15,9,22,1357,350,12,1723,1512,422,95,2029,24,16,37,2063,449,4,2516,510,143,47,703,3,3,13,711,197,0,914,385,88,22,496,5,5,10,502,62,0,569,130,33,10,172,3,3,3,178,29,7,214,366,58,26,449,7,7,13,461,103,3,567,814,438,102,1348,64,37,98,1445,740,73,2255,47,28
RA33,3,0,0,8,3,0,3,10,36,0,51,0,0,0,0,0,0,0,3,10,0,13,5,6,0,10,7,8,17,26,55,0,84,4,6,4,16,9,4,12,25,80,0,107,7,27,3,40,17,8,21,62,128,0,187,13,65,0,78,14,10,24,107,163,0,265,35,70,8,108,12,4,18,130,132,0,264,63,56,11,130,6,0,6,139,137,5,282,99,40,7,146,5,5,11,161,95,0,254,96,31,11,141,3,5,7,151,63,3,219,80,15,12,110,0,0,3,118,43,0,156,65,17,5,83,0,0,3,88,25,0,117,133,26,10,174,0,0,0,176,27,0,202,43,10,4,54,0,0,0,58,15,0,73,31,8,8,47,0,0,0,46,8,0,55,10,0,0,18,0,0,0,18,0,0,18,45,6,4,53,0,0,0,53,12,0,68,71,36,14,121,7,0,9,132,104,4,233,9,5
RA34,3,0,0,3,0,0,0,3,37,3,46,0,0,0,4,0,3,4,5,18,0,22,3,7,0,11,16,5,19,29,61,6,87,6,12,3,21,21,6,20,48,97,0,146,6,25,8,39,19,7,29,63,133,6,197,15,42,3,67,11,7,14,83,148,5,232,54,29,7,87,12,0,15,109,108,0,217,48,45,4,98,8,0,11,108,128,0,233,86,44,13,146,4,0,5,158,85,0,245,76,43,12,127,3,0,3,132,67,0,200,74,21,8,100,3,0,3,103,29,0,132,37,11,3,50,6,0,6,52,20,0,75,60,11,5,80,0,0,0,79,23,0,105,23,5,4,27,0,0,0,27,6,0,40,26,3,5,34,0,0,0,34,4,0,37,8,0,0,8,0,0,0,8,0,0,15,23,3,6,33,0,0,0,31,7,0,38,88,32,9,137,4,0,7,139,96,6,243,9,4
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,28,24,21,73,59,65,121,196,834,10,1042,4,46,7,60,10,28,39,93,233,6,335,13,139,21,173,70,49,124,294,484,6,782,24,217,29,266,116,120,234,507,874,5,1378,51,442,69,560,133,170,301,861,1651,8,2516,146,1139,145,1425,184,273,461,1884,2518,16,4414,399,1842,170,2417,158,181,335,2748,2503,15,5265,1084,2144,197,3419,114,109,218,3641,3342,25,7013,2014,2125,192,4336,103,124,225,4561,2789,30,7375,2243,1727,194,4166,84,79,165,4329,2085,18,6436,2121,1084,135,3343,44,45,92,3437,1318,12,4762,2021,769,108,2896,35,26,55,2953,918,5,3879,3576,1117,180,4870,34,21,60,4927,1235,12,6169,1488,476,78,2041,15,13,32,2068,516,6,2594,979,250,54,1284,7,6,10,1300,178,0,1477,375,86,23,491,3,0,5,493,115,0,614,934,206,29,1169,12,15,25,1197,282,8,1484,1700,903,160,2763,85,77,168,2932,1289,104,4331,50,60
RA41,0,0,5,10,7,0,13,19,55,0,74,0,4,0,6,0,0,0,7,21,0,25,5,19,6,25,6,5,7,36,47,0,83,3,38,7,47,12,10,18,67,88,0,154,3,72,10,90,18,12,24,116,198,0,311,20,196,21,238,21,25,51,289,294,0,582,59,260,28,338,21,25,43,382,267,3,651,163,260,27,448,3,10,14,463,381,3,838,225,222,29,479,10,10,18,502,308,3,808,203,192,17,406,10,9,16,426,214,6,639,198,112,15,317,0,0,0,316,125,0,444,177,87,12,270,0,0,0,267,76,4,350,250,100,17,368,7,0,4,373,79,4,455,112,37,9,155,7,0,7,159,40,0,198,66,21,7,92,0,0,0,94,17,0,105,35,9,0,43,0,0,0,43,5,0,52,56,14,0,75,0,0,0,75,20,0,90,192,170,32,386,9,11,22,410,164,10,585,9,9
RA42,6,7,4,14,4,4,5,19,85,4,106,0,15,3,18,5,0,8,22,38,0,61,9,20,5,31,21,10,32,61,89,6,155,10,39,7,59,22,21,48,103,157,0,262,13,89,18,120,42,34,71,190,368,6,565,31,278,40,349,36,37,69,415,436,7,863,90,308,25,428,26,37,64,489,430,4,921,169,340,39,545,15,21,33,587,525,7,1116,277,286,26,588,14,14,29,618,355,0,976,270,217,29,515,14,3,17,528,258,12,791,236,114,24,371,8,0,14,380,140,0,526,179,76,10,269,0,0,6,271,88,0,363,290,89,24,402,0,9,10,413,108,0,518,138,33,6,178,0,0,0,177,42,0,224,77,14,8,99,0,0,0,99,21,0,117,20,3,0,27,0,0,0,27,8,0,32,39,13,3,51,0,0,0,53,27,0,84,201,119,27,350,18,11,26,372,243,15,630,16,6
RA43,0,0,0,0,0,0,0,3,19,4,22,0,0,0,3,0,0,0,3,3,0,6,0,12,0,12,0,0,0,12,12,0,27,0,10,0,13,9,6,10,23,19,0,43,3,16,4,25,3,0,3,27,47,0,75,3,41,3,50,4,4,9,55,53,0,113,10,75,0,90,0,4,8,96,54,0,150,29,57,5,95,4,0,6,99,75,0,174,51,58,3,114,0,0,0,113,61,0,173,48,36,0,85,3,0,5,91,43,0,131,43,20,3,62,0,0,0,67,30,0,96,45,18,0,62,0,0,0,64,10,0,78,49,9,11,74,0,0,0,74,13,0,84,13,9,0,24,0,0,0,24,8,0,29,10,5,0,14,0,0,0,14,4,0,20,0,4,0,5,0,0,0,5,0,0,5,14,8,4,24,0,0,0,24,9,0,28,38,35,7,76,3,5,8,86,45,6,130,6,0
RA44,0,0,0,0,0,0,0,6,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,10,8,0,4,14,13,0,29,5,6,0,8,10,0,10,10,15,0,33,0,4,0,5,3,4,8,9,28,3,43,3,13,0,14,4,3,3,22,21,0,42,3,17,0,21,0,0,0,24,28,0,49,7,18,0,32,0,0,0,31,27,0,59,11,16,0,27,0,0,0,27,20,0,45,14,5,0,23,0,0,0,23,13,0,35,5,0,0,10,0,0,0,10,5,0,18,19,4,0,21,0,0,0,23,3,0,26,14,0,0,11,0,0,0,11,0,0,17,9,0,0,9,0,0,0,9,4,0,14,6,0,0,6,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,8,27,0,4,10,30,21,8,56,0,0
RA45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,35,45,32,115,85,107,192,306,1221,18,1548,18,94,8,125,40,33,70,194,308,0,501,20,222,24,267,109,95,204,470,626,5,1103,40,403,41,487,180,178,357,836,1121,18,1976,78,689,57,823,181,260,439,1266,2093,22,3378,216,1721,165,2104,284,439,719,2827,3050,16,5892,572,2438,204,3216,213,278,494,3703,2793,13,6511,1464,2690,218,4374,143,193,338,4713,3437,29,8173,2652,2837,213,5703,150,138,287,5983,3010,25,9021,3005,2282,203,5491,134,102,238,5730,2201,21,7948,2933,1440,185,4557,85,64,151,4714,1520,16,6245,2824,1042,163,4028,59,45,103,4123,1147,11,5283,5266,1638,292,7199,84,52,129,7328,1609,21,8960,2198,681,136,3021,46,42,91,3105,841,3,3949,1856,424,111,2395,27,18,45,2435,349,7,2786,701,156,45,894,7,4,17,905,200,0,1112,2223,425,98,2745,36,17,51,2795,454,10,3258,2465,1332,321,4127,140,104,243,4362,1953,133,6454,89,58
RA51,8,4,0,15,9,5,11,28,87,3,111,0,7,0,9,0,3,3,11,40,0,49,5,26,7,32,9,14,28,55,59,0,120,4,60,0,67,13,26,34,99,141,0,245,7,102,8,125,19,21,42,166,279,0,449,42,241,19,306,33,58,87,396,411,0,805,91,380,28,498,21,19,37,536,334,0,871,199,387,34,618,22,10,37,659,400,6,1059,319,389,34,743,10,15,25,763,339,4,1105,322,244,19,586,7,10,15,604,250,0,859,263,153,22,440,4,5,8,448,125,0,574,253,91,20,358,7,6,12,369,88,0,455,453,111,30,591,8,3,9,610,129,4,736,156,68,25,247,6,0,6,249,65,0,315,115,32,13,157,3,0,3,157,18,0,182,48,10,3,59,0,0,0,62,14,0,78,92,21,8,118,0,4,0,127,29,0,156,311,191,42,541,13,14,32,570,243,18,832,14,7
RA52,5,4,0,5,4,3,11,23,73,4,95,0,12,0,16,0,4,6,21,24,0,52,8,21,0,26,16,9,31,55,74,0,127,7,30,3,40,22,20,42,78,119,7,209,7,84,7,97,27,25,52,149,230,8,385,24,178,22,228,17,31,46,275,314,3,597,73,263,20,354,21,21,36,395,287,7,680,137,217,26,377,14,10,20,401,342,5,747,234,214,26,470,6,6,10,486,255,5,748,246,168,16,418,5,11,18,440,152,0,596,219,116,14,344,5,0,8,348,95,0,443,196,72,19,282,3,4,7,291,78,0,369,315,75,29,416,0,3,7,419,106,0,529,118,37,10,170,0,5,5,173,63,4,234,117,20,3,146,0,0,0,145,22,0,163,48,7,0,55,6,0,6,61,3,0,65,94,17,11,119,0,0,0,123,25,0,151,214,131,18,364,10,3,15,380,199,17,599,4,3
RA53,4,6,0,8,5,0,0,15,33,0,45,0,0,0,0,4,0,3,3,14,0,12,0,5,0,6,6,4,9,13,41,0,54,0,18,3,18,11,9,18,36,55,0,93,6,19,0,24,0,5,8,32,99,0,135,5,53,3,60,10,12,24,83,78,0,161,21,69,8,93,3,5,12,98,63,0,165,59,53,0,114,3,3,5,122,79,0,201,85,51,3,141,4,9,5,151,68,0,218,90,36,8,140,3,0,5,142,51,0,191,115,23,7,155,0,0,0,154,25,0,178,90,19,9,121,0,4,5,124,27,0,157,181,37,14,227,0,3,3,231,32,3,268,54,11,0,64,0,0,0,64,16,0,85,72,10,3,91,0,0,0,91,5,0,97,32,3,3,34,0,0,0,34,3,0,36,77,9,0,91,0,0,0,97,13,0,107,97,45,20,166,6,8,12,178,79,8,260,6,4
RA54,0,0,0,0,0,3,3,0,21,0,23,0,0,0,0,0,0,0,0,14,0,20,0,16,3,16,5,0,5,26,128,0,152,0,15,5,17,5,7,13,29,122,3,157,9,27,0,34,4,12,14,47,145,0,196,8,35,4,43,9,11,17,57,113,0,172,6,26,12,50,5,11,14,59,141,0,198,29,23,5,61,4,8,8,73,111,0,180,46,33,4,84,5,3,7,95,89,0,185,48,19,7,70,3,0,3,75,59,0,136,59,13,3,70,7,5,6,77,32,0,109,51,9,7,65,0,0,0,67,24,0,93,80,23,6,106,0,0,0,108,25,0,133,35,10,5,46,0,0,0,46,10,0,58,20,6,6,29,0,0,0,29,9,0,42,8,4,5,13,0,0,0,13,0,0,14,24,3,6,26,0,0,0,29,9,0,34,68,30,9,101,3,0,4,106,100,9,212,7,6
RA55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA61,4,0,5,10,23,10,31,42,141,3,191,0,21,4,21,4,4,11,26,44,0,69,8,32,5,42,23,12,27,71,119,4,197,3,81,11,92,26,38,65,162,227,3,394,22,136,16,167,45,51,99,270,511,5,781,35,399,47,481,67,88,154,635,798,0,1432,131,593,49,772,38,75,112,883,695,3,1582,304,632,44,981,34,38,75,1059,932,7,1989,598,657,74,1329,20,29,49,1376,691,10,2076,634,500,48,1181,18,13,34,1210,486,3,1707,556,291,40,890,13,11,25,917,286,4,1205,502,205,43,751,0,5,8,759,209,5,976,837,284,56,1179,3,10,11,1192,278,0,1475,311,106,24,441,3,7,6,449,102,0,550,206,57,12,276,0,0,0,276,45,0,319,71,19,5,86,0,0,0,86,18,0,102,204,58,9,265,0,0,0,265,60,6,330,513,289,48,852,12,20,32,881,318,29,1228,10,10
RA62,3,4,7,14,3,12,15,25,67,0,90,0,9,0,13,6,0,11,21,33,0,56,0,24,4,27,7,11,23,47,70,0,118,9,42,8,56,29,16,41,98,159,0,254,7,99,25,129,18,37,55,177,333,0,514,35,244,32,304,47,57,103,408,485,3,896,74,360,41,477,26,40,64,539,454,7,1000,198,308,30,538,17,20,43,576,570,8,1163,239,316,29,589,21,18,28,624,442,0,1069,294,223,36,548,7,6,17,562,288,9,859,251,116,16,384,5,5,7,390,143,3,533,162,80,17,257,4,3,7,264,129,4,391,268,95,21,384,7,4,5,392,129,0,520,104,49,7,160,0,3,5,162,30,6,192,74,11,9,88,0,0,0,88,13,0,103,25,7,0,35,0,0,0,35,6,0,36,44,14,4,67,3,0,3,69,28,0,94,249,162,33,431,21,11,33,468,242,25,729,11,14
