RA_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
RA53,35449,32531,67980,18433,10504,28943,3065,7417,10482,1724,1588,3308,783,647,1430,24010,20160,44168,6111,8068,14175,3.3,3.2,3.2,67.7,62,65,65.5,60,62.9,559,854,1411,305,851,1158,2303,4791,7096,2036,2938,4969,9957,4160,14119,481,833,1312,413,585,996,10851,5580,16430,30488,28331,58820,7477,7602,15078,17832,15938,33767,17391,17500,34896
RA54,27745,21036,48779,11602,6405,18006,1772,3121,4892,1412,975,2381,771,560,1332,15557,11060,26615,5656,6449,12107,5,5.1,5,56.1,52.6,54.6,53.3,49.9,51.8,393,469,864,167,359,527,1496,2382,3879,1226,1411,2637,6435,2289,8725,392,496,884,266,349,614,7096,3127,10221,20607,17317,37919,5373,4832,10200,12598,10322,22918,11558,10148,21707
RA55,455,61,516,221,27,243,14,4,18,17,4,14,3,0,3,252,29,277,12,9,18,1.2,0,1.1,54.6,50.8,54.2,53.9,50.8,53.6,5,0,3,3,0,3,36,9,39,24,7,35,100,3,100,3,3,4,8,0,7,110,7,117,200,24,229,55,10,71,123,16,139,137,24,163
RA59,4247,3030,7285,572,341,915,210,274,484,116,96,212,227,160,392,1125,875,2000,990,967,1955,20.3,18.4,19.5,26.5,28.8,27.5,21.1,23.5,22.1,64,90,148,29,49,77,227,340,563,143,190,335,662,286,946,39,49,85,26,42,66,726,376,1105,650,443,1089,1743,1662,3403,365,234,595,1901,1766,3664
RA61,138231,148737,286973,56446,34722,91164,22611,41720,64333,4094,5506,9597,5816,4870,10680,88960,86819,175780,42994,55542,98536,6.5,5.6,6.1,64.4,58.4,61.3,60.1,55.1,57.5,10536,11773,22307,2629,4922,7552,20442,26802,47246,9896,13169,23070,30612,18075,48686,1595,2714,4307,1698,2889,4583,33903,23674,57580,134029,142196,276222,23966,25109,49079,88263,93680,181939,61806,66036,127846
RA62,82365,84895,167262,30106,15894,46002,10572,21844,32418,3097,3137,6239,2771,2184,4958,46551,43061,89609,30468,36776,67245,5.9,5.1,5.5,56.5,50.7,53.6,53.1,48.2,50.6,2113,2442,4552,826,1779,2607,6072,10059,16130,5086,7744,12824,22709,12704,35411,1063,2108,3176,1107,1900,3007,24883,16716,41593,79758,81059,160818,11492,12316,23809,55343,55288,110631,31633,34042,65676
RA63,3832,3467,7302,1218,598,1818,440,809,1247,159,145,304,137,114,245,1950,1668,3612,1501,1459,2959,7,6.7,6.9,50.9,48,49.5,47.4,44.8,46.1,134,123,256,35,51,83,290,374,668,241,317,561,992,460,1452,35,85,118,60,64,131,1094,606,1706,3228,2942,6166,665,638,1305,2149,1891,4046,1579,1518,3098
RA64,1112,1031,2138,466,238,710,179,289,473,49,51,104,19,11,33,725,594,1321,292,345,636,2.9,2,2.5,65.1,58,61.7,63.2,56.9,60.2,30,32,64,17,33,42,66,146,212,80,98,179,312,138,448,7,18,22,23,27,48,340,179,523,1072,953,2022,117,132,251,757,639,1393,378,415,789
RA65,13,0,19,10,0,12,0,0,0,0,0,0,0,0,0,10,0,12,0,0,4,0,0,0,73.3,50,70.6,73.3,50,70.6,0,0,0,0,0,0,0,0,3,6,0,6,5,0,5,0,0,0,0,0,0,5,0,5,8,0,9,3,0,3,3,0,8,6,0,5
RA69,689,561,1248,101,53,149,53,69,126,22,12,33,81,60,139,249,194,445,242,244,485,31.2,31.3,31.2,36.3,35,35.7,25,24.1,24.6,12,19,31,3,10,20,24,61,84,27,28,52,109,69,180,9,26,34,10,4,7,135,94,221,178,106,280,362,374,736,102,76,176,416,383,801
