RA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
RA10,446395,304114,151665,60945,3241120
RA11,142365,120091,58339,19354,791607
RA12,34116,26719,12220,3944,176868
RA13,2105,1325,641,177,11715
RA14,512,349,139,22,2920
RA15,0,0,0,0,0
RA19,1165,680,173,28,7237
RA20,339079,225317,111521,42515,2660382
RA21,104054,85591,40002,13360,601221
RA22,22500,18562,8530,2871,120415
RA23,334,240,110,47,1405
RA25,15,4,0,0,40
RA29,779,411,85,18,5907
RA30,240773,165327,80319,27982,1751029
RA31,82606,62892,29400,8640,470524
RA32,55019,36835,15770,4222,332964
RA33,5269,3124,1220,285,32517
RA34,3588,1794,683,189,22313
RA35,5,3,0,0,170
RA39,1684,1277,239,26,9143
RA40,98605,74780,36470,13401,679029
RA41,16030,14036,6463,1857,83845
RA42,15211,12042,5775,1798,85192
RA43,3464,2590,1158,374,19637
RA44,985,717,266,82,5720
RA45,0,0,0,0,9
RA49,345,212,26,9,1909
RA50,153310,106013,51067,18542,1091231
RA51,19657,14761,6496,1884,111819
RA52,15044,11237,5081,1661,85998
RA53,6044,3061,1193,312,42594
RA54,4250,1816,566,88,29592
RA55,48,15,0,0,428
RA59,876,505,105,20,5668
RA61,26344,20561,10406,3527,178520
RA62,18481,14794,6603,1780,94010
RA63,922,728,287,80,4260
RA64,242,249,118,29,1285
RA65,0,0,0,0,14
RA69,137,108,14,3,760
RA72,9816,5524,1900,397,75220
RA73,3398,1800,518,104,22148
RA74,1801,685,131,10,12548
RA75,12,0,0,0,71
RA79,441,228,30,0,2351
RA80,33984,24546,12059,3939,264504
RA81,72,39,5,0,394
RA85,0,0,0,0,0
RA89,64,24,8,4,368
RA91,31,26,13,0,187
RA94,445,309,119,29,2421
RA95,0,0,0,0,0
RA99,3,0,0,0,11
