RA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
RA10,2357649,2435220,4792868,86836,88255,175090,312591,321100,633696,7320,6798,14122,6968,7472,14439,1478,1470,2944,1658,1640,3306,664,703,1366,682,655,1332,2758,2818,5574,41,23,68,334159,342681,676844,24778,26201,50977,7215,5799,13015,452989,462932,915924,152414,148088,300503,2963056,3046240,6009295
RA11,600570,625807,1226382,31557,34580,66134,56106,60553,116653,4066,4312,8378,4147,4266,8420,467,434,898,598,548,1148,311,299,610,366,380,751,1728,1735,3461,27,11,43,67818,72542,140358,2967,2858,5823,1983,1808,3792,104320,111781,216102,58068,53122,111192,762963,790714,1553680
RA12,146525,145061,291585,8732,9298,18032,8850,9073,17922,1003,978,1977,1029,1150,2180,184,162,353,130,148,282,56,73,130,91,74,164,281,309,589,0,4,4,11622,11972,23598,525,531,1055,410,365,774,21288,22165,43454,20320,18485,38808,188135,185713,373849
RA13,9451,8982,18432,603,624,1226,557,568,1125,83,57,138,100,98,198,15,17,32,11,13,26,6,8,14,6,0,12,4,0,5,0,0,0,780,771,1548,52,43,91,43,35,76,1480,1469,2949,2322,2205,4522,13248,12657,25899
RA14,2427,2300,4732,122,140,262,164,168,329,13,18,34,21,23,39,15,9,25,4,3,8,4,5,5,0,0,6,0,0,3,0,0,0,223,226,451,15,8,19,12,3,16,366,377,744,577,586,1164,3373,3261,6640
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,1117,690,1808,499,323,827,1682,1644,3327,103,133,237,198,214,414,33,26,62,29,34,68,17,21,39,10,15,16,22,25,50,0,0,0,2092,2117,4204,212,201,413,47,33,86,2858,2673,5527,2347,1601,3950,6321,4965,11284
RA20,1959774,2036653,3996425,57477,59474,116955,7176,7623,14794,263748,270900,534642,4668,5014,9677,1915,2023,3939,1840,1940,3780,1350,1412,2758,736,819,1546,1009,1071,2080,9,4,18,282448,290796,573238,19210,20497,39716,5045,4130,9173,364179,374904,739081,114932,110065,224997,2438882,2521623,4960504
RA21,476218,494068,970279,20431,22505,42933,2414,2606,5018,43329,46351,89680,1433,1394,2826,435,440,883,463,416,876,266,290,559,284,284,567,235,190,429,0,0,0,48866,51979,100843,1688,1854,3544,1222,1076,2300,72214,77409,149627,42383,40032,82421,590812,611509,1202324
RA22,101517,102313,203829,5242,5610,10841,708,760,1464,6968,7389,14358,321,355,680,278,269,542,104,99,203,56,63,121,81,91,177,39,35,72,0,0,0,8559,9061,17624,473,321,790,278,247,523,14544,15235,29780,11100,10553,21648,127156,128105,255261
