RA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
RA50,4203,1252,12995,6968,4814,3549,2756,3607,397,40539,58,65,104,138,92,113,94,201,30,889,1324,2043,1580,1569,1286,637,1098,865,338,10740,1647,1705,3190,2017,1783,1130,1710,1962,3280,18428,96529,234037,119061,90176,83846,37096,34704,39622,11117,746189
RA51,482,107,1429,694,451,413,385,528,48,4531,8,6,9,19,5,17,11,26,0,105,115,170,178,126,89,50,164,102,32,1031,257,141,443,229,174,168,298,331,332,2376,8386,14744,15398,8824,6889,3521,4736,5496,1118,69113
RA52,365,70,897,480,348,273,274,360,31,3092,6,5,10,17,3,13,11,23,0,84,110,83,114,121,45,23,83,63,17,669,260,115,327,204,124,117,213,307,217,1884,7740,11380,10344,6577,5036,2461,3566,4253,755,52110
RA53,212,51,378,236,200,105,131,162,22,1486,5,0,0,4,3,0,4,5,0,23,60,54,99,50,44,12,61,46,20,449,122,83,219,101,102,57,128,180,165,1157,4567,5556,6200,2691,2895,1018,1945,2020,539,27435
RA54,113,19,300,119,108,53,146,138,24,1010,0,3,4,3,0,3,0,0,3,14,28,31,55,24,24,4,59,35,9,261,84,65,139,96,47,43,137,123,114,848,2112,3066,3758,1709,1325,466,1865,1400,369,16066
RA55,0,0,7,0,0,0,0,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,8,0,0,4,0,0,0,0,5,0,7,4,33,67,9,3,0,18,60,6,199
RA59,5,5,22,8,11,3,8,12,0,81,0,0,0,0,0,0,0,3,0,6,0,3,8,4,0,0,3,0,0,23,3,0,9,5,0,0,8,5,11,38,80,233,220,161,97,42,89,176,23,1126
RA61,786,214,2296,1173,783,571,274,693,83,6874,10,8,15,30,17,18,10,30,3,140,278,381,205,261,230,100,123,136,66,1776,252,273,447,380,307,210,214,373,416,2872,15275,35808,17033,16984,13111,5991,3973,6981,1816,116969
RA62,451,87,1173,625,326,343,198,503,45,3752,4,4,0,5,6,5,0,8,0,45,114,104,93,110,70,36,87,91,29,733,291,103,341,259,151,163,229,397,255,2190,7925,11573,9762,7940,5283,2641,3013,4738,920,53806
RA63,35,5,59,35,19,8,10,39,3,204,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,22,19,4,9,9,4,7,10,28,11,104,370,319,336,299,169,84,140,325,37,2087
RA64,7,5,16,4,9,0,0,10,0,54,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,9,7,8,0,0,6,0,5,0,36,202,128,126,71,73,26,31,117,12,787
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9
RA69,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,5,0,0,0,0,0,0,9,12,45,34,22,20,10,7,28,5,181
RA72,324,118,893,499,397,205,132,244,21,2837,4,3,8,17,4,9,0,7,3,59,162,148,133,178,109,32,56,72,28,926,154,131,265,240,193,89,111,142,262,1593,7499,15086,8434,7849,6865,2422,1975,2578,937,53651
RA73,97,42,255,156,140,61,36,82,9,896,0,3,0,9,6,0,0,4,3,27,33,50,30,62,22,6,7,12,7,237,54,75,80,134,52,25,38,83,126,670,2067,4429,2159,2608,1656,552,411,764,333,14993
RA74,55,21,109,82,31,16,13,42,7,370,0,0,0,3,0,0,0,0,0,8,3,19,10,19,13,0,7,14,0,87,36,87,52,110,30,23,36,80,70,529,980,1736,799,1199,574,181,272,609,126,6486
RA75,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,6,0,0,0,15,0,40
RA79,0,0,6,0,0,0,3,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,11,0,0,0,5,0,0,0,12,8,26,44,104,33,42,35,18,16,73,13,378
RA80,849,323,2262,1036,1138,464,245,450,95,6862,9,13,15,22,25,15,14,13,3,135,849,940,204,346,554,119,109,135,131,3386,386,503,366,355,416,174,143,249,673,3259,37741,72120,17346,17968,25527,6734,3257,5797,3913,190402
RA81,5,0,4,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,78,84,54,27,37,4,5,14,6,300
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,21,46,19,19,20,11,0,7,0,138
RA91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,23,15,3,9,7,0,0,4,3,61
RA94,17,0,38,26,13,8,4,11,4,119,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,3,0,28,9,3,16,14,5,5,4,10,7,81,238,247,284,196,167,61,50,100,18,1372
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3
