RA_CODE_2021,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
RA23,387,4,8,6,29,0,30,82,8,558,0,0,0,0,3,0,9,0,0,5,4,0,6,0,0,6,0,6,0,27,4,0,0,0,0,0,6,3,0,13,5,0,14,0,0,0,16,14,0,46,0,0,0,0,0,4,0,0,0,6,7,4,11,0,0,31,0,3,0,61,20,0,7,3,0,4,0,14,0,57,5,0,0,0,6,0,44,3,0,63,0,3,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,0,0,0,0,21,0,4,0,3,3,0,0,12,0,19,7,4,0,20,10,0,12,11,0,65,11,66,3,21,8,0,0,7,0,113,5,43,3,71,26,0,0,20,6,173,0,11,0,0,0,4,0,0,0,17,0,6,16,0,0,0,0,0,0,25,14,6,0,0,4,5,7,6,17,56
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,9,4,8,0,0,3,3,52,0,76,0,0,6,0,0,0,4,0,0,6,14,11,27,0,3,6,21,34,0,120,0,5,5,0,3,0,7,5,0,22,14,5,74,0,11,0,20,59,3,190,6,7,3,0,5,5,7,0,0,39,17,7,9,0,8,65,9,14,0,126,17,4,21,46,11,25,17,57,0,202,15,6,4,10,10,3,55,8,4,108,0,9,3,0,8,0,0,0,0,25,10,29,0,0,9,0,0,0,0,53,4,9,0,0,3,4,0,3,0,23,9,53,12,0,19,4,0,4,0,99,10,8,11,3,3,0,5,36,5,74,15,23,19,27,18,0,8,4,0,115,4,46,7,33,6,0,0,4,6,97,5,81,7,74,24,3,5,5,0,205,3,9,5,13,6,5,6,0,0,46,5,6,20,15,0,0,0,5,0,56,6,17,15,3,8,5,14,28,35,126
RA30,2847,677,815,60,780,296,512,3543,117,9645,3293,5169,3261,128,1467,99,3303,537,260,17522,16126,8066,23025,1161,9540,4889,12187,17601,1133,93726,2945,4253,3240,55,2613,397,2517,993,300,17323,20704,7996,72028,235,16262,2309,9782,21499,2040,152857,8983,5699,3227,258,6812,6266,6509,2308,454,40516,24540,8503,8248,1410,8961,78590,8819,13690,967,153718,18717,1907,14678,32365,4265,17109,3228,24919,767,117954,8252,7024,3845,2182,15368,2717,33786,4736,1029,78938,3259,7321,3012,214,2639,1807,292,402,291,19228,7748,18740,737,206,21019,2538,100,173,1014,52269,4981,3470,1107,290,5534,14366,782,1361,465,32338,18323,75539,12378,435,21772,1991,596,1193,1201,133433,6177,7459,4336,4419,8990,1307,1646,22579,697,57617,13217,25494,6078,20307,24689,512,1710,3704,1846,97563,11851,81073,3739,28979,13367,525,355,4657,866,145417,14535,103953,8460,81574,35710,1580,1440,7672,1702,256635,5024,6245,2892,7953,2636,1477,529,2010,484,29252,6192,6104,25020,11849,6427,1228,939,4909,538,63203,9932,9638,9284,3471,9185,4590,7074,7485,13882,74545
RA31,9137,674,1098,47,1131,225,1573,6681,238,20801,1036,940,5048,58,721,71,5684,716,299,14588,3633,1702,8808,319,2662,1251,4314,7034,400,30119,651,717,2229,25,957,127,1128,620,130,6576,4124,964,18267,81,4270,440,5119,6413,492,40168,1543,779,1693,31,1427,1978,1551,877,88,9972,5758,1033,2921,367,2018,22763,1508,4180,219,40766,4435,149,3022,7115,998,4144,768,7024,186,27849,1760,1133,1670,282,3683,491,9147,1135,229,19545,329,620,484,19,340,336,47,46,36,2243,725,1776,87,36,3290,268,17,47,99,6342,658,315,354,62,1115,2614,255,290,90,5756,1537,7654,2932,87,4365,202,141,363,150,17433,790,1076,1347,838,1267,147,737,6160,116,12469,2369,4307,2262,5461,5221,141,1071,2034,372,23249,2476,20016,1332,8870,3509,89,166,2015,217,38696,3108,22543,2086,27045,8903,359,379,3051,465,67945,607,781,623,1069,376,197,51,507,55,4268,1209,1138,8957,2485,1901,318,318,1699,134,18147,1760,1222,3105,1079,1958,1049,1863,2671,4161,18852
RA32,10177,567,812,120,1087,194,1792,6346,213,21307,1038,1294,5190,88,800,53,7077,636,319,16498,1759,893,4998,150,1358,732,2250,2434,200,14778,394,460,1567,7,549,76,753,391,93,4304,2836,622,11949,26,2741,229,3222,3787,289,25708,1038,395,928,14,936,1542,1064,425,72,6413,4054,769,1882,257,1356,16078,903,3034,136,28474,4249,227,3081,6435,1216,3057,551,6419,185,25420,1473,1263,1129,650,2487,636,6488,937,192,15258,254,459,405,10,301,200,21,46,21,1714,449,1060,37,23,1764,92,11,35,47,3516,545,216,318,69,778,1846,199,317,57,4343,1051,5610,1914,80,2854,149,97,328,99,12185,762,833,899,767,887,161,980,4825,119,10235,2837,3888,2437,6851,5181,132,1229,1636,436,24634,1840,14126,842,6246,2451,63,76,1437,134,27209,2156,16762,1280,16571,5804,241,234,1809,345,45206,548,637,368,1038,317,198,35,339,58,3536,847,1073,6047,1791,1433,230,189,1097,82,12785,1263,866,2051,840,1320,702,1141,1703,3134,13024
RA33,3646,81,132,4,232,37,316,1445,73,5972,295,646,1640,18,306,8,2052,262,79,5305,113,48,358,8,89,39,162,150,13,984,40,14,134,0,30,7,77,42,5,355,199,33,675,4,211,6,371,306,25,1834,84,33,80,0,103,120,66,29,3,518,308,44,132,18,84,1054,67,211,10,1937,527,54,434,712,149,185,57,685,22,2815,136,54,73,20,229,51,512,68,11,1149,13,26,15,0,9,14,0,6,0,83,27,31,3,0,92,4,0,3,3,160,45,15,31,12,53,111,29,41,10,334,37,217,90,0,159,10,6,31,8,564,46,47,80,51,85,6,132,411,7,874,170,282,141,449,391,15,155,200,32,1847,178,1168,78,646,215,5,12,160,14,2467,165,1057,109,994,428,16,17,176,23,2982,28,57,16,31,15,8,5,24,7,190,57,52,501,116,131,18,20,88,10,985,111,62,187,51,112,59,136,173,428,1329
RA34,2385,113,184,15,136,20,132,1380,39,4398,79,146,478,17,63,7,621,62,21,1490,53,20,187,18,33,28,56,131,3,529,6,3,99,0,27,0,32,43,3,220,147,26,487,4,103,8,326,224,19,1340,55,12,16,0,30,72,26,57,13,280,267,32,122,18,65,688,35,130,12,1362,353,16,226,335,63,45,13,316,15,1382,79,93,39,27,160,25,254,110,8,799,6,31,11,5,9,5,0,0,0,67,11,18,0,0,68,0,0,0,5,109,24,0,6,0,26,26,21,8,3,115,25,114,51,3,122,0,10,5,4,333,42,53,46,69,48,13,73,189,4,538,363,361,295,488,591,33,301,437,62,2934,169,943,68,583,166,0,5,141,9,2089,183,776,86,778,338,17,19,184,25,2406,46,100,16,28,20,5,0,26,4,249,28,75,258,48,74,6,10,46,12,552,71,37,101,54,67,36,57,104,421,941
RA35,0,9,0,0,0,0,0,12,0,19,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
RA39,33,6,7,0,3,0,29,223,0,300,7,9,19,0,3,0,45,3,3,89,21,12,32,0,6,0,25,46,3,147,5,0,13,0,5,0,7,10,0,44,19,12,127,0,18,0,44,93,6,319,7,7,0,0,8,8,6,7,0,48,27,7,15,0,16,105,10,27,3,216,35,3,52,165,18,26,7,123,0,434,8,12,4,5,22,4,104,12,0,181,4,19,3,0,3,8,0,0,0,37,5,14,0,0,12,0,0,4,0,41,3,0,0,0,3,21,0,5,0,43,19,95,22,0,30,0,0,3,0,171,14,27,9,24,14,3,11,92,4,194,18,17,8,22,28,3,7,29,4,134,14,75,9,23,17,0,0,4,0,149,15,137,11,127,34,7,4,13,4,340,4,16,9,8,4,4,3,10,0,54,9,10,34,25,15,6,0,9,0,95,20,18,20,12,12,11,20,25,63,194
RA40,2460,367,527,21,444,168,397,2160,128,6668,821,1473,1409,38,442,24,1408,326,91,6032,7354,4864,9849,662,4232,2464,4960,8486,557,43437,1452,1831,1656,21,1424,322,1128,505,196,8549,6804,2387,26265,448,5017,797,3408,7859,862,53841,3160,1852,1510,73,2363,2544,2614,1188,209,15511,9374,2990,3357,604,3188,33630,3076,6631,383,63229,7066,451,5837,12116,1126,5508,806,9840,285,43037,2548,1441,1255,829,5387,896,12868,1313,356,26889,1074,2760,1368,34,1278,802,59,137,120,7628,2683,6434,278,120,10057,765,30,57,363,20791,1277,881,320,136,1611,3456,210,364,148,8398,5852,26735,4580,154,7396,496,196,408,465,46281,2082,2770,2266,2504,3619,359,645,10357,320,24932,6424,12436,2984,10421,11510,227,522,1182,707,46414,4859,34023,1726,11230,5671,125,120,564,392,58703,5740,43444,3735,37520,14997,600,764,4039,830,111683,1750,2119,881,3129,838,402,69,467,162,9817,2299,2491,10559,4626,2649,521,358,2053,229,25779,2527,2368,2523,1138,2345,1190,2042,2532,4335,20995
RA41,3742,152,360,12,373,109,290,1864,75,6977,108,103,355,4,57,5,499,79,20,1229,1394,724,1627,136,736,432,692,2071,100,7907,135,87,285,0,129,21,214,95,32,993,898,134,3361,29,693,87,844,1263,109,7407,353,134,236,9,224,416,209,149,19,1752,1104,192,514,98,358,3937,257,768,50,7273,933,25,655,1399,132,432,65,1236,35,4913,360,107,167,48,581,88,1455,165,29,3001,49,189,103,0,73,50,10,21,7,501,139,334,17,8,533,52,0,5,20,1113,111,58,39,12,172,369,24,46,9,841,374,1374,534,13,728,34,10,45,25,3143,211,206,486,209,256,33,115,1544,25,3093,573,837,342,1075,862,19,121,172,56,4065,419,3226,256,1478,581,6,37,101,30,6131,568,3160,340,4424,1402,71,40,498,66,10575,169,216,198,222,73,35,8,137,14,1082,238,197,1663,359,284,43,37,224,26,3065,367,198,381,118,253,148,214,386,669,2734
RA42,7016,286,657,20,612,107,871,3245,126,12933,143,117,626,12,70,6,836,80,47,1933,991,533,2061,82,545,289,1691,1968,154,8324,114,48,318,3,99,32,207,166,28,1011,656,121,2920,34,574,73,946,968,68,6354,303,170,205,4,284,544,228,166,25,1928,1290,171,625,74,364,4706,213,971,33,8432,1043,12,640,1399,189,649,80,1598,44,5658,319,101,188,17,657,125,1789,204,40,3446,50,138,66,3,45,50,4,16,0,377,117,216,18,3,490,44,22,22,14,950,78,35,31,13,148,312,12,38,10,673,139,758,380,8,553,35,19,51,17,1950,139,227,284,218,201,16,131,1562,35,2810,415,654,280,1254,929,42,198,296,64,4139,459,3513,199,1821,653,11,56,115,34,6862,510,3504,349,5233,1405,76,53,764,94,11977,91,117,80,132,46,19,4,70,3,568,211,204,1629,448,319,69,40,270,26,3217,288,147,406,173,197,132,330,533,865,3077
RA43,2284,143,227,6,185,30,186,830,31,3932,81,138,451,5,94,3,523,90,24,1418,88,36,225,24,46,51,60,125,8,663,11,3,77,0,21,10,37,32,5,207,205,30,776,8,147,16,226,210,21,1633,80,50,65,0,69,142,36,46,5,504,259,40,119,25,81,989,42,202,8,1765,288,3,188,374,68,111,11,329,20,1389,104,74,40,25,107,53,346,85,22,860,13,26,13,0,16,9,0,0,0,77,23,53,0,0,133,13,0,0,0,232,12,12,7,0,29,85,3,8,0,161,43,210,74,0,169,6,4,13,10,536,39,45,90,60,39,15,17,298,7,603,101,123,46,236,185,12,38,67,15,821,109,828,40,370,146,0,33,17,7,1558,81,702,54,965,265,10,7,128,16,2230,18,25,27,37,17,3,3,21,0,155,34,46,368,94,61,20,5,68,5,699,67,38,88,36,56,24,37,101,198,648
RA44,643,24,54,0,43,12,34,275,3,1095,8,10,81,3,12,0,176,32,5,329,10,0,26,7,0,3,5,15,0,74,8,0,21,0,0,0,10,13,3,58,46,0,128,21,25,0,59,49,0,337,13,3,8,0,13,24,8,10,0,69,86,7,47,8,17,221,10,37,0,432,107,3,46,76,39,27,0,118,0,419,35,7,19,5,33,4,90,29,4,226,0,0,0,0,0,0,0,0,0,9,3,7,0,0,16,0,0,0,0,23,0,0,0,5,3,9,0,0,0,25,0,36,3,3,23,0,4,4,0,82,19,12,14,14,9,0,0,74,6,150,49,58,29,97,78,0,15,33,5,365,38,346,21,163,54,0,12,15,0,646,34,220,24,274,71,0,5,64,9,684,19,80,3,0,0,4,0,3,0,112,11,26,84,44,23,5,0,19,3,214,24,22,19,13,19,10,5,26,90,235
RA45,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,3,0,5,0,0,0,3,14,0,30,0,9,3,0,0,0,10,0,0,19,3,6,5,0,7,0,0,12,0,37,0,0,7,0,0,0,0,0,0,11,7,3,28,0,0,0,8,18,0,69,0,0,0,0,0,0,0,4,0,8,3,0,5,0,6,32,8,0,0,54,3,0,7,16,7,8,0,19,0,62,3,0,6,4,4,0,27,9,0,51,0,9,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,11,0,0,0,0,0,11,0,0,0,12,5,25,10,0,9,0,0,0,0,46,4,4,3,4,0,3,4,41,0,62,3,8,3,7,4,0,0,3,0,36,3,17,0,4,4,0,0,0,0,28,3,38,8,33,8,0,0,3,0,99,3,6,0,0,0,0,0,0,0,7,0,0,7,4,4,0,0,4,3,22,3,0,6,0,3,0,3,10,16,42
RA50,2139,498,603,28,590,222,488,2137,102,6809,9130,17945,16667,564,5664,223,14094,3537,992,68823,8762,5424,16195,809,5735,2713,7518,7326,631,55117,1857,2759,2104,56,2017,225,1489,845,238,11589,11498,6582,42152,378,10034,1356,6683,12694,1093,92469,5343,3583,3506,93,4133,3596,4300,1714,317,26569,13907,4473,5033,964,4996,49738,4494,9178,455,93236,9932,886,9533,19685,1916,8808,1755,14809,376,67700,4582,3760,2255,1685,9656,1364,21189,2214,519,47227,1374,3190,1614,82,1128,1037,123,316,90,8951,3675,9469,319,194,10565,901,55,103,511,25793,2304,1538,820,146,3111,6297,388,707,210,15514,10795,45752,9752,313,12299,805,842,877,650,82084,3124,4127,3410,2481,3867,513,1254,13626,337,32735,7836,15174,4425,15264,14772,242,814,2622,1127,62264,7108,50835,3116,19899,7488,243,146,3114,402,92354,7857,59314,5770,46498,20793,782,1125,5065,921,148121,2944,3512,1561,6217,1710,898,130,1253,198,18428,3637,3692,16671,7946,4076,623,606,3270,264,40785,5991,6789,7542,2436,6047,2601,4809,5145,7855,49220
RA51,2551,135,347,13,266,62,318,1469,63,5209,612,813,3159,76,405,20,3285,501,146,9022,1111,593,2437,177,588,387,1346,1668,102,8400,170,139,652,10,238,13,308,212,54,1787,1040,306,5210,33,1124,113,1455,1790,108,11170,390,159,303,7,327,415,280,144,17,2035,1425,252,631,89,486,5318,326,1156,44,9736,1273,48,982,1931,354,852,157,2012,49,7658,375,175,254,85,736,111,1913,194,42,3883,76,146,100,7,51,98,3,25,4,508,152,367,5,8,594,45,0,11,14,1206,132,75,74,10,330,589,62,58,9,1340,320,1709,690,13,863,52,49,82,30,3813,277,245,461,221,266,28,173,1571,27,3268,614,1004,554,1423,1282,26,175,485,82,5652,594,4285,362,2222,597,16,15,461,34,8583,568,4439,497,4815,1761,81,85,502,79,12822,164,249,210,299,115,47,12,139,24,1248,313,276,2022,592,438,51,78,332,34,4136,442,316,774,218,453,215,453,589,915,4379
RA52,5804,264,605,21,448,106,542,2276,78,10132,529,840,2410,45,409,22,3048,384,89,7766,462,180,1105,35,329,160,522,892,46,3730,92,50,291,0,120,10,181,117,27,880,650,112,3083,22,672,54,819,892,49,6358,333,195,428,7,289,462,366,137,24,2240,1083,179,525,63,412,3925,244,976,27,7432,962,23,637,1309,221,560,108,1471,26,5315,415,179,293,65,666,109,2017,226,38,4006,48,118,72,10,47,60,5,14,3,370,108,239,8,7,443,43,6,10,11,871,103,36,79,7,196,381,43,63,11,919,208,1159,531,12,633,23,48,83,27,2727,111,157,272,112,165,24,78,1065,11,1990,540,765,392,1416,944,25,273,466,72,4897,572,3671,314,1803,528,18,22,469,28,7408,495,3560,385,3678,1439,60,60,490,61,10228,107,151,75,204,51,31,5,86,11,731,228,163,1743,428,379,65,43,272,15,3346,337,195,573,182,339,179,341,429,779,3345
RA53,3496,92,222,19,265,42,314,880,29,5345,402,420,2316,37,396,13,1584,321,146,5631,149,83,496,16,97,58,130,91,19,1136,72,38,171,0,92,10,146,78,23,619,346,60,1410,14,337,13,449,480,42,3146,170,85,209,0,140,208,194,53,26,1082,480,84,193,26,120,1425,83,370,12,2786,515,30,353,522,183,243,25,699,22,2593,356,303,282,66,472,80,1059,216,44,2873,31,50,47,0,22,22,4,4,0,178,44,56,0,0,160,7,0,0,3,277,88,22,72,7,113,199,22,45,5,574,81,375,169,13,188,8,16,24,14,885,100,86,215,77,120,6,62,589,7,1282,389,400,207,718,574,14,182,174,45,2709,359,1847,126,888,259,7,4,194,17,3700,283,1621,143,1257,652,32,16,132,23,4157,64,84,38,81,40,12,5,21,8,356,137,86,727,188,199,35,32,114,13,1534,181,176,357,88,209,79,163,208,406,1871
RA54,979,108,104,9,98,10,111,566,18,2007,300,513,2134,62,240,4,2747,416,106,6529,31,12,122,13,25,13,61,45,3,334,31,11,55,0,25,0,68,36,8,242,150,53,690,4,143,3,348,319,18,1737,41,13,78,0,31,49,48,19,8,276,273,36,85,27,54,671,34,156,9,1336,350,24,335,313,148,81,22,456,16,1735,113,134,60,42,183,53,338,68,9,1000,5,25,12,3,12,0,0,6,3,65,23,11,0,4,35,3,0,3,4,81,38,3,47,6,55,64,17,40,7,271,36,158,147,22,91,7,24,29,9,514,83,93,124,93,79,22,106,330,17,945,220,247,120,581,376,14,70,176,31,1829,254,997,105,661,147,3,6,112,21,2294,157,721,64,671,307,22,18,114,18,2084,56,164,18,40,34,0,3,25,4,341,62,64,274,97,88,8,12,73,12,690,66,92,110,66,75,26,84,112,344,974
RA55,0,3,3,0,0,0,0,28,0,41,0,11,40,0,0,0,12,17,0,74,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,5,0,0,13,0,0,0,12,13,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,6,0,9,5,0,0,0,6,16,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,0,0,0,3,16,0,35
RA59,5,4,13,4,4,0,13,59,0,101,0,14,54,0,5,0,82,21,3,188,10,6,11,0,0,0,8,19,0,67,0,0,0,0,0,0,4,4,0,12,8,0,65,0,15,0,33,40,0,168,5,5,3,0,6,6,6,3,0,22,8,4,9,6,8,38,5,12,0,88,13,0,34,80,16,17,0,67,7,231,4,13,3,4,11,5,34,9,0,88,0,6,0,0,0,3,0,0,0,17,0,7,3,0,9,0,0,0,0,16,3,0,0,0,0,0,3,0,0,9,9,42,7,5,20,4,0,0,0,92,5,8,9,11,0,0,3,27,0,62,9,15,5,19,11,0,0,9,3,66,4,31,0,25,0,0,0,0,0,69,4,68,9,56,17,0,3,0,0,157,7,3,4,0,7,0,0,4,0,25,7,0,23,11,4,0,0,5,0,52,4,7,9,4,10,0,16,21,14,78
