RA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
RA10,..,512764,512764,613777,60199,673972,348189,18031,366213,357441,7354,364796,149928,2632,152563,82650,1426,84077,1551984,602406,2154391
RA11,..,165327,165327,205838,14339,220183,78487,2431,80916,73016,825,73842,34619,290,34910,18117,156,18276,410080,183372,593454
RA12,..,42064,42064,50378,3072,53448,17401,388,17788,15467,119,15588,8258,35,8295,4259,44,4306,95759,45726,141486
RA13,..,2739,2739,2891,202,3092,1091,23,1120,952,9,962,582,4,588,338,0,341,5857,2981,8835
RA14,..,817,817,673,45,722,285,8,290,230,6,232,123,4,125,113,0,113,1423,879,2304
RA15,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,..,456303,456303,519688,51075,570760,291236,17073,308312,304665,7485,312152,116257,2547,118809,56312,1201,57512,1288162,535680,1823843
RA21,..,131406,131406,159830,9678,169503,61276,1762,63036,60120,556,60672,27351,172,27525,11738,136,11877,320312,143702,464018
RA22,..,31326,31326,36367,2232,38603,12100,348,12453,10652,141,10796,5303,52,5357,2370,64,2434,66804,34172,100973
RA23,..,511,511,548,35,583,129,0,129,90,0,90,67,0,67,24,0,24,858,543,1402
RA25,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,..,286490,286490,371737,41610,413342,191068,10949,202019,188683,3685,192378,75584,1115,76700,39611,496,40107,866682,344346,1211031
RA31,..,95476,95476,131564,9722,141287,50371,1509,51880,46430,409,46843,21611,124,21732,12824,75,12900,262798,107313,370113
RA32,..,67313,67313,83054,7689,90747,34665,1418,36084,31505,410,31916,14126,131,14261,7984,66,8049,171333,77037,248367
RA33,..,6964,6964,7594,594,8195,2986,103,3090,2874,18,2893,1591,7,1592,1082,3,1088,16126,7690,23812
RA34,..,4763,4763,4585,355,4937,1974,63,2042,1914,8,1920,1199,6,1205,1259,0,1259,10937,5196,16134
RA35,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
RA39,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA40,..,145932,145932,160542,13605,174151,78646,4012,82656,76105,1314,77421,27727,415,28142,12505,260,12763,355525,165534,521065
RA41,..,18316,18316,25797,1254,27051,8668,152,8820,8416,33,8452,3693,9,3697,1742,11,1758,48317,19779,68092
RA42,..,26114,26114,29030,1614,30649,9510,192,9700,8340,63,8402,3961,21,3985,1734,25,1758,52579,28035,80613
RA43,..,5287,5287,6075,377,6451,1887,53,1942,1868,11,1874,896,4,906,354,0,354,11080,5735,16814
RA44,..,1615,1615,1451,103,1555,495,9,509,484,7,490,289,3,288,273,0,279,2998,1737,4730
RA45,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA49,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA50,..,192528,192528,233856,19227,253085,120863,5406,126272,125128,1803,126934,48455,575,49034,21655,265,21917,549956,219810,769764
RA51,..,20777,20777,29606,1741,31344,11570,288,11861,11759,102,11861,5164,17,5189,2368,25,2391,60471,22948,83418
