RA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
RA10,19136,24266,43399,5773,7278,13054,6539,17579,24117,7592,36583,44173,22095,78614,100708,24650,48926,73574,70483,35129,105615,64998,44195,109196,81474,50169,131642,96886,41754,138644,76274,37052,113323,81308,31204,112508,186818,58631,245450,147835,8926,156753,131924,17270,149190,93234,4552,97782,338756,31210,369962,80579,11850,92425,15648,17225,32878,1551984,602406,2154391
RA11,4124,5544,9665,2017,2388,4411,1906,6089,7997,2250,12809,15062,7928,35339,43271,8719,23159,31878,31379,13870,45252,26226,16678,42904,30864,15947,46810,35605,10584,46185,24025,8294,32324,25582,6127,31706,51312,9187,60504,36648,1387,38028,28102,1936,30036,17311,401,17710,42912,3329,46247,27225,2263,29496,5931,8040,13973,410080,183372,593454
RA12,1329,1579,2911,619,629,1248,519,1823,2347,642,3552,4193,2403,9834,12235,2373,4869,7241,8105,3216,11319,6447,4136,10581,7408,3813,11221,8402,2461,10857,5516,1916,7433,6156,1438,7595,11662,2069,13735,7894,210,8108,5830,430,6257,3462,83,3545,7421,764,8188,7611,461,8072,1966,2440,4404,95759,45726,141486
RA13,114,107,220,34,36,73,31,100,130,38,223,263,126,617,739,163,244,406,406,171,584,349,258,612,399,223,628,443,189,628,305,148,453,353,124,477,692,173,865,497,9,507,340,57,387,217,4,216,558,75,632,633,39,675,153,184,338,5857,2981,8835
RA14,34,40,77,18,13,27,12,45,53,18,78,95,43,152,189,39,57,96,109,42,152,85,78,163,103,73,175,97,52,144,62,36,95,74,40,111,157,61,217,95,6,102,92,19,107,51,0,51,120,36,155,161,11,171,67,52,114,1423,879,2304
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA20,16805,22262,39069,5664,6615,12275,6453,15037,21490,6632,29220,35845,19033,66320,85351,20958,42872,63830,59427,32562,91994,57550,41565,99118,72260,47628,119895,86586,40950,127540,68782,37066,105847,72659,29642,102303,164508,51611,216123,130598,8007,138615,110325,13865,124193,74643,3816,78455,233825,22000,255829,67352,10478,77830,14096,14161,28256,1288162,535680,1823843
RA21,3198,4501,7696,1551,1857,3411,1416,4776,6193,1774,10135,11909,6323,27343,33667,6880,16874,23763,22895,10948,33839,20496,13153,33650,23559,12809,36368,27078,8741,35816,19130,7123,26255,20586,5057,25643,41832,7008,48840,30069,936,31007,22649,1599,24244,13410,303,13712,31735,2640,34380,20550,1527,22074,5175,6372,11548,320312,143702,464018
RA22,828,1094,1925,361,466,826,368,1228,1596,448,2632,3084,1574,7192,8766,1667,3889,5561,5911,2553,8468,4919,3267,8189,5609,2912,8517,6197,1912,8104,4069,1439,5506,4477,977,5461,8391,1309,9700,5549,200,5752,3725,271,4000,2074,66,2142,4490,546,5033,4702,348,5047,1430,1855,3283,66804,34172,100973
RA23,7,19,22,8,8,15,11,37,42,8,56,57,27,130,159,27,52,74,79,36,118,79,49,122,70,41,119,89,19,111,48,26,71,61,17,78,90,15,112,69,0,69,38,4,38,20,0,20,51,4,53,55,3,58,23,29,49,858,543,1402
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA30,8123,10923,19047,3116,3751,6867,3372,8822,12193,3788,18602,22393,11557,44909,56464,14747,33866,48610,42480,22643,65124,41810,29358,71172,52376,32410,84787,62454,26739,89199,48592,22062,70652,51852,17603,69457,115340,29145,144488,87573,5472,93046,71881,7424,79308,48181,1957,50140,137297,10631,147924,54110,8421,62534,8032,9604,17638,866682,344346,1211031
RA31,2833,3425,6257,1418,1273,2694,1252,3480,4729,1553,7537,9092,5610,21216,26820,6151,13316,19467,22086,7557,29645,17870,9377,27246,19730,9083,28817,21761,6309,28071,15196,5142,20339,15838,3752,19590,32005,5477,37482,22482,784,23268,17093,1258,18356,10372,244,10609,22969,1796,24770,22638,1761,24395,3931,4521,8457,262798,107313,370113
RA32,1835,2301,4138,819,939,1758,841,2528,3366,977,5126,6104,3124,12014,15139,3570,7939,11510,11217,5332,16551,9609,7165,16775,11267,7026,18289,13061,5411,18470,9761,4338,14093,10650,3293,13939,21951,5049,27001,16159,754,16916,12563,1279,13839,7682,268,7955,16915,1611,18526,16689,1656,18340,2649,3007,5651,171333,77037,248367
RA33,227,279,503,69,102,172,112,338,454,117,554,671,397,1095,1496,361,574,935,966,417,1380,779,587,1363,929,622,1548,1056,494,1546,746,446,1194,888,364,1259,1874,720,2600,1337,67,1405,1248,162,1413,732,29,768,2025,258,2284,1836,135,1972,414,440,857,16126,7690,23812
RA34,149,183,335,61,64,122,91,231,323,103,398,499,337,792,1129,267,393,657,638,308,945,646,407,1055,698,468,1166,818,358,1175,566,299,867,569,216,785,1135,402,1544,869,32,905,660,104,759,422,19,439,964,130,1097,1549,81,1627,392,301,694,10937,5196,16134
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
