RA_CODE_2021,M_Arthritis_0_14,M_Arthritis_15_24,M_Arthritis_25_34,M_Arthritis_35_44,M_Arthritis_45_54,M_Arthritis_55_64,M_Arthritis_65_74,M_Arthritis_75_84,M_Arthritis_85_over,M_Arthritis_Tot,M_Asthma_0_14,M_Asthma_15_24,M_Asthma_25_34,M_Asthma_35_44,M_Asthma_45_54,M_Asthma_55_64,M_Asthma_65_74,M_Asthma_75_84,M_Asthma_85_over,M_Asthma_Tot,M_Cancer_0_14,M_Cancer_15_24,M_Cancer_25_34,M_Cancer_35_44,M_Cancer_45_54,M_Cancer_55_64,M_Cancer_65_74,M_Cancer_75_84,M_Cancer_85_over,M_Cancer_Tot,M_Dementia_0_14,M_Dementia_15_24,M_Dementia_25_34,M_Dementia_35_44,M_Dementia_45_54,M_Dementia_55_64,M_Dementia_65_74,M_Dementia_75_84,M_Dementia_85_over,M_Dementia_Tot,M_Diabetes_0_14,M_Diabetes_15_24,M_Diabetes_25_34,M_Diabetes_35_44,M_Diabetes_45_54,M_Diabetes_55_64,M_Diabetes_65_74,M_Diabetes_75_84,M_Diabetes_85_over,M_Diabetes_Tot,M_Heart_disease_0_14,M_Heart_disease_15_24,M_Heart_disease_25_34,M_Heart_disease_35_44,M_Heart_disease_45_54,M_Heart_disease_55_64,M_Heart_disease_65_74,M_Heart_disease_75_84,M_Heart_disease_85_over,M_Heart_disease_Tot,M_Kidney_disease_0_14,M_Kidney_disease_15_24,M_Kidney_disease_25_34,M_Kidney_disease_35_44,M_Kidney_disease_45_54,M_Kidney_disease_55_64,M_Kidney_disease_65_74,M_Kidney_disease_75_84,M_Kidney_disease_85_over,M_Kidney_disease_Tot,M_Lung_cond_0_14,M_Lung_cond_15_24,M_Lung_cond_25_34,M_Lung_cond_35_44,M_Lung_cond_45_54,M_Lung_cond_55_64,M_Lung_cond_65_74,M_Lung_cond_75_84,M_Lung_cond_85_over,M_Lung_cond_Tot,M_Mental_health_cond_0_14,M_Mental_health_cond_15_24,M_Mental_health_cond_25_34,M_Mental_health_cond_35_44,M_Mental_health_cond_45_54,M_Mental_health_cond_55_64,M_Mental_health_cond_65_74,M_Mental_health_cond_75_84,M_Mental_health_cond_85_over,M_Mental_health_cond_Tot,M_Stroke_0_14,M_Stroke_15_24,M_Stroke_25_34,M_Stroke_35_44,M_Stroke_45_54,M_Stroke_55_64,M_Stroke_65_74,M_Stroke_75_84,M_Stroke_85_over,M_Stroke_Tot,M_Other_0_14,M_Other_15_24,M_Other_25_34,M_Other_35_44,M_Other_45_54,M_Other_55_64,M_Other_65_74,M_Other_75_84,M_Other_85_over,M_Other_Tot,M_None_0_14,M_None_15_24,M_None_25_34,M_None_35_44,M_None_45_54,M_None_55_64,M_None_65_74,M_None_75_84,M_None_85_over,M_None_Tot,M_NS_0_14,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_over,M_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_Arthritis_0_14,F_Arthritis_15_24,F_Arthritis_25_34,F_Arthritis_35_44,F_Arthritis_45_54,F_Arthritis_55_64,F_Arthritis_65_74,F_Arthritis_75_84,F_Arthritis_85_over,F_Arthritis_Tot,F_Asthma_0_14,F_Asthma_15_24,F_Asthma_25_34,F_Asthma_35_44,F_Asthma_45_54,F_Asthma_55_64,F_Asthma_65_74,F_Asthma_75_84,F_Asthma_85_over,F_Asthma_Tot,F_Cancer_0_14,F_Cancer_15_24,F_Cancer_25_34,F_Cancer_35_44,F_Cancer_45_54,F_Cancer_55_64,F_Cancer_65_74,F_Cancer_75_84,F_Cancer_85_over,F_Cancer_Tot,F_Dementia_0_14,F_Dementia_15_24,F_Dementia_25_34,F_Dementia_35_44,F_Dementia_45_54,F_Dementia_55_64,F_Dementia_65_74,F_Dementia_75_84,F_Dementia_85_over,F_Dementia_Tot,F_Diabetes_0_14,F_Diabetes_15_24,F_Diabetes_25_34,F_Diabetes_35_44,F_Diabetes_45_54,F_Diabetes_55_64,F_Diabetes_65_74,F_Diabetes_75_84,F_Diabetes_85_over,F_Diabetes_Tot,F_Heart_disease_0_14,F_Heart_disease_15_24,F_Heart_disease_25_34,F_Heart_disease_35_44,F_Heart_disease_45_54,F_Heart_disease_55_64,F_Heart_disease_65_74,F_Heart_disease_75_84,F_Heart_disease_85_over,F_Heart_disease_Tot
RA10,380,1092,4046,8647,17790,34246,45382,34045,13307,158927,41098,29829,30268,28806,22989,19327,15391,8458,2758,198926,540,706,1582,2853,5497,13214,22142,18230,6495,71251,30,47,67,104,310,935,2902,7141,6659,18201,773,1735,3745,10686,20698,36698,43867,27710,7700,153603,915,884,1424,3514,10413,25598,40529,33799,13938,131013,657,523,853,1520,2541,4429,6919,6580,3323,27341,540,421,675,1274,3032,7211,11650,10589,4156,39540,10144,24016,30310,28604,28787,25023,15860,7733,3193,173671,157,161,315,726,1919,4546,7615,7703,3658,26792,24905,16098,17965,23129,28662,35393,31332,17759,8073,203322,459263,286296,344366,316228,242538,171102,91863,36079,8875,1956611,42796,30748,37620,33281,28900,23688,16137,10483,5934,229592,573243,381631,457790,437893,377132,331485,250755,140144,49627,2999688,496,1744,5612,12706,30646,59086,79409,63424,32352,285479,26923,28712,37080,35624,32532,29639,25996,15188,5960,237658,453,627,1889,4973,11419,18253,22258,16288,6893,83055,29,34,52,98,275,798,2812,8702,13483,26270,773,1849,4248,8568,16141,28633,35217,24667,9641,129731,725,751,1205,2128,4967,12143,21997,23892,16708,84528
RA11,145,413,1326,2993,6898,16107,23705,16110,5426,73123,13219,7740,7209,7506,7145,7770,7750,3883,1159,63379,117,188,349,726,1725,5240,10683,8223,2575,29833,11,13,30,28,107,332,1190,2719,2057,6486,269,515,838,1870,4666,9717,14975,9801,2465,45126,281,275,404,866,2890,8626,16367,13586,5113,48400,191,172,242,380,744,1506,2713,2811,1214,9961,221,139,249,510,1373,4055,6851,5247,1762,20419,4435,8264,8808,9414,10756,11175,8270,3612,1190,65921,47,52,113,255,602,1694,3237,3211,1358,10569,7481,4291,4117,5234,7680,11185,10974,5759,2293,59009,105914,58811,54585,51919,53068,47773,33903,13674,3059,422709,14612,10093,10027,9666,9849,9415,7638,4577,1863,77744,143301,87153,83388,84041,93780,104933,101208,56209,17163,771183,157,571,1790,4435,10901,24140,34189,25603,11869,113652,9502,8593,10345,10812,11478,12966,12506,7159,2449,85804,138,174,454,1201,3302,6374,9040,6355,2489,29524,5,5,20,28,78,255,1002,2933,4153,8488,234,560,1086,1995,4200,7709,10728,7777,2748,37026,224,248,415,608,1678,4532,8736,9181,6187,31815
RA12,39,92,265,623,1754,4418,6200,3772,1198,18363,3307,1907,1681,1646,1763,2280,2079,1016,304,15985,35,34,78,166,420,1298,2493,1702,504,6728,9,0,7,9,22,83,251,522,401,1306,80,116,218,419,1222,2722,3971,2348,537,11642,76,58,89,220,721,2356,4114,3139,1112,11886,34,39,33,96,184,393,713,615,251,2365,55,42,60,115,368,1144,1839,1256,373,5262,858,1438,1618,1808,2300,2681,1850,766,251,13575,9,6,18,42,160,447,790,707,284,2463,1494,844,826,1031,1756,2864,2435,1166,467,12883,25273,13166,12945,11830,12840,12715,8628,3557,737,101680,4529,2788,2908,2855,3078,3412,2833,1540,584,24531,35019,19786,19797,19355,23173,28776,26378,13810,4001,190095,44,153,398,907,2605,6028,7827,5622,2578,26158,2407,1968,2313,2335,2700,3420,3039,1610,526,20322,32,29,103,271,650,1546,1980,1348,474,6435,0,0,8,3,16,68,193,589,848,1723,56,140,263,487,1113,2201,2714,1798,646,9421,44,54,84,178,469,1218,2052,2018,1212,7326
RA13,0,11,16,42,93,282,318,204,79,1048,263,116,116,113,114,151,124,68,17,1084,7,3,7,16,28,94,113,88,33,379,0,0,0,0,0,3,7,35,16,67,3,11,21,43,108,221,236,148,28,818,3,3,6,16,64,175,233,170,52,720,3,5,0,3,8,36,34,38,9,147,3,0,3,8,15,83,117,66,18,324,40,66,83,107,108,146,80,36,9,672,0,4,0,0,12,32,45,30,12,133,79,35,47,68,92,148,110,65,22,662,1766,877,1079,812,860,829,516,181,38,6956,561,277,330,296,326,380,282,161,35,2636,2684,1360,1651,1423,1641,2023,1599,798,226,13413,6,7,25,54,161,354,319,258,118,1296,181,148,214,162,201,207,172,62,26,1371,3,4,7,20,48,87,106,76,18,361,0,0,0,0,0,4,18,47,36,104,0,5,25,39,82,159,151,122,28,616,3,7,9,16,38,92,124,103,73,474
RA14,0,0,9,3,22,69,79,39,6,229,53,18,32,17,32,33,38,15,0,241,0,0,0,5,3,22,32,9,3,75,0,0,0,0,0,0,3,8,0,13,0,0,5,11,45,61,60,29,10,216,0,0,0,3,26,48,69,33,10,185,0,0,0,0,10,11,10,11,0,44,0,0,0,0,5,12,23,8,8,59,12,12,15,26,28,37,23,3,0,155,0,0,0,0,7,3,14,12,0,36,15,8,9,6,33,38,30,14,3,161,484,238,266,236,225,234,140,53,11,1886,143,86,77,62,67,95,79,32,3,652,701,370,392,362,424,516,427,182,43,3413,0,0,5,16,25,64,97,51,19,274,34,20,36,35,53,55,35,17,3,279,0,0,0,4,12,18,20,14,3,74,0,0,0,0,0,8,7,3,7,20,0,0,10,13,28,50,47,31,3,180,4,0,3,6,8,28,39,21,4,121
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,15,23,53,134,131,35,5,389,27,41,61,52,47,55,40,12,3,333,0,0,3,6,9,47,43,28,0,140,0,0,0,0,3,0,4,3,0,16,0,0,3,21,36,79,75,20,4,240,5,3,4,5,30,69,108,39,3,265,0,0,0,5,12,10,16,6,0,48,0,3,8,14,16,58,55,16,0,164,10,94,132,145,167,137,58,5,0,755,0,0,0,0,4,23,17,4,0,54,25,31,39,72,77,111,75,19,7,461,314,289,527,365,281,261,189,44,0,2264,262,241,426,496,450,318,137,35,3,2375,639,658,1164,1108,1010,949,648,166,19,6375,3,3,17,29,70,136,107,42,6,422,32,67,79,60,68,72,56,13,0,448,0,0,7,10,14,44,38,5,0,122,0,0,0,0,0,0,0,0,6,13,0,6,4,9,13,33,38,10,4,122,3,5,8,8,12,30,37,15,6,120
RA20,279,919,3525,6973,13780,24838,32255,25501,10882,118942,32988,25763,30997,28564,21878,16952,13324,7661,2613,180742,485,586,1393,2331,4668,10679,17826,14861,5647,58469,46,38,64,81,212,582,1970,5169,5117,13288,705,1494,3376,9605,17494,28219,33317,21599,6547,122371,889,667,1193,2846,8351,19731,30791,25753,11352,101574,591,410,765,1277,2030,3415,5136,5106,2619,21355,428,343,598,1022,2299,5125,8282,7660,3308,29064,8297,20576,30537,27548,25424,20533,13011,6877,3368,156161,189,140,284,668,1758,3675,6235,6410,3223,22584,20521,14179,16580,20351,24072,27930,23670,14153,6876,168337,375386,236977,296216,263319,197202,134211,71619,28414,7218,1610564,33055,24081,31728,26491,22926,17996,12047,7658,3641,179620,466408,316413,401730,370910,310828,259787,193133,109567,39708,2468475,311,1487,4909,10474,24951,46790,62985,51563,27072,230547,20830,25624,37842,34401,30205,25621,22803,13705,5543,216581,356,507,1599,4019,9210,14298,17950,12979,5818,66739,17,22,53,69,195,548,2139,6929,11132,21105,622,1421,3682,7435,13221,21686,26994,19720,8559,103332,663,612,1117,1666,3980,8978,16568,18952,13981,66512
RA21,112,286,1104,2378,5248,11178,16288,11303,3665,51566,10255,6418,6495,6804,6051,6277,5808,3108,879,52104,105,146,270,629,1417,3835,7696,5914,1772,21791,5,22,20,24,65,253,783,1632,1308,4110,192,442,768,1537,3793,7401,11332,7103,1787,34348,270,217,334,699,2320,6820,12718,9884,3615,36880,153,114,168,265,517,1015,1840,1761,770,6602,152,104,196,369,981,2812,4631,3667,1230,14132,3311,6226,7392,7829,8667,8375,6186,2682,919,51592,57,65,86,183,517,1316,2479,2342,938,7985,5780,3489,3481,4310,6115,8525,8051,4263,1709,45721,83334,45603,43662,41752,42783,37625,25852,9568,2136,332314,10614,6703,6736,6843,7516,7273,6233,3656,1488,57064,111670,66780,66600,67502,75083,80773,76286,40249,12227,597176,115,449,1542,3621,9006,18776,26059,17912,8122,85602,7041,6865,9046,9355,9446,10071,9581,5104,1717,68229,100,125,371,1014,2523,5047,6805,4553,1787,22324,7,18,24,20,50,197,674,1789,2681,5464,196,411,866,1648,3295,6070,8200,5543,2119,28351,194,175,321,510,1338,3543,6763,6693,4391,23929
RA22,19,42,209,458,1111,2803,4140,2667,880,12331,1894,1248,1230,1209,1234,1482,1429,758,204,10685,29,31,52,118,274,917,1813,1333,391,4965,0,4,4,3,23,45,153,303,275,813,43,82,179,297,787,1811,2775,1684,422,8076,37,38,56,127,513,1615,3017,2244,802,8463,36,18,28,45,117,266,441,375,178,1506,32,16,34,86,225,715,1235,957,240,3543,518,1055,1300,1300,1701,2018,1488,562,138,10071,4,5,11,37,142,331,580,540,231,1886,969,636,577,761,1240,1930,1801,886,320,9112,16154,8986,9238,8275,8672,9111,6576,2475,574,70058,2450,1530,1446,1490,1676,2009,1752,998,416,13776,21749,13159,13592,13103,15335,19679,18886,9866,3012,128377,20,93,305,659,1861,4150,5719,4008,1873,18695,1324,1293,1682,1630,1888,2271,2096,1118,368,13674,15,29,60,168,474,1108,1468,1045,389,4759,4,9,5,7,13,39,130,398,515,1121,37,88,152,369,701,1460,1855,1288,509,6459,38,41,60,101,311,858,1494,1510,953,5360
