RA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
RA10,95172,194209,146511,1050086,11673,1497660,1686,7871,4062,113823,1498,128943,521422,9251,16231,14818,3336,565052,29658,4834,2839,11159,323,48812,26991,9377,5801,18729,255,61157,365806,156237,112737,941520,12757,1589061,120081,3818,11654,2862,508,138920,22449,3363,2656,10007,170,38648,52279,14194,10390,80144,1047,158048,70885,13726,7295,40116,723,132749,13095,2772,1479,4619,109,22078,235909,4411,3448,2548,507,246820,92530,38216,26217,335086,2638,494691,114890,30374,14198,90087,1392,250940,66964,743,2201,670,279,70852,106899,24931,11135,29270,755,172989,29055,3820,2198,7226,251,42551,27611,8422,4624,25063,370,66092,21845,4996,3051,2784,257,32930,21365,8721,6203,4666,230,41188,29865,4861,3887,10934,244,49789,22877,2041,2255,4263,192,31631,25493,3805,1527,1092,325,32247,80938,37256,27016,261628,1988,408834,25667,2692,1794,3492,171,33820,25558,4007,2962,1356,118,34006,35431,2469,2178,4664,267,45003,16780,1161,894,819,58,19710,112481,2198,3830,2200,687,121393,13040,3928,2590,13757,109,33423,913410,68683,55668,77383,6170,1121309,48307,3530,2598,18205,282152,354785,2907773,400325,291205,2158665,322465,6080428
RA11,7449,49779,36514,539075,6954,639765,245,2850,1534,87400,1402,93429,8825,675,906,3213,116,13731,2500,661,317,1639,68,5191,9372,3268,2138,6828,139,21739,79602,46650,33725,487952,7650,655571,8148,348,1893,579,101,11071,3295,727,544,3781,54,8399,13152,4601,3260,45605,593,67215,2924,1021,403,3330,69,7757,1929,567,246,985,29,3765,9771,648,461,644,54,11571,16925,10527,6901,158662,1660,194678,10294,4486,1624,20322,262,36993,1112,71,143,57,11,1398,1861,697,291,1803,31,4683,572,139,49,294,6,1053,3986,1385,795,5110,73,11343,2735,1111,677,1029,47,5593,3842,2365,1635,1724,76,9637,4007,1074,648,2852,71,8650,1721,357,305,946,42,3369,603,285,109,114,10,1124,20398,12154,8596,127728,1291,170171,1182,222,87,412,20,1922,3148,651,488,375,15,4672,2589,336,250,1365,30,4569,817,147,126,130,9,1231,1925,81,220,72,16,2310,3251,1124,689,4507,62,9631,55257,10606,8094,20128,876,94969,2695,608,521,11423,94524,109777,228475,92087,65440,1071975,111772,1569737
RA12,1401,8374,6452,136813,1925,154972,37,684,348,29086,544,30697,1438,79,121,761,23,2416,324,84,34,204,13,656,1682,603,413,1161,41,3895,12593,7961,5985,118560,2149,147253,2041,52,332,91,34,2557,434,102,96,764,10,1405,2363,830,645,11933,164,15945,326,127,58,461,3,970,281,83,33,148,5,542,2199,64,46,124,12,2441,2416,1711,1212,36184,444,41970,4189,1468,500,7041,112,13311,153,0,25,15,0,189,155,58,33,259,12,508,83,12,7,28,4,135,455,180,114,660,11,1425,513,193,130,211,9,1052,650,354,291,263,17,1568,541,137,70,442,10,1203,240,66,45,148,8,501,496,63,50,14,13,638,3159,2015,1604,30775,320,37863,152,27,13,47,4,249,546,89,73,62,8,774,387,49,34,277,11,763,100,16,23,23,0,167,193,13,26,9,0,246,446,176,99,926,6,1659,9580,1491,1225,3758,201,16257,589,122,84,3345,33257,37396,40988,15968,11706,270960,38072,377693
RA13,45,370,386,9301,87,10191,0,68,41,3777,57,3951,92,0,9,35,0,132,33,5,4,16,0,59,51,13,15,57,0,145,443,311,295,7326,140,8513,128,0,25,9,4,166,15,6,0,55,0,80,131,36,31,627,10,836,24,0,0,21,5,54,14,5,4,7,0,30,146,0,3,3,0,154,147,104,74,2245,20,2589,64,36,9,197,4,301,26,0,0,0,0,30,11,3,0,16,0,31,7,0,0,5,0,4,3,3,0,19,0,30,41,9,6,11,3,69,47,19,33,12,6,111,29,3,5,20,4,54,6,0,0,3,0,10,21,3,0,0,0,27,122,84,66,2003,17,2288,41,9,0,0,4,49,37,3,0,0,0,41,20,4,0,12,5,40,4,0,0,0,0,4,18,0,0,0,0,19,13,8,6,53,0,71,588,86,64,193,16,952,21,8,6,216,4163,4414,2000,700,617,18442,4460,26219
RA14,14,102,91,1852,17,2080,3,16,0,1823,61,1908,28,0,0,15,0,47,8,0,0,0,0,8,18,3,3,10,0,36,106,93,77,1561,40,1877,11,0,0,0,0,13,4,0,6,8,0,19,27,15,8,148,0,192,6,0,0,6,0,21,0,0,0,0,0,0,25,0,0,0,0,30,42,18,21,506,0,591,12,9,0,32,0,52,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,4,4,0,8,0,13,6,5,0,0,0,12,13,8,10,3,0,35,3,0,0,0,0,12,0,0,4,3,0,11,0,4,0,0,0,10,37,25,21,359,3,448,0,0,0,0,0,0,9,0,0,0,0,13,3,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,25,0,24,138,37,27,98,3,310,8,3,0,41,1031,1087,416,197,167,4783,1149,6708
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,84,252,196,2300,52,2888,3,23,14,608,19,666,227,5,10,18,5,262,15,11,0,12,0,39,75,10,8,26,4,121,551,245,174,1690,53,2715,60,3,20,0,0,83,64,7,0,12,0,90,90,24,16,177,0,314,38,13,3,21,5,79,21,4,4,5,0,27,78,3,0,0,0,92,145,56,27,583,8,821,89,34,9,97,3,231,22,0,0,0,0,22,50,10,6,6,0,73,12,3,0,9,0,20,7,8,6,19,4,39,40,6,5,7,0,58,37,3,18,12,0,67,33,4,0,17,0,47,14,4,3,10,0,36,25,0,3,4,0,30,136,70,52,480,9,752,15,0,0,0,0,16,24,3,0,5,0,40,34,3,0,9,0,44,8,0,0,0,0,11,50,0,0,0,0,61,21,10,4,22,0,60,660,74,47,134,18,933,44,5,4,47,3748,3846,2238,520,360,4349,3900,11371
RA20,77547,155148,117997,820294,9169,1180154,1243,2462,1388,27998,445,33537,383491,5840,11328,9726,2027,412418,29080,4500,2440,9482,314,45813,32140,11332,7118,24707,326,75624,290639,128506,95433,764229,10098,1288903,73800,1835,7232,1545,274,84683,16233,2534,1890,7961,143,28758,44942,14032,9877,75197,951,144998,100755,16471,8662,45392,1043,172325,12239,2529,1472,4735,145,21116,253632,4707,3351,2570,526,264783,69132,32548,22409,294453,2276,420813,151276,36997,17556,120338,1900,328065,18482,225,792,241,51,19790,30640,6979,3263,6527,241,47655,31963,4438,2480,8437,274,47595,33970,8380,4995,22754,403,70503,16441,2410,1775,1195,159,21980,18472,6356,4743,2634,154,32360,31530,5537,4242,12322,272,53896,18282,1674,1771,3046,149,24925,18969,1599,729,309,220,21826,68962,31611,24120,234111,1826,360630,21570,2292,1405,2627,230,28114,16596,2788,2241,1054,80,22769,19060,1628,1381,3313,131,25519,41395,2888,2020,2242,164,48703,110272,1937,3727,1805,536,118274,9011,2679,1920,10008,75,23692,767507,52289,43389,61404,5296,929881,41628,2615,2064,14431,209420,270165,2457160,326420,239408,1753404,242031,5018415
RA21,6537,38732,27581,406836,5990,485670,122,802,470,19797,365,21561,7778,414,655,2951,97,11899,2392,604,262,1327,46,4626,11396,4361,2723,10471,212,29162,59003,36038,26475,376482,6391,504387,6456,200,1333,290,86,8361,1767,435,350,2753,40,5343,10188,3929,2760,35829,534,53238,3264,883,374,2691,74,7284,1651,439,208,812,37,3143,9034,525,244,446,32,10279,12875,8798,5685,133077,1568,161995,13586,4914,1976,25338,424,46238,469,23,54,28,4,579,487,202,81,487,8,1263,882,186,84,540,17,1705,4120,1328,681,3832,77,10041,1763,516,439,475,29,3229,2847,1609,1155,964,42,6615,3521,933,504,2524,71,7555,1101,224,168,643,19,2153,683,146,65,51,3,944,15787,9683,6984,110621,1235,144306,1110,198,110,369,8,1797,1837,411,289,241,27,2798,1393,222,173,1057,20,2869,1176,274,169,226,9,1862,1540,71,179,62,15,1868,2252,725,492,3576,48,7089,41588,6912,5358,14636,686,69173,2327,606,413,10151,69832,83326,187865,72129,50628,820207,84126,1214965
RA22,1309,6104,4662,88066,1491,101632,40,254,110,6598,143,7144,2288,49,114,451,28,2925,395,83,30,260,10,773,1898,600,399,1381,35,4314,10402,5873,4420,81155,1609,103452,1686,20,265,54,33,2069,327,50,61,530,6,985,1927,631,505,10836,152,14043,651,197,58,567,13,1479,291,79,23,121,6,523,1418,66,38,62,6,1592,1855,1209,838,23752,344,27995,3228,997,371,5426,98,10118,113,4,16,7,0,137,45,19,12,74,0,154,51,15,8,30,0,108,404,115,62,345,7,936,351,91,54,105,11,610,551,238,206,167,14,1170,471,132,67,373,8,1051,182,31,24,66,0,303,211,34,22,13,12,290,2529,1558,1200,23000,292,28586,122,22,6,36,4,191,371,57,32,32,0,495,225,38,21,150,0,440,114,31,10,36,0,190,875,13,33,12,18,946,332,144,72,632,10,1192,9693,1205,836,2454,189,14385,630,89,102,2337,18077,21244,37392,11747,8567,178258,21712,257682
