RA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
RA23,3,9,7,6,0,0,34,0,4,0,10,9,4,0,0,31,3,43,46,33,45,35,9,0,208,5,19,36,29,49,31,18,0,195,25,85,91,74,141,89,23,3,527,3,3,10,5,11,5,0,0,37,0,0,3,5,9,5,0,0,29,33,88,101,84,154,104,24,3,596,0,0,0,0,3,4,3,6,12,21,20,40,33,58,61,51,34,327,66,188,235,189,334,240,110,47,1405
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29,0,6,16,3,15,4,0,0,40
RA29,77,37,26,13,0,0,239,4,20,25,17,21,9,0,0,98,44,280,153,107,71,37,8,0,701,25,95,66,56,79,42,7,0,372,100,227,210,170,141,83,20,0,949,29,26,20,17,13,7,0,0,112,3,13,17,25,11,11,0,0,90,131,270,243,211,161,104,20,0,1148,9,8,8,8,8,0,0,0,37,397,694,879,659,422,207,45,15,3316,608,1458,1448,1099,779,411,85,18,5907
RA30,47776,33303,22068,13355,4666,793,161283,1570,13450,15983,15841,11409,7390,2189,378,68214,36943,129176,119702,87025,52874,35469,14371,3321,478887,22240,49794,57896,58481,45427,28967,12321,3076,278207,55999,96416,90432,85679,71981,45775,20958,5404,472643,12561,6550,4934,4038,3460,2593,857,145,35147,4662,5927,8135,9546,9089,7825,3783,1048,50014,73226,108897,103502,99257,84530,56200,25594,6598,557801,1287,2404,2881,2708,2592,2731,1918,673,17189,24965,34345,29204,25442,21870,21225,19250,13146,189450,162412,375217,376939,322060,240773,165327,80319,27982,1751029
RA31,4241,4321,3797,2746,930,124,19530,280,1919,2563,3082,2903,2156,607,89,13596,4262,16701,18536,15767,12567,9667,3640,757,81894,2549,8255,11452,14430,14574,10204,3973,803,66232,16753,33178,32748,32790,32435,22468,8821,1770,180961,4871,2634,1953,1628,1438,1100,346,36,14013,1292,1509,2031,2694,2900,2599,1186,268,14477,22920,37325,36731,37114,36780,26165,10343,2079,209447,241,466,474,630,745,851,610,179,4193,8889,9700,9832,10959,11244,11104,9288,4616,75631,39319,77534,83831,86301,82606,62892,29400,8640,470524
RA32,3473,3080,2599,1611,520,63,14321,213,1689,2002,2105,1730,1100,243,36,9118,3395,14919,13848,11391,8009,5511,1962,370,59395,1592,6635,8764,10234,9145,5553,1983,348,44264,11009,23211,23028,22337,20504,12455,4580,855,117973,3028,1684,1321,1103,964,543,158,23,8832,760,1061,1405,1769,1775,1399,543,113,8823,14799,25950,25756,25216,23247,14394,5277,989,135627,195,352,368,461,461,515,314,70,2733,9834,11527,10063,10290,9832,8154,5484,2339,67514,30190,63890,64272,62765,55019,36835,15770,4222,332964
RA33,254,142,167,70,24,4,913,17,151,161,118,132,70,19,0,661,412,1649,1077,710,567,349,94,23,4886,180,623,733,767,703,370,132,16,3530,1088,2690,2254,2105,1941,1052,315,39,11493,304,168,129,117,89,58,7,0,875,73,135,144,180,147,102,37,3,821,1466,2991,2527,2404,2175,1220,362,46,13194,18,30,37,36,38,28,18,3,208,1268,1721,1380,1485,1491,1022,571,191,9127,3370,7416,6166,5654,5269,3124,1220,285,32517
RA34,128,103,95,44,10,0,512,14,109,107,122,94,37,13,0,481,242,951,655,471,365,190,41,6,2917,137,369,489,559,563,235,63,10,2419,984,1964,1561,1364,1116,525,136,18,7677,298,230,132,128,107,44,7,0,962,63,85,102,106,106,64,12,3,543,1347,2283,1794,1598,1326,634,159,28,9180,4,12,12,15,27,7,10,3,103,1081,1254,993,1067,1126,648,394,139,6704,2831,5111,4174,3942,3588,1794,683,189,22313
RA35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,10,0,6,0,0,0,0,14,0,0,6,0,0,0,0,0,7,0,0,0,4,0,0,0,0,4,0,10,8,9,0,0,0,0,25,0,0,0,0,0,0,0,0,0,14,34,52,29,8,0,0,0,136,16,45,64,42,5,3,0,0,170
RA39,85,57,57,46,5,0,369,0,35,21,29,44,33,0,0,168,91,514,200,142,202,146,33,0,1322,45,152,136,156,246,194,29,0,959,161,379,378,331,509,408,59,4,2225,51,34,26,13,30,26,0,0,183,10,29,34,32,59,46,9,0,208,221,439,436,377,593,475,68,8,2617,5,8,6,17,14,10,7,0,72,425,801,750,645,528,371,97,18,3642,799,2066,1632,1417,1684,1277,239,26,9143
RA40,19991,12084,8599,6016,2275,480,70098,466,4680,6142,5726,5176,4027,1239,186,27650,14989,52870,46281,31793,21852,16927,6888,1812,193407,4375,15378,19500,20558,18991,14119,5831,1616,100365,18206,37234,33667,32747,29638,19693,9475,3068,183732,3027,3565,2653,1996,1635,1122,365,99,14470,1244,1982,2790,3772,3775,3450,1775,617,19408,22483,42785,39112,38519,35048,24267,11612,3786,217605,530,1063,1104,985,995,1047,783,296,6793,7362,9606,8599,8137,7947,8381,7844,5222,63102,51395,145831,140729,117807,98605,74780,36470,13401,679029
