RA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
RA54,240,144,130,50,6,0,864,8,143,117,121,97,44,0,0,527,253,1408,921,628,446,174,45,5,3879,92,597,638,533,479,227,56,9,2637,698,2299,2165,1664,1268,495,125,10,8725,273,235,165,103,80,21,6,0,884,56,120,135,114,118,55,18,0,614,1027,2649,2467,1881,1468,567,146,10,10221,13,37,29,31,24,6,5,4,147,1574,2719,2305,2013,1606,735,299,61,11316,2980,7826,6713,5348,4250,1816,566,88,29592
RA55,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,3,4,14,13,8,10,0,0,0,39,0,7,11,4,0,4,0,0,35,8,26,39,15,7,0,0,0,100,4,4,0,0,0,0,0,0,4,0,6,4,0,3,0,0,0,7,10,29,36,21,9,0,0,0,117,0,0,3,4,0,0,0,0,11,22,49,74,49,21,3,0,0,224,38,97,145,92,48,15,0,0,428
RA59,32,11,25,15,0,0,148,0,15,17,14,15,12,0,0,77,54,221,131,58,60,35,8,0,563,18,79,71,50,77,35,8,0,335,81,191,203,162,158,129,13,0,946,33,22,15,10,7,4,0,0,85,3,11,6,14,23,14,0,0,66,115,224,224,185,195,147,13,0,1105,6,10,0,8,10,6,0,0,32,339,659,809,752,507,257,72,22,3407,529,1270,1293,1073,876,505,105,20,5668
RA61,4813,3118,2457,1794,686,140,22307,104,1312,1622,1554,1467,1120,321,53,7552,2941,13356,10049,7611,6037,4836,1891,521,47246,820,3470,3968,4686,4351,3547,1709,502,23070,4320,10500,9183,8707,7947,4979,2389,669,48686,1050,1091,711,512,511,290,109,33,4307,333,518,559,707,917,936,431,182,4583,5703,12103,10449,9921,9376,6205,2935,884,57580,119,317,260,246,255,275,242,77,1790,2264,3030,2310,2223,2399,2777,2625,1346,18987,12215,42631,33481,29361,26344,20561,10406,3527,178520
RA62,819,742,920,717,272,35,4552,26,323,400,540,634,520,149,18,2607,549,2969,3172,2771,3017,2629,867,142,16130,242,1230,1878,2623,3156,2471,1006,225,12824,2704,6658,6219,6531,6910,4391,1649,346,35411,683,717,515,446,447,265,75,16,3176,185,275,341,505,732,653,254,60,3007,3573,7654,7082,7479,8089,5313,1976,428,41593,64,106,98,124,148,197,131,30,906,1635,1619,1622,1952,2523,2945,2200,895,15395,6121,14935,15065,16233,18481,14794,6603,1780,94010
RA63,51,26,35,25,7,0,256,0,14,4,5,29,27,3,0,83,20,171,139,68,118,111,31,3,668,11,70,61,98,146,113,45,14,561,66,223,199,282,362,227,79,20,1452,27,23,23,18,20,10,6,0,118,0,11,15,22,36,31,11,0,131,95,255,232,325,412,271,98,22,1706,3,6,5,4,12,16,0,0,40,98,147,110,122,168,170,92,41,953,232,767,601,646,922,728,287,80,4260
RA64,3,11,5,18,8,0,64,0,3,5,11,7,14,5,0,42,0,31,47,40,31,36,13,3,212,0,25,30,30,42,40,19,0,179,22,72,80,70,95,74,25,7,448,3,4,7,7,3,3,0,0,22,0,6,7,5,14,11,4,0,48,24,85,93,79,109,95,31,5,523,0,0,3,0,4,0,0,0,7,11,24,39,35,40,57,32,16,257,38,183,222,200,242,249,118,29,1285
RA65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,3,0,0,0,0,14
RA69,5,5,5,5,0,0,31,0,4,5,0,7,0,0,0,20,0,25,15,13,16,8,0,0,84,4,8,3,12,13,12,3,0,52,17,41,38,35,37,16,6,0,180,10,9,4,0,4,0,0,0,34,0,0,0,4,4,0,0,0,7,23,49,43,45,42,16,6,0,221,0,0,0,0,4,5,0,0,8,44,57,54,45,60,73,8,3,342,70,148,130,130,137,108,14,3,760
RA72,2128,1215,894,468,120,15,7745,57,708,788,711,534,234,53,3,3085,1099,6229,4711,2817,1811,1119,341,58,18186,422,2048,2318,2324,1648,836,272,32,9898,2118,4952,4531,3791,2930,1434,463,79,20299,670,401,271,174,117,79,20,4,1741,157,229,299,360,269,206,88,15,1624,2942,5587,5106,4328,3319,1719,576,91,23662,55,167,146,108,77,83,32,18,680,1712,2690,2287,1993,1532,1071,507,175,11963,6366,20239,17483,13493,9816,5524,1900,397,75220
RA73,546,299,286,123,33,0,1910,12,189,215,182,159,73,17,0,842,209,1745,1121,764,586,309,71,9,4822,102,550,590,602,501,247,71,15,2680,541,1431,1208,1132,934,458,109,21,5840,138,127,105,67,63,27,8,0,530,43,82,101,113,93,67,19,0,518,723,1640,1409,1314,1093,551,130,23,6886,19,39,31,27,18,18,8,5,167,696,1022,834,811,755,480,184,53,4839,1779,5791,4746,4003,3398,1800,518,104,22148
RA74,141,71,75,38,5,0,522,4,67,84,71,57,26,3,0,308,84,530,390,261,244,74,19,0,1595,65,231,213,235,214,61,11,0,1031,378,728,711,627,467,173,23,3,3102,136,189,167,145,77,21,9,0,749,58,139,122,118,77,30,6,0,540,571,1054,1001,889,616,219,35,7,4389,0,5,5,7,4,0,4,0,22,1076,1158,829,679,600,265,59,4,4672,1802,3224,2663,2216,1801,685,131,10,12548
RA75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,7,0,0,4,0,0,0,0,0,6,7,3,0,5,3,0,0,0,23,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,4,7,4,8,4,0,0,0,32,0,0,3,0,0,0,0,0,3,6,6,4,6,7,0,0,0,26,9,19,16,10,12,0,0,0,71
RA79,18,18,10,9,0,0,84,0,14,11,10,13,9,0,0,60,15,112,53,27,29,18,3,0,259,3,31,38,30,35,21,0,0,157,15,62,52,49,78,58,6,0,324,5,15,4,3,3,0,0,0,30,0,4,5,5,9,13,0,0,39,17,81,68,59,92,71,6,0,389,0,0,3,0,5,0,0,0,11,144,269,262,333,262,102,22,0,1400,183,547,451,471,441,228,30,0,2351
RA80,14806,9908,6687,4203,1736,398,52714,298,3271,3855,3457,2871,2220,733,87,16787,7685,25766,20614,14092,9727,7425,3498,961,89783,1945,6124,7633,7060,5500,3715,1773,553,34299,4389,9453,8013,6877,5392,3237,1731,561,39654,1030,705,522,425,368,300,108,41,3496,364,499,722,975,1131,1138,586,200,5619,5777,10662,9260,8268,6893,4683,2423,803,48772,184,396,412,285,283,285,230,94,2172,3367,4259,3216,2385,2022,2023,1657,1040,19980,19813,64910,59791,45463,33984,24546,12059,3939,264504
RA81,6,7,4,8,0,0,29,0,0,10,3,5,7,0,0,19,4,21,32,23,8,6,3,0,99,0,15,15,18,18,5,0,0,69,12,30,19,23,18,9,0,0,107,0,3,0,0,0,0,0,0,8,0,0,0,0,3,5,0,0,9,12,32,24,22,22,11,0,0,120,0,0,0,0,0,0,0,0,0,6,3,3,10,17,10,0,0,53,23,72,96,83,72,39,5,0,394
RA85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA89,6,9,8,0,0,0,36,0,0,5,0,4,0,0,0,10,11,23,13,6,11,4,0,0,69,3,9,3,6,4,3,0,0,36,14,15,13,10,13,6,0,0,68,5,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,19,16,20,13,11,6,4,0,78,0,0,0,0,0,0,0,0,4,16,17,35,25,24,17,5,0,136,50,80,77,58,64,24,8,4,368
RA91,5,5,0,0,0,0,7,0,0,3,0,5,0,0,0,3,0,9,3,5,7,0,0,0,25,0,0,0,4,0,6,0,0,11,7,0,3,9,8,3,3,0,31,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,6,0,5,10,8,3,3,0,46,0,0,0,0,0,0,0,0,0,15,13,10,17,12,13,9,0,88,22,27,30,38,31,26,13,0,187
RA94,27,19,13,12,6,0,94,0,4,12,18,21,4,0,0,62,10,60,81,66,43,47,14,4,325,10,38,56,54,64,39,20,5,283,43,86,112,119,161,93,24,13,651,26,15,13,18,13,4,0,0,84,5,7,12,7,9,13,7,0,59,72,107,137,144,175,108,32,13,790,0,5,3,6,5,17,4,0,38,82,205,161,129,116,70,50,9,828,178,440,471,424,445,309,119,29,2421
RA95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,4,0,0,3,0,0,0,11
