UCL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
UCL112002,29,86,67,40,158,128,35,100,3,645,24,71,43,29,92,95,37,63,98,558,775,2323,1905,1312,3863,3183,1072,2145,228,16804
UCL112003,91,92,41,30,66,79,15,33,5,444,50,79,45,23,49,80,16,48,59,443,1544,2365,1697,1039,2309,2228,664,1257,131,13231
UCL112004,20,67,44,31,57,73,20,34,0,351,29,57,40,25,55,66,23,62,48,395,540,1843,1369,799,1660,1914,622,1346,142,10240
UCL112005,34,65,40,33,88,80,21,26,5,382,20,35,28,23,62,56,16,29,81,360,725,1355,969,701,1704,1575,458,893,164,8542
UCL112006,19,96,71,53,183,147,47,79,7,703,30,65,42,24,137,112,29,71,171,687,750,2167,1806,1332,4645,3892,1154,2320,353,18426
UCL112007,4,25,17,13,20,12,9,14,5,114,8,20,5,8,14,16,5,7,20,104,192,479,343,246,500,531,163,365,55,2873
UCL112008,9,52,38,35,51,43,12,32,0,274,19,46,28,14,38,29,12,16,78,283,339,1266,1015,672,1278,1088,324,585,175,6745
UCL112009,17,46,50,36,106,96,18,55,4,431,18,42,25,22,74,74,17,49,91,402,521,1347,1202,796,2534,2013,613,1337,202,10564
UCL112010,11,44,42,24,85,88,28,43,6,363,16,52,45,32,190,93,18,42,117,616,302,1232,1021,833,2916,2069,671,1178,233,10459
UCL112011,24,57,46,33,99,73,22,39,5,397,21,33,19,24,98,91,16,41,57,411,571,1132,1039,728,1991,1723,506,893,134,8714
UCL112012,19,78,61,37,149,120,27,46,6,541,26,74,38,43,88,82,8,26,73,449,530,1867,1724,1275,2898,2157,606,1011,205,12278
UCL112013,4,8,0,3,5,4,4,4,0,42,4,5,3,3,16,17,4,4,3,56,60,144,91,81,247,261,66,165,16,1128
UCL112014,50,84,51,32,85,84,19,36,3,440,24,44,33,27,72,48,14,37,84,381,726,1413,1099,754,1822,1685,463,901,159,9017
UCL112015,26,104,57,35,128,82,20,51,4,513,27,52,37,25,114,92,26,30,121,525,692,2127,1618,1105,2949,2464,669,1155,245,13026
UCL112016,34,90,99,43,151,151,56,121,5,761,21,64,46,19,123,109,23,58,128,599,802,2475,1977,1294,4131,3637,1331,2781,271,18698
UCL112017,33,140,90,69,159,144,38,63,11,753,27,108,42,41,107,97,15,46,132,614,955,3577,2481,1982,4152,3706,1018,1941,290,20108
UCL112018,25,77,82,52,179,130,39,64,6,649,33,51,40,32,110,96,22,57,117,557,640,1966,1655,1229,3617,3327,919,1729,259,15329
UCL112019,31,135,119,90,248,242,64,127,10,1067,27,92,75,49,192,173,39,84,165,895,915,3186,2614,1853,5681,4740,1503,2755,346,23590
UCL113001,16,52,37,28,67,45,15,29,4,294,10,36,24,20,36,49,10,8,60,253,394,1265,1049,748,1484,1178,348,665,145,7279
UCL113002,10,21,19,26,38,44,10,20,0,186,7,30,17,15,30,35,4,10,45,194,249,775,584,415,908,699,190,394,98,4320
UCL113003,7,56,25,17,70,54,12,40,0,284,16,26,12,13,30,42,3,28,72,241,402,966,692,498,1544,1348,370,1114,165,7100
UCL113004,13,50,39,20,16,28,0,13,0,177,7,54,57,20,68,53,11,26,65,357,324,1354,841,524,722,826,165,412,132,5300
UCL113005,7,38,26,21,70,55,15,25,4,259,7,34,25,10,54,45,12,15,77,277,287,969,789,614,1539,1033,334,641,145,6345
UCL113006,4,14,12,9,37,11,8,19,3,116,3,16,11,3,27,28,4,8,42,131,175,503,441,324,729,523,125,299,98,3222
UCL113007,21,38,29,20,26,31,10,14,0,184,11,19,22,15,32,30,4,14,30,186,515,1104,786,459,1164,1229,378,665,70,6370
UCL113008,10,38,19,10,30,29,13,14,6,170,9,19,15,9,31,26,8,17,39,173,308,622,504,321,913,820,229,387,88,4188
UCL113009,12,34,17,18,49,46,17,14,4,210,12,22,10,18,24,26,8,27,33,171,314,726,532,371,1070,1051,291,502,76,4940
UCL113010,7,43,27,13,52,40,12,44,4,240,4,27,12,5,19,27,6,21,42,160,293,727,613,391,953,1024,392,932,98,5436
UCL113011,8,31,24,11,45,47,21,33,0,220,10,19,4,9,29,27,8,21,53,184,225,634,495,298,930,883,377,821,101,4759
