UCL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
UCL115042,27,227,247,102,53,657,12,670
UCL115043,72,389,283,79,44,860,17,878
UCL115044,87,348,257,74,49,812,29,843
UCL115045,22,149,135,53,28,383,10,398
UCL115046,6,166,270,82,48,568,16,581
UCL115047,43,337,317,115,62,873,15,891
UCL115048,71,621,581,164,69,1501,32,1527
UCL115049,19,191,147,46,26,437,12,448
UCL115050,0,132,358,93,55,634,6,643
UCL115051,24,351,337,104,19,829,16,843
UCL115052,33,235,217,74,48,610,9,623
UCL115053,37,211,161,50,16,470,6,482
UCL115054,5,52,117,73,83,332,0,339
UCL115055,48,387,319,93,61,911,6,922
UCL115056,106,513,464,130,56,1263,32,1297
UCL115057,82,521,441,131,39,1217,33,1251
UCL115058,33,352,239,54,25,698,3,703
UCL115059,35,338,263,62,41,738,15,754
UCL115060,21,249,335,91,43,739,7,745
UCL115061,27,182,124,55,37,424,9,427
UCL115062,3,96,185,81,79,448,6,453
UCL115063,7,107,194,64,49,416,0,415
UCL115064,62,517,704,213,125,1620,14,1635
UCL115065,82,382,312,105,34,917,36,947
UCL115066,3,149,332,186,142,814,6,827
UCL115067,73,515,360,90,43,1079,21,1103
UCL115068,19,210,214,79,26,551,10,557
UCL115069,71,372,289,104,61,900,10,912
UCL115070,33,300,446,202,133,1112,13,1124
UCL115071,47,302,276,99,63,785,13,800
UCL115072,6,123,346,113,73,658,3,662
UCL115073,49,298,267,92,36,748,11,758
UCL115074,42,295,249,87,48,717,34,746
UCL115075,10,249,171,41,26,508,3,510
UCL115076,49,302,262,69,52,740,26,764
UCL115077,57,689,576,136,45,1496,22,1517
UCL115078,27,278,212,46,25,587,19,609
UCL115079,66,352,316,95,56,880,28,899
UCL115080,18,193,332,142,98,793,8,802
UCL115081,32,142,161,44,20,397,12,409
UCL115082,34,220,196,47,28,527,8,529
UCL115083,34,368,449,145,66,1063,19,1080
UCL115084,49,387,297,70,26,828,22,852
UCL115085,6,105,202,64,56,433,5,439
