UCL_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL101001,386,4147,105,70776,308,69,198,160,205,300,108,217,220,998,10477,13256,232,52,226,102,93,105,37,108,130,1762,2421,5262,97841,18211,5927,45080,16028,42646,7774,28368,9686,136806,14785,423157
UCL102001,0,17,0,546,4,4,4,4,0,3,0,0,0,5,112,139,3,0,0,0,0,0,0,0,0,10,17,34,1175,134,34,502,68,371,36,189,33,874,142,3551
UCL102002,17,235,3,2488,22,8,8,11,8,29,10,21,16,133,919,1189,12,9,5,12,6,8,3,14,12,258,199,537,4833,1516,366,3717,1096,2910,603,2449,712,15384,1339,34916
UCL102003,8,54,0,391,8,4,0,4,0,6,3,4,7,36,250,315,5,3,3,7,0,0,0,0,0,75,68,159,870,410,51,856,108,506,104,616,115,3874,370,7886
UCL102004,35,225,0,3325,16,4,4,13,13,16,14,18,11,92,1139,1344,11,6,10,10,0,6,4,8,5,232,181,474,7221,1793,226,5142,694,2871,414,2728,482,14740,1474,37785
UCL102005,18,142,4,2163,4,5,6,6,9,21,9,14,17,104,653,848,6,3,7,6,4,8,0,5,7,162,169,385,4525,1117,278,3233,916,2483,514,1954,585,12382,968,28966
UCL111001,0,29,5,294,5,0,0,0,3,0,0,0,0,11,185,211,3,9,0,0,0,0,0,3,0,40,34,88,1127,258,28,901,94,462,47,431,74,2034,257,5708
UCL111002,5,36,0,305,4,0,0,3,3,5,0,4,3,21,168,211,4,0,6,3,0,7,0,3,0,55,35,111,840,301,35,773,75,376,51,442,69,2590,241,5783
UCL111003,3,33,0,550,7,0,4,3,3,5,0,7,0,28,306,369,15,0,4,0,0,4,0,0,3,53,46,114,1929,352,68,1244,189,831,80,562,125,3387,386,9139
UCL112001,0,3,0,143,3,0,3,0,0,0,0,0,0,7,59,78,0,0,4,0,0,0,0,0,0,11,17,26,432,114,14,338,35,167,22,156,25,706,82,2078
UCL112002,0,16,0,234,4,0,0,4,0,5,0,0,3,14,130,156,5,0,0,0,0,0,0,0,0,30,21,58,759,154,25,490,58,317,38,276,44,1273,174,3606
UCL112003,0,20,0,345,3,0,4,4,0,10,0,5,0,10,77,106,0,0,0,0,0,0,0,0,0,15,6,20,488,236,47,420,106,359,93,375,85,1385,98,3699
UCL112004,8,55,0,404,0,0,0,0,0,0,0,4,0,14,84,116,0,0,4,4,0,0,0,0,0,26,17,48,392,181,19,358,39,239,25,299,51,1673,124,3399
UCL112005,0,8,0,75,0,0,0,3,4,3,0,0,0,18,63,84,0,0,0,0,0,0,0,0,0,22,12,38,281,81,16,249,42,181,23,143,39,929,86,2086
