UCL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL112002,10,29,140,253,52,396,43,284,12,1215,79,193,322,547,143,246,86,210,26,1856,321,864,652,638,384,301,215,356,62,3784,453,764,482,419,437,213,211,256,67,3299,476,685,398,468,465,171,256,329,64,3303,309,551,275,313,400,156,228,315,18,2562,87,146,69,78,93,62,74,83,14,703,12,15,3,4,11,5,11,10,6,74,0,0,0,0,0,0,0,0,7,8,1741,3245,2340,2718,1984,1537,1116,1848,272,16804
UCL112003,7,16,85,135,29,141,24,110,7,563,40,97,181,182,64,122,31,112,12,833,203,507,357,301,185,163,72,180,25,1987,392,921,334,332,330,120,92,139,35,2701,529,1089,327,401,382,168,126,166,46,3231,414,926,273,303,373,140,137,184,34,2772,140,400,78,99,138,61,45,51,16,1018,13,45,8,4,17,12,5,5,9,117,3,0,0,0,0,0,0,0,5,11,1742,3996,1645,1758,1519,925,520,945,181,13231
UCL112004,8,17,93,135,21,179,27,129,11,614,27,61,146,156,52,84,33,101,8,664,155,368,346,202,132,132,62,126,22,1536,383,561,245,190,201,103,70,131,32,1914,465,680,265,235,268,143,80,165,33,2339,379,575,226,175,281,150,83,129,18,2021,187,288,71,50,138,89,39,50,18,944,38,64,18,5,25,20,4,8,10,190,6,4,0,6,3,0,0,0,0,19,1642,2611,1417,1151,1124,906,406,839,151,10240
UCL112005,0,14,101,112,13,172,25,144,11,594,33,51,190,202,65,113,57,149,15,876,147,212,433,345,163,178,187,263,26,1955,169,234,305,259,177,129,239,220,36,1765,206,182,240,239,205,125,266,250,34,1742,118,147,195,188,136,93,190,174,25,1272,25,44,27,43,36,29,43,44,15,301,4,4,4,4,5,0,5,0,0,27,5,0,0,0,0,0,0,0,4,5,708,884,1496,1390,801,846,1027,1248,161,8542
UCL112006,3,17,190,208,42,422,33,229,25,1170,90,226,356,360,157,186,59,183,39,1656,401,1174,818,885,527,405,251,528,98,5087,432,862,468,608,463,259,211,348,70,3723,451,617,349,455,480,218,217,258,60,3115,358,494,272,333,492,233,222,268,36,2718,114,159,93,78,130,79,75,77,6,820,34,11,7,10,17,7,8,12,13,121,4,0,0,0,0,0,0,0,0,13,1898,3568,2557,2940,2312,1808,1089,1913,343,18426
UCL112007,4,0,43,56,9,70,4,35,6,231,13,16,45,47,13,25,5,12,5,174,63,119,117,67,47,26,20,45,5,509,105,146,105,70,69,34,10,45,7,586,125,118,76,77,104,51,30,61,13,650,71,82,63,59,79,47,57,61,10,532,28,21,12,17,18,19,15,21,6,162,9,3,0,4,0,3,7,4,0,29,0,0,0,0,0,0,0,0,0,3,414,502,454,398,334,276,152,282,54,2873
UCL112008,4,4,68,83,18,185,9,100,11,484,32,38,86,118,29,73,16,67,8,468,93,242,181,206,92,89,30,97,9,1039,147,256,200,206,157,101,39,113,24,1254,161,254,191,252,171,148,70,167,32,1448,176,270,168,219,237,150,75,154,18,1477,62,125,45,57,70,47,34,55,12,502,15,9,9,9,14,3,3,8,10,70,3,0,0,0,0,0,0,0,0,9,692,1200,945,1161,787,796,271,763,128,6745
UCL112009,12,9,98,77,36,236,16,142,12,637,46,97,223,187,79,145,60,160,17,1007,218,448,458,401,241,189,170,280,54,2454,275,357,283,356,245,138,158,240,41,2102,241,291,233,355,286,118,198,228,46,1987,212,289,190,288,256,113,213,239,40,1834,68,104,42,54,61,36,60,45,7,479,14,17,6,8,7,4,0,6,3,60,0,0,0,0,0,0,0,0,0,4,1087,1605,1532,1719,1205,980,875,1342,220,10564
UCL112010,18,8,117,73,30,245,16,131,17,663,46,92,166,125,76,128,39,187,28,892,235,461,376,241,233,150,155,590,77,2521,298,365,284,214,206,123,153,463,64,2170,329,288,186,161,258,147,135,411,35,1939,288,197,196,137,235,111,149,312,29,1662,98,71,61,38,78,35,57,82,14,529,24,10,7,4,13,5,8,7,6,77,3,0,0,0,0,0,0,0,3,4,1334,1493,1396,1013,1129,941,707,2172,273,10459
UCL112011,7,4,91,81,12,160,37,136,14,549,40,77,206,193,67,130,73,135,18,933,173,279,526,335,323,188,264,311,42,2434,162,229,330,220,231,132,260,185,27,1783,134,167,270,229,235,107,262,232,28,1657,83,113,172,149,159,80,189,162,19,1135,13,26,22,32,20,13,26,39,3,194,0,0,0,0,3,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,615,907,1625,1238,1048,819,1107,1206,146,8714
