UCL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
UCL121085,0,0,0,4,6,11,0,0,0,27,0,0,4,5,0,3,0,0,0,13,4,22,8,3,4,5,0,0,0,46,31,43,21,14,21,6,6,6,0,135,18,30,18,15,16,6,3,5,4,125,9,35,13,10,15,5,0,0,6,92,10,12,0,3,5,0,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,134,59,64,64,39,14,16,8,466
UCL121086,0,0,3,0,0,4,0,3,0,13,0,0,5,7,0,0,3,6,0,22,4,6,10,12,0,0,6,7,0,40,0,10,12,9,8,3,13,4,0,54,9,9,10,8,6,3,7,10,0,68,4,14,9,8,9,0,8,10,4,58,7,0,3,5,4,0,4,0,0,35,0,0,0,0,4,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,27,40,52,51,21,14,43,45,6,298
UCL121087,0,0,3,6,0,7,0,6,0,18,4,0,11,3,5,3,0,0,0,19,6,10,13,6,3,8,3,10,0,62,4,0,10,10,7,3,7,11,0,54,3,8,8,3,3,4,6,5,0,44,0,7,8,11,12,0,0,14,0,54,0,0,3,4,4,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,45,45,29,26,17,44,3,267
UCL121088,0,0,10,0,0,4,0,6,0,23,0,0,10,4,3,3,0,12,0,34,10,7,13,9,6,11,7,3,0,63,6,3,13,7,7,0,8,10,0,63,11,7,9,3,8,6,9,10,0,63,5,3,8,4,3,8,5,10,0,44,0,3,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,55,33,25,37,32,53,5,304
UCL121089,0,0,4,3,0,0,0,8,0,27,0,3,10,6,0,0,0,3,0,25,14,9,4,10,9,0,0,4,0,60,16,25,19,8,14,5,3,9,0,97,8,27,15,12,7,3,5,4,0,84,18,18,14,10,10,4,3,11,0,100,5,4,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,58,87,82,49,52,27,23,34,0,411
UCL121090,0,0,6,8,0,12,4,20,0,57,3,3,8,3,0,5,0,11,0,31,0,4,11,0,6,3,0,6,0,29,13,9,15,12,13,9,3,4,0,72,28,16,11,12,17,8,6,10,7,120,9,17,14,9,8,10,9,10,6,88,3,5,0,0,0,3,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,58,72,42,46,51,27,57,9,418
UCL121091,0,0,0,0,6,11,0,7,3,25,0,0,3,4,0,0,0,0,0,19,4,9,12,3,0,6,3,5,0,43,8,14,4,9,6,3,3,6,0,53,5,21,14,13,13,3,5,6,0,76,13,24,11,12,14,8,7,5,0,96,3,0,7,4,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,75,53,54,34,33,26,34,5,332
UCL121092,0,0,5,0,0,5,0,4,0,19,0,4,12,10,8,5,3,8,3,62,17,26,44,13,21,11,21,10,6,161,22,7,22,15,18,8,14,10,0,115,15,17,23,5,18,12,10,6,4,124,13,10,14,3,11,3,16,3,0,78,0,8,4,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,63,129,59,74,54,71,43,13,576
UCL121093,0,0,7,0,0,8,0,8,3,31,5,3,7,7,4,8,3,12,0,40,9,14,41,19,18,7,17,22,5,145,15,17,21,15,12,0,19,10,0,101,11,11,16,5,12,10,22,16,0,107,0,3,9,10,4,0,7,10,0,52,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,49,106,61,56,33,65,80,7,486
UCL121094,0,0,0,0,0,0,0,5,0,4,0,5,4,9,3,0,3,0,0,14,4,4,3,6,0,0,9,3,0,33,3,4,0,10,0,0,0,5,0,32,9,3,6,8,3,0,5,6,0,44,8,6,5,17,6,3,4,11,4,63,0,10,4,0,3,0,0,3,0,16,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,26,26,24,44,19,10,25,32,5,217
UCL121095,0,0,4,5,0,4,0,5,0,26,0,0,3,0,0,3,0,7,0,17,4,8,7,7,4,0,4,3,0,40,21,18,14,7,6,6,7,4,0,80,18,25,5,12,13,0,7,0,7,88,16,13,7,0,12,0,6,5,0,71,5,6,7,0,0,0,4,0,3,20,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,67,75,45,31,36,18,35,23,13,351
UCL121096,0,0,7,5,0,8,0,8,0,28,0,0,0,5,0,0,0,3,0,9,3,11,4,13,4,0,0,0,5,39,10,22,6,0,3,0,0,0,0,54,13,20,6,3,6,10,4,5,0,64,9,24,10,20,6,6,0,3,3,87,5,9,4,5,3,0,0,4,0,26,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,44,89,38,39,24,33,4,25,7,301
UCL121097,0,0,3,8,0,3,0,7,0,20,0,0,4,0,0,0,0,4,0,11,0,6,9,6,0,3,0,5,0,30,5,28,6,0,7,0,4,4,0,62,14,35,15,4,5,4,5,10,0,90,4,21,8,10,11,5,3,4,0,64,0,7,5,5,0,0,0,5,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,89,44,38,29,20,15,35,0,304
UCL121098,0,0,3,0,5,9,0,4,0,27,0,0,0,3,3,4,0,4,0,22,3,16,5,3,3,3,0,0,0,40,14,19,14,7,12,0,0,3,0,69,28,38,12,14,23,9,0,11,0,132,18,29,20,8,20,4,4,8,0,108,0,10,10,3,11,8,5,0,0,49,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,66,116,61,42,76,39,14,37,0,450
UCL121099,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,3,4,3,11,6,4,3,7,5,0,34,0,9,10,16,5,3,8,0,0,53,5,4,4,5,8,3,3,11,0,51,6,9,5,8,3,5,8,14,0,54,6,6,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,41,32,22,12,30,28,6,224
UCL121100,0,0,5,8,0,14,4,9,0,36,4,0,9,6,0,7,0,0,0,26,9,14,16,10,3,3,3,11,4,65,23,39,17,19,17,5,0,8,0,130,24,30,11,13,17,6,7,10,0,120,10,25,4,8,18,9,5,0,4,85,3,15,3,4,7,0,0,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,117,71,62,59,44,24,43,5,498
UCL121101,0,0,4,9,4,4,4,5,0,32,0,0,13,9,0,7,4,8,0,43,0,10,16,10,12,8,4,9,0,66,11,15,21,8,18,3,6,12,0,87,17,12,27,10,15,12,11,11,4,117,14,12,18,16,4,5,16,15,3,96,3,3,6,4,3,0,3,0,0,22,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,50,56,102,57,53,43,41,53,15,465
UCL121102,0,0,0,3,0,8,0,0,0,11,0,0,3,6,0,0,0,0,0,9,0,9,12,3,4,4,0,7,4,40,10,20,13,11,4,5,6,17,5,80,12,36,10,16,5,6,0,0,4,89,22,11,13,11,10,5,4,9,0,82,7,10,0,4,3,0,0,6,0,32,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,49,82,48,50,29,26,13,40,11,351
UCL121103,0,0,0,8,0,3,0,12,0,23,0,3,9,3,4,3,3,3,0,35,0,12,8,11,5,4,6,11,0,49,6,19,13,7,5,0,12,10,0,73,6,14,13,19,5,5,9,22,0,96,8,15,13,14,11,8,9,17,0,87,4,0,3,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,31,65,63,65,28,26,34,66,4,384
UCL121104,0,0,0,3,0,4,0,12,0,22,0,4,10,3,0,3,0,0,0,21,5,6,18,5,7,3,0,5,0,49,8,10,8,12,0,4,4,3,0,54,10,10,12,8,5,6,3,10,0,66,11,7,6,11,12,0,9,0,0,57,4,0,0,0,3,0,0,6,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,40,54,52,28,15,19,41,3,297
UCL121105,0,0,0,0,0,4,0,0,0,3,0,0,0,9,0,6,0,0,0,13,5,9,4,8,0,0,8,7,0,39,3,4,0,7,0,0,4,4,0,25,8,6,0,4,0,0,4,10,0,32,3,10,4,6,7,5,3,11,4,50,0,4,0,0,0,0,3,0,0,13,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,17,23,12,30,13,11,23,39,0,178
UCL121106,0,0,3,0,0,4,0,7,0,21,0,0,11,8,0,9,0,0,0,23,3,25,11,6,8,0,0,10,0,61,12,13,7,4,4,3,0,4,0,50,11,17,13,16,15,6,0,9,0,88,6,22,8,18,18,10,13,8,0,97,3,11,3,6,6,7,3,0,0,38,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,37,87,56,52,59,33,16,38,6,382
UCL121107,0,0,7,4,4,5,0,5,0,18,0,0,12,5,0,3,0,7,0,26,4,8,19,9,3,10,9,3,4,70,9,6,14,9,11,6,7,8,3,67,5,6,21,14,10,3,4,18,3,81,10,11,10,14,12,0,13,5,0,83,3,4,0,4,0,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,43,85,51,39,28,37,42,11,365
UCL121108,0,0,4,0,0,10,0,3,0,26,0,4,4,9,0,3,0,4,0,19,7,14,15,8,4,3,4,6,0,76,5,10,12,7,0,5,6,4,0,61,6,18,9,18,10,0,3,10,3,72,7,13,3,15,8,4,11,11,4,70,3,5,5,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,61,53,66,27,34,25,35,9,342
UCL121109,0,0,0,9,0,7,0,5,0,26,0,0,8,4,3,6,5,0,0,21,3,6,0,5,5,0,0,3,0,29,4,11,7,3,0,3,3,5,0,40,13,24,5,8,5,3,0,5,4,63,11,15,0,6,0,3,0,9,0,49,6,9,0,0,4,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,61,26,31,23,26,10,21,10,238
UCL121110,0,0,5,5,0,17,0,6,0,29,0,0,3,9,0,7,0,8,0,28,7,21,10,13,3,8,6,12,3,86,7,15,16,14,4,4,4,12,0,88,9,4,4,11,16,4,9,14,3,82,0,6,4,3,0,8,9,11,0,47,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,51,49,58,34,47,30,62,9,373
UCL121111,0,0,3,0,0,0,0,3,0,6,4,3,3,0,0,0,0,0,0,19,7,14,9,6,7,3,17,6,0,76,7,4,3,10,5,3,0,8,0,38,11,8,0,6,5,3,4,3,0,38,5,9,7,10,0,0,10,14,0,51,4,4,0,3,0,3,7,6,0,25,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,36,39,34,35,15,16,42,38,6,249
UCL121112,0,0,6,0,0,7,0,6,0,20,0,3,10,5,0,5,6,4,0,34,7,13,28,14,8,0,4,6,0,88,4,17,14,10,9,6,11,5,0,70,16,11,13,6,11,5,4,4,0,76,0,9,7,8,11,3,12,9,0,66,0,0,5,0,0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,57,91,45,37,32,35,45,3,373
UCL121113,0,0,3,4,4,0,0,4,5,22,0,0,8,4,0,4,3,7,0,21,0,4,5,7,0,0,0,0,0,27,4,5,5,5,9,9,6,0,0,38,4,0,8,3,4,8,8,5,0,40,6,5,10,7,7,0,7,4,0,50,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,22,27,35,26,23,18,28,24,4,204
UCL121114,0,0,4,5,0,10,0,3,0,25,0,4,9,0,0,4,0,6,0,21,3,24,6,4,4,9,4,4,0,51,6,19,14,11,15,5,4,0,4,80,15,29,11,13,12,4,3,4,0,97,13,20,11,4,12,15,0,5,0,81,3,7,5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,99,52,40,47,35,13,27,3,374
UCL121115,0,0,5,0,0,4,0,0,0,12,0,0,5,0,0,0,0,0,0,12,5,4,8,8,0,4,0,3,0,35,7,6,4,5,3,0,0,4,0,38,3,6,0,9,5,0,4,9,0,36,9,17,6,5,3,9,6,4,0,70,3,4,4,3,4,0,0,5,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,31,48,40,31,18,24,8,29,5,220
UCL121116,5,0,10,16,4,15,5,14,0,54,5,3,8,11,4,7,3,0,0,48,3,12,13,6,6,0,3,5,0,61,14,20,24,14,18,8,13,11,0,109,29,37,29,8,21,9,12,4,4,147,15,19,17,5,11,3,18,3,0,93,3,7,3,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,95,103,56,63,40,55,42,3,529
UCL121117,0,0,3,4,0,9,0,6,0,22,4,3,5,8,0,3,0,8,0,31,3,11,23,6,12,3,0,6,0,64,6,4,18,11,5,5,8,8,0,55,9,5,10,13,10,7,7,8,0,62,3,4,11,7,6,6,3,18,0,69,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,64,43,27,30,22,56,3,314
UCL121118,0,0,7,0,0,6,0,0,0,16,0,3,4,4,3,5,0,7,0,23,4,16,7,3,0,0,0,0,0,34,5,10,15,6,8,0,0,0,0,54,12,9,8,11,14,8,15,4,6,85,6,3,3,0,5,0,6,3,4,42,4,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,49,41,34,36,22,19,15,4,258
UCL121119,0,0,0,4,0,8,6,3,0,29,0,3,10,4,0,4,0,8,0,30,4,8,10,5,14,0,7,4,0,49,12,5,9,9,9,10,5,0,0,68,12,11,19,15,20,0,5,9,5,99,9,10,9,12,13,6,14,7,0,78,3,4,0,9,3,0,3,4,0,28,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,46,42,48,54,65,33,36,45,8,378
UCL121120,0,0,0,4,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,11,0,6,0,7,5,0,0,0,0,15,0,0,0,3,0,0,0,0,0,10,6,9,0,5,0,0,3,0,0,29,3,3,4,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,3,23,15,8,5,8,4,96
UCL121121,0,0,0,0,0,5,0,3,0,6,4,0,8,4,0,5,3,0,0,25,7,16,10,4,4,0,13,8,0,60,8,10,10,0,4,0,0,9,0,44,0,4,6,11,11,8,7,3,0,47,0,15,5,7,5,3,7,7,0,46,0,4,0,0,4,3,0,0,0,15,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,17,44,40,25,33,24,29,26,3,248
UCL121122,0,0,0,3,0,7,0,4,0,14,0,0,0,0,3,3,0,0,0,15,0,10,15,9,7,0,0,5,0,49,7,21,21,13,7,3,5,0,0,77,3,15,9,8,8,8,4,8,0,65,10,8,8,6,6,3,9,6,0,55,4,0,0,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,56,55,36,39,22,15,26,3,283
UCL121123,0,0,0,7,0,4,5,7,0,24,0,0,6,5,3,4,4,6,0,32,0,8,15,10,4,4,3,10,0,54,3,9,8,9,3,0,4,9,0,51,9,10,7,9,10,10,0,16,3,72,5,0,4,9,7,0,3,9,0,37,3,0,0,0,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,27,28,45,45,29,20,24,47,7,281
UCL121124,0,0,4,3,0,0,0,4,0,8,0,0,3,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,16,4,3,3,3,0,0,0,5,0,17,8,10,7,3,5,0,3,6,0,44,3,10,8,3,5,5,0,11,0,47,0,3,0,6,0,4,0,4,0,23,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,19,23,18,14,12,6,37,6,170
UCL121125,0,0,0,8,0,6,0,4,0,23,0,0,7,0,0,3,0,0,0,16,5,5,4,12,3,3,0,5,0,40,0,10,7,8,4,3,5,3,0,52,3,8,12,6,5,9,4,11,0,62,3,13,8,14,8,6,7,9,0,78,0,5,4,3,0,0,6,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,40,44,47,23,26,19,50,9,286
UCL121126,0,0,5,7,0,3,0,7,0,23,0,0,0,0,0,0,0,3,0,13,0,0,4,11,6,4,3,11,0,46,8,7,3,0,7,9,4,5,0,52,14,6,10,16,5,6,3,9,0,72,5,3,0,4,11,3,6,8,0,48,5,3,0,0,3,0,4,0,0,21,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,35,27,28,37,37,24,26,53,4,270
UCL121127,0,0,4,4,0,7,0,13,3,33,0,0,8,5,0,5,0,8,0,28,9,9,13,3,8,4,7,4,3,66,6,13,17,5,4,5,13,11,0,77,6,10,20,10,10,0,9,10,7,79,3,0,0,5,8,4,6,8,0,44,4,0,0,3,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,67,42,48,27,34,52,12,350
UCL121128,0,0,17,11,0,13,0,7,0,52,0,0,13,12,5,10,6,9,0,51,7,15,21,14,17,9,7,3,0,93,12,15,24,8,15,4,10,11,5,100,18,21,18,9,11,9,19,11,0,116,6,11,17,10,16,3,15,15,0,88,4,3,3,3,3,4,4,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,68,112,60,68,52,54,57,6,529
UCL122001,0,0,0,4,0,0,0,3,0,14,0,0,5,0,0,5,0,0,0,13,3,0,7,7,0,5,4,0,4,28,0,3,3,7,3,0,8,4,0,27,3,0,9,4,3,3,7,4,0,35,0,0,0,0,3,0,3,0,0,15,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,22,18,14,13,19,14,6,131
UCL122002,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3,5,5,0,0,0,0,0,0,15,4,0,0,3,0,0,0,6,0,14,5,5,4,3,4,0,4,0,0,21,7,0,6,8,0,0,4,9,0,27,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,20,9,13,13,6,0,5,16,0,86
UCL122003,0,0,0,0,4,6,0,0,0,19,0,4,8,6,4,4,0,0,0,25,3,10,9,8,5,3,4,4,0,49,11,10,5,0,6,0,0,5,0,39,15,14,13,7,10,4,4,0,0,63,3,3,3,3,3,0,6,5,0,31,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,36,46,21,29,22,20,22,3,230
UCL122004,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,4,0,4,0,0,0,3,0,11,3,0,0,3,0,0,0,0,0,14,3,5,4,3,3,0,0,0,0,15,5,3,3,3,5,0,0,7,0,20,3,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,9,13,4,3,0,6,0,87
UCL122005,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,19,0,0,0,0,0,0,3,0,0,10,6,0,0,6,3,3,0,0,0,20,6,5,3,5,4,3,5,0,0,25,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,11,18,7,12,14,8,0,93
UCL122006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,11,6,0,0,0,0,3,0,19,0,0,0,0,0,0,0,5,0,17,4,0,4,3,0,0,0,6,0,20,0,3,4,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,11,12,9,5,3,19,5,86
UCL122007,0,0,0,0,0,0,0,6,0,6,0,0,3,0,0,0,0,0,0,11,0,0,0,6,3,0,3,9,0,15,0,0,3,4,0,3,0,3,3,21,0,5,7,5,3,0,3,8,0,31,5,4,4,10,0,0,0,16,0,37,3,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,12,23,14,8,16,32,6,130
UCL122008,0,0,0,0,0,3,0,4,0,10,0,0,5,3,0,0,0,0,0,13,4,6,16,0,3,0,0,0,0,38,3,0,0,0,3,0,4,0,0,15,3,3,5,3,6,0,5,0,0,25,0,0,6,3,5,0,0,9,0,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,31,14,18,7,12,20,0,138
UCL122009,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,3,12,0,4,8,7,3,4,0,4,0,32,3,5,6,5,4,0,3,0,0,33,4,0,3,0,0,0,7,5,3,29,3,0,4,3,0,0,5,3,0,18,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,32,22,11,13,19,20,8,137
UCL122010,0,0,0,3,0,0,0,3,0,14,0,0,3,6,5,4,0,4,0,21,0,7,3,0,9,7,3,5,0,30,4,8,0,0,7,0,4,4,0,29,6,4,9,7,10,0,6,9,0,47,4,8,5,4,6,9,6,4,0,37,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,28,22,18,29,20,17,21,0,171
UCL122011,0,0,4,6,0,6,0,0,0,11,3,0,6,5,3,0,0,0,0,25,0,4,8,5,0,0,0,3,3,35,4,3,7,6,10,0,0,3,0,30,0,4,11,8,6,7,9,4,0,45,12,10,9,0,9,0,9,3,0,46,0,5,4,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,30,43,30,30,16,28,17,6,209
UCL122012,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,5,0,3,0,8,0,3,0,0,3,0,0,19,0,0,0,0,4,0,3,0,0,19,3,4,0,3,0,0,0,0,0,18,0,3,0,0,3,4,8,3,0,30,0,5,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,12,12,10,9,17,17,3,105
UCL122013,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,7,8,0,4,0,0,0,0,6,0,13,0,0,0,0,0,3,0,0,0,14,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,9,3,3,0,8,0,47
UCL122014,0,0,0,0,0,0,0,3,0,5,0,0,6,4,0,0,0,0,0,8,5,0,4,3,0,3,3,3,0,20,3,4,4,0,3,0,7,4,0,25,4,4,5,6,8,0,0,4,0,31,9,0,0,4,3,0,4,4,0,29,6,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,23,20,21,4,17,24,0,134
UCL122015,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,3,0,0,4,0,0,0,0,14,6,11,7,0,0,0,0,0,0,21,0,8,4,0,5,0,0,0,0,22,8,9,0,0,0,6,0,0,0,25,3,0,0,0,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,28,30,11,4,16,7,0,4,0,112
UCL122016,0,0,0,0,0,5,0,0,0,4,0,0,3,0,0,0,0,0,0,4,3,8,8,5,8,4,0,3,0,37,0,5,8,0,4,0,0,0,0,15,4,3,5,0,0,0,4,3,0,25,3,3,5,3,4,0,5,0,0,23,0,0,0,0,0,0,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,25,12,17,8,10,13,0,129
UCL122017,0,0,0,4,0,5,0,3,0,6,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,19,3,8,3,6,4,3,4,0,0,31,6,0,4,3,0,5,4,3,0,28,8,3,3,3,3,4,0,5,0,33,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,25,18,16,21,11,9,7,15,4,128
