UCL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
UCL115135,121,13,130,303,90,17,411,1799,189,2398
UCL115136,14,0,20,510,82,9,606,984,58,1644
UCL115137,73,47,120,750,171,16,935,2142,208,3287
UCL115138,9,0,8,471,98,25,598,883,79,1559
UCL115139,90,20,115,276,120,18,419,1562,251,2225
UCL115140,29,0,29,147,64,10,225,754,71,1050
UCL115141,53,14,64,197,79,14,291,855,99,1242
UCL115142,69,3,82,160,92,7,260,1697,141,2103
UCL115143,50,13,59,356,144,25,524,1323,101,1946
UCL115144,100,13,115,314,143,27,482,1666,199,2354
UCL115145,22,3,26,173,81,5,264,913,76,1253
UCL115146,90,18,106,342,150,19,509,1743,120,2374
UCL115147,7,0,7,252,63,11,322,539,40,902
UCL115148,57,6,71,148,62,11,225,835,103,1172
UCL115149,0,12,12,105,30,3,137,440,489,1062
UCL115150,9,0,9,187,39,3,222,595,52,869
UCL115151,28,0,28,331,92,18,442,1108,73,1622
UCL115152,46,7,48,110,65,4,186,676,73,941
UCL115153,44,33,77,134,72,0,206,745,181,1137
UCL115154,33,4,41,214,59,10,282,767,167,1218
UCL115155,128,26,154,501,239,21,759,2387,494,3636
UCL115156,50,8,63,103,55,3,164,811,163,1142
UCL115157,38,5,45,157,73,5,239,795,102,1130
UCL115158,111,23,132,379,188,27,589,1400,194,2185
UCL115159,27,0,29,371,57,3,428,972,57,1458
UCL115160,10,0,10,830,97,20,943,1017,76,2040
UCL115161,124,31,154,659,245,39,944,2453,301,3702
UCL115162,50,7,52,534,159,17,721,1576,83,2373
UCL115163,110,3,117,305,114,12,436,1144,61,1640
UCL115164,41,4,44,150,48,8,209,901,69,1182
UCL115165,16,0,16,179,60,4,246,553,67,864
UCL121001,19,0,22,115,53,6,168,508,44,723
UCL121002,31,5,36,69,20,5,95,303,80,473
UCL121003,11,0,5,97,50,4,153,412,37,605
UCL121004,17,0,17,163,59,11,236,438,38,711
UCL121005,0,0,0,95,31,3,133,302,31,463
UCL121006,8,0,12,81,42,0,124,357,62,547
UCL121007,31,34,61,93,37,4,135,603,109,837
UCL121008,0,4,3,28,14,3,42,239,147,424
UCL121009,27,14,42,115,35,0,151,446,127,724
UCL121010,9,0,9,101,19,3,127,388,52,568
UCL121011,18,0,18,112,48,3,161,486,101,755
UCL121012,6,0,6,124,66,0,192,518,20,726
UCL121013,13,4,14,73,33,9,114,361,103,573
UCL121014,7,0,8,76,29,5,105,276,53,439
UCL121015,9,5,13,121,25,5,148,468,22,637
UCL121016,6,0,11,84,33,0,118,295,37,449
UCL121017,0,0,0,202,51,7,259,323,22,610
UCL121018,3,0,3,162,57,9,233,431,30,693
UCL121019,8,0,8,127,50,3,180,340,9,535
UCL121020,3,0,8,101,34,6,135,282,24,448
UCL121021,29,9,37,69,23,3,99,340,59,494
UCL121022,34,7,40,70,20,0,89,476,64,626
UCL121023,13,9,11,33,21,3,52,443,42,536
UCL121024,15,0,15,98,23,10,129,261,31,415
UCL121025,5,0,6,117,5,6,132,341,8,482
UCL121026,13,0,19,121,67,5,191,587,61,838
UCL121027,12,5,12,97,43,5,150,302,36,488
UCL121028,9,0,13,89,39,0,127,537,36,696
UCL121029,3,0,5,94,23,4,120,323,36,471
UCL121030,7,5,14,102,31,10,141,500,96,734
UCL121031,13,5,12,140,65,15,214,568,51,829
UCL121032,31,8,39,76,30,4,106,449,64,622
UCL121033,3,0,3,104,16,0,117,210,50,378
UCL121034,11,0,11,151,42,5,198,489,55,735
UCL121035,11,0,11,196,68,8,277,536,44,852
UCL121036,6,0,9,309,62,9,383,636,41,1055
UCL121037,9,0,9,106,54,7,161,478,25,669
UCL121038,24,4,25,58,33,6,98,320,75,495
UCL121039,4,3,8,133,39,3,174,343,78,594
UCL121040,0,0,0,91,37,0,137,251,26,409
UCL121041,17,0,17,67,42,6,106,363,33,502
UCL121042,16,0,15,56,37,3,89,374,33,499
UCL121043,5,0,7,159,14,3,175,326,9,511
UCL121044,9,3,11,76,28,4,107,256,71,436
UCL121045,10,0,8,55,17,3,70,360,19,453
UCL121046,3,0,4,120,18,15,154,210,12,377
UCL121047,9,0,9,138,27,3,171,266,25,464
UCL121048,3,0,3,77,19,7,104,294,13,415
UCL121049,4,0,3,103,23,0,128,312,64,506
UCL121050,41,7,47,28,35,0,70,489,62,622
UCL121051,43,9,54,99,45,6,162,571,61,792
UCL121052,21,0,24,82,49,0,133,532,65,731
UCL121053,18,7,29,87,33,0,121,422,75,620
UCL121054,4,0,4,133,47,0,181,453,9,642
UCL121055,7,0,7,112,35,4,154,347,32,535
UCL121056,14,0,15,132,57,10,204,481,29,713
UCL121057,3,0,3,113,48,4,167,385,14,564
UCL121058,19,0,19,307,131,17,458,1010,39,1511
UCL121059,11,0,15,104,44,0,151,333,29,508
UCL121060,5,0,3,157,89,8,247,516,26,789
UCL121061,8,0,8,122,35,8,164,224,27,420
UCL121062,7,0,7,169,28,3,206,512,12,733
UCL121063,28,3,29,38,35,7,73,503,41,615
UCL121064,27,0,27,84,38,0,128,410,34,572
UCL121065,23,6,26,94,42,9,142,589,57,792
UCL121066,15,0,13,77,34,10,116,259,29,409
UCL121067,55,4,58,88,57,0,145,506,54,705
UCL121068,35,0,40,270,101,20,391,1362,101,1856
UCL121069,3,0,3,166,34,5,206,376,5,582
UCL121070,5,0,5,78,24,0,109,317,20,443
UCL121071,15,0,19,72,35,7,114,279,29,419
UCL121072,8,10,15,150,37,6,193,363,78,625
UCL121073,19,5,25,74,31,0,103,430,64,600
UCL121074,15,0,15,71,25,0,94,396,15,507
UCL121075,46,67,115,47,25,0,74,394,126,602
UCL121076,14,0,14,199,49,6,253,507,67,833
UCL121077,12,0,12,141,51,10,195,321,48,569
UCL121078,7,0,7,123,43,8,171,355,10,536
