UCL_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
UCL101001,85754,139498,106134,621264,6959,959605,1403,4998,2507,54237,827,63974,505781,8422,14933,11827,3200,544163,25324,3838,2343,8797,254,40552,19029,6196,3827,11130,163,40340,284539,107095,77010,550116,7623,1026388,110695,3295,9135,2204,437,125762,19473,2689,2044,6609,131,30950,40151,9699,7047,46795,667,104363,65529,12142,6557,35001,639,119870,10917,2172,1214,3435,85,17823,223314,3736,2980,1870,475,232380,74436,27862,19194,215509,1663,338657,97866,24621,11694,67678,1091,202948,64392,670,1972,561,273,67867,103526,23907,10604,27417,723,166179,19752,2528,1533,4320,157,28287,21444,6499,3559,18309,267,50087,17996,3389,2157,1541,205,25288,17221,6069,4336,2967,175,30771,24322,3531,2923,7084,176,38036,20508,1652,1817,3041,153,27164,24078,3088,1348,879,301,29700,59465,24633,18181,157707,1209,261196,21905,2160,1493,2643,137,28334,22013,3165,2302,963,96,28537,30884,1830,1696,2848,223,37480,15890,943,749,618,58,18263,109243,2055,3507,2061,662,117526,9166,2393,1596,7788,71,21008,848213,55679,45473,56079,5378,1010826,44861,2797,2076,10118,221944,281804,2626223,298546,218121,1305289,250474,4698656
UCL102001,388,1422,1037,10466,69,13383,4,86,32,1315,26,1461,414,25,43,114,0,589,308,63,26,107,3,510,191,91,63,245,0,585,1750,1135,882,8651,93,12509,526,12,82,6,0,625,78,16,9,74,0,176,385,171,116,951,12,1627,241,38,18,162,8,468,98,26,11,42,3,186,879,11,21,7,0,921,388,273,242,3308,21,4239,691,192,76,744,9,1720,50,7,6,6,0,69,37,14,10,39,0,102,772,118,51,139,19,1092,109,43,25,138,0,320,166,65,46,27,0,310,114,66,44,23,0,253,191,42,35,112,0,378,87,17,14,45,0,168,86,28,7,5,0,120,482,295,215,2609,16,3623,276,46,30,48,8,403,86,21,12,4,0,120,96,13,14,43,0,165,35,12,7,4,0,63,87,0,4,0,0,93,85,32,14,112,0,247,3476,401,333,608,26,4849,169,18,19,151,1593,1944,10593,2721,1985,20377,1835,37511
UCL102002,2074,14624,10580,100944,1302,129523,72,768,460,13983,181,15470,3527,231,329,761,36,4892,639,189,97,421,12,1365,2046,704,449,1559,25,4784,24389,12953,9215,90552,1545,138656,2657,161,602,157,21,3592,933,183,183,861,7,2161,2670,879,607,6433,79,10665,987,316,145,962,13,2434,516,139,60,241,8,967,2808,188,117,180,7,3304,5643,2828,1797,28729,300,39297,2878,1186,497,4403,53,9013,979,14,61,21,3,1071,441,174,75,386,9,1080,98,23,15,44,0,178,1294,449,240,1444,24,3453,1194,521,220,361,19,2319,1261,825,545,521,9,3164,1079,263,184,551,15,2086,856,98,134,254,11,1352,245,189,23,22,0,491,5861,3010,2093,22895,202,34064,354,68,22,117,4,563,1172,215,212,102,9,1703,1130,99,113,355,6,1698,216,60,31,46,0,352,456,29,78,17,4,582,983,312,215,1042,12,2563,13730,3255,2426,4634,194,24231,764,169,124,1902,15214,18175,66467,25700,18191,196478,18427,325255
UCL102003,381,2491,2009,18025,287,23198,29,149,99,2606,22,2899,359,27,56,162,7,614,97,20,11,63,5,197,392,134,87,297,3,913,5471,2309,1697,18438,285,28205,467,20,115,31,4,631,209,35,30,175,5,455,669,183,153,1730,17,2755,86,61,23,166,4,345,80,17,13,20,0,126,366,17,21,26,0,434,1190,519,348,6573,59,8686,590,209,98,842,12,1749,49,0,9,0,0,58,24,17,0,59,0,103,14,7,0,11,0,30,125,44,28,124,0,322,307,98,57,59,5,529,364,151,127,67,0,707,197,44,43,90,0,374,74,22,20,37,0,164,59,21,15,4,0,105,1392,574,395,5097,44,7502,41,12,0,8,0,63,159,52,19,29,0,253,161,19,14,64,3,256,16,7,7,12,0,46,64,9,14,0,0,81,214,60,30,187,4,494,2240,545,503,1274,37,4604,131,36,26,385,3461,4034,12408,4594,3476,39091,4153,63721
UCL102004,1719,12508,9435,115691,1145,140499,53,625,295,15391,145,16504,4101,258,381,866,31,5634,695,183,65,404,9,1352,1557,756,436,1922,17,4683,14630,11444,8239,111694,1238,147240,1925,105,667,143,17,2861,551,167,141,928,15,1805,2603,1207,885,9769,90,14554,1144,383,160,1292,26,3001,359,128,49,261,0,795,3144,189,114,175,5,3628,3386,2439,1699,33106,207,40831,2604,1049,379,4630,59,8715,706,20,71,40,3,840,221,85,39,327,0,675,1643,257,128,690,9,2725,328,174,114,687,11,1321,616,343,221,272,17,1464,776,604,417,389,11,2197,1560,430,305,1349,19,3667,448,101,118,391,5,1062,444,219,71,83,9,815,4303,3272,2214,31212,188,41189,487,72,49,147,6,764,802,176,167,91,6,1238,624,98,75,339,6,1142,231,46,44,46,0,362,868,37,86,33,4,1033,792,461,290,2281,11,3834,14918,2960,2390,5289,177,25741,674,143,124,2224,13790,16956,55801,23334,16878,236021,16501,348539
UCL102005,2841,11878,8714,74819,918,99171,61,567,330,8920,132,10009,3958,130,194,446,30,4756,1693,313,177,737,25,2942,1950,779,475,1812,22,5041,18287,10426,7955,64285,891,101836,2021,122,516,150,19,2824,599,122,131,610,4,1465,3148,1035,846,5781,100,10913,2086,502,252,1566,24,4426,630,160,60,328,7,1191,2983,102,88,96,8,3279,3748,2092,1434,19900,177,27348,6629,1865,893,6425,132,15942,434,12,41,32,0,526,1288,348,238,470,15,2359,6425,790,424,1799,66,9497,1445,502,246,1598,26,3815,858,283,184,222,12,1557,758,463,346,285,13,1865,1257,278,193,759,15,2500,388,60,66,210,5,725,203,100,18,21,5,349,4953,2704,1931,16974,161,26720,2150,245,144,354,16,2914,539,196,113,57,0,912,1912,296,195,704,25,3131,221,38,24,46,0,327,1226,42,79,73,9,1421,1109,365,285,1073,10,2841,18852,3213,2455,4584,224,29335,1053,172,126,1188,11237,13766,79826,23079,16756,146791,13705,280153
UCL111001,316,1521,1051,17425,182,20487,8,72,32,1879,19,2008,306,17,30,95,3,443,100,38,14,69,4,222,349,143,83,363,4,937,1924,1354,935,16690,234,21132,442,26,80,24,6,576,57,19,14,130,3,223,478,239,143,3055,30,3957,133,41,12,150,5,344,83,25,6,53,0,167,838,31,20,10,0,897,382,357,213,6082,43,7074,264,149,45,839,7,1309,39,6,13,0,0,57,32,23,14,80,0,148,8,0,0,4,0,15,34,22,15,82,0,159,98,35,14,31,4,176,96,68,42,56,0,262,148,37,30,127,0,345,52,9,15,28,0,105,17,6,0,3,0,31,514,352,239,4629,39,5774,73,13,0,32,0,117,83,17,9,11,0,128,73,12,15,70,0,174,56,4,0,5,0,62,75,0,3,6,0,78,69,40,12,144,0,270,3098,331,265,733,50,4478,104,22,9,425,2664,3231,8599,2864,1937,37097,3176,53677
UCL111002,281,1754,1228,15757,203,19224,8,109,48,2880,36,3079,326,48,32,116,8,529,55,23,6,39,0,118,309,113,81,275,0,777,2948,1686,1079,15147,227,21088,309,12,60,14,3,406,125,24,15,145,0,311,418,143,106,1384,15,2065,63,26,12,67,4,175,84,14,9,25,0,133,433,20,22,32,0,507,625,360,208,4900,54,6145,318,151,60,661,3,1194,32,3,4,0,0,35,20,12,3,39,0,78,4,4,0,5,0,17,53,25,23,102,0,212,98,43,21,30,0,191,145,88,59,54,4,350,132,42,31,87,0,290,53,16,6,18,0,95,15,5,12,6,0,37,701,405,284,4098,37,5518,26,0,0,10,0,38,151,24,19,18,0,210,88,15,10,32,0,143,24,3,0,7,0,35,69,6,8,5,0,84,112,27,20,136,4,303,3409,388,328,696,49,4864,152,20,20,346,2961,3496,9515,3228,2186,32643,3494,51069
UCL111003,359,2853,2139,33984,260,39600,32,194,108,6252,66,6659,627,34,59,182,3,904,81,40,13,84,0,210,328,175,111,512,3,1124,3128,2599,1849,30800,283,38659,645,27,218,70,0,966,91,27,17,179,4,318,496,254,176,2935,21,3882,93,57,17,196,0,362,53,29,10,83,0,176,876,36,7,46,3,979,633,429,343,8049,43,9496,279,155,67,900,6,1405,114,4,7,4,0,132,36,26,3,60,0,129,36,19,0,65,0,126,82,39,39,192,5,351,237,103,36,115,0,496,192,148,97,124,4,576,336,75,56,398,9,864,79,10,19,83,4,191,102,54,21,31,0,207,876,641,475,7321,26,9341,39,15,8,26,0,83,221,46,22,26,0,318,118,26,13,80,0,230,35,14,19,12,0,76,111,7,9,0,0,128,140,90,67,422,0,715,2801,587,467,1256,31,5134,141,54,15,709,3049,3971,10829,5079,3680,66342,3662,89597
UCL112001,99,586,471,6040,56,7254,6,37,12,1655,50,1757,292,14,22,66,0,395,11,4,0,11,0,23,88,44,25,74,0,242,774,537,403,5674,73,7462,160,0,28,5,0,187,44,20,4,42,0,116,163,59,33,697,5,958,18,3,9,32,0,60,23,3,0,16,0,47,253,0,3,4,0,261,175,115,87,2133,20,2531,58,33,11,152,0,249,22,0,0,0,0,22,16,9,4,28,0,49,0,0,0,0,0,0,11,7,3,27,0,35,42,16,13,11,0,81,41,31,20,14,0,108,27,8,3,25,0,67,20,5,6,12,0,47,13,8,4,0,0,21,240,142,110,1849,14,2352,14,3,0,6,0,19,47,6,18,4,0,79,48,0,4,15,0,65,47,7,3,0,0,56,89,0,4,0,3,92,32,17,14,70,0,124,2103,183,161,287,14,2747,51,3,5,115,2018,2190,4237,1074,829,12957,2219,21312
