UCL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
UCL113009,148,126,280,464,416,880,28,40,64,77,70,150,569,524,1090,260,250,507,96,84,182,58,63,122,416,399,814,14,20,34,12,21,33,61,30,92,30,103,136,0,0,0,117,175,295,44,76,120,11,38,52,3,16,24,46,83,127,0,0,0,109,207,322,228,392,614,13,8,22,12,23,34,0,0,0,24,36,57,144,137,286,1530,1608,3138
UCL113010,156,129,287,389,373,759,143,144,284,4,0,7,539,518,1056,216,233,451,107,108,214,3,5,13,328,351,678,19,14,34,9,12,24,66,44,112,69,125,193,0,0,0,165,199,359,6,32,35,11,37,48,9,12,17,44,83,120,0,0,0,63,161,224,232,355,586,10,10,21,25,32,61,0,0,0,33,44,79,325,339,662,1605,1737,3343
UCL113011,147,139,284,394,361,752,135,82,215,42,48,93,573,493,1069,277,253,531,83,87,173,19,27,44,385,360,740,11,16,25,9,26,39,69,53,121,36,86,125,0,0,0,125,180,307,9,23,40,13,26,32,8,16,22,26,54,84,0,0,0,53,121,178,184,308,492,5,0,10,17,42,55,0,0,0,27,47,70,386,339,726,1689,1684,3377
UCL113012,108,124,227,309,291,602,82,86,167,86,89,173,473,464,941,287,316,600,47,47,92,88,90,188,422,459,881,17,8,24,14,23,39,62,26,92,45,90,141,0,0,0,142,153,294,50,79,127,31,36,63,9,18,24,38,91,135,0,3,3,123,228,355,265,378,645,10,3,9,13,25,36,0,0,0,25,30,52,364,396,761,1659,1849,3508
UCL113013,157,150,308,494,441,940,126,113,244,37,31,62,656,586,1248,408,384,793,57,66,129,28,29,52,498,477,980,22,22,39,12,18,34,59,42,100,53,91,147,0,4,4,139,178,314,47,57,106,19,52,68,11,22,33,32,73,108,5,0,8,111,208,322,255,385,637,14,11,21,18,27,45,6,7,11,35,44,82,447,433,887,2056,2073,4133
UCL113014,173,181,356,461,478,939,169,164,328,53,59,112,687,700,1389,314,310,619,107,90,200,57,49,108,480,448,930,12,17,28,16,23,42,90,50,144,79,133,212,5,0,5,201,223,422,36,57,92,16,41,60,12,19,34,33,92,124,0,0,0,100,211,315,300,434,732,18,13,30,31,48,78,0,0,0,52,62,117,364,325,695,2056,2154,4209
UCL113015,124,91,209,339,310,648,15,14,33,19,15,26,371,345,711,243,234,479,30,39,64,26,21,44,292,298,588,6,22,27,9,14,30,40,28,71,40,83,119,0,0,0,98,145,240,12,33,41,10,36,44,5,8,9,14,38,57,0,0,0,44,111,152,140,255,395,11,6,18,9,21,31,0,0,5,24,29,48,361,344,711,1311,1357,2673
UCL113016,163,180,340,507,471,981,114,92,207,107,102,203,725,669,1390,325,351,682,89,82,173,70,91,162,491,528,1018,25,40,65,14,45,56,67,72,138,52,144,192,0,0,0,151,300,451,23,40,66,19,43,65,9,18,28,33,66,96,0,0,0,87,171,254,236,470,704,11,4,19,15,29,42,0,0,3,26,38,60,758,811,1568,2401,2691,5092
UCL113017,156,127,286,442,425,869,32,35,70,0,9,8,482,470,951,373,364,738,12,13,24,11,16,26,402,387,785,15,13,23,6,21,31,62,22,84,34,80,111,0,0,0,121,138,260,18,41,59,16,34,47,4,6,7,18,77,99,0,0,0,60,165,224,181,307,485,5,11,8,12,26,36,0,0,0,15,36,52,428,429,853,1668,1743,3412
UCL113018,26,18,41,51,68,119,25,19,41,0,0,0,77,85,158,37,33,70,15,30,42,0,0,4,50,68,119,0,4,4,0,0,0,9,5,11,3,7,18,0,0,0,15,13,33,6,12,20,0,3,3,0,0,0,3,0,5,0,0,0,3,20,28,21,32,57,0,0,3,3,7,6,0,0,0,3,6,9,96,107,201,277,312,594
