UCL_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
UCL101001,8056,2587,16482,8506,8384,5449,3658,5063,754,58936,142,193,171,176,237,174,169,313,47,1618,4598,6509,2096,2351,3932,1755,1941,1492,824,25495,3690,4593,3823,2881,4139,2265,2645,2972,7761,34776,283106,621105,166911,142456,215057,90950,57598,64800,29552,1671544
UCL102001,80,37,216,92,154,53,29,61,7,738,3,0,0,0,4,0,0,0,0,13,66,74,20,39,37,13,17,12,12,297,37,43,49,37,51,12,14,21,63,331,2615,3917,1996,1570,2228,627,491,640,302,14383
UCL102002,630,212,1581,947,714,555,301,545,54,5546,15,14,10,17,12,10,5,17,4,97,158,254,171,142,180,74,96,110,45,1247,229,228,352,289,289,186,208,242,374,2377,12912,26656,15631,13510,12299,5356,3680,5318,1410,96767
UCL102003,158,39,442,244,143,130,41,158,16,1371,0,0,3,7,3,0,0,3,0,17,22,48,25,30,24,16,8,21,10,196,60,51,97,69,56,38,42,82,86,582,2329,4865,3110,2710,2002,1077,591,1234,320,18240
UCL102004,597,210,1999,1096,770,547,279,533,56,6088,4,10,8,13,21,15,5,13,0,90,189,318,182,173,204,81,129,108,42,1425,237,251,414,309,247,189,206,272,407,2522,15120,40908,18411,14964,14431,5520,4593,5161,1507,120609
UCL102005,499,136,1300,808,587,383,261,441,46,4467,6,4,0,12,6,9,6,5,3,66,155,237,137,135,156,49,109,97,38,1121,158,163,286,230,203,125,185,234,321,1894,11164,27145,14682,12242,11044,4319,4321,4638,1309,90862
UCL111001,129,26,392,220,126,94,80,107,8,1188,5,4,0,8,4,9,4,6,0,33,31,37,30,36,18,10,28,32,6,225,41,31,78,51,29,25,38,72,65,424,2145,4675,2833,2527,1993,916,818,987,243,17133
UCL111002,123,25,353,218,119,121,34,131,13,1139,0,0,3,0,0,3,0,6,0,23,21,34,19,23,19,11,12,31,9,178,45,36,64,57,44,33,17,74,65,439,1740,4178,2128,2307,1855,959,424,1014,200,14811
UCL111003,160,52,555,371,222,194,145,183,19,1903,0,7,0,3,0,7,6,7,0,28,37,35,52,41,40,17,58,29,9,339,53,44,95,88,64,35,97,112,115,712,3168,6635,5477,4227,3552,1475,1920,1580,400,28431
UCL112001,33,8,135,44,22,37,6,37,0,328,0,0,0,0,0,0,0,0,0,9,12,26,3,13,12,3,3,7,0,86,12,20,25,17,17,3,10,15,21,133,813,2247,798,883,723,299,168,474,80,6490
