UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL112002,153,765,180,297,10,1702,228,128,760,424,741,58,2336,11,4,45,22,41,3,129,16,8,61,61,327,3,473,18,0,39,35,160,55,309,877,438,2989,1648,5103,307,11366
UCL112003,170,657,167,172,25,1768,321,154,749,340,419,36,2021,58,21,92,45,65,6,288,30,10,83,62,171,3,354,20,4,68,53,111,46,307,1620,582,3177,1634,3014,248,10275
UCL112004,101,387,98,119,18,969,243,79,503,247,236,44,1354,16,10,35,28,32,5,126,14,6,40,47,144,6,258,34,7,65,53,72,23,259,1001,352,2369,1271,2335,260,7579
UCL112005,37,164,51,138,7,433,33,24,181,194,520,30,983,0,0,9,17,34,3,63,0,3,16,45,221,4,286,3,0,13,21,99,25,167,135,98,708,787,3360,185,5265
UCL112006,130,656,183,314,25,1495,427,153,1115,543,852,92,3186,11,4,40,27,95,8,189,19,3,39,67,364,21,515,33,8,48,35,191,67,384,1181,459,3301,1779,5331,451,12498
UCL112007,31,118,21,24,0,215,37,44,110,68,89,8,353,0,0,4,3,19,0,30,0,0,10,19,44,0,77,0,0,8,14,27,8,54,92,92,468,292,826,58,1830
UCL112008,45,234,65,114,8,516,84,46,313,209,475,70,1200,0,0,13,6,35,3,63,3,4,12,28,152,6,204,4,6,21,26,76,32,167,212,146,919,756,2202,246,4486
UCL112009,73,284,102,132,3,693,126,87,422,304,495,34,1474,8,0,12,5,32,0,52,8,0,23,39,228,10,311,8,0,13,28,128,31,209,405,280,1312,1173,3394,229,6786
UCL112010,54,297,68,106,7,597,87,48,344,213,283,28,1011,3,0,11,10,23,0,49,3,0,21,43,198,4,269,10,0,44,27,120,63,272,406,156,1548,923,2741,320,6091
UCL112011,45,148,60,115,0,405,27,36,239,218,574,31,1135,0,0,5,7,20,0,33,0,0,7,39,239,4,293,4,0,13,13,143,33,208,112,119,745,762,3518,168,5425
UCL112012,130,509,131,210,9,1171,221,134,770,414,769,46,2358,6,0,34,10,35,0,86,13,3,52,58,252,6,383,14,4,41,32,113,39,250,615,367,2170,1197,3588,238,8182
UCL112013,12,43,19,22,6,114,12,7,45,32,38,4,136,0,0,0,0,7,0,8,0,0,3,5,23,0,33,4,0,4,4,20,7,32,30,23,166,154,356,28,763
UCL112014,47,303,83,120,17,731,106,66,418,282,521,47,1447,6,0,12,17,31,0,62,19,3,53,44,224,8,347,13,4,29,27,122,38,228,448,195,1295,1013,3104,188,6243
UCL112015,89,272,111,199,10,792,184,108,599,379,805,71,2141,5,0,23,6,52,0,93,5,5,33,72,285,12,406,12,6,43,36,157,53,301,534,301,1739,1463,4506,328,8879
UCL112016,131,731,194,273,29,1580,455,171,1157,540,912,68,3316,3,3,24,16,33,0,84,17,7,73,86,391,12,587,10,7,48,34,165,65,325,1173,492,3596,1984,5444,365,13055
UCL112017,157,853,245,300,28,1883,464,173,1342,599,1151,101,3827,14,3,36,30,65,0,151,24,12,61,102,383,11,588,16,3,55,59,178,75,382,1188,548,3843,2360,5860,446,14239
UCL112018,114,487,169,215,15,1148,262,125,792,423,781,61,2443,0,0,19,10,46,3,85,9,8,35,61,341,21,474,14,0,20,29,163,48,283,661,351,2301,1418,4565,399,9705
UCL112019,210,955,263,398,38,2225,419,226,1366,628,1032,99,3774,8,0,38,21,42,3,107,18,15,93,116,524,13,782,17,6,70,45,273,73,495,1218,661,4201,2268,6896,509,15753
UCL113001,73,284,68,112,11,630,148,57,416,214,392,35,1263,11,6,13,7,24,4,62,3,6,33,41,136,6,231,0,5,26,15,66,22,136,350,200,1340,794,2168,191,5035
UCL113002,39,72,31,45,12,232,47,26,134,98,244,28,578,4,0,10,3,11,0,32,4,4,5,24,93,0,129,3,0,15,4,58,27,106,136,103,453,453,1474,148,2759
UCL113003,49,220,59,118,13,529,91,80,335,224,444,34,1201,0,0,3,10,28,0,47,0,0,8,26,155,10,201,0,0,17,9,68,32,123,217,188,801,644,2370,181,4402
UCL113004,31,155,40,35,9,343,121,31,262,91,68,16,595,5,0,32,16,22,3,89,11,4,32,23,62,9,137,16,4,123,30,51,40,270,448,127,1602,681,986,184,4024
UCL113005,48,182,74,121,12,472,60,52,235,183,442,23,994,3,0,11,4,34,4,54,12,0,12,19,152,6,206,3,0,12,17,81,22,134,156,132,729,594,2286,142,4039
UCL113006,18,76,32,77,5,223,20,24,127,115,281,31,597,0,0,3,0,7,0,13,0,0,8,8,64,0,84,0,0,3,6,41,25,80,46,54,328,290,1133,120,1965
UCL113007,89,332,87,88,7,777,142,72,375,158,158,9,920,0,4,15,11,15,0,51,3,4,19,34,91,0,153,14,4,36,22,50,16,135,537,272,1538,861,1649,116,4972
UCL113008,27,91,27,63,5,244,24,26,130,76,176,23,452,0,0,8,4,23,4,38,0,0,14,11,93,5,122,0,0,9,15,51,15,87,120,86,470,394,1501,102,2672
UCL113009,25,123,41,62,3,289,28,30,156,132,236,14,589,0,0,7,0,13,3,25,0,0,12,13,131,0,158,0,0,14,20,56,19,109,149,100,588,664,1807,90,3389
UCL113010,40,200,37,69,11,402,49,31,164,100,179,19,535,0,0,10,3,18,0,38,4,0,15,28,135,3,180,3,0,11,8,54,17,84,194,103,779,504,1969,129,3673
UCL113011,27,112,25,60,4,259,15,23,85,73,154,16,369,0,0,3,0,11,0,24,0,0,5,16,121,5,149,3,0,8,9,64,17,103,94,76,429,391,1861,113,2971
UCL113012,39,163,61,73,8,409,62,32,181,145,217,29,664,4,5,13,10,25,0,56,3,0,18,30,102,3,161,5,0,19,26,66,12,131,288,141,877,784,1703,150,3936
UCL113013,24,108,50,89,3,312,27,29,132,142,332,15,674,0,0,4,10,19,0,31,7,0,16,24,146,0,192,0,0,9,10,72,26,120,113,72,464,575,2078,138,3442
UCL113014,27,145,47,93,7,352,28,22,131,108,256,12,557,0,0,5,3,21,0,27,4,3,17,22,168,5,217,5,0,10,13,95,28,143,190,96,724,598,2668,143,4412
UCL113015,24,89,41,52,0,240,25,16,138,106,236,26,541,0,0,8,6,11,0,27,0,0,3,15,109,5,128,0,0,8,6,51,9,79,98,64,383,420,1491,105,2556
UCL113016,33,145,52,108,6,383,103,48,301,214,493,58,1219,0,0,0,0,16,3,25,10,0,13,26,148,3,204,5,0,6,17,62,28,124,176,111,645,563,2097,179,3775
UCL113017,56,195,48,77,11,452,53,37,190,118,190,14,605,0,0,8,11,15,0,39,7,0,23,21,112,5,161,0,0,13,24,65,21,116,228,142,809,562,1810,149,3703
UCL113018,4,25,4,4,0,49,3,0,31,34,38,0,108,0,0,0,0,6,0,4,0,0,0,4,21,0,26,0,0,0,0,16,3,24,15,17,90,100,341,31,588
UCL114001,26,107,22,33,0,223,40,19,127,73,131,12,408,0,0,6,4,9,0,18,3,0,6,12,47,4,74,0,4,6,5,16,11,43,109,69,397,250,612,52,1492
UCL114002,10,77,23,58,4,189,17,12,94,60,142,16,336,0,0,4,3,3,0,7,0,0,3,7,56,0,73,0,5,3,3,24,13,52,64,44,270,206,830,69,1481
UCL114003,6,78,33,73,5,205,16,12,78,61,246,24,441,0,0,5,0,13,0,22,5,0,0,13,69,3,94,3,0,0,6,46,19,73,53,33,285,227,1238,110,1947
UCL114004,31,78,31,44,5,217,25,21,82,42,90,4,270,0,0,6,6,8,3,18,4,0,8,8,55,0,71,0,0,4,9,29,11,66,154,75,452,313,878,75,1938
UCL114005,9,61,24,29,3,142,6,13,47,55,115,20,261,0,0,0,6,6,0,13,0,3,3,8,36,6,52,0,0,3,3,35,13,50,31,38,191,194,702,72,1232
UCL114006,21,64,16,32,0,147,10,18,53,51,103,3,240,0,0,0,6,8,0,8,0,0,7,14,54,0,77,0,5,6,8,31,7,51,44,51,225,209,799,43,1378
UCL114007,20,102,32,58,3,241,13,20,91,89,185,25,419,0,0,5,0,3,4,14,0,0,3,5,72,6,92,0,0,0,4,44,13,56,58,56,317,264,1053,136,1890
UCL114008,25,100,21,41,3,200,28,18,101,81,125,20,378,0,0,8,3,3,0,16,0,0,8,12,51,0,76,3,0,10,3,25,17,50,77,70,350,265,851,84,1697
