UCL_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
UCL122057,0,0,0,0,0,0,0,0,8,0,8,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,4,3,5,18,12,40,5,84
UCL122058,8,6,0,5,0,13,0,0,5,8,9,0,21,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,3,7,10,13,17,61,0,105
UCL122059,0,8,3,11,0,17,0,0,3,11,7,0,31,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,7,20,20,81,9,136
UCL122060,0,6,0,9,0,7,0,0,3,4,6,0,16,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,4,0,0,0,6,0,0,14,9,55,5,82
UCL122061,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,7,0,20
UCL122062,0,0,0,4,0,6,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,12,8,51,8,82
UCL122063,0,3,0,3,0,11,0,0,3,3,7,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,4,0,4,0,4,0,0,9,9,44,4,75
UCL122064,0,3,0,5,0,8,0,3,4,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,5,0,3,6,3,26,8,45
UCL122065,0,14,6,6,0,23,4,0,13,0,9,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,3,31,9,42,4,101
UCL122066,0,8,0,3,0,17,0,0,6,7,3,0,21,0,0,0,0,0,0,0,0,0,0,6,9,0,17,0,0,0,0,0,0,4,8,4,23,25,82,3,145
UCL122067,0,8,5,4,0,16,0,0,11,10,13,4,38,0,0,0,0,3,0,4,0,0,0,0,5,0,5,0,0,0,0,0,0,4,7,0,28,26,63,3,126
UCL122068,3,4,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,8,0,9,0,21
UCL122069,0,4,0,0,0,9,4,3,6,0,0,0,15,0,0,0,0,5,0,4,3,0,0,0,5,0,5,0,0,5,0,0,0,9,11,11,41,7,22,5,104
UCL122070,0,4,4,0,0,7,0,0,15,0,11,0,34,0,0,0,0,0,0,3,0,0,0,4,3,0,9,0,0,0,3,3,0,10,14,4,44,28,58,3,152
UCL122071,0,4,0,0,0,7,0,0,7,0,12,0,18,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,5,0,4,5,3,16,13,63,3,96
UCL122072,0,0,0,0,0,6,0,4,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,14,11,43,5,77
UCL122073,0,0,0,4,0,4,0,0,0,0,5,0,9,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,9,36,3,67
UCL122074,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,3,6,23,9,35
UCL122075,0,5,5,4,0,16,6,3,5,7,0,0,16,0,0,0,0,0,0,4,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,5,25,25,37,3,97
UCL122076,0,4,0,0,0,15,0,0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,4,3,14,12,35,4,68
UCL122077,0,0,0,4,0,3,0,0,0,6,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,38,0,59
UCL122078,0,7,3,0,0,14,0,0,4,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,4,0,7,4,8,28,21,19,0,81
UCL122079,0,3,0,0,0,11,3,5,11,10,8,0,33,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,7,34,11,34,0,107
UCL122080,0,3,9,4,0,25,0,0,4,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,6,0,9,14,4,22,30,80,0,157
UCL122081,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,5,38,0,56
UCL122082,0,0,0,0,0,0,0,0,0,0,11,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,5,20,0,38
UCL122083,0,9,4,4,0,13,0,0,7,3,5,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,6,15,16,64,4,113
UCL122084,0,0,0,3,0,5,0,0,0,3,0,0,7,0,0,0,0,3,0,4,0,0,0,0,0,0,6,0,0,0,0,3,0,3,0,0,10,6,28,0,44
UCL122085,0,5,0,0,0,13,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,8,25,3,42
UCL122086,3,6,4,3,0,15,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,11,9,17,3,50
UCL122087,4,3,0,4,0,10,0,0,3,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,12,7,28,4,55
UCL122088,0,0,0,3,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,0,3,10,3,28,0,48
UCL122089,0,4,0,9,0,11,0,0,3,9,17,0,26,0,0,0,0,0,0,6,0,0,0,0,4,0,4,0,0,0,0,4,0,4,0,4,16,14,95,9,139
UCL122090,0,9,0,0,0,13,5,0,11,4,5,3,29,0,0,0,0,3,0,3,0,0,0,0,14,0,12,0,0,3,0,4,0,13,24,6,50,27,70,9,188
UCL122091,0,0,0,4,0,7,0,0,0,0,12,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,11,13,44,0,72
UCL122092,0,6,0,0,0,17,5,0,8,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,0,0,0,0,0,0,11,0,28,19,59,0,122
UCL122093,5,12,3,3,0,21,0,0,11,5,6,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,26,16,34,6,84
UCL122094,0,7,0,5,0,14,0,0,3,7,5,0,14,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,19,15,52,4,90
UCL122095,0,10,0,0,0,10,0,0,0,3,8,0,14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,13,8,43,3,73
UCL122096,0,0,0,0,0,4,0,0,0,3,5,0,5,0,0,0,0,4,0,4,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,6,0,9,40,0,54
UCL122097,0,0,0,0,0,0,0,0,4,5,10,3,18,0,0,0,0,4,0,4,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,4,10,43,5,65
UCL122098,0,9,0,9,0,18,0,0,6,12,6,0,26,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,0,0,0,0,4,9,3,20,20,39,0,90
UCL122099,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,5,9,6,27,3,58
UCL122100,0,0,0,3,0,12,0,0,9,10,11,0,30,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,4,7,4,34,24,56,11,123
UCL122101,0,3,0,4,0,11,0,0,12,4,15,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,3,27,17,75,3,133
UCL122102,0,0,4,0,0,11,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,25,0,57
UCL122103,0,0,0,3,0,5,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,43,9,61
UCL122104,3,8,0,3,0,19,0,0,7,0,5,0,21,0,0,0,0,0,0,0,0,0,3,0,5,0,13,0,0,3,0,4,0,5,9,3,36,24,65,5,146
UCL122105,0,5,3,0,0,19,8,0,10,4,0,0,22,0,0,0,0,0,0,5,0,0,0,0,3,0,5,0,0,0,0,4,0,4,39,14,39,22,33,6,149
UCL122106,0,0,5,0,0,4,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,3,0,7,0,0,3,9,38,3,58
UCL122107,0,3,0,0,0,15,0,0,0,5,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,5,0,6,8,0,13,21,84,9,132
UCL122108,0,0,6,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,8,17,6,50
UCL122109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,5,14,0,53
UCL122110,0,10,6,6,0,21,0,0,13,4,5,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,39,26,60,9,136
UCL122111,0,10,0,0,0,20,4,0,4,0,0,4,15,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,4,17,3,38,27,54,4,149
UCL122112,0,6,0,4,0,9,0,0,3,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,5,0,0,0,3,8,3,15,13,36,8,78
UCL122113,0,3,0,0,0,3,0,0,3,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,15,8,37,6,63
UCL122114,0,5,0,0,0,8,0,0,7,0,5,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,3,10,5,6,18,14,25,3,68
UCL122115,0,0,0,0,0,8,0,0,3,3,4,0,14,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,4,0,3,0,5,7,5,13,17,44,0,78
UCL122116,0,4,0,4,0,11,5,0,8,5,4,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,12,4,20,14,24,4,81
UCL122117,4,3,0,7,0,14,0,0,5,0,14,0,24,0,0,0,0,0,0,0,0,0,0,3,12,0,15,0,0,0,0,4,0,4,0,6,25,21,110,0,161
UCL122118,0,0,0,0,0,6,0,0,4,4,9,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,5,4,14,12,69,5,102
UCL122119,6,5,3,0,0,15,0,0,0,7,0,0,11,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,3,0,0,6,3,5,15,9,31,17,44,5,116
UCL122120,0,7,6,8,0,19,0,0,11,5,15,0,26,0,0,0,0,0,0,3,0,0,0,0,6,0,6,0,0,0,0,6,0,5,5,0,25,15,88,0,144
UCL122121,0,0,0,6,0,9,0,0,3,0,13,0,24,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,3,0,4,6,12,17,46,4,90
UCL122122,0,14,8,5,0,31,3,0,5,4,4,0,21,0,0,0,0,0,0,0,0,0,3,0,4,0,13,0,0,0,0,3,0,6,26,9,55,36,54,4,189
UCL122123,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,32
UCL122124,0,3,0,4,0,13,0,0,7,0,4,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0,0,0,0,0,0,0,20,12,46,22,37,3,138
UCL122125,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,15,0,38
UCL122126,3,13,0,0,0,21,5,0,5,4,5,0,18,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,0,0,5,15,8,45,31,52,0,147
UCL122127,0,0,0,0,0,9,0,0,7,7,12,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,0,0,6,0,9,13,43,3,84
UCL122128,0,0,0,7,0,5,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,6,48
UCL122129,0,4,3,4,0,15,0,0,7,0,10,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,8,19,16,49,0,93
UCL122130,0,0,0,0,0,7,0,0,4,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,13,0,0,0,0,0,0,0,4,0,10,10,25,5,49
UCL122131,0,0,4,0,0,5,0,0,0,0,0,0,5,4,0,11,3,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,4,34,27,50,4,132
UCL122132,0,0,4,0,0,7,0,0,0,8,10,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5,3,3,0,6,0,11,30,7,57
UCL122133,0,0,0,0,0,5,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,9,18,4,30
UCL122134,4,5,0,0,0,15,6,4,7,3,5,0,24,0,0,0,0,0,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,5,9,30,33,62,7,154
UCL122135,0,3,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,7,3,0,10,10,30,0,62
UCL122136,0,0,0,0,0,5,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,4,17
UCL122137,0,3,0,0,0,6,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,12,6,25,3,45
UCL122138,0,4,5,0,0,13,0,0,3,9,6,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,6,0,20,14,37,6,76
UCL122139,0,0,0,0,0,0,0,0,9,3,11,0,21,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,10,10,42,10,62
UCL122140,0,3,4,0,0,14,0,0,3,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,3,0,13,12,18,0,45
UCL122141,0,12,5,9,0,22,3,0,8,7,13,0,33,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,5,5,3,5,27,23,89,3,158
UCL122142,0,0,0,0,0,5,3,0,9,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,4,12,9,27,0,56
UCL122143,0,6,0,0,0,10,0,0,3,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,0,19,12,21,3,58
UCL122144,0,5,0,3,0,12,0,0,5,0,10,0,23,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,3,3,8,16,58,0,93
UCL122145,0,0,0,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,9,23,0,30
UCL122146,0,0,0,0,0,3,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,6,6,3,9,5,21,7,45
UCL122147,0,0,0,0,0,5,0,0,4,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,0,14
UCL122148,0,0,0,0,0,0,0,0,0,5,3,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,9,31,3,47
UCL122149,0,0,0,0,0,4,0,0,0,8,6,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,10,32,6,56
UCL122150,0,0,3,4,0,18,5,3,11,11,16,3,43,0,0,0,0,0,0,5,0,0,0,0,8,0,4,0,0,0,0,6,0,8,7,5,22,23,85,9,150
UCL122151,3,6,3,0,0,12,0,0,5,5,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,4,4,6,9,27,5,59
UCL122152,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,3,0,16,24,0,45
UCL122153,4,14,0,0,0,14,5,0,3,4,9,0,19,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,11,7,35,18,66,0,132
UCL122154,0,7,4,3,0,23,6,3,15,3,11,0,44,0,0,0,0,0,0,0,0,0,4,3,7,0,9,0,0,0,0,4,0,7,15,14,53,26,72,7,185
UCL122155,3,4,4,0,0,12,0,0,5,0,4,0,12,0,0,0,0,0,0,3,0,0,0,0,7,0,9,0,0,0,0,0,0,6,0,4,17,19,88,11,141
UCL122156,0,5,0,10,0,17,0,0,4,5,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,5,0,12,11,71,0,102
UCL122157,0,8,3,3,0,12,4,0,7,3,0,0,20,0,0,0,0,0,0,4,0,0,0,4,9,0,14,0,0,0,0,11,4,14,12,0,31,34,80,5,161
UCL122158,0,8,0,5,0,15,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,21,5,41
UCL131001,1855,8641,2658,3833,368,20216,2495,1501,8344,4906,7280,887,25412,174,74,633,374,898,84,2234,181,85,619,924,5546,187,7546,313,101,1145,923,3242,1124,6839,11596,6299,43627,29130,84013,7714,182372
UCL179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCL199994,9,38,16,16,6,117,45,7,74,37,64,11,235,6,3,31,6,14,4,60,8,6,11,8,23,0,57,9,0,22,12,28,35,106,190,56,542,232,586,108,1714
UCL201001,21701,71524,18517,15379,2387,180879,50696,21085,109639,43437,42462,6607,273922,3598,1439,12395,5048,5527,591,28602,5369,1647,12833,11339,26096,1504,58783,9912,1685,22954,10540,16980,9100,71176,284922,88550,643071,263818,369826,47763,1697942
UCL203001,625,2026,487,631,41,4710,1051,742,2778,1318,1849,181,7916,51,22,200,92,176,17,559,63,32,157,211,702,25,1178,50,13,173,134,389,129,883,3442,2054,9781,5295,12292,841,33697
UCL203002,551,1634,396,547,49,3691,998,728,2765,1408,1899,188,7993,25,22,125,77,140,15,396,56,34,169,223,821,20,1318,42,22,129,107,434,126,853,2442,1917,8677,5013,12658,893,31597
UCL203003,948,3405,966,895,81,7983,1714,1120,5149,2226,3189,310,13701,84,38,313,160,249,22,872,114,54,327,416,1233,55,2204,167,34,439,281,724,275,1920,7036,3401,19894,10261,20630,1622,62842
UCL211001,184,481,211,301,12,1359,218,203,802,532,841,57,2647,7,5,20,11,45,0,83,10,3,37,78,362,14,501,15,9,42,48,208,49,376,639,574,2432,2145,5750,322,11862
UCL211002,231,670,329,361,32,1889,276,197,1029,781,978,110,3375,8,3,52,53,102,12,225,40,7,94,128,553,24,841,59,8,144,146,396,166,928,1701,667,4770,3976,8286,808,20210
UCL212001,142,397,121,157,11,962,97,73,327,245,264,24,1029,8,0,21,23,46,3,99,13,3,39,56,211,4,326,7,0,33,34,134,51,260,511,326,1617,1334,3140,204,7127
UCL212002,54,202,39,73,9,427,82,71,275,163,299,39,933,0,0,20,18,27,0,67,6,3,20,26,128,6,192,0,3,12,15,61,16,100,212,174,918,613,1903,134,3954
UCL212003,159,516,161,212,16,1184,219,149,698,434,619,60,2174,4,6,20,21,37,0,91,8,7,31,66,256,10,370,13,3,41,44,153,72,331,567,443,2328,1686,4166,394,9588
UCL212004,166,530,132,124,16,1186,238,200,600,260,230,44,1570,15,4,58,25,36,9,146,15,13,54,53,110,4,256,23,8,63,45,71,24,239,835,571,2710,1378,2231,223,7947
UCL212005,273,635,213,299,19,1646,416,240,1071,700,886,104,3413,5,0,19,17,46,0,90,12,17,54,114,414,12,617,19,9,60,74,234,86,486,1016,719,3198,2473,5589,516,13514
UCL212006,213,661,230,281,26,1667,175,182,660,395,514,52,1990,10,11,64,44,61,6,189,16,6,64,101,332,13,525,18,8,64,56,233,60,435,871,657,3210,2551,5590,353,13239
UCL212007,167,583,114,89,11,1238,232,189,656,215,181,26,1499,30,16,87,40,48,8,216,9,8,64,76,127,10,299,16,11,109,41,74,38,290,1038,610,3339,1441,2328,202,8963
UCL212008,102,366,100,139,9,873,243,141,717,364,491,52,2016,4,0,22,15,34,3,83,12,4,27,64,236,4,349,5,5,23,29,137,25,225,599,375,2021,1426,3913,240,8581
UCL212009,164,577,138,216,20,1331,300,237,870,484,699,60,2649,8,3,30,26,52,3,129,8,4,38,63,277,12,406,7,6,34,38,146,46,283,763,579,2736,1714,4344,319,10456
UCL213001,42,136,66,88,9,394,82,49,220,178,267,18,819,0,4,8,5,15,0,36,0,5,16,22,120,3,168,6,3,3,24,66,24,125,198,142,684,610,1660,136,3431
UCL213002,82,159,36,33,0,469,127,75,225,109,116,15,664,20,19,55,16,8,3,114,13,3,29,20,56,0,117,16,8,28,10,18,11,93,514,294,983,477,826,75,3170
UCL213003,39,149,37,74,0,331,43,31,140,142,254,18,630,0,0,10,6,14,0,27,3,0,3,20,128,0,153,0,0,0,8,50,29,85,142,102,595,518,1762,133,3251
UCL213004,71,227,77,114,12,576,57,53,218,180,298,21,828,3,4,15,17,20,0,57,5,0,12,27,174,4,223,8,6,26,20,87,27,159,201,178,842,759,2267,124,4380
UCL213005,84,226,78,88,6,566,78,92,326,236,364,20,1114,3,4,18,14,21,0,55,0,0,24,51,162,8,251,8,4,29,24,74,20,156,298,250,1110,938,2307,119,5022
UCL213006,99,253,61,64,6,579,74,68,232,99,99,14,593,3,5,23,6,8,0,51,4,8,14,29,82,0,141,4,0,17,12,50,14,109,340,296,1175,726,1358,88,3990
UCL213007,72,256,63,97,9,552,108,78,362,283,382,26,1230,0,0,11,10,21,0,44,10,4,22,30,171,5,247,0,0,17,17,64,26,125,304,214,1075,877,2319,152,4946
UCL213008,74,262,105,106,5,654,71,89,271,192,294,22,948,4,3,11,16,25,4,54,13,4,17,34,131,0,207,10,5,28,16,78,27,159,361,254,1372,1054,2310,148,5500
UCL213009,53,168,73,110,6,469,61,70,308,192,286,26,940,0,5,15,11,22,0,49,5,8,23,51,153,0,241,0,0,16,22,53,19,117,201,189,980,785,1948,111,4208
UCL213010,41,104,64,103,11,357,35,30,156,183,354,33,796,0,0,3,11,19,0,35,4,0,10,18,142,0,175,0,0,11,14,92,35,147,116,107,530,590,2158,147,3646
UCL213011,24,77,38,64,7,231,29,20,145,124,235,31,584,3,0,6,4,8,4,22,5,0,13,11,82,3,107,0,0,21,13,66,25,130,110,73,457,417,1463,149,2682
UCL213012,37,153,38,69,10,329,38,43,159,130,199,21,587,0,0,12,3,20,0,37,0,0,14,21,80,3,120,0,0,8,7,47,11,77,106,104,506,421,1394,113,2633
UCL213013,70,213,59,78,3,505,118,64,301,172,249,18,922,0,0,14,11,3,0,32,3,6,20,31,95,3,161,7,0,12,20,50,19,114,322,213,1062,749,1667,115,4132
UCL213014,57,192,43,90,5,406,66,50,201,134,186,20,652,0,0,0,9,19,0,34,3,9,6,14,121,6,154,0,0,3,10,59,24,108,135,140,696,538,1447,116,3075
UCL213015,46,144,85,118,9,456,67,56,203,169,226,24,751,3,0,22,16,20,0,65,7,0,19,36,141,14,217,13,5,17,30,124,36,220,316,167,907,925,2135,164,4617
UCL213016,90,279,75,136,10,664,154,147,522,340,429,37,1631,4,3,6,12,24,0,47,6,3,23,49,171,0,257,9,3,15,19,88,38,171,365,325,1348,1020,2598,218,5865
UCL213017,113,372,100,157,15,918,151,109,427,245,294,43,1266,0,0,27,16,36,0,79,11,11,27,52,176,6,275,3,3,25,19,81,33,170,491,338,1604,1072,2535,206,6251
UCL213018,39,110,26,42,9,251,31,27,125,77,118,10,377,0,0,3,4,11,3,18,0,0,5,17,58,0,86,0,0,8,5,38,5,55,83,86,430,360,1056,94,2111
UCL214001,18,75,25,23,0,159,22,29,90,124,156,15,442,0,3,9,3,7,0,22,0,0,9,8,57,0,81,0,3,0,5,24,16,51,104,69,346,326,872,93,1816
UCL214002,39,95,44,42,0,260,18,41,95,87,144,4,387,0,0,4,7,4,0,18,0,5,5,13,69,0,90,3,5,11,9,47,11,85,85,109,402,401,1077,62,2133
UCL214003,46,109,45,56,4,300,35,41,131,140,192,26,559,3,0,3,7,17,0,43,3,3,5,13,66,4,92,0,0,4,9,53,24,96,145,110,473,468,1205,137,2539
UCL214004,17,45,25,20,0,119,13,13,51,54,56,14,198,0,0,4,0,0,0,6,0,0,4,15,32,5,57,0,3,5,7,27,13,51,40,42,214,223,605,76,1205
UCL214005,3,8,5,3,0,23,0,3,16,11,17,4,47,0,0,0,0,0,0,0,0,0,0,6,13,0,16,0,0,0,0,3,0,5,0,7,39,49,168,11,273
UCL214006,27,69,12,22,4,147,20,21,94,63,75,8,278,10,0,18,26,43,0,100,4,0,6,5,39,4,64,0,0,6,15,18,7,47,96,84,394,354,683,69,1667
UCL214007,21,99,22,28,0,217,26,30,90,55,83,8,291,3,0,7,8,10,0,33,0,0,8,15,61,0,95,4,0,12,4,23,13,57,162,93,564,381,719,70,1990
UCL214008,44,125,29,61,0,314,52,60,220,157,208,23,713,0,0,8,4,9,0,18,6,0,10,22,89,0,126,5,0,12,10,43,8,73,163,145,599,411,1348,83,2752
UCL214009,41,125,52,33,6,304,35,28,115,106,123,14,417,13,14,25,6,25,0,76,0,6,11,30,97,3,146,3,0,13,8,58,7,90,173,128,645,506,1194,84,2715
UCL214010,44,128,27,25,9,288,54,43,133,53,64,9,358,3,0,16,9,11,3,38,0,0,3,15,29,0,57,3,3,18,5,18,6,52,165,136,521,283,573,62,1749
UCL214011,51,118,52,62,4,340,30,33,112,95,120,7,405,5,0,0,6,12,0,24,3,0,12,16,88,0,115,4,0,16,15,51,9,96,155,129,524,487,1262,75,2632
UCL214012,30,78,26,28,0,175,17,17,85,74,137,13,339,0,0,3,0,9,0,18,4,3,10,14,65,0,91,3,0,6,3,19,14,53,63,65,290,265,786,69,1533
