UCL_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
UCL112002,91,176,113,89,96,18,4,590,15,8,11,3,8,0,0,46,6,5,3,0,10,0,0,25,194,365,258,198,254,63,10,1339,9,21,6,4,10,0,0,54,18,16,13,9,9,0,0,56,30,34,17,12,17,4,0,118,222,400,274,209,273,65,11,1458,196,201,93,65,56,6,7,621,14,6,4,5,0,0,0,27,426,608,375,280,323,75,23,2105
UCL112003,42,107,85,61,75,21,9,400,13,30,25,12,17,4,3,107,0,0,0,0,0,0,0,8,75,192,171,129,167,56,30,814,0,0,0,0,0,0,0,9,6,11,5,4,0,3,0,17,4,11,5,4,0,6,0,23,75,199,181,134,167,56,31,838,88,112,57,41,48,12,8,375,0,6,0,3,4,0,0,13,165,320,239,180,220,75,35,1229
UCL112004,23,61,42,42,52,6,8,239,5,8,0,4,10,0,3,29,0,0,0,0,0,0,0,3,42,118,96,84,121,21,32,520,0,0,4,0,0,0,0,5,0,6,3,0,0,0,0,8,0,6,5,0,0,0,0,15,46,120,102,86,120,23,32,534,47,43,26,31,28,12,7,190,0,0,0,0,0,0,0,0,91,161,132,114,153,33,33,722
UCL112005,98,147,89,63,77,18,5,495,30,27,20,13,8,3,0,104,6,7,5,5,0,0,0,29,159,245,166,128,141,30,10,886,8,20,5,3,5,0,0,40,13,17,13,3,0,0,0,53,22,36,22,11,10,3,0,95,184,282,186,140,151,29,10,980,241,240,139,70,68,10,5,782,6,0,5,9,0,0,0,16,431,524,323,217,219,40,15,1775
UCL112006,140,177,113,77,70,11,4,587,27,14,10,5,4,3,0,53,10,25,11,7,8,0,0,62,283,416,300,192,206,42,12,1445,4,8,14,3,5,0,0,41,16,13,12,6,3,0,0,53,18,26,22,12,15,0,0,91,300,444,313,204,223,42,12,1538,249,221,116,84,47,8,0,721,7,10,4,7,4,0,0,32,554,678,440,296,273,47,13,2288
UCL112007,8,12,19,11,9,0,0,60,3,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,15,29,34,22,27,5,0,131,0,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,8,11,32,35,22,27,5,0,138,17,18,10,6,4,0,0,55,0,0,0,0,0,0,0,0,35,44,47,27,35,5,0,194
UCL112008,38,76,72,42,40,5,0,277,14,11,3,8,4,0,0,35,5,4,6,3,0,0,0,18,76,145,125,85,96,20,4,556,0,6,3,0,0,0,0,18,5,4,0,0,0,0,0,8,5,11,3,0,3,0,0,28,78,156,133,88,100,20,4,576,95,92,52,42,33,3,0,319,4,6,0,3,0,0,0,19,179,257,190,133,127,25,11,919
UCL112009,61,126,68,50,41,11,3,355,9,9,5,3,0,0,0,28,12,12,6,0,0,0,0,25,124,234,161,109,116,24,9,778,0,12,3,0,6,0,0,18,13,12,10,4,7,0,0,43,11,18,13,9,8,0,0,67,133,254,176,114,127,24,9,840,119,137,78,42,42,0,0,424,0,0,4,3,0,0,0,8,255,396,256,162,166,29,9,1273
UCL112010,46,82,57,29,45,7,0,267,4,6,3,0,3,0,0,15,6,6,8,0,3,0,0,26,87,162,113,82,112,23,7,594,0,7,0,0,5,0,0,13,4,7,4,4,0,0,0,21,3,14,6,3,7,0,0,31,92,177,123,87,115,23,7,630,125,88,39,24,19,5,0,302,0,5,7,0,0,0,0,16,215,273,170,110,130,30,10,941
UCL112011,78,108,55,37,34,15,4,341,19,38,19,7,4,0,0,88,7,12,3,0,0,0,0,24,155,245,136,81,95,33,6,755,11,5,6,3,5,0,0,32,11,14,15,6,3,0,0,50,23,28,18,14,8,0,0,83,175,273,151,95,103,36,6,842,193,159,82,70,62,8,4,577,0,3,0,6,0,0,0,8,372,432,234,171,165,42,13,1429
UCL112012,74,130,112,75,100,15,5,512,20,16,4,11,6,0,0,58,0,7,6,0,0,0,0,17,127,236,199,170,226,38,16,1006,0,4,0,8,9,0,0,20,8,27,15,7,7,0,0,66,10,25,18,14,15,4,0,87,138,266,213,181,243,44,16,1099,160,167,110,80,71,13,3,601,11,7,3,4,0,0,0,23,302,433,326,267,316,56,21,1720
UCL112013,0,5,4,0,9,0,0,23,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,3,3,8,12,7,18,6,0,53,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,4,3,0,0,0,0,8,6,12,11,10,17,6,0,63,9,14,7,4,4,0,0,28,0,0,0,0,0,0,0,0,14,24,18,8,20,4,0,93
UCL112014,46,88,57,38,45,8,3,288,14,17,12,9,11,4,0,67,3,9,5,3,4,0,0,26,78,191,130,86,100,22,19,632,8,7,4,8,3,0,0,30,8,12,8,4,9,0,0,43,19,20,13,12,9,3,0,68,100,208,144,98,108,29,19,696,141,115,62,34,33,7,4,395,0,3,0,0,0,0,0,7,242,328,208,135,138,33,23,1108
UCL112015,105,194,123,81,86,23,5,610,27,25,7,7,4,0,0,71,4,8,0,0,0,3,0,22,182,330,222,148,174,53,11,1127,6,10,8,4,9,0,0,33,18,14,8,4,6,0,0,49,23,17,19,12,11,0,0,81,206,351,238,157,190,49,11,1210,259,229,137,94,73,20,0,813,3,4,0,0,0,0,0,14,468,585,374,257,269,73,11,2029
UCL112016,121,196,128,72,82,8,0,604,19,14,13,3,7,0,0,59,0,14,0,3,3,0,0,22,233,408,291,196,246,44,15,1424,10,12,12,6,3,0,0,38,11,21,13,7,8,4,0,58,24,29,24,14,11,4,0,98,259,441,316,213,253,44,15,1524,208,198,127,81,66,6,0,689,7,11,3,3,7,0,0,31,470,643,447,295,326,48,15,2240
UCL112017,90,198,138,115,112,17,0,671,13,10,7,3,12,0,0,44,5,7,3,3,0,0,0,21,152,318,264,237,266,46,17,1305,0,0,13,8,4,0,0,32,16,18,15,7,12,0,0,66,20,18,23,19,13,3,0,94,169,334,289,256,284,46,21,1400,222,194,122,84,91,13,7,735,5,8,0,3,0,0,0,21,397,539,416,341,381,61,31,2156
UCL112018,117,201,127,75,72,8,0,610,17,15,13,5,11,0,0,67,13,12,10,0,4,0,0,34,214,391,268,166,231,31,4,1312,17,27,15,15,16,0,0,87,26,37,19,18,16,0,0,120,39,61,34,37,35,4,0,208,254,458,301,200,264,32,4,1522,341,299,148,94,77,10,0,971,9,9,5,3,7,0,0,41,611,764,458,301,347,40,7,2527
UCL112019,147,260,146,104,93,11,9,774,20,13,4,6,8,0,0,56,12,15,7,0,0,0,0,36,265,450,334,234,267,66,26,1638,18,27,16,9,11,4,0,77,9,35,9,5,8,4,0,75,28,58,28,12,16,6,0,152,288,507,357,251,284,74,28,1787,364,299,142,111,80,13,8,1021,7,10,4,3,3,0,0,32,664,819,506,367,371,81,32,2837
UCL113001,41,89,65,55,41,7,0,295,4,4,0,0,0,0,0,19,0,0,0,0,5,0,0,11,61,126,112,100,98,18,5,522,4,5,0,0,4,0,0,8,4,4,3,0,0,0,0,14,3,9,9,4,3,0,0,29,69,138,120,95,103,18,7,549,51,71,54,31,37,7,0,254,0,3,0,4,0,0,0,12,125,205,171,130,140,30,7,819
UCL113002,35,57,53,37,31,0,0,204,3,3,7,12,9,0,0,27,3,0,0,0,0,0,0,9,59,97,101,72,68,15,0,405,0,0,0,4,0,4,0,10,3,3,0,0,0,0,0,8,3,5,4,4,0,4,0,17,57,103,102,76,70,17,0,424,102,58,36,28,20,4,3,247,4,4,0,5,0,0,0,13,161,161,143,107,88,20,7,687
UCL113003,45,87,60,30,32,0,0,256,11,13,0,3,5,0,0,30,7,4,8,7,0,0,0,28,107,184,129,89,88,10,5,622,3,12,4,0,5,0,0,21,3,4,3,3,0,0,0,26,3,16,4,3,10,0,0,40,113,201,140,96,92,15,5,660,159,129,74,39,34,7,0,428,6,4,0,5,0,0,0,17,277,334,209,136,133,20,3,1103
UCL113004,9,30,19,19,29,0,0,108,4,3,3,0,7,0,0,18,0,0,0,0,0,0,0,5,17,55,36,43,50,5,0,206,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,10,3,3,6,4,0,0,0,10,22,52,40,47,50,5,0,217,21,35,20,20,16,0,0,106,0,0,0,0,0,0,0,5,40,85,62,60,66,6,4,329
UCL113005,68,97,76,54,46,0,0,345,6,10,8,7,4,0,0,34,0,0,0,0,0,0,0,3,106,182,146,96,98,14,5,649,0,14,8,4,12,0,0,34,4,11,8,4,5,0,0,29,4,22,16,3,6,0,0,64,113,209,163,96,111,17,4,713,175,173,82,61,53,7,0,545,0,10,8,5,0,0,0,26,290,388,255,167,163,25,4,1289
UCL113006,41,65,55,36,23,6,3,217,9,7,12,3,4,3,0,41,0,5,3,0,0,0,0,12,68,134,104,73,71,9,3,460,8,12,9,4,6,0,0,44,5,13,0,3,0,0,0,24,18,23,13,7,5,0,0,74,84,158,113,78,77,12,3,531,137,142,74,50,40,7,6,451,4,7,9,3,3,0,0,29,223,304,198,134,125,12,9,1008
UCL113007,16,57,24,11,31,6,4,153,6,15,4,9,4,0,0,35,0,0,0,0,0,0,0,0,36,96,66,48,71,25,14,345,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,9,0,8,0,0,0,0,0,10,33,99,65,47,71,18,14,359,27,19,13,8,12,0,0,73,0,0,0,0,0,0,0,0,60,118,78,59,83,18,14,432
UCL113008,14,60,30,29,37,7,0,184,4,8,4,6,0,0,0,31,4,5,6,0,0,0,0,7,26,98,59,64,58,8,4,318,5,5,3,0,6,0,0,21,4,6,6,0,0,0,0,24,12,8,9,0,3,5,0,43,40,116,71,63,59,10,4,356,84,86,56,40,26,4,0,303,0,0,0,0,0,0,0,0,120,202,128,107,88,13,4,664
UCL113009,21,49,26,34,21,8,0,149,5,6,5,0,4,0,0,25,0,5,6,4,0,0,0,11,42,90,66,62,65,15,3,351,0,3,4,0,0,0,0,10,4,0,3,0,0,0,0,8,4,3,9,0,0,0,0,14,43,98,75,67,63,15,0,367,29,33,15,22,19,5,3,132,0,0,0,0,0,0,0,0,76,137,90,89,84,18,7,499
UCL113010,29,65,29,22,16,5,0,170,5,4,3,5,0,3,0,23,3,5,0,0,0,0,0,8,55,120,77,56,50,13,0,373,0,4,3,0,0,0,0,6,8,12,3,0,0,0,0,22,8,13,3,0,0,0,0,25,57,126,86,60,50,13,0,397,63,72,35,14,12,0,0,202,5,0,0,0,0,0,0,5,131,202,123,78,63,14,0,598
UCL113011,33,56,34,17,21,0,0,161,4,7,3,5,3,0,0,28,3,8,6,0,0,0,0,16,54,117,81,57,60,3,3,381,4,5,0,3,3,0,0,15,8,13,5,0,0,0,0,26,6,16,4,7,3,0,0,43,63,133,87,65,64,9,3,418,91,106,57,41,31,0,0,328,3,7,0,0,0,0,0,10,164,245,142,103,98,12,3,762
UCL113012,17,52,38,33,37,11,0,197,8,4,7,6,8,0,0,24,4,3,0,5,4,0,0,13,33,101,80,70,83,18,6,397,5,0,3,3,3,4,0,19,0,6,7,7,6,0,0,20,9,7,10,9,11,4,0,38,37,109,84,84,92,22,6,432,36,57,36,20,25,0,0,177,0,0,0,0,0,0,0,4,73,163,120,106,113,21,9,614
UCL113013,31,69,53,52,47,3,0,261,12,7,8,7,4,0,0,38,5,8,4,0,0,0,0,20,68,148,106,79,96,19,3,512,0,10,14,7,6,0,0,37,7,7,3,9,0,0,0,18,11,17,14,10,6,0,0,56,76,168,117,90,99,19,3,572,164,155,84,64,42,3,0,520,0,4,3,4,0,0,0,17,243,329,211,164,142,18,9,1112
UCL113014,26,69,48,23,31,5,0,201,9,12,4,0,0,0,0,32,3,8,0,0,4,0,0,16,58,139,84,55,60,18,6,418,3,6,3,0,0,0,0,21,8,14,14,5,0,0,0,40,12,20,18,11,0,0,0,60,69,156,100,62,65,15,6,476,84,106,59,31,29,4,0,307,0,3,0,0,0,0,0,6,158,261,162,95,91,22,6,787
UCL113015,32,50,45,26,25,3,0,184,9,11,7,3,0,0,0,30,0,0,0,0,5,0,0,7,52,90,79,63,65,10,4,358,4,9,8,3,3,0,0,25,0,6,0,4,0,0,0,12,7,12,7,3,3,0,0,32,57,111,85,66,65,10,4,392,64,53,31,22,19,3,3,189,0,0,6,0,0,0,0,8,123,161,115,85,86,14,0,583
UCL113016,72,112,67,46,50,13,0,356,11,5,11,3,4,0,0,42,0,6,4,0,0,0,0,15,107,190,128,91,99,25,3,638,6,20,16,3,5,0,0,50,4,9,8,5,8,0,0,30,13,30,20,12,11,0,0,80,119,216,151,104,111,25,3,726,170,176,107,71,55,6,0,594,5,8,7,4,0,0,0,25,294,399,267,178,166,30,5,1345
UCL113017,23,72,52,54,40,3,0,237,6,8,6,6,0,0,0,33,4,11,0,0,0,0,0,17,52,120,95,97,86,14,0,462,0,0,4,0,4,0,0,14,0,6,0,0,0,0,0,4,0,3,4,0,3,0,0,15,48,125,96,100,88,17,0,477,47,43,31,14,28,3,0,162,0,0,0,0,0,0,0,0,96,160,131,118,116,18,0,640
UCL113018,0,11,3,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,13,6,3,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,13,6,3,0,48,7,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,9,11,17,10,6,3,0,64
UCL114001,12,28,23,19,27,0,0,108,4,0,6,0,5,0,0,11,0,0,0,0,0,0,0,0,20,39,48,35,47,10,3,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,45,48,35,47,10,3,203,12,20,4,3,11,4,0,53,0,0,4,0,0,0,0,9,34,66,50,39,56,14,3,261
UCL114002,6,27,19,13,21,9,0,101,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,36,36,23,38,15,4,159,0,6,0,0,3,0,0,10,0,0,0,0,0,0,0,3,0,4,0,0,5,0,0,13,10,45,42,28,43,9,4,176,13,25,17,8,8,0,3,82,0,0,4,0,0,0,0,4,29,68,61,39,48,14,4,257
UCL114003,34,44,23,22,28,3,0,161,11,13,13,5,4,0,0,41,0,3,0,0,0,0,0,5,63,97,67,49,57,6,4,346,0,4,5,3,0,0,0,18,13,11,5,0,0,0,0,27,11,17,9,6,4,0,0,50,79,113,79,49,63,6,5,394,103,103,59,30,31,4,0,330,0,0,4,0,0,0,0,7,179,219,142,81,89,12,5,728
UCL114004,18,26,9,18,11,0,0,81,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,22,49,30,28,42,7,6,180,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,7,0,4,4,3,0,0,0,11,22,58,36,29,47,7,7,193,38,32,14,9,8,0,0,97,0,0,3,0,0,0,0,3,62,93,49,38,56,5,7,297
UCL114005,16,32,23,13,21,4,0,104,0,0,0,5,5,0,0,7,0,0,0,4,5,0,0,5,25,41,38,31,39,8,0,179,0,3,0,4,3,0,0,10,0,8,3,0,0,0,0,18,0,12,6,4,5,0,0,26,26,49,40,33,45,8,0,201,44,39,17,14,18,0,0,138,0,0,0,0,0,0,0,9,77,97,64,45,64,6,0,354
UCL114006,25,13,6,5,10,3,0,52,7,3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,37,34,25,18,29,14,0,157,0,0,0,0,0,0,0,3,0,10,0,0,4,0,0,11,0,7,3,0,4,0,0,14,40,40,29,17,28,14,0,174,25,20,10,15,8,4,0,75,0,0,0,0,0,0,0,0,60,62,41,29,37,11,3,251
UCL114007,27,55,26,29,12,4,0,161,3,5,5,0,0,0,0,12,0,0,0,0,0,0,0,0,53,85,52,53,33,13,0,296,3,8,5,3,4,0,0,17,6,10,0,0,0,0,0,21,13,22,5,3,6,0,0,39,64,111,54,58,32,13,0,335,81,72,31,18,13,0,0,217,0,3,3,0,0,0,0,14,141,185,87,74,52,13,0,559
UCL114008,18,27,13,11,7,3,0,84,3,5,3,0,0,0,0,12,0,5,0,0,0,0,0,8,25,58,36,31,35,10,0,200,0,6,3,0,0,0,0,3,0,4,0,0,0,0,0,10,0,6,3,0,0,0,0,13,25,66,37,32,35,10,0,217,11,22,16,10,9,0,0,68,0,0,0,0,0,0,0,0,40,88,55,41,46,10,0,279
UCL114009,11,22,20,7,6,4,0,67,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,31,38,32,23,34,8,4,167,0,4,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,6,30,38,37,23,34,8,4,171,13,4,3,0,5,0,0,21,0,0,0,0,0,0,0,5,44,42,42,23,38,8,4,203
UCL114010,18,35,17,19,21,0,0,109,3,4,4,0,3,0,0,17,0,0,0,0,0,0,0,4,32,75,32,39,46,10,0,245,0,5,0,0,0,0,0,9,4,12,0,0,0,0,0,20,4,15,0,3,8,0,0,28,34,93,35,48,50,10,0,270,62,58,26,17,11,0,0,168,3,0,0,0,0,0,0,3,95,148,58,63,65,9,0,444
