UCL_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
UCL101001,5622,5539,4761,809,1549,258,18531,913,575,838,123,271,22,2735,1504,1061,1385,233,562,57,4812,1238,993,1226,211,493,39,4199,1960,1666,1857,355,876,87,6791,2634,2622,2559,553,1217,105,9695,3484,4254,3576,847,1543,157,13867,4003,5417,4132,1047,1799,169,16567,4027,6547,3911,1128,1689,166,17467,5085,8354,4463,1363,1904,238,21397,4513,8042,3209,1115,1317,179,18376,10035,19203,8581,2312,2817,373,43315,5624,11136,3385,1099,1076,141,22463,6002,12593,3481,1014,953,169,24207,11116,23905,7053,1934,1943,280,46250,19106,46679,13571,3234,3133,444,86172,9337,24949,7314,1541,1380,189,44710,10681,32426,8619,1747,1376,199,55051,7109,14054,7043,1600,2304,357,32471,114006,230009,90972,22274,28201,3613,489084
UCL102001,46,22,22,3,14,3,109,14,3,9,0,3,0,34,22,13,10,0,6,0,52,24,10,11,5,4,0,53,26,31,15,8,5,3,86,49,36,24,8,15,0,131,65,42,27,22,22,3,186,59,88,44,16,30,9,246,71,110,44,20,25,8,273,114,154,50,35,22,7,381,103,144,37,23,14,0,319,159,220,63,38,12,3,492,77,134,40,16,13,0,284,64,102,32,12,0,0,210,112,209,82,16,12,0,431,151,298,108,19,18,4,594,49,87,39,3,3,0,188,24,52,28,4,9,0,113,60,67,35,15,21,6,202,1286,1818,722,267,257,47,4394
UCL102002,446,240,206,47,95,7,1040,128,45,77,18,33,0,304,215,84,121,28,64,3,519,202,80,99,32,70,4,492,317,144,172,72,104,15,824,416,289,286,95,166,14,1263,473,418,343,141,175,13,1572,575,706,438,199,243,14,2170,585,903,449,220,247,24,2424,771,1290,561,264,263,24,3173,629,1180,399,189,153,16,2563,1085,2097,693,268,221,13,4377,589,1247,306,130,102,4,2381,474,928,212,72,47,7,1744,925,2034,550,188,141,21,3851,1025,2176,606,169,111,11,4094,372,695,253,32,33,5,1388,239,440,149,21,22,0,874,593,765,334,141,179,22,2037,10057,15764,6244,2335,2471,210,37088
UCL102003,97,44,40,20,18,0,217,41,9,9,9,9,0,73,47,15,17,8,12,0,107,35,9,9,3,4,0,72,75,34,26,18,23,0,180,94,39,42,25,25,4,223,96,64,47,24,39,6,268,121,135,69,45,48,4,424,117,138,52,41,36,4,391,163,194,69,44,41,6,526,127,204,56,30,18,3,435,207,324,123,46,52,5,757,89,185,36,18,12,0,344,63,128,19,8,6,0,225,129,351,84,31,26,0,628,179,322,104,18,13,3,639,60,120,53,6,6,0,240,41,89,34,9,6,0,178,108,130,72,28,37,4,370,1875,2529,957,436,426,48,6263
UCL102004,497,277,286,48,106,16,1234,130,67,70,13,21,4,312,249,112,133,35,72,6,604,214,120,95,35,64,7,533,325,227,192,53,99,9,902,369,332,300,97,170,8,1284,505,542,340,154,173,17,1725,661,850,465,210,237,9,2442,674,1000,425,220,183,19,2520,895,1450,525,298,242,28,3449,753,1369,344,209,122,14,2816,1354,2391,712,284,201,32,4976,664,1370,274,110,77,14,2500,472,984,159,87,40,7,1737,987,2218,460,163,121,16,3974,934,2198,593,148,108,10,3997,356,775,276,50,38,5,1507,235,598,171,28,20,3,1046,567,757,331,127,171,18,1975,10843,17640,6154,2380,2278,235,39528
UCL102005,311,227,190,32,59,13,831,92,41,55,10,21,3,226,154,91,104,24,42,5,416,115,100,83,25,46,3,366,230,149,161,31,76,8,647,245,254,203,72,98,14,891,297,346,275,91,148,10,1165,425,562,367,127,184,7,1674,414,673,327,147,152,8,1721,509,876,357,188,171,12,2115,430,908,265,126,106,8,1845,914,1709,617,193,186,13,3623,509,915,218,79,69,5,1788,332,753,150,46,23,8,1318,888,2013,465,156,99,14,3626,926,2336,611,153,101,13,4136,313,823,234,40,39,5,1459,213,506,169,16,27,3,930,396,661,315,115,104,14,1608,7710,13944,5151,1671,1755,170,30400
UCL111001,73,37,21,10,7,4,157,27,6,12,6,0,0,53,49,20,15,9,9,0,101,33,27,13,10,5,0,92,69,58,27,22,26,6,213,133,123,44,37,30,9,377,156,217,64,64,45,0,547,206,309,100,51,51,6,725,159,272,77,45,32,10,598,180,321,74,40,30,0,652,91,207,58,27,4,0,390,129,250,75,30,15,0,498,32,79,11,4,0,0,136,20,51,16,0,6,0,93,65,117,36,11,4,0,238,59,119,35,4,4,3,217,21,53,14,3,3,0,93,19,25,7,0,0,0,46,92,90,42,9,14,5,250,1600,2392,747,394,293,45,5474
UCL111002,71,29,18,7,14,0,135,27,9,0,3,0,0,46,37,14,11,6,7,0,69,37,12,11,6,14,0,77,50,21,20,15,22,0,132,86,54,45,26,20,3,231,82,92,42,23,22,0,269,113,130,56,37,40,3,385,100,165,61,44,22,0,390,162,236,80,48,23,3,550,111,200,42,35,25,0,417,169,255,65,50,23,4,562,67,104,17,23,14,7,218,41,76,13,10,3,0,142,80,180,54,20,10,0,342,94,143,35,15,18,0,301,30,34,19,7,0,0,90,28,33,4,0,4,0,61,78,67,56,11,16,0,236,1460,1830,664,381,300,30,4660
UCL111003,102,68,47,14,16,10,254,32,16,24,3,6,0,80,51,23,36,3,27,0,137,46,26,33,9,17,3,137,72,47,49,29,38,3,240,117,98,70,39,39,8,366,150,196,114,44,47,6,567,239,385,149,84,57,12,934,266,424,152,90,61,10,1011,372,592,143,97,64,3,1271,277,527,121,74,47,3,1040,401,728,212,59,47,11,1461,171,405,61,28,21,0,676,103,240,43,16,10,3,418,202,467,129,29,26,6,858,185,418,129,31,23,3,783,60,95,41,7,6,0,213,35,66,35,3,3,0,138,144,212,93,38,43,9,540,3031,5031,1681,698,594,92,11137
UCL112001,18,11,10,3,0,0,48,4,4,0,0,0,0,11,11,7,0,4,0,0,24,14,7,3,5,3,0,35,24,15,8,4,11,0,64,36,37,14,16,14,0,114,48,56,18,20,12,0,147,83,95,16,21,20,0,236,52,96,18,17,15,0,190,52,96,22,14,10,0,189,32,57,16,5,4,0,112,34,44,26,6,9,0,121,11,23,5,0,0,0,39,5,19,5,0,0,0,33,19,19,12,0,0,0,54,19,24,6,0,7,0,61,8,14,6,0,0,0,29,4,9,0,0,0,0,17,31,30,12,6,6,0,81,498,668,198,118,99,8,1586
