UCL_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
UCL101001,38,317,839,4176,1128,731,402,136,28,7789,134216,246299,205603,320662,136506,106226,73059,38633,13883,1275083,67,662,1169,8754,2290,1319,562,80,3,14901,0,19,39,1044,530,755,476,248,59,3171,32,223,503,6774,641,294,88,35,14,8597,11,106,315,1548,1251,1219,872,320,81,5737,80,233,266,1758,958,626,300,140,20,4379,14,79,147,1695,1047,979,946,612,75,5591,316,3417,9062,42152,12940,17359,11575,4557,2385,103755,0,29,28,692,567,1193,1302,1461,500,5759,48,534,500,2625,1056,1593,1796,1262,406,9828,405,3096,3807,19190,13294,12528,9204,6283,1907,69715,20,263,726,5282,3278,3132,1840,714,154,15402,31,232,305,3013,816,460,273,144,49,5328,39,186,308,1869,1122,915,1302,1349,352,7434,14,142,248,786,691,1624,2717,3980,2024,12222,161,1140,1775,7072,2770,4035,3481,761,213,21406,1148,7010,8622,58851,11569,5738,3615,1661,483,98698,63,307,2065,7261,2208,1356,1449,555,135,15404,32,522,826,6972,1932,1530,1031,452,146,13440
UCL102001,0,0,3,8,0,0,0,0,0,9,1091,2134,1924,3874,2024,1678,859,312,83,13972,0,8,0,63,7,0,0,0,0,83,0,0,0,3,0,7,4,0,0,18,0,0,0,11,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,9,0,0,3,7,4,5,12,4,0,37,0,0,0,5,3,0,0,0,0,14,0,0,0,28,16,15,7,0,0,75,0,0,0,4,8,14,12,28,9,76,0,0,0,11,0,3,0,0,0,27,0,9,21,55,78,115,72,50,11,422,0,0,8,27,11,0,10,0,0,60,0,3,4,3,3,3,0,0,0,20,0,0,0,4,7,15,31,18,8,85,0,0,0,4,3,8,12,17,4,45,0,0,3,3,3,0,5,0,0,19,3,28,40,450,40,16,6,4,0,589,0,0,0,12,3,3,0,0,0,23,0,0,0,13,0,7,0,0,0,20
UCL102002,0,0,0,5,0,0,0,0,0,13,9049,19034,16514,28746,14911,14503,12301,7154,2371,124578,0,5,0,51,5,4,5,0,0,69,0,0,0,11,3,7,0,3,0,30,0,8,9,108,20,3,3,0,0,159,0,0,0,10,8,9,4,0,0,36,3,15,23,89,61,49,26,22,10,296,0,7,7,29,38,33,29,39,6,178,0,33,42,175,100,113,143,48,9,676,0,0,0,11,11,39,34,51,11,153,0,11,4,54,11,25,44,42,19,213,20,222,331,1139,1093,1469,1474,1242,404,7394,0,0,14,69,31,47,26,9,0,189,4,5,3,56,28,27,29,12,3,168,0,10,21,51,51,57,139,145,27,501,0,0,5,3,7,17,50,53,20,160,5,7,11,45,20,40,38,14,3,172,6,60,93,727,148,71,44,39,17,1204,0,12,31,83,39,18,22,13,14,223,0,0,3,42,19,23,18,4,0,112
UCL102003,0,0,0,0,0,0,0,0,0,0,1401,3301,2628,4609,2767,3054,3145,1871,690,23481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,11,7,138,18,0,0,0,0,177,0,0,0,0,0,0,0,0,0,4,0,6,4,21,18,11,11,7,3,77,0,0,0,4,0,0,0,0,0,7,0,3,5,18,9,7,9,0,0,56,0,0,0,5,0,0,5,7,0,20,0,0,0,0,0,5,3,0,5,9,7,31,45,160,163,234,320,366,163,1493,0,0,0,11,7,0,0,0,0,25,0,3,4,19,8,4,6,0,3,42,0,7,5,13,9,12,39,36,11,132,0,0,0,0,0,0,3,4,0,16,0,0,3,5,0,3,4,0,0,20,0,6,24,126,18,11,4,13,4,195,0,7,5,0,6,0,7,0,0,21,0,0,0,3,0,4,0,0,0,8
UCL102004,3,31,26,84,12,8,0,0,0,158,9266,19447,19625,36207,17408,16604,13717,7475,2450,142201,3,14,16,121,22,14,5,0,0,195,0,0,0,21,8,17,21,19,5,102,0,4,3,111,14,0,3,0,0,137,0,3,5,17,11,7,8,4,0,55,5,11,35,83,78,46,28,12,0,306,0,0,0,26,7,9,16,3,0,68,3,24,112,453,100,76,81,21,14,883,0,0,0,13,12,44,19,41,10,151,4,8,3,29,8,14,21,18,3,107,23,192,214,779,579,811,744,584,181,4105,0,0,5,48,28,24,13,7,5,133,0,11,4,42,24,15,14,6,0,111,0,17,15,78,48,60,227,140,32,613,0,0,0,12,4,29,54,61,44,207,0,10,37,64,21,25,25,3,0,188,12,77,163,809,196,79,50,47,14,1438,4,12,30,103,29,16,9,3,0,203,0,11,13,112,21,7,0,0,0,173
UCL102005,0,0,4,10,9,5,0,0,0,24,7838,15935,16152,27556,12827,11282,7792,4106,1323,104805,0,3,27,91,4,8,4,0,0,133,0,0,0,63,28,48,32,22,5,202,0,11,7,75,20,11,3,0,0,121,0,0,0,9,6,7,5,0,0,28,6,20,22,90,51,30,17,11,0,242,0,0,8,47,76,62,78,49,8,328,4,31,143,488,82,96,65,21,9,944,0,4,0,59,44,85,94,128,50,461,8,21,10,31,20,11,32,14,7,150,11,143,164,585,711,1346,1126,817,276,5168,0,4,8,65,25,21,10,6,0,146,0,4,7,31,21,18,24,10,0,120,0,3,9,46,56,95,232,169,63,669,0,3,8,15,16,56,115,90,66,363,0,8,19,33,17,30,14,0,0,115,21,68,257,931,122,50,47,43,10,1535,0,7,20,49,16,11,14,3,0,122,0,7,10,103,26,17,15,5,3,186
UCL111001,0,0,0,0,0,0,0,0,0,3,1650,2993,2756,5070,2424,2439,2142,1089,368,20936,0,6,0,15,13,0,0,0,0,32,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,12,4,0,0,32,0,0,0,3,0,0,0,0,0,7,0,0,0,20,11,6,4,0,0,47,0,0,0,0,3,4,5,10,0,19,0,0,4,3,0,0,5,0,0,9,0,8,20,63,73,124,107,91,26,514,0,0,0,10,0,3,3,0,0,26,0,0,0,3,4,0,0,0,0,8,3,0,6,10,3,15,49,32,5,118,0,0,0,3,0,0,3,6,6,25,0,0,0,0,0,0,0,0,0,11,10,21,59,459,31,12,11,3,0,607,0,0,0,6,0,0,0,0,0,13,0,0,0,3,3,0,0,0,0,12
UCL111002,0,4,6,9,0,0,0,0,0,16,1164,2705,2290,4177,2268,2407,2270,1292,464,19041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,13,9,9,0,55,0,0,0,3,4,0,4,0,0,13,0,0,3,17,10,5,4,9,3,50,0,0,0,0,0,0,0,7,0,10,0,5,0,3,0,0,0,3,0,21,0,23,24,87,121,147,196,154,58,813,0,0,0,12,5,8,8,0,0,36,0,0,0,7,0,0,8,0,0,25,0,0,0,8,15,13,21,41,13,101,0,0,0,0,3,0,4,0,0,12,0,4,4,7,0,4,0,0,3,19,0,14,19,141,31,7,15,6,0,240,0,0,0,0,0,3,0,0,0,5,0,0,0,7,5,0,0,0,0,12
UCL111003,0,0,0,4,0,0,0,0,0,10,3039,6126,4946,10283,4368,3915,3169,1598,386,37832,0,0,9,25,8,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,4,0,5,0,13,5,7,9,0,0,52,0,0,0,3,7,0,4,4,0,20,0,6,7,44,14,13,17,6,0,106,0,0,0,0,6,3,3,3,0,15,0,0,3,3,0,0,0,4,0,14,0,20,28,118,123,173,186,134,33,815,0,4,3,20,7,0,0,0,0,43,0,0,0,0,7,0,0,0,0,11,0,0,0,9,7,18,76,23,0,132,0,0,4,0,0,0,7,0,0,8,0,0,3,17,5,5,7,0,0,35,3,30,20,279,48,23,15,5,0,419,0,0,0,6,5,0,0,0,0,18,0,4,0,11,4,0,0,0,0,18
UCL112001,0,0,0,0,0,0,0,0,0,0,540,942,1274,1718,739,858,671,438,147,7340,0,13,4,39,3,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,3,6,0,0,33,0,0,0,0,0,0,0,0,0,6,0,0,0,31,10,5,0,0,0,54,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,9,11,28,18,42,46,42,13,214,0,0,0,5,3,4,0,0,0,13,0,0,0,4,0,3,0,0,0,10,0,3,0,3,5,8,5,3,5,36,0,0,4,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,12,3,3,18,91,4,6,4,0,0,128,0,0,0,3,0,0,0,0,0,10,0,0,0,15,3,0,0,0,0,23
