UCL_CODE_2021,Iran_2016,Iran_2017,Iran_2018,Iran_2019,Iran_2020,Iran_2021,Iran_Yr_arrival_NS,Iran_Tot,Iraq_Before_1951,Iraq_1951_1960,Iraq_1961_1970,Iraq_1971_1980,Iraq_1981_1990,Iraq_1991_2000,Iraq_2001_2010,Iraq_2011_2015,Iraq_2016,Iraq_2017,Iraq_2018,Iraq_2019,Iraq_2020,Iraq_2021,Iraq_Yr_arrival_NS,Iraq_Tot,Ireland_Before_1951,Ireland_1951_1960,Ireland_1961_1970,Ireland_1971_1980,Ireland_1981_1990,Ireland_1991_2000,Ireland_2001_2010,Ireland_2011_2015,Ireland_2016,Ireland_2017,Ireland_2018,Ireland_2019,Ireland_2020,Ireland_2021,Ireland_Yr_arrival_NS,Ireland_Tot,Italy_Before_1951,Italy_1951_1960,Italy_1961_1970,Italy_1971_1980,Italy_1981_1990,Italy_1991_2000,Italy_2001_2010,Italy_2011_2015,Italy_2016,Italy_2017,Italy_2018,Italy_2019,Italy_2020,Italy_2021,Italy_Yr_arrival_NS,Italy_Tot,Japan_Before_1951,Japan_1951_1960,Japan_1961_1970,Japan_1971_1980,Japan_1981_1990,Japan_1991_2000,Japan_2001_2010,Japan_2011_2015,Japan_2016,Japan_2017,Japan_2018,Japan_2019,Japan_2020,Japan_2021,Japan_Yr_arrival_NS,Japan_Tot,Korea_Rep_Sth_Before_1951,Korea_Rep_Sth_1951_1960,Korea_Rep_Sth_1961_1970,Korea_Rep_Sth_1971_1980,Korea_Rep_Sth_1981_1990,Korea_Rep_Sth_1991_2000,Korea_Rep_Sth_2001_2010,Korea_Rep_Sth_2011_2015,Korea_Republic_South_2016,Korea_Republic_South_2017,Korea_Republic_South_2018,Korea_Republic_South_2019,Korea_Republic_South_2020,Korea_Republic_South_2021,Korea_Repub_Sth_arrival_ns,Korea_Republic_South_Tot,Lebanon_Before_1951,Lebanon_1951_1960,Lebanon_1961_1970,Lebanon_1971_1980,Lebanon_1981_1990,Lebanon_1991_2000,Lebanon_2001_2010,Lebanon_2011_2015,Lebanon_2016,Lebanon_2017,Lebanon_2018,Lebanon_2019,Lebanon_2020,Lebanon_2021,Lebanon_Yr_arrival_NS,Lebanon_Tot,Malaysia_Before_1951,Malaysia_1951_1960,Malaysia_1961_1970,Malaysia_1971_1980,Malaysia_1981_1990,Malaysia_1991_2000,Malaysia_2001_2010,Malaysia_2011_2015,Malaysia_2016,Malaysia_2017,Malaysia_2018,Malaysia_2019,Malaysia_2020,Malaysia_2021,Malaysia_Yr_arrival_ns,Malaysia_Tot,Nepal_Before_1951,Nepal_1951_1960,Nepal_1961_1970,Nepal_1971_1980,Nepal_1981_1990,Nepal_1991_2000,Nepal_2001_2010,Nepal_2011_2015,Nepal_2016,Nepal_2017,Nepal_2018,Nepal_2019,Nepal_2020,Nepal_2021,Nepal_Yr_arrival_NS,Nepal_Tot,Netherlands_Before_1951,Netherlands_1951_1960,Netherlands_1961_1970,Netherlands_1971_1980,Netherlands_1981_1990,Netherlands_1991_2000,Netherlands_2001_2010,Netherlands_2011_2015,Netherlands_2016,Netherlands_2017,Netherlands_2018,Netherlands_2019,Netherlands_2020,Netherlands_2021,Netherlands_Yr_arrival_ns,Netherlands_Tot,New_Zealand_Before_1951,New_Zealand_1951_1960,New_Zealand_1961_1970,New_Zealand_1971_1980,New_Zealand_1981_1990,New_Zealand_1991_2000,New_Zealand_2001_2010,New_Zealand_2011_2015,New_Zealand_2016,New_Zealand_2017,New_Zealand_2018,New_Zealand_2019,New_Zealand_2020,New_Zealand_2021,New_Zealand_Yr_arrival_ns,New_Zealand_Tot,North_Macedonia_Before_1951,North_Macedonia_1951_1960,North_Macedonia_1961_1970,North_Macedonia_1971_1980,North_Macedonia_1981_1990,North_Macedonia_1991_2000,North_Macedonia_2001_2010,North_Macedonia_2011_2015,North_Macedonia_2016,North_Macedonia_2017,North_Macedonia_2018,North_Macedonia_2019,North_Macedonia_2020,North_Macedonia_2021,North_Macedonia_Yr_arrival_NS,North_Macedonia_Tot,Pakistan_Before_1951,Pakistan_1951_1960,Pakistan_1961_1970,Pakistan_1971_1980,Pakistan_1981_1990,Pakistan_1991_2000,Pakistan_2001_2010,Pakistan_2011_2015,Pakistan_2016,Pakistan_2017,Pakistan_2018,Pakistan_2019,Pakistan_2020,Pakistan_2021,Pakistan_Yr_arrival_NS,Pakistan_Tot
UCL112002,0,0,5,4,0,0,3,31,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,20,0,0,9,9,8,3,15,13,0,4,0,0,0,0,4,65,0,14,11,0,0,0,3,0,0,0,0,0,3,0,0,34,0,3,0,0,0,7,4,0,0,3,3,0,0,0,0,20,0,0,0,0,0,0,10,8,0,4,0,0,0,0,0,34,0,0,11,0,6,6,3,0,0,0,0,0,0,0,7,40,0,0,3,6,8,0,14,4,0,0,0,3,0,0,0,44,0,0,0,0,0,0,37,32,15,40,24,11,8,0,0,173,5,38,16,7,7,7,0,0,0,0,0,0,0,0,3,79,0,0,28,52,78,51,82,28,8,0,3,3,3,0,28,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,21,0,3,9,13,3,0,0,60
UCL112003,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,24,20,28,21,15,3,0,3,0,0,0,0,0,119,5,24,19,0,9,0,14,7,4,0,0,0,0,0,7,83,0,0,0,5,18,12,15,0,0,0,0,0,0,0,0,57,0,0,0,3,15,9,18,0,4,0,0,0,0,0,5,52,0,3,8,4,0,5,0,7,0,0,0,0,0,0,0,28,0,0,4,22,11,16,12,0,4,3,0,0,0,0,0,75,0,0,0,0,0,0,3,0,0,5,6,4,0,0,0,30,4,54,13,7,12,6,9,3,0,0,0,0,0,0,4,119,3,13,52,107,139,111,66,29,0,8,6,0,3,0,17,537,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,4,3,3,0,3,0,0,0,0,0,0,0,20
UCL112004,0,0,5,0,0,0,0,19,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,13,7,15,16,14,5,0,0,0,0,0,0,0,80,3,25,27,10,6,0,3,3,4,0,3,0,0,0,6,93,0,0,0,5,0,0,6,0,0,0,0,0,0,0,3,21,0,0,0,0,0,3,15,9,0,0,0,0,0,0,0,28,0,4,6,4,0,5,0,0,0,0,0,0,0,0,0,13,0,0,3,9,8,6,5,0,0,0,3,3,5,0,0,42,0,0,0,0,0,0,76,69,37,25,48,33,10,0,0,304,3,42,15,11,3,4,3,0,0,3,0,0,0,0,5,98,10,21,53,87,70,44,51,35,0,6,3,6,0,0,24,404,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,0,0,0,5,6,0,0,3,6,0,0,0,24
UCL112005,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,0,4,0,4,0,0,0,0,0,0,0,0,20,0,0,6,3,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,3,0,0,0,0,0,0,8,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,24,0,0,0,6,6,5,6,0,0,0,0,0,0,0,5,18,0,0,0,0,0,0,3,0,5,6,3,6,0,0,0,32,6,22,0,0,0,0,4,0,0,0,0,0,0,0,0,30,5,4,16,47,48,32,31,14,0,0,6,3,0,0,31,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
UCL112006,3,0,5,6,0,0,0,19,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,3,3,3,0,6,10,0,0,0,3,0,0,0,33,0,16,8,0,5,0,0,0,0,0,0,3,0,0,3,31,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5,10,8,3,7,0,0,0,4,4,43,0,3,3,6,3,5,0,4,5,0,0,0,0,0,0,29,0,0,0,3,7,0,7,0,5,0,0,7,0,0,4,36,0,0,0,0,0,3,125,190,117,144,72,32,3,0,10,703,3,24,3,4,4,0,3,4,0,0,0,0,0,0,4,55,5,4,30,35,48,42,53,33,0,0,7,0,0,3,11,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,18,57,23,15,13,17,10,0,8,162
UCL112007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,8,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,13,0,0,5,0,0,0,0,0,0,0,0,0,7,30,0,4,5,7,6,13,5,4,0,0,0,0,0,0,6,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UCL112008,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,14,6,10,0,0,4,0,0,0,0,0,0,0,40,3,22,10,3,0,0,0,0,0,0,0,0,0,0,0,44,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,10,0,0,5,3,3,0,0,0,0,0,0,0,0,0,0,11,0,0,9,0,0,0,8,4,0,0,0,0,0,0,0,18,0,0,0,0,0,0,14,20,9,15,13,11,0,0,0,75,7,37,13,0,5,4,0,0,0,0,0,0,0,0,0,64,4,9,39,53,48,39,23,0,0,0,0,0,4,0,21,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
UCL112009,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,8,0,0,8,4,0,3,8,3,0,0,0,3,0,0,0,29,0,14,10,0,0,0,0,3,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,7,0,0,0,0,0,4,9,15,0,0,9,9,3,0,6,48,0,0,0,0,6,0,6,7,3,0,0,0,0,0,12,25,0,0,0,5,5,0,10,0,3,0,0,0,0,0,0,27,0,0,0,0,0,3,32,38,11,18,20,21,0,0,0,144,0,25,4,0,0,0,0,0,0,0,0,0,0,0,0,34,0,5,22,47,48,26,25,14,0,0,0,9,0,7,10,230,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,9,0,0,0,3,3,0,0,26
UCL112010,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,4,5,5,0,0,0,3,5,0,0,25,90,279,164,31,10,5,7,18,4,3,9,8,3,0,66,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,16,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,23,32,55,65,33,11,8,0,233,0,0,0,0,0,4,4,0,3,6,0,0,0,0,0,22,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,14,4,0,0,6,37,88,107,65,8,4,3,20,0,0,20,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,58,9,12,27,11,9,4,12,172
UCL112011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,6,0,0,0,3,0,0,0,0,0,0,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,7,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,9,27,28,21,9,8,0,0,6,0,0,0,9,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6
