UCL_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
UCL101001,158418,220913,59180,13406,75457,72802,16413,30432,206250,15400,189115,1729317,95698,2548914,9934,10366,3514,793,11587,6115,1730,1677,7135,1250,9393,85222,4990,132775,17899,12030,7105,1819,7739,8853,1567,3569,11850,1849,13759,92160,5214,154682,5828,3433,2513,904,2817,3370,584,1150,3669,803,4960,45231,1906,66734,30275,6599,9284,5649,20283,16135,3538,4321,12286,3869,19476,91165,7078,174189,21838,11124,5076,2133,21874,11748,3253,2964,13525,2765,23575,135499,8161,215840,15200,13329,5810,1789,22672,8609,2672,1717,9498,2224,25651,227982,8926,314746,10435,6622,6889,2141,17510,8752,2442,1712,8081,2216,25203,285285,6974,360914,9258,9756,2450,691,20821,6867,1488,972,6325,1025,14191,284682,7294,346802,6822,5608,2414,590,4073,2443,654,741,6608,644,7535,71948,2755,101076,4028,3823,1756,318,3431,2214,483,491,3683,395,4913,44161,1831,64186,131514,82696,46812,16819,132808,75101,18411,19318,82642,17039,148661,1363324,55133,1931945,4012,1707,1176,672,2520,2131,595,907,2210,599,2260,14327,192783,217797,293938,305318,107166,30900,210786,150036,35424,50660,291098,33038,340039,3106972,343614,4698656,84269,153918,34646,508
UCL102001,2557,2972,710,122,1177,817,321,500,3445,216,2695,16765,961,27837,70,74,30,0,50,36,12,12,67,7,61,509,24,809,190,97,81,22,72,85,23,49,138,17,139,456,25,997,81,30,29,9,38,39,8,13,35,8,63,216,6,435,329,77,83,59,212,154,51,53,95,54,187,816,43,1619,9,7,0,0,15,8,0,0,10,3,7,144,0,183,35,54,10,3,65,24,9,0,41,6,64,661,27,917,12,9,11,0,13,5,0,0,10,0,22,229,7,296,21,25,12,3,67,24,9,0,19,3,54,1754,29,1951,29,35,13,3,23,18,8,6,46,5,42,255,3,408,18,15,9,0,17,12,7,3,29,3,32,207,3,309,801,424,276,101,569,396,122,151,487,103,673,5241,171,7914,38,17,13,0,23,15,5,7,9,8,13,102,1556,1758,3399,3415,1006,222,1771,1229,446,659,3943,323,3384,22110,2684,37511,1455,2023,414,9
UCL102002,29522,27490,9423,2559,13360,12442,3225,6918,31538,3282,24124,144408,10736,256361,863,642,297,66,451,410,98,202,632,108,600,3548,253,6552,3339,1529,1184,397,1519,1609,375,853,1661,403,1895,8403,573,17542,733,275,294,124,378,408,81,208,349,115,484,2200,142,4345,807,211,263,153,571,466,112,156,347,122,477,2145,146,4352,192,65,44,17,159,100,26,31,99,22,157,761,46,1362,319,297,98,23,312,134,35,28,204,36,362,3670,147,5111,128,77,92,22,177,97,28,20,100,18,254,2580,70,3401,131,110,37,17,210,96,22,19,76,21,134,2905,65,3543,423,291,139,36,221,180,59,57,385,38,355,2198,100,3671,255,231,125,20,169,133,27,45,268,30,287,1704,69,2812,7191,3725,2569,883,4171,3635,861,1614,4115,917,5012,30113,1618,52698,778,297,188,116,361,354,101,205,325,124,263,1116,13374,16204,37495,31506,12182,3552,17888,16431,4190,8733,35987,4322,29397,175630,25717,325255,9195,14022,2990,43
UCL102003,6333,4615,2143,661,2199,2897,720,1582,5180,693,4469,27795,2137,49214,317,191,108,29,108,164,40,76,189,35,177,1209,74,2176,874,315,288,119,308,440,108,218,360,111,441,1579,145,3705,152,39,63,28,64,94,12,37,70,21,95,481,29,906,97,30,25,22,54,68,13,20,60,13,66,287,25,566,13,7,4,0,14,5,0,4,13,0,16,58,0,104,59,44,19,6,34,25,6,13,28,7,60,656,25,899,17,16,7,0,9,10,0,4,20,0,17,333,15,430,21,14,0,0,21,12,3,7,10,7,21,373,10,463,64,51,29,11,20,29,5,14,63,8,67,701,23,960,37,35,13,7,21,29,3,11,22,3,38,315,11,466,1646,738,573,224,651,876,195,399,830,199,1004,5990,355,10671,208,77,72,47,92,103,30,59,92,32,86,320,3053,3836,8179,5425,2782,929,2942,3880,945,2045,6099,927,5555,34108,5547,63721,1725,2259,572,8
UCL102004,31425,31343,9832,2849,14365,14027,3406,6437,38813,3248,27445,163144,12166,290415,501,455,184,38,309,216,63,116,472,57,422,2536,156,4494,1816,831,575,196,764,896,208,399,1157,215,1161,4861,370,10075,622,222,215,116,327,326,61,142,307,65,398,1951,106,3675,977,253,269,236,653,537,146,142,420,141,562,2116,208,4710,80,84,30,11,76,55,17,20,80,12,109,1290,37,1709,297,273,96,13,280,119,44,34,258,21,343,3624,149,5014,97,77,29,7,118,62,25,19,90,15,184,2771,67,3375,136,156,49,7,228,93,16,26,113,14,210,4216,115,5102,190,240,78,14,87,83,20,22,325,18,270,1937,98,2994,164,182,73,15,94,75,22,14,191,16,187,1979,81,2769,4872,2776,1593,655,2937,2463,629,924,3415,576,3843,27284,1377,43917,704,284,178,113,357,356,101,180,306,84,255,875,11831,14200,37005,34404,11599,3619,17656,16840,4136,7544,42534,3907,31542,191302,25368,348539,9699,16708,3135,58
UCL102005,19792,20957,6116,1259,8962,7546,2292,4270,24384,1958,18848,128209,8761,212189,382,309,148,40,263,168,53,101,324,45,315,2142,124,3596,3152,1236,941,296,1350,1256,351,816,1389,318,1612,5600,496,13324,886,256,313,119,459,447,108,192,346,126,447,1826,142,4042,3072,571,795,528,2122,1430,383,431,1254,417,1671,6118,509,13675,420,223,102,22,365,178,70,43,269,36,462,2391,130,3838,314,259,107,20,338,106,41,34,201,33,367,3693,155,5147,75,76,53,12,108,40,10,17,65,18,169,2427,38,2943,125,121,26,12,187,80,20,17,108,9,148,3433,85,4129,339,243,110,35,215,113,43,51,332,31,339,1970,71,3235,116,115,40,7,97,48,25,19,134,6,144,1322,64,1929,8883,3412,2636,1086,5499,3852,1105,1723,4415,1047,5680,30914,1814,55865,560,199,122,68,299,236,100,144,276,78,221,998,9874,12100,29232,24569,8877,2411,14758,11637,3496,6142,29076,3079,24752,160126,20448,280153,7260,11345,2300,35
UCL111001,4688,5039,1575,384,2110,2135,483,1023,5811,543,3971,24572,1674,43760,84,76,43,6,51,33,12,28,74,12,59,362,22,646,273,128,82,23,130,151,21,59,145,34,144,549,41,1250,143,45,50,20,79,76,14,31,68,18,72,265,19,627,82,27,32,15,57,55,4,16,41,18,55,176,12,408,7,9,6,6,6,6,0,0,5,3,6,77,0,103,39,49,19,0,40,15,3,5,32,0,54,592,17,792,4,12,0,0,7,0,0,0,3,0,13,205,3,239,58,47,6,8,103,28,7,13,63,0,87,1655,56,2003,17,29,21,0,19,9,0,3,41,3,31,144,3,256,15,13,8,0,12,6,0,4,31,0,21,387,15,481,718,430,265,79,500,380,71,158,497,87,538,4417,199,6802,114,58,33,6,58,58,18,34,81,11,48,243,2588,3113,5522,5522,1869,471,2668,2574,571,1208,6389,643,4559,29233,4461,53677,1567,2749,551,12
UCL111002,5368,4129,1608,463,1963,2311,541,1321,5160,554,3888,21768,1703,39965,120,84,43,9,58,55,8,33,83,14,82,535,43,948,457,156,146,46,157,218,32,116,210,37,225,866,64,1970,121,35,43,18,45,86,9,33,55,18,68,309,22,646,70,13,23,9,36,47,10,15,23,8,33,165,21,351,21,10,8,0,23,5,7,5,36,0,56,466,20,612,43,34,16,7,47,18,7,6,32,9,77,986,60,1262,14,3,5,3,9,5,0,0,3,0,14,249,10,298,29,17,12,3,24,13,5,0,15,0,21,516,24,641,61,38,15,0,19,20,7,4,50,3,36,277,17,451,28,34,19,5,17,17,8,8,47,0,49,510,17,686,963,429,331,108,442,492,92,223,554,96,670,4871,285,7869,135,48,36,30,67,82,21,36,87,18,72,236,2688,3233,6465,4605,1985,606,2472,2884,656,1581,5807,671,4631,26883,4685,51069,1671,2034,442,8
UCL111003,8415,9372,2242,499,4394,3508,858,1777,11171,823,7381,43044,3433,77815,114,126,40,6,84,50,19,27,126,10,99,635,43,1135,431,181,125,30,200,175,46,92,272,58,222,910,72,2047,118,42,38,19,76,79,11,29,46,23,78,266,21,602,104,27,34,15,62,51,15,16,59,12,43,203,17,445,9,13,0,0,13,6,0,0,16,0,16,160,3,220,69,62,18,3,63,29,8,7,45,0,73,844,31,1112,15,10,7,0,22,8,3,4,15,3,35,448,20,559,21,26,3,5,61,17,8,3,19,0,35,978,31,1167,51,48,18,3,29,10,0,7,50,8,45,242,11,425,35,31,5,0,26,10,3,3,38,5,59,463,14,644,972,568,295,83,630,444,126,192,686,117,704,5146,257,8363,177,68,41,33,85,90,21,38,104,26,62,281,2748,3414,9569,10004,2577,609,5113,4044,1001,2014,11962,965,8147,48481,6440,89597,2797,4810,740,19
UCL112001,1579,1851,573,107,712,728,148,345,2030,173,1505,8590,606,15447,33,33,9,3,20,14,0,8,26,0,35,161,8,292,80,53,31,9,38,52,5,29,60,15,63,220,11,508,23,13,8,0,23,13,6,10,8,0,26,115,6,201,10,0,0,0,7,7,0,4,8,0,10,48,3,87,11,18,3,4,14,13,7,4,27,5,44,625,12,734,11,19,5,0,9,7,3,6,11,0,27,272,4,338,11,4,0,0,6,4,0,0,0,0,11,188,5,218,7,15,5,0,33,11,0,0,15,0,23,686,20,786,21,27,16,0,9,14,0,3,24,6,39,163,5,264,9,15,3,3,16,0,0,0,15,0,22,203,6,271,217,186,86,21,175,134,26,53,193,26,303,2690,70,3698,40,15,15,3,23,13,4,13,19,4,12,97,1986,2167,1828,2047,675,135,905,879,182,412,2241,208,1815,11380,2657,21312,523,940,192,5
