UCL_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
UCL112002,0,0,0,4,13,23,35,58,5,17,28,22,11,6,8,239,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,5,4,3,4,0,0,0,0,0,0,4,17,0,0,0,4,7,27,43,4,3,6,8,4,7,0,0,123,0,0,0,0,8,6,18,28,0,3,8,12,0,0,0,89,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,13,20,18,6,3,3,0,0,0,6,73,26,102,208,147,94,61,76,32,10,10,10,6,3,0,36,832,0,0,5,7,6,7,27,17,0,0,5,0,0,0,4,88,0,0,0,3,9,0,12,15,5,3,3,4,4,0,14,82,13,31,44,56,48,48,55,51,25,7,18,12,4,0,37,447,83,228,378,340,342,334,674,506,119,157,185,151,75,15,202,3784
UCL112003,0,0,3,9,45,14,29,27,13,10,12,10,3,0,8,176,0,3,10,7,44,16,12,0,0,0,0,0,0,0,5,94,0,0,7,6,8,4,10,0,0,0,0,0,0,0,0,38,0,5,9,26,29,22,25,0,0,0,0,0,0,0,5,110,0,0,11,5,3,3,0,3,0,0,4,4,0,0,6,38,0,0,0,0,3,5,3,5,4,0,0,0,0,0,0,23,0,0,0,0,16,8,23,11,9,7,5,4,0,0,4,82,50,206,573,444,276,183,173,68,11,12,6,14,3,0,45,2070,5,3,28,47,25,32,49,32,3,3,12,0,0,0,7,238,0,0,0,13,7,5,13,15,4,6,11,19,8,0,3,108,26,78,162,188,172,127,104,80,21,6,20,7,0,0,23,1021,131,461,1051,1014,980,711,735,389,97,69,101,106,24,6,149,6029
UCL112004,0,0,4,0,8,11,18,20,5,11,9,11,0,0,0,97,3,8,12,9,12,0,5,4,0,0,0,0,0,0,0,45,0,5,3,0,0,0,10,3,0,0,0,0,3,0,0,35,0,3,6,28,15,23,48,19,8,0,4,4,5,7,0,183,0,0,3,5,0,0,0,3,0,3,0,0,0,0,0,23,0,0,0,0,0,7,9,3,4,0,0,0,0,0,0,18,0,0,0,4,7,4,22,14,0,7,0,6,3,0,0,63,69,182,447,335,180,126,202,67,3,3,4,10,6,5,82,1724,3,4,18,25,13,25,22,24,5,0,4,0,9,0,5,155,0,0,0,0,0,0,6,0,0,0,0,4,0,0,4,24,27,75,114,129,72,42,86,34,8,7,8,15,11,0,24,648,163,423,823,757,494,372,775,424,111,97,142,135,74,13,179,4976
UCL112005,0,0,0,0,18,15,19,12,13,3,10,9,9,0,11,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,7,0,7,18,7,5,0,0,0,0,0,8,44,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,9,25,20,6,3,3,0,0,0,4,70,36,81,138,62,44,25,36,27,4,0,0,0,4,0,53,514,0,0,0,4,6,9,12,0,0,0,0,0,0,0,6,38,0,0,0,0,0,3,3,4,3,0,0,3,0,0,17,34,8,11,26,16,26,19,21,18,3,4,0,0,4,0,63,207,50,145,215,156,183,131,217,140,42,34,36,33,26,0,301,1715
UCL112006,0,0,0,4,16,17,60,88,12,20,40,41,13,0,8,331,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,13,0,0,0,3,0,3,0,0,0,0,0,6,0,0,0,13,0,0,3,4,4,8,25,16,4,0,18,0,7,6,0,102,0,0,0,4,10,8,45,50,7,3,19,12,10,0,3,175,0,0,0,0,0,0,3,10,0,0,8,4,0,0,3,35,0,0,0,0,4,4,11,13,3,5,0,9,0,5,0,45,18,46,122,50,35,19,39,51,8,6,11,13,10,4,25,446,0,0,7,6,3,4,6,3,0,5,3,0,0,5,0,42,0,0,0,4,3,8,8,18,5,0,0,0,6,0,0,48,7,11,37,20,18,19,99,87,26,18,30,17,5,18,15,431,51,135,229,171,201,207,842,990,310,328,323,258,105,83,117,4351
UCL112007,0,0,0,0,0,0,10,10,4,0,5,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10,32,68,31,18,8,16,8,4,0,0,0,0,0,16,205,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,14,3,11,4,3,4,0,7,4,0,0,3,0,4,0,5,47,16,82,88,57,43,27,57,52,18,12,24,17,11,0,39,540
UCL112008,0,0,0,0,18,20,19,13,5,7,7,9,5,0,5,107,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,0,0,10,15,10,3,13,4,0,0,0,9,0,3,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,6,9,0,0,0,0,0,0,4,33,61,137,285,130,73,33,37,15,0,5,0,3,0,0,47,824,0,0,7,6,0,5,9,10,0,0,3,4,0,0,3,41,0,0,0,0,9,0,0,5,0,0,0,0,0,0,6,18,21,47,55,44,32,12,25,13,6,8,6,9,0,0,19,297,139,300,474,284,240,151,215,136,28,54,59,61,22,9,120,2293
UCL112009,0,0,0,7,24,10,28,52,8,10,12,9,0,0,0,176,4,0,0,3,8,0,0,0,0,0,0,0,0,0,4,15,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,4,3,4,3,5,0,0,3,0,0,4,35,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,18,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,13,0,0,0,0,0,7,20,8,0,0,3,3,3,0,0,44,25,70,156,85,48,28,36,24,7,0,4,9,0,0,44,542,0,0,0,9,3,4,15,7,0,0,0,0,0,0,0,46,0,0,0,0,3,0,3,6,0,0,0,0,0,0,4,27,11,21,44,47,25,17,86,47,15,10,12,17,4,28,38,419,49,162,282,241,214,158,398,360,82,77,96,172,34,51,183,2557
UCL112010,0,0,0,6,27,29,54,69,11,30,34,67,20,11,7,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,34,23,7,7,3,10,0,8,0,104,0,0,0,0,0,0,17,4,0,6,0,0,4,0,0,37,0,0,0,0,0,0,8,14,4,9,29,39,8,0,0,120,0,0,0,0,6,6,11,6,3,0,0,0,0,0,0,29,5,21,38,27,13,18,31,20,3,0,3,8,5,0,0,202,0,0,4,0,3,4,0,5,0,0,4,0,0,0,0,27,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,3,11,29,35,73,113,161,137,43,33,38,52,19,4,32,790,103,327,250,128,230,437,1010,810,309,354,452,605,192,44,189,5446
UCL112011,0,0,0,4,19,9,14,48,5,0,8,11,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,12,0,0,0,5,0,0,0,0,31,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,12,0,0,0,0,0,0,3,34,9,52,112,60,37,18,50,14,0,0,0,8,0,0,11,369,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,24,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,14,0,6,20,13,18,4,19,14,4,0,0,6,0,0,10,110,20,109,176,130,129,80,186,143,18,12,25,27,6,5,40,1109
