UCL_CODE_2021,F_Chile_0_4,F_Chile_5_14,F_Chile_15_24,F_Chile_25_44,F_Chile_45_54,F_Chile_55_64,F_Chile_65_74,F_Chile_75_84,F_Chile_85ov,F_Chile_Tot,F_China_0_4,F_China_5_14,F_China_15_24,F_China_25_44,F_China_45_54,F_China_55_64,F_China_65_74,F_China_75_84,F_China_85ov,F_China_Tot,F_Croatia_0_4,F_Croatia_5_14,F_Croatia_15_24,F_Croatia_25_44,F_Croatia_45_54,F_Croatia_55_64,F_Croatia_65_74,F_Croatia_75_84,F_Croatia_85ov,F_Croatia_Tot,F_Egypt_0_4,F_Egypt_5_14,F_Egypt_15_24,F_Egypt_25_44,F_Egypt_45_54,F_Egypt_55_64,F_Egypt_65_74,F_Egypt_75_84,F_Egypt_85ov,F_Egypt_Tot,F_England_0_4,F_England_5_14,F_England_15_24,F_England_25_44,F_England_45_54,F_England_55_64,F_England_65_74,F_England_75_84,F_England_85ov,F_England_Tot,F_Fiji_0_4,F_Fiji_5_14,F_Fiji_15_24,F_Fiji_25_44,F_Fiji_45_54,F_Fiji_55_64,F_Fiji_65_74,F_Fiji_75_84,F_Fiji_85ov,F_Fiji_Tot,F_France_0_4,F_France_5_14,F_France_15_24,F_France_25_44,F_France_45_54,F_France_55_64,F_France_65_74,F_France_75_84,F_France_85ov,F_France_Tot,F_Germany_0_4,F_Germany_5_14,F_Germany_15_24,F_Germany_25_44,F_Germany_45_54,F_Germany_55_64,F_Germany_65_74,F_Germany_75_84,F_Germany_85ov,F_Germany_Tot,F_Greece_0_4,F_Greece_5_14,F_Greece_15_24,F_Greece_25_44,F_Greece_45_54,F_Greece_55_64,F_Greece_65_74,F_Greece_75_84,F_Greece_85ov,F_Greece_Tot,F_Hong_Kong_SAR_Ch_0_4,F_Hong_Kong_SAR_Ch_5_14,F_Hong_Kong_SAR_Ch_15_24,F_Hong_Kong_SAR_Ch_25_44,F_Hong_Kong_SAR_Ch_45_54,F_Hong_Kong_SAR_Ch_55_64,F_Hong_Kong_SAR_Ch_65_74,F_Hong_Kong_SAR_Ch_75_84,F_Hong_Kong_SAR_Ch_85ov,F_Hong_Kong_SAR_Ch_Tot,F_India_0_4,F_India_5_14,F_India_15_24,F_India_25_44,F_India_45_54,F_India_55_64,F_India_65_74,F_India_75_84,F_India_85ov,F_India_Tot,F_Indonesia_0_4,F_Indonesia_5_14,F_Indonesia_15_24,F_Indonesia_25_44,F_Indonesia_45_54,F_Indonesia_55_64,F_Indonesia_65_74,F_Indonesia_75_84,F_Indonesia_85ov,F_Indonesia_Tot,F_Iran_0_4,F_Iran_5_14,F_Iran_15_24,F_Iran_25_44,F_Iran_45_54,F_Iran_55_64,F_Iran_65_74,F_Iran_75_84,F_Iran_85ov,F_Iran_Tot,F_Iraq_0_4,F_Iraq_5_14,F_Iraq_15_24,F_Iraq_25_44,F_Iraq_45_54,F_Iraq_55_64,F_Iraq_65_74,F_Iraq_75_84,F_Iraq_85ov,F_Iraq_Tot,F_Ireland_0_4,F_Ireland_5_14,F_Ireland_15_24,F_Ireland_25_44,F_Ireland_45_54,F_Ireland_55_64,F_Ireland_65_74,F_Ireland_75_84,F_Ireland_85ov,F_Ireland_Tot,F_Italy_0_4,F_Italy_5_14,F_Italy_15_24,F_Italy_25_44,F_Italy_45_54,F_Italy_55_64,F_Italy_65_74,F_Italy_75_84,F_Italy_85ov,F_Italy_Tot,F_Japan_0_4,F_Japan_5_14,F_Japan_15_24,F_Japan_25_44,F_Japan_45_54,F_Japan_55_64,F_Japan_65_74,F_Japan_75_84,F_Japan_85ov,F_Japan_Tot,F_Korea_South_0_4,F_Korea_South_5_14,F_Korea_South_15_24,F_Korea_South_25_44,F_Korea_South_45_54,F_Korea_South_55_64,F_Korea_South_65_74,F_Korea_South_75_84,F_Korea_South_85ov,F_Korea_South_Tot,F_Lebanon_0_4,F_Lebanon_5_14,F_Lebanon_15_24,F_Lebanon_25_44,F_Lebanon_45_54,F_Lebanon_55_64,F_Lebanon_65_74,F_Lebanon_75_84,F_Lebanon_85ov,F_Lebanon_Tot,F_Malaysia_0_4,F_Malaysia_5_14,F_Malaysia_15_24,F_Malaysia_25_44,F_Malaysia_45_54,F_Malaysia_55_64,F_Malaysia_65_74,F_Malaysia_75_84,F_Malaysia_85ov,F_Malaysia_Tot
UCL101001,7,74,143,1649,1035,1142,1117,671,163,6018,320,3109,8995,54738,20239,21825,13351,5674,3094,131350,0,13,33,789,646,1221,1741,1441,539,6425,42,512,484,2257,964,1425,1817,1177,545,9233,342,2849,3606,16908,10007,10260,8090,6002,2538,60591,22,224,714,6151,3825,3700,2159,1002,230,18026,37,250,344,2655,665,378,295,169,105,4896,45,166,355,2384,1065,835,1530,1275,610,8257,13,122,260,648,598,1552,3584,5297,2106,14179,183,1116,1720,7594,3322,5240,4060,732,286,24254,1141,7027,6105,51433,8751,5547,3760,1677,612,86040,49,332,2221,8944,3222,2056,1618,672,194,19311,34,421,769,6211,1651,1497,1026,402,172,12186,46,1814,2946,9887,4388,3517,2155,968,373,26090,32,297,367,4955,1327,1034,771,554,228,9569,15,114,260,2257,944,2333,4236,4553,3007,17721,67,355,489,3584,2129,1127,425,209,84,8472,87,746,1906,11824,5706,3593,1995,929,317,27105,133,490,886,6576,6060,7254,4994,2187,762,29341,50,453,1307,6392,2755,2607,2793,1049,262,17655
UCL102001,0,0,0,0,6,4,3,0,0,15,0,6,4,45,19,20,0,4,0,98,0,0,0,8,8,7,21,23,14,79,0,5,0,12,0,0,0,0,0,24,0,15,18,84,71,81,56,39,12,377,0,0,5,32,15,3,4,0,0,67,0,3,3,5,0,0,0,0,0,12,0,0,0,12,8,6,31,23,10,92,0,0,0,0,0,11,10,20,19,69,0,0,0,9,4,9,0,0,0,22,6,29,31,332,23,17,9,0,3,443,0,6,4,28,14,5,4,0,0,58,0,0,0,7,0,4,0,0,0,19,0,0,0,3,0,0,0,0,0,5,0,0,0,0,6,4,4,4,0,22,0,0,0,3,11,17,30,46,32,140,0,4,0,0,10,3,0,0,0,11,0,0,0,18,12,0,0,0,0,32,0,0,0,4,0,0,0,0,0,14,0,0,5,9,15,9,0,6,0,48
UCL102002,0,3,3,32,47,26,55,28,4,200,0,22,31,362,232,236,196,41,14,1133,0,0,0,10,15,35,35,34,14,143,3,17,0,33,5,33,36,43,22,188,16,217,277,1099,988,1557,1549,1254,550,7506,0,4,11,76,49,47,33,12,4,242,0,0,4,64,29,25,21,10,4,162,0,8,13,112,58,81,169,133,64,630,0,0,7,8,3,17,46,43,19,145,0,8,8,45,20,40,38,5,0,173,12,74,71,657,85,71,69,51,14,1103,0,12,16,119,58,38,38,15,3,299,0,4,6,42,20,24,11,4,0,105,0,0,4,10,4,7,0,4,0,25,0,39,17,113,102,94,101,62,28,557,0,7,3,33,27,63,98,72,46,346,0,18,12,85,69,31,21,8,0,242,5,19,30,194,98,54,28,14,0,449,0,0,4,14,20,28,17,12,3,92,0,6,17,72,44,58,60,18,7,277
UCL102003,0,0,0,3,0,0,6,0,0,10,0,7,8,43,28,18,11,4,3,113,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,3,0,9,4,28,40,142,147,273,336,433,206,1617,0,5,0,6,3,6,7,3,0,43,0,0,0,20,10,0,8,8,0,49,0,0,0,28,8,18,45,48,23,169,0,0,0,0,4,0,5,0,0,14,0,3,0,12,3,7,3,3,0,28,3,8,11,92,15,6,8,5,3,157,0,0,0,21,6,3,0,4,0,41,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,12,10,3,10,9,6,59,0,0,0,18,3,4,10,5,16,56,0,0,9,44,31,4,3,0,0,104,0,0,0,17,6,0,0,0,0,29,0,0,0,0,3,0,0,0,0,6,0,0,0,11,9,9,10,5,0,47
UCL102004,0,0,0,32,15,13,9,0,0,79,0,23,88,487,168,135,83,24,11,1018,0,0,5,14,20,28,22,41,14,148,5,6,0,19,3,11,18,9,3,76,16,125,226,765,544,704,771,595,231,3991,0,0,9,39,25,28,23,3,3,137,0,5,8,53,21,19,3,6,0,122,0,8,27,116,58,73,249,174,54,761,0,5,0,5,7,20,70,91,49,250,0,16,64,70,15,41,31,0,5,244,8,89,112,709,139,70,61,40,15,1239,3,10,23,107,59,20,15,9,4,245,3,9,10,108,12,9,3,4,0,154,0,16,10,30,7,0,0,0,0,60,0,18,18,103,59,41,36,21,14,310,0,4,4,47,25,47,115,111,110,457,4,12,9,80,35,15,12,7,9,178,0,10,48,188,59,26,9,4,3,344,0,0,8,15,6,10,4,0,0,42,4,7,62,159,59,72,54,25,4,440
UCL102005,0,4,4,46,84,70,88,80,13,381,3,37,84,493,170,136,77,33,18,1045,0,0,0,61,60,91,107,115,51,479,4,21,3,38,7,14,25,17,8,130,11,118,180,575,713,1370,1167,1030,372,5536,0,8,4,50,25,31,24,11,4,163,0,5,6,35,23,29,17,13,6,130,0,0,9,92,59,103,275,172,105,814,0,5,7,9,15,56,109,130,87,413,0,3,12,43,18,27,16,5,0,121,12,55,130,613,86,57,59,23,16,1045,0,11,28,80,50,17,22,6,3,217,0,7,21,91,19,20,6,0,3,173,0,33,34,92,35,36,19,7,0,256,0,33,13,57,41,44,41,46,20,292,0,10,10,51,53,193,379,388,323,1402,0,4,11,59,33,21,20,7,0,147,0,11,11,106,43,23,7,5,0,202,0,9,8,92,72,88,63,30,4,369,4,16,22,67,45,35,20,10,4,219
UCL111001,0,0,0,0,0,0,0,0,0,10,3,3,6,40,16,15,5,0,0,88,0,0,0,0,3,4,4,8,4,28,0,0,0,0,0,0,0,0,0,4,0,10,27,58,52,125,117,95,38,518,0,0,0,10,3,9,0,0,0,24,0,0,5,0,3,0,0,0,0,9,0,0,0,10,6,17,46,38,11,131,0,0,0,0,0,0,4,15,4,23,0,0,0,3,0,0,5,0,0,18,6,19,29,333,21,19,12,3,4,450,0,0,0,15,8,0,0,0,0,28,0,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,5,0,5,0,21,0,4,0,0,0,0,9,4,8,31,0,0,0,9,0,0,0,0,0,11,0,0,6,17,0,0,0,0,0,21,0,0,0,0,3,0,0,0,0,10,0,0,0,12,8,3,0,0,0,25
UCL111002,0,0,0,3,3,0,0,0,0,9,0,0,3,30,12,23,7,0,3,79,0,0,0,0,0,0,5,4,0,14,0,0,0,6,0,0,4,0,0,6,0,17,29,98,97,165,201,159,86,851,0,0,4,6,12,14,4,0,0,41,0,0,0,8,4,5,5,4,0,28,0,0,0,12,10,25,32,29,3,115,0,0,0,0,0,0,3,0,0,5,0,0,0,9,0,0,9,3,0,24,0,12,11,130,24,13,9,11,0,217,0,4,0,13,4,4,9,0,0,39,0,0,0,0,0,3,0,0,0,8,11,66,38,70,10,6,3,0,0,205,0,4,3,16,8,5,9,10,0,49,0,0,3,6,0,3,10,12,6,39,0,0,6,30,12,3,3,0,0,50,0,0,0,10,0,0,6,0,0,12,0,0,0,0,3,3,0,0,0,8,14,33,4,11,4,6,7,0,0,82
UCL111003,0,0,0,3,0,5,6,0,0,20,0,9,4,82,32,31,9,6,0,178,0,0,0,0,0,8,0,0,0,10,0,4,3,7,3,0,4,5,0,18,0,27,42,129,130,179,189,102,35,840,0,3,0,16,9,10,0,3,0,39,0,0,0,8,0,3,0,0,0,10,0,0,0,19,5,6,55,31,10,130,0,0,3,0,7,0,6,4,5,14,0,3,3,13,0,9,0,0,0,39,6,31,27,246,38,17,9,12,0,383,0,0,0,21,4,3,3,0,0,44,0,5,0,9,0,0,0,0,0,12,0,5,0,5,0,0,0,0,0,9,0,6,0,10,9,4,9,9,0,49,0,0,0,8,0,0,7,6,0,33,0,0,3,6,9,0,0,0,0,18,0,0,3,31,0,11,0,0,0,51,0,0,3,3,0,0,0,0,0,10,0,0,6,33,16,18,0,3,0,73
UCL112001,0,0,0,3,3,0,0,0,0,4,0,3,7,46,11,5,4,0,0,85,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,13,34,14,42,45,37,8,202,0,0,0,8,3,0,0,0,0,10,0,0,5,13,0,0,0,0,0,15,0,3,0,6,5,8,5,6,7,33,0,3,0,0,0,0,0,0,3,9,0,0,0,3,0,4,0,0,0,12,0,13,19,88,8,4,3,0,0,131,0,0,3,5,6,4,0,0,0,17,0,0,0,19,0,0,0,0,0,19,12,94,85,78,26,8,0,0,0,310,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,3,3,0,0,9,0,0,0,8,3,5,0,0,0,23,0,0,0,8,0,0,0,0,0,11,0,0,0,0,0,0,4,0,0,8,0,0,0,3,4,0,4,0,0,17
