UCL_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL112002,150,3,7,0,0,155,48,3,0,0,0,56,61,7,0,0,0,70,111,8,5,0,0,119,190,18,4,0,0,210,641,45,16,0,5,706,948,33,3,0,0,989,1037,24,3,0,0,1063,373,4,0,0,0,381,212,0,0,0,0,213,111,5,0,0,0,119,191,17,0,0,0,207,4056,180,36,0,0,4278
UCL112003,256,3,6,0,0,267,89,3,4,0,0,92,68,4,5,0,0,71,140,3,6,0,0,153,169,3,0,0,0,173,498,10,18,0,0,523,655,9,3,0,0,678,1086,12,9,0,0,1114,540,6,0,0,0,548,405,4,3,0,0,415,173,9,3,0,0,189,214,7,5,0,0,224,4304,66,60,0,3,4444
UCL112004,140,4,4,0,0,149,46,0,0,0,0,46,26,3,0,0,0,28,49,5,0,0,0,55,74,5,0,0,0,87,218,11,8,0,0,244,259,13,3,0,3,282,514,12,4,0,0,531,370,4,3,0,0,383,369,6,3,0,0,382,326,0,0,0,0,328,159,4,0,0,0,166,2562,79,32,6,5,2680
UCL112005,85,9,0,0,0,94,51,3,0,0,0,58,46,0,0,0,0,46,85,7,0,0,0,91,160,9,0,0,0,162,552,17,5,0,0,579,624,17,0,0,0,642,441,3,0,0,0,441,124,0,0,0,0,124,104,0,0,0,0,109,43,0,0,0,0,43,143,6,0,4,0,157,2455,74,5,6,3,2545
UCL112006,108,0,0,0,0,119,55,8,0,0,0,62,83,0,3,0,0,82,147,4,3,0,0,158,279,10,10,0,0,303,995,34,10,0,0,1036,1104,19,4,0,3,1124,896,6,0,0,3,911,272,3,0,0,0,278,163,0,0,0,0,160,101,5,0,0,0,106,267,11,0,0,0,279,4470,102,29,0,4,4606
UCL112007,27,0,0,0,0,26,17,0,0,0,0,17,13,0,0,0,0,13,27,0,0,0,0,26,39,0,0,0,0,40,141,8,0,0,0,147,188,0,0,0,0,188,171,3,0,0,0,178,57,0,0,0,0,57,30,0,0,0,0,30,29,0,0,0,0,29,38,0,0,0,0,43,777,23,0,0,0,799
UCL112008,68,14,13,0,0,98,28,14,8,0,0,56,29,5,4,0,0,48,60,10,10,0,0,82,113,12,9,0,0,137,190,37,30,0,0,260,232,30,25,0,0,284,338,21,6,0,0,368,140,3,3,0,0,157,61,0,8,0,0,72,45,3,6,0,0,53,77,14,13,0,0,106,1380,168,146,7,0,1700
UCL112009,93,12,3,0,0,106,42,0,3,0,0,46,54,5,3,0,0,58,85,5,0,0,0,85,160,8,3,0,0,172,481,34,4,0,0,515,590,28,0,4,0,620,628,15,0,0,0,648,223,3,0,0,0,224,130,5,0,0,0,129,72,3,0,0,0,73,112,6,3,0,0,122,2660,111,16,6,3,2792
UCL112010,78,6,0,0,0,81,40,0,0,0,0,38,41,6,0,0,0,41,66,4,3,0,0,74,139,6,7,0,0,149,455,9,11,0,0,477,439,10,12,0,0,459,375,3,0,0,0,374,101,0,0,0,0,107,84,0,0,0,0,84,52,0,0,0,0,55,105,0,0,0,0,106,1978,41,40,0,4,2059
UCL112011,94,0,0,0,0,98,44,3,0,0,0,51,46,0,0,0,0,44,92,0,0,0,0,97,153,11,0,0,0,170,545,26,6,0,0,577,667,6,0,0,0,675,609,3,0,0,0,613,192,0,0,0,0,194,127,0,0,0,0,129,54,0,0,0,0,54,156,4,0,0,0,165,2789,68,10,0,3,2866
