UCL_CODE_2021,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4to8_sty_blk_Ds,OPDs_F_ap_I_4to8_sty_blk_Ps,OPDs_F_ap_I_9_m_sty_blk_Ds,OPDs_F_ap_I_9_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
UCL122043,129,296,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,6,3,5,7,0,0,137,308,16,..,150,308
UCL122044,45,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,43,107,4,..,43,107
UCL122045,111,231,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,241,16,..,124,241
UCL122046,205,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,3,4,0,0,0,0,3,4,0,0,214,434,309,..,519,434
UCL122047,131,292,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,293,60,..,195,293
UCL122048,134,318,27,36,0,0,27,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,356,40,..,202,356
UCL122049,143,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,284,32,..,174,284
UCL122050,90,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,176,41,..,140,176
UCL122051,102,231,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,237,24,..,131,237
UCL122052,91,219,3,4,3,13,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,3,6,0,0,102,245,90,..,191,245
UCL122053,129,237,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,3,3,0,0,136,247,34,..,173,247
UCL122054,126,327,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,4,7,139,347,3,..,140,347
UCL122055,176,393,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,401,25,..,209,401
UCL122056,106,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,293,0,..,113,293
UCL122057,93,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,249,9,..,108,249
UCL122058,206,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,467,67,..,277,467
UCL122059,170,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,174,428,13,..,186,428
UCL122060,142,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,142,348,6,..,145,348
UCL122061,56,140,4,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,139,22,..,76,139
UCL122062,104,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,265,8,..,116,265
UCL122063,120,279,0,6,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,5,4,0,0,124,296,17,..,145,296
UCL122064,126,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,131,307,10,..,139,307
UCL122065,141,292,0,6,0,0,8,5,3,13,0,0,0,0,0,0,0,0,3,13,10,17,0,6,0,0,0,3,14,29,0,0,165,332,166,..,329,332
UCL122066,131,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,355,12,..,146,355
UCL122067,185,406,4,8,6,7,6,9,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,190,420,18,..,211,420
UCL122068,56,124,4,7,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,131,14,..,74,131
UCL122069,120,273,0,7,12,27,9,30,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,4,9,0,0,137,309,40,..,182,309
UCL122070,118,379,28,34,0,0,28,34,17,17,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,163,427,16,..,174,427
UCL122071,137,346,0,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,351,9,..,152,351
UCL122072,93,202,3,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,4,10,0,0,97,216,14,..,114,216
UCL122073,122,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,132,255,177,..,300,255
UCL122074,128,232,9,12,0,0,9,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,240,33,..,163,240
UCL122075,83,254,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,90,260,3,..,94,260
UCL122076,81,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,209,0,..,83,209
UCL122077,137,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,309,5,..,143,309
UCL122078,128,238,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,130,247,4,..,132,247
UCL122079,104,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,278,7,..,116,278
UCL122080,142,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,439,8,..,154,439
UCL122081,97,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,224,16,..,117,224
UCL122082,66,123,0,0,0,0,0,0,3,3,4,3,0,0,0,0,0,0,3,4,16,18,20,33,0,0,0,0,41,52,25,28,132,219,50,..,190,219
UCL122083,99,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,98,274,9,..,104,274
UCL122084,65,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,66,179,6,..,71,179
UCL122085,110,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,8,7,0,0,115,248,28,..,145,248
UCL122086,147,307,8,5,0,0,8,5,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,7,164,328,82,..,241,328
UCL122087,73,160,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,74,168,76,..,153,168
UCL122088,79,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,215,12,..,95,215
UCL122089,164,397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,401,6,..,172,401
UCL122090,175,402,0,0,3,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,405,19,..,192,405
UCL122091,119,271,5,12,0,0,5,12,4,7,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,128,292,44,..,170,292
UCL122092,122,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,343,11,..,136,343
UCL122093,135,275,10,11,0,6,13,14,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,4,4,0,0,152,291,78,..,231,291
UCL122094,113,272,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,31,0,0,0,0,18,31,0,0,139,312,52,..,194,312
UCL122095,83,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,207,7,..,93,207
UCL122096,99,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,216,38,..,142,216
UCL122097,69,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,17,0,0,0,0,13,20,4,6,89,183,3,..,97,183
UCL122098,157,305,5,14,3,3,12,17,8,17,0,0,0,0,0,0,0,0,8,17,7,11,0,0,0,0,0,0,12,10,0,10,190,362,24,..,215,362
UCL122099,106,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,105,224,20,..,124,224
UCL122100,196,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,436,90,..,288,436
UCL122101,135,330,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,140,335,15,..,156,335
UCL122102,119,234,6,4,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,128,239,0,..,124,239
UCL122103,88,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,87,173,27,..,115,173
UCL122104,124,399,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,128,407,4,..,131,407
UCL122105,104,305,5,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,315,10,..,115,315
UCL122106,84,190,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,5,7,0,6,89,203,6,..,97,203
UCL122107,137,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,326,4,..,142,326
UCL122108,91,176,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,96,184,105,..,199,184
UCL122109,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,..,3,8
UCL122110,136,352,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,356,3,..,143,356
UCL122111,110,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,361,3,..,115,361
UCL122112,122,247,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,8,0,0,0,0,7,11,0,0,129,263,69,..,196,263
UCL122113,77,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,185,4,..,88,185
UCL122114,120,231,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,8,17,0,0,0,0,0,0,8,17,0,0,132,249,81,..,217,249
UCL122115,104,253,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,256,8,..,111,256
UCL122116,97,245,3,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,250,166,..,270,250
UCL122117,140,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,138,418,5,..,146,418
UCL122118,105,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,270,4,..,106,270
UCL122119,141,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,145,304,199,..,342,304
UCL122120,157,433,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,160,440,6,..,171,440
UCL122121,100,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,267,3,..,106,267
UCL122122,159,465,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,159,467,4,..,162,467
UCL122123,90,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,189,10,..,105,189
UCL122124,86,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,270,4,..,93,270
UCL122125,83,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,86,170,90,..,182,170
UCL122126,131,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,133,399,4,..,137,399
UCL122127,122,251,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,123,255,42,..,163,255
UCL122128,81,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,182,25,..,101,182
UCL122129,107,275,0,0,0,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,280,3,..,117,280
UCL122130,70,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,184,10,..,78,184
UCL122131,33,102,5,5,0,0,5,5,24,51,12,40,8,17,0,0,0,7,49,107,0,5,0,0,0,0,0,0,0,5,3,13,91,234,284,..,380,234
UCL122132,162,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,10,0,0,167,407,14,..,177,407
UCL122133,66,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,75,0,0,0,0,4,0,64,79,0,0,127,212,3,..,131,212
UCL122134,136,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,350,16,..,148,350
UCL122135,63,162,8,16,0,0,8,16,0,3,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,0,6,4,6,7,78,191,10,..,93,191
UCL122136,41,155,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,42,163,4,..,51,163
UCL122137,106,199,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,116,205,18,..,133,205
UCL122138,147,280,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,5,156,292,25,..,185,292
UCL122139,111,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,241,10,..,124,241
UCL122140,67,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,0,71,163,5,..,81,163
UCL122141,137,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,349,9,..,148,349
UCL122142,81,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,7,0,0,85,190,9,..,90,190
UCL122143,69,158,0,0,4,13,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,170,8,..,83,170
UCL122144,155,348,0,0,8,18,8,18,8,12,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,0,4,0,4,0,0,171,376,13,..,185,376
UCL122145,102,199,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,204,76,..,183,204
UCL122146,106,214,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,219,6,..,112,219
UCL122147,93,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,3,0,0,95,187,18,..,113,187
UCL122148,91,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,179,26,..,123,179
UCL122149,131,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,303,3,..,134,303
UCL122150,170,415,3,16,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,431,10,..,178,431
UCL122151,118,229,4,3,0,0,4,3,3,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,4,0,0,9,10,0,0,127,246,17,..,144,246
UCL122152,132,284,3,7,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,287,12,..,150,287
UCL122153,140,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,7,0,0,0,0,0,7,0,0,141,352,25,..,168,352
UCL122154,151,370,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,7,6,0,3,0,0,0,0,0,0,4,4,0,0,160,381,23,..,184,381
UCL122155,183,404,11,18,0,0,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,4,8,3,6,198,432,30,..,228,432
UCL122156,161,380,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,5,0,5,0,3,169,399,0,..,171,399
UCL122157,122,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,409,0,..,118,409
UCL122158,85,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,89,188,3,..,95,188
UCL131001,187132,509289,906,2217,248,634,1151,2852,285,518,7,18,5,7,13,43,378,879,692,1471,681,1128,956,1579,358,634,368,958,2365,4306,1315,2865,192660,520780,30951,..,223613,520780
UCL179997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
UCL199994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
UCL201001,1102854,3201336,156608,323779,126620,312906,283230,636687,85159,154126,52785,86616,62551,102756,74315,128371,914,1992,275722,473854,360,447,1205,1523,13,32,3635,7117,5212,9122,1691,3380,1668713,4324380,188947,..,1857654,4324380
UCL203001,35271,86848,4802,7964,540,1012,5345,8975,1007,1439,88,129,3,5,0,0,11,21,1102,1589,8,11,0,0,0,6,43,96,57,113,72,143,41851,97683,3370,..,45224,97683
UCL203002,35439,87259,2800,4346,451,851,3246,5195,399,626,17,44,0,0,0,0,15,19,429,688,18,27,22,41,0,3,32,74,81,152,75,160,39271,93452,2990,..,42259,93452
UCL203003,58195,148041,7118,11247,1654,3354,8772,14604,1757,2735,163,250,300,453,134,229,11,22,2368,3687,29,37,193,269,0,0,123,287,343,598,101,192,69783,167117,5193,..,74973,167117
UCL211001,12911,32513,1352,1974,86,165,1437,2140,277,397,0,0,0,0,0,0,3,8,282,400,42,44,0,0,0,0,8,24,47,71,15,32,14696,35157,1018,..,15712,35157
UCL211002,22565,67365,1705,3169,273,626,1978,3798,69,132,0,0,0,0,0,0,16,40,86,173,0,0,0,0,0,0,8,40,10,37,21,64,24655,71434,1450,..,26104,71434
UCL212001,7093,19179,635,1000,118,230,751,1229,40,46,0,0,21,26,0,0,4,17,71,85,11,21,21,32,0,3,6,9,36,66,4,11,7964,20574,491,..,8449,20574
UCL212002,4688,11330,725,1098,15,28,745,1127,15,25,0,0,0,0,0,0,0,5,15,26,3,6,39,54,0,0,6,6,47,64,10,25,5505,12584,576,..,6078,12584
UCL212003,11179,28414,1386,2269,69,123,1450,2396,1042,1592,19,23,0,0,0,0,3,3,1060,1616,16,36,42,103,0,4,12,28,81,178,41,74,13808,32672,1282,..,15090,32672
UCL212004,7544,19362,269,484,218,436,484,919,55,88,3,11,0,0,0,0,0,0,62,91,0,0,7,8,0,0,3,9,12,18,0,0,8107,20388,2302,..,10409,20388
UCL212005,15787,41590,1979,3270,96,198,2076,3472,41,54,13,16,0,0,0,0,4,7,58,81,24,33,44,69,5,7,205,299,285,410,31,75,18240,45624,1375,..,19618,45624
UCL212006,12243,33775,400,606,183,360,580,966,1024,1632,0,0,0,0,0,0,5,14,1033,1650,0,0,0,0,0,0,0,3,0,3,4,12,13864,36401,649,..,14507,36401
UCL212007,7272,19959,272,469,304,653,581,1122,16,20,30,46,8,4,0,0,0,0,49,73,8,9,0,9,0,0,0,0,6,19,12,23,7922,21195,2135,..,10055,21195
UCL212008,9326,23123,442,650,52,100,496,754,974,1337,0,0,0,0,0,0,3,5,975,1338,5,8,59,89,15,21,3,9,75,125,17,35,10889,25374,936,..,11828,25374
UCL212009,10876,26779,1245,1899,339,633,1584,2539,564,801,54,73,0,0,0,0,0,4,622,874,5,12,22,36,0,0,4,13,38,61,19,41,13131,30295,1167,..,14305,30295
UCL213001,4776,11270,695,1008,29,61,723,1066,73,113,0,0,0,0,0,0,0,0,70,113,3,4,14,17,0,0,10,23,26,45,11,23,5602,12520,571,..,6176,12520
UCL213002,4144,8849,218,291,15,22,234,314,4,3,0,0,0,0,0,0,3,4,11,11,7,4,0,0,0,0,14,34,21,39,7,10,4414,9230,426,..,4837,9230
UCL213003,4380,10559,534,707,11,14,549,721,0,0,0,0,0,0,0,0,4,8,0,12,5,7,23,25,12,19,13,19,50,75,8,14,4985,11383,449,..,5439,11383
UCL213004,4971,12942,286,436,5,8,291,444,219,320,0,0,0,0,0,0,0,0,219,320,0,0,73,91,0,0,0,0,70,90,4,8,5553,13802,366,..,5917,13802
UCL213005,6142,14997,228,322,33,62,259,380,32,45,0,0,0,0,0,0,5,3,29,48,0,0,0,0,0,0,4,0,4,0,0,0,6438,15427,534,..,6971,15427
UCL213006,3284,9736,364,627,20,36,381,661,12,29,13,30,0,0,0,0,0,9,33,62,0,0,0,0,0,0,0,0,0,0,0,7,3698,10470,200,..,3896,10470
UCL213007,5991,14132,340,451,6,11,345,466,366,490,0,0,0,0,0,0,0,0,366,490,5,9,6,8,0,0,3,11,11,25,6,14,6719,15120,625,..,7347,15120
UCL213008,5048,13906,566,1068,31,54,595,1126,48,52,0,0,0,0,0,0,0,0,48,52,0,3,0,0,0,0,0,0,0,3,10,19,5695,15103,269,..,5969,15103
UCL213009,4305,11186,314,454,7,18,320,469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,4635,11663,224,..,4855,11663
UCL213010,5565,12712,876,1145,25,35,906,1186,246,306,0,0,0,0,0,0,0,0,244,305,29,37,6,4,0,0,0,0,33,46,6,7,6756,14264,719,..,7469,14264
UCL213011,4908,11285,316,399,49,95,366,503,424,614,0,0,0,0,0,0,6,0,424,614,0,0,0,0,0,0,6,11,3,8,7,3,5712,12416,636,..,6345,12416
UCL213012,3815,8717,359,509,35,53,399,564,45,68,6,7,0,0,0,0,0,12,55,78,16,19,6,13,0,0,13,15,32,44,7,9,4303,9422,565,..,4863,9422
UCL213013,4838,11625,354,522,95,122,445,638,371,497,25,49,0,0,0,0,0,0,396,547,18,16,18,27,0,0,5,8,35,54,17,28,5733,12891,635,..,6367,12891
UCL213014,3509,8731,363,579,6,14,368,590,331,532,7,10,0,0,0,0,3,4,336,542,6,9,8,18,0,9,8,15,20,44,9,22,4246,9929,409,..,4654,9929
UCL213015,4423,13339,278,568,69,155,349,722,6,6,0,0,0,0,0,0,0,3,7,10,0,0,0,0,0,0,0,0,0,0,4,14,4780,14083,256,..,5037,14083
UCL213016,6928,16481,1070,1485,55,89,1123,1574,0,0,0,0,0,0,0,0,5,3,5,3,11,20,6,4,0,0,13,27,28,48,9,18,8087,18131,614,..,8707,18131
UCL213017,6358,16412,351,498,35,48,389,550,313,462,0,0,0,0,0,0,5,12,318,474,12,12,173,254,0,0,8,12,189,284,8,17,7264,17726,471,..,7733,17726
UCL213018,2891,6871,440,645,32,59,469,707,8,16,0,0,0,0,0,0,0,0,13,18,29,42,33,42,0,3,6,15,62,102,0,5,3437,7695,708,..,4147,7695
UCL214001,2625,5921,291,394,8,18,293,410,4,27,6,7,0,0,0,0,0,0,11,35,5,8,11,16,0,0,3,17,17,40,7,17,2950,6423,308,..,3257,6423
UCL214002,1873,5675,83,160,0,0,83,160,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,5836,72,..,2028,5836
UCL214003,3580,7810,582,809,3,8,583,814,4,5,0,0,0,0,0,0,0,0,9,3,22,26,0,4,0,0,7,28,34,51,7,17,4212,8697,467,..,4678,8697
