UCL_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
UCL101001,1816190,1868721,3684918,68715,69057,137781,250112,253806,503910,5849,5352,11196,4442,4666,9111,1185,1168,2349,1295,1276,2568,451,488,934,433,391,821,1461,1468,2930,36,11,44,265257,268620,533875,22043,23321,45363,5272,4194,9465,361286,365195,726476,118138,113424,231558,2295616,2347339,4642951
UCL102001,14842,14771,29615,420,431,849,1306,1242,2539,149,106,257,102,103,203,35,29,64,30,30,58,14,22,32,19,12,30,639,629,1268,0,0,0,2288,2170,4455,133,135,269,47,23,71,2892,2753,5643,897,879,1781,18630,18409,37039
UCL102002,126338,134980,261319,3975,4333,8313,14939,15873,30814,205,212,423,262,317,584,43,44,84,73,71,142,33,34,65,22,48,66,40,48,86,0,5,0,15618,16652,32267,585,630,1215,437,342,774,20622,21959,42574,8411,9393,17807,155370,166329,321697
UCL102003,23532,26129,49658,942,1059,1997,1993,2130,4123,157,180,346,1009,1090,2097,30,34,56,24,24,48,12,14,28,22,25,45,10,17,25,0,0,3,3253,3522,6773,160,186,343,130,100,230,4474,4868,9342,1965,2196,4160,29974,33183,63162
UCL102004,136039,141608,277651,4282,4483,8766,17638,19392,37031,426,412,843,461,502,965,99,91,187,102,94,199,77,69,146,70,92,165,146,151,296,4,6,14,19028,20817,39839,833,839,1676,563,477,1042,24707,26610,51319,7777,7971,15753,168530,176191,344715
UCL102005,111174,115073,226245,3890,3972,7857,12604,13646,26248,260,257,513,259,267,526,33,44,82,52,52,104,46,38,90,27,31,52,163,190,353,0,4,4,13440,14523,27962,557,575,1134,345,285,631,18229,19353,37587,6447,6645,13089,135849,141068,276920
UCL111001,19885,21537,41425,956,1001,1956,1868,2078,3947,853,955,1813,114,117,230,15,12,24,12,28,40,14,11,28,9,7,22,21,22,47,0,0,0,2920,3239,6156,110,112,220,67,53,122,4053,4410,8454,1582,1537,3117,25516,27487,53003
UCL111002,18915,20886,39798,867,1019,1892,2024,2214,4241,78,116,195,170,192,362,17,19,34,31,19,49,7,13,20,12,9,22,26,29,48,0,0,4,2371,2604,4975,105,131,234,90,93,186,3441,3851,7291,1663,1831,3497,24014,26568,50586
UCL111003,34766,36766,71531,1069,1122,2195,4705,5212,9914,93,75,167,122,137,261,21,26,53,29,26,60,14,8,22,41,34,68,26,25,50,0,0,0,5052,5557,10605,111,130,242,120,124,249,6352,6935,13284,1776,1745,3515,42891,45445,88337
UCL112001,6898,7640,14540,1126,1184,2313,637,803,1441,36,40,83,113,119,235,13,10,27,11,8,22,6,5,9,10,11,21,11,14,24,0,0,0,835,1021,1860,56,66,121,19,33,47,2037,2303,4338,1006,1192,2197,9944,11137,21079
